,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,0,0,24,5.0,4.0,0,1.0,0,0,0.0,0,0,0
2,20120407,0,0,24,5.0,4.0,1.0,2.0,0.5,0,1.0,1,0,0
3,20120408,0,0,24,7.0,6.0,2.0,2.0,0.5,0,2.0,2,0,0
4,20120410,0,1,22,4.0,2.0,3.0,1.0,-0.5,1,3.0,3,0,0
5,20120411,0,1,22,1.0,2.0,4.0,1.0,-0.5,0,4.0,4,0,0
6,20120412,0,1,22,3.0,1.0,4.0,2.0,0.5,1,-1.0,4,1,0
7,20120413,0,1,8,6.0,7.0,5.0,2.0,0.5,1,1.0,5,1,0
8,20120414,0,1,8,7.0,8.0,2.5,2.0,1.5,1,-1.0,5,2,0
9,20120415,0,1,8,5.0,2.0,1.6666666666666667,2.0,2.5,0,-2.0,5,3,0
10,20120416,0,0,21,5.0,1.0,2.0,2.0,2.5,1,1.0,6,3,0
11,20120417,0,0,21,4.0,5.0,2.3333333333333335,2.0,2.0,1,2.0,7,3,0
12,20120418,0,0,21,1.0,2.0,1.75,2.0,2.0,0,-1.0,7,4,0
13,20120419,0,0,1,2.0,10.0,1.4,2.0,2.0,1,-2.0,7,5,0
14,20120420,0,0,1,1.0,9.0,1.1666666666666667,2.0,3.0,1,-3.0,7,6,0
15,20120421,0,0,1,2.0,3.0,1.0,4.0,4.0,1,-4.0,7,7,0
16,20120422,0,0,1,6.0,4.0,0.875,4.0,5.0,0,-5.0,7,8,0
17,20120423,0,0,20,9.0,5.0,1.0,3.0,4.0,1,1.0,8,8,0
18,20120424,0,0,20,5.0,8.0,1.125,3.0,4.0,1,2.0,9,8,0
19,20120425,0,0,20,2.0,7.0,1.0,3.0,4.0,0,-1.0,9,9,0
20,20120427,0,1,14,5.0,0.0,0.9,4.0,4.0,1,-2.0,9,10,0
21,20120428,0,1,14,2.0,3.0,1.0,3.0,4.0,1,1.0,10,10,0
22,20120429,0,1,14,8.0,4.0,0.9090909090909091,4.0,5.0,0,-1.0,10,11,0
23,20120430,0,1,14,9.0,5.0,1.0,3.0,5.0,0,1.0,11,11,0
24,20120501,0,1,29,5.0,1.0,1.0909090909090908,3.0,4.0,1,2.0,12,11,0
25,20120502,0,1,29,4.0,5.0,1.1818181818181819,2.0,4.0,1,3.0,13,11,0
26,20120503,0,1,29,1.0,2.0,1.0833333333333333,2.0,4.0,1,-1.0,13,12,0
27,20120504,0,1,17,5.0,4.0,1.0,2.0,4.5,1,-2.0,13,13,0
28,20120505,0,1,17,3.0,4.0,1.0769230769230769,2.0,3.5,0,1.0,14,13,0
29,20120506,0,1,17,1.0,3.0,1.0,2.0,4.5,0,-1.0,14,14,0
30,20120507,0,0,25,6.0,9.0,0.9333333333333333,3.0,4.5,1,-2.0,14,15,0
31,20120508,0,0,25,1.0,6.0,0.875,3.0,5.5,1,-3.0,14,16,0
32,20120509,0,0,25,2.0,7.0,0.8235294117647058,3.0,5.5,1,-4.0,14,17,0
33,20120511,0,0,24,5.0,1.0,0.7777777777777778,3.0,6.5,1,-5.0,14,18,0
34,20120512,0,0,24,2.0,5.0,0.8333333333333334,3.0,6.5,1,1.0,15,18,0
35,20120513,0,0,24,3.0,7.0,0.7894736842105263,3.0,7.5,0,-1.0,15,19,0
36,20120514,0,1,13,1.0,3.0,0.75,3.0,8.5,1,-2.0,15,20,0
37,20120515,0,1,13,5.0,1.0,0.7142857142857143,3.0,9.5,1,-3.0,15,21,0
38,20120516,0,1,8,1.0,6.0,0.7619047619047619,3.0,8.5,1,1.0,16,21,0
39,20120517,0,1,8,9.0,7.0,0.7272727272727273,3.0,8.5,0,-1.0,16,22,0
40,20120518,0,1,11,6.0,4.0,0.7727272727272727,3.0,8.5,1,1.0,17,22,0
41,20120519,0,1,11,3.0,7.0,0.8181818181818182,3.0,8.5,1,2.0,18,22,0
42,20120520,0,1,11,2.0,0.0,0.782608695652174,3.0,9.5,0,-1.0,18,23,0
43,20120521,0,0,13,1.0,6.0,0.8260869565217391,3.0,9.5,1,1.0,19,23,0
44,20120522,0,0,13,7.0,8.0,0.7916666666666666,3.0,10.5,1,-1.0,19,24,0
45,20120523,0,0,13,11.0,4.0,0.76,3.0,11.5,1,-2.0,19,25,0
46,20120525,0,0,15,1.0,7.0,0.8,3.0,10.5,1,1.0,20,25,0
47,20120526,0,0,15,8.0,5.0,0.7692307692307693,3.0,10.5,1,-1.0,20,26,0
48,20120527,0,0,15,4.0,3.0,0.8076923076923077,3.0,10.5,0,1.0,21,26,0
49,20120528,0,1,24,2.0,4.0,0.8461538461538461,3.0,10.5,0,2.0,22,26,0
50,20120529,0,1,24,1.0,3.0,0.8148148148148148,3.0,10.5,1,-1.0,22,27,0
51,20120530,0,1,24,4.0,1.0,0.7857142857142857,3.0,10.5,1,-2.0,22,28,0
52,20120601,0,1,22,1.0,7.0,0.8214285714285714,3.0,9.5,1,1.0,23,28,0
53,20120602,0,1,22,4.0,2.0,0.7931034482758621,3.0,9.0,0,-1.0,23,29,0
54,20120603,0,1,22,6.0,0.0,0.8275862068965517,3.0,9.0,0,1.0,24,29,0
55,20120604,0,0,8,0.0,4.0,0.8620689655172413,3.0,8.0,1,2.0,25,29,0
56,20120605,0,0,8,10.0,0.0,0.8333333333333334,3.0,9.0,1,-1.0,25,30,0
57,20120606,0,0,8,6.0,1.0,0.8666666666666667,3.0,9.0,1,1.0,26,30,0
58,20120608,0,0,19,9.0,8.0,0.9,3.0,9.0,1,2.0,27,30,0
59,20120609,0,0,19,8.0,3.0,0.9333333333333333,3.0,8.5,1,3.0,28,30,0
60,20120610,0,0,19,4.0,3.0,0.9666666666666667,3.0,8.5,0,4.0,29,30,0
61,20120612,0,1,27,1.0,9.0,1.0,3.0,8.5,1,5.0,30,30,0
62,20120613,0,1,27,0.0,1.0,0.967741935483871,3.0,9.0,1,-1.0,30,31,0
63,20120614,0,1,27,11.0,3.0,0.9375,3.0,9.0,1,-2.0,30,32,0
64,20120615,0,1,12,5.0,0.0,0.96875,3.0,8.5,1,1.0,31,32,0
65,20120616,0,1,12,0.0,2.0,1.0,3.0,8.5,1,2.0,32,32,0
66,20120617,0,1,12,0.0,2.0,0.9696969696969697,3.0,8.5,0,-1.0,32,33,0
67,20120618,0,0,23,7.0,1.0,0.9411764705882353,3.0,9.5,1,-2.0,32,34,0
68,20120619,0,0,23,9.0,12.0,0.9705882352941176,3.0,9.0,1,1.0,33,34,0
69,20120620,0,0,23,14.0,10.0,0.9428571428571428,3.0,9.0,0,-1.0,33,35,0
70,20120622,0,0,4,6.0,1.0,0.9714285714285714,3.0,8.0,1,1.0,34,35,0
71,20120623,0,0,4,10.0,5.0,1.0,3.0,6.5,1,2.0,35,35,0
72,20120624,0,0,4,5.0,1.0,1.0285714285714285,3.0,6.5,0,3.0,36,35,0
73,20120626,0,1,1,1.0,8.0,1.0571428571428572,3.0,5.5,1,4.0,37,35,0
74,20120627,0,1,1,4.0,6.0,1.0277777777777777,3.0,5.0,1,-1.0,37,36,0
75,20120628,0,1,1,3.0,2.0,1.0,3.0,5.0,1,-2.0,37,37,0
76,20120629,0,1,15,9.0,3.0,1.027027027027027,3.0,5.0,1,1.0,38,37,0
77,20120630,0,1,15,2.0,10.0,1.054054054054054,3.0,4.0,1,2.0,39,37,0
