,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Friday, Apr 6",ARI,Home,SFG,5.0,4.0,1-0,2.0,0.5,D,1
2,"Saturday, Apr 7",ARI,Home,SFG,5.0,4.0,2-0,2.0,0.5,D,2
3,"Sunday, Apr 8",ARI,Home,SFG,7.0,6.0,3-0,1.0,up 0.5,D,3
4,"Tuesday, Apr 10",ARI,@,SDP,4.0,2.0,4-0,1.0,up 0.5,N,4
5,"Wednesday, Apr 11",ARI,@,SDP,1.0,2.0,4-1,2.0,0.5,D,-1
6,"Thursday, Apr 12",ARI,@,SDP,3.0,1.0,5-1,2.0,0.5,N,1
7,"Friday, Apr 13",ARI,@,COL,6.0,7.0,5-2,2.0,1.5,N,-1
8,"Saturday, Apr 14",ARI,@,COL,7.0,8.0,5-3,2.0,2.5,N,-2
9,"Sunday, Apr 15",ARI,@,COL,5.0,2.0,6-3,2.0,2.5,D,1
10,"Monday, Apr 16",ARI,Home,PIT,5.0,1.0,7-3,2.0,2.0,N,2
11,"Tuesday, Apr 17",ARI,Home,PIT,4.0,5.0,7-4,2.0,2.0,N,-1
12,"Wednesday, Apr 18",ARI,Home,PIT,1.0,2.0,7-5,2.0,2.0,D,-2
13,"Thursday, Apr 19",ARI,Home,ATL,2.0,10.0,7-6,2.0,3.0,N,-3
14,"Friday, Apr 20",ARI,Home,ATL,1.0,9.0,7-7,4.0,4.0,N,-4
15,"Saturday, Apr 21",ARI,Home,ATL,2.0,3.0,7-8,4.0,5.0,N,-5
16,"Sunday, Apr 22",ARI,Home,ATL,6.0,4.0,8-8,3.0,4.0,D,1
17,"Monday, Apr 23",ARI,Home,PHI,9.0,5.0,9-8,3.0,4.0,N,2
18,"Tuesday, Apr 24",ARI,Home,PHI,5.0,8.0,9-9,3.0,4.0,N,-1
19,"Wednesday, Apr 25",ARI,Home,PHI,2.0,7.0,9-10,4.0,4.0,D,-2
20,"Friday, Apr 27",ARI,@,MIA,5.0,0.0,10-10,3.0,4.0,N,1
21,"Saturday, Apr 28",ARI,@,MIA,2.0,3.0,10-11,4.0,5.0,N,-1
22,"Sunday, Apr 29",ARI,@,MIA,8.0,4.0,11-11,3.0,5.0,D,1
23,"Monday, Apr 30",ARI,@,MIA,9.0,5.0,12-11,3.0,4.0,D,2
24,"Tuesday, May 1",ARI,@,WSN,5.0,1.0,13-11,2.0,4.0,N,3
25,"Wednesday, May 2",ARI,@,WSN,4.0,5.0,13-12,2.0,4.0,N,-1
26,"Thursday, May 3",ARI,@,WSN,1.0,2.0,13-13,2.0,4.5,N,-2
27,"Friday, May 4",ARI,@,NYM,5.0,4.0,14-13,2.0,3.5,N,1
28,"Saturday, May 5",ARI,@,NYM,3.0,4.0,14-14,2.0,4.5,D,-1
29,"Sunday, May 6",ARI,@,NYM,1.0,3.0,14-15,3.0,4.5,D,-2
30,"Monday, May 7",ARI,Home,STL,6.0,9.0,14-16,3.0,5.5,N,-3
31,"Tuesday, May 8",ARI,Home,STL,1.0,6.0,14-17,3.0,5.5,N,-4
32,"Wednesday, May 9",ARI,Home,STL,2.0,7.0,14-18,3.0,6.5,N,-5
33,"Friday, May 11",ARI,Home,SFG,5.0,1.0,15-18,3.0,6.5,N,1
34,"Saturday, May 12",ARI,Home,SFG,2.0,5.0,15-19,3.0,7.5,N,-1
35,"Sunday, May 13",ARI,Home,SFG,3.0,7.0,15-20,3.0,8.5,D,-2
36,"Monday, May 14",ARI,@,LAD,1.0,3.0,15-21,3.0,9.5,N,-3
37,"Tuesday, May 15",ARI,@,LAD,5.0,1.0,16-21,3.0,8.5,N,1
38,"Wednesday, May 16",ARI,@,COL,1.0,6.0,16-22,3.0,8.5,N,-1
39,"Thursday, May 17",ARI,@,COL,9.0,7.0,17-22,3.0,8.5,D,1
40,"Friday, May 18",ARI,@,KCR,6.0,4.0,18-22,3.0,8.5,N,2
41,"Saturday, May 19",ARI,@,KCR,3.0,7.0,18-23,3.0,9.5,N,-1
42,"Sunday, May 20",ARI,@,KCR,2.0,0.0,19-23,3.0,9.5,D,1
43,"Monday, May 21",ARI,Home,LAD,1.0,6.0,19-24,3.0,10.5,N,-1
44,"Tuesday, May 22",ARI,Home,LAD,7.0,8.0,19-25,3.0,11.5,N,-2
45,"Wednesday, May 23",ARI,Home,LAD,11.0,4.0,20-25,3.0,10.5,N,1
46,"Friday, May 25",ARI,Home,MIL,1.0,7.0,20-26,3.0,10.5,N,-1
47,"Saturday, May 26",ARI,Home,MIL,8.0,5.0,21-26,3.0,10.5,N,1
48,"Sunday, May 27",ARI,Home,MIL,4.0,3.0,22-26,3.0,10.5,D,2
49,"Monday, May 28",ARI,@,SFG,2.0,4.0,22-27,3.0,10.5,D,-1
50,"Tuesday, May 29",ARI,@,SFG,1.0,3.0,22-28,3.0,10.5,N,-2
51,"Wednesday, May 30",ARI,@,SFG,4.0,1.0,23-28,3.0,9.5,N,1
52,"Friday, Jun 1",ARI,@,SDP,1.0,7.0,23-29,3.0,9.0,N,-1
53,"Saturday, Jun 2",ARI,@,SDP,4.0,2.0,24-29,3.0,9.0,D,1
54,"Sunday, Jun 3",ARI,@,SDP,6.0,0.0,25-29,3.0,8.0,D,2
55,"Monday, Jun 4",ARI,Home,COL,0.0,4.0,25-30,3.0,9.0,N,-1
56,"Tuesday, Jun 5",ARI,Home,COL,10.0,0.0,26-30,3.0,9.0,N,1
57,"Wednesday, Jun 6",ARI,Home,COL,6.0,1.0,27-30,3.0,9.0,N,2
58,"Friday, Jun 8",ARI,Home,OAK,9.0,8.0,28-30,3.0,8.5,N,3
59,"Saturday, Jun 9",ARI,Home,OAK,8.0,3.0,29-30,3.0,8.5,N,4
60,"Sunday, Jun 10",ARI,Home,OAK,4.0,3.0,30-30,3.0,8.5,D,5
61,"Tuesday, Jun 12",ARI,@,TEX,1.0,9.0,30-31,3.0,9.0,N,-1
62,"Wednesday, Jun 13",ARI,@,TEX,0.0,1.0,30-32,3.0,9.0,N,-2
63,"Thursday, Jun 14",ARI,@,TEX,11.0,3.0,31-32,3.0,8.5,N,1
64,"Friday, Jun 15",ARI,@,LAA,5.0,0.0,32-32,3.0,8.5,N,2
65,"Saturday, Jun 16",ARI,@,LAA,0.0,2.0,32-33,3.0,8.5,N,-1
66,"Sunday, Jun 17",ARI,@,LAA,0.0,2.0,32-34,3.0,9.5,D,-2
67,"Monday, Jun 18",ARI,Home,SEA,7.0,1.0,33-34,3.0,9.0,N,1
68,"Tuesday, Jun 19",ARI,Home,SEA,9.0,12.0,33-35,3.0,9.0,N,-1
69,"Wednesday, Jun 20",ARI,Home,SEA,14.0,10.0,34-35,3.0,8.0,D,1
70,"Friday, Jun 22",ARI,Home,CHC,6.0,1.0,35-35,3.0,6.5,N,2
71,"Saturday, Jun 23",ARI,Home,CHC,10.0,5.0,36-35,3.0,6.5,N,3
72,"Sunday, Jun 24",ARI,Home,CHC,5.0,1.0,37-35,3.0,5.5,D,4
73,"Tuesday, Jun 26",ARI,@,ATL,1.0,8.0,37-36,3.0,5.0,N,-1
74,"Wednesday, Jun 27",ARI,@,ATL,4.0,6.0,37-37,3.0,5.0,N,-2
75,"Thursday, Jun 28",ARI,@,ATL,3.0,2.0,38-37,3.0,5.0,N,1
76,"Friday, Jun 29",ARI,@,MIL,9.0,3.0,39-37,3.0,4.0,N,2
77,"Saturday, Jun 30",ARI,@,MIL,2.0,10.0,39-38,3.0,4.0,N,-1
78,"Sunday, Jul 1",ARI,@,MIL,1.0,2.0,39-39,3.0,5.0,D,-2
79,"Monday, Jul 2",ARI,Home,SDP,2.0,6.0,39-40,3.0,5.5,N,-3
80,"Tuesday, Jul 3",ARI,Home,SDP,5.0,9.0,39-41,3.0,5.5,N,-4
81,"Wednesday, Jul 4",ARI,Home,SDP,6.0,8.0,39-42,3.0,6.0,N,-5
82,"Thursday, Jul 5",ARI,Home,LAD,1.0,4.0,39-43,3.0,7.0,N,-6
83,"Friday, Jul 6",ARI,Home,LAD,5.0,3.0,40-43,3.0,6.0,N,1
84,"Saturday, Jul 7",ARI,Home,LAD,5.0,3.0,41-43,3.0,5.0,N,2
85,"Sunday, Jul 8",ARI,Home,LAD,7.0,1.0,42-43,3.0,4.0,D,3
86,"Friday, Jul 13",ARI,@,CHC,1.0,8.0,42-44,3.0,5.0,N,-1
87,"Saturday, Jul 14",ARI,@,CHC,1.0,4.0,42-45,3.0,5.5,D,-2
88,"Sunday, Jul 15",ARI,@,CHC,1.0,3.0,42-46,3.0,6.5,D,-3
89,"Monday, Jul 16",ARI,@,CIN,5.0,3.0,43-46,3.0,6.0,N,1
90,"Tuesday, Jul 17",ARI,@,CIN,0.0,4.0,43-47,3.0,7.0,N,-1
91,"Wednesday, Jul 18",ARI,@,CIN,7.0,1.0,44-47,3.0,7.0,N,1
92,"Thursday, Jul 19",ARI,@,CIN,6.0,7.0,44-48,3.0,7.0,D,-1
93,"Friday, Jul 20",ARI,Home,HOU,13.0,8.0,45-48,3.0,7.0,N,1
94,"Saturday, Jul 21",ARI,Home,HOU,12.0,3.0,46-48,3.0,7.0,N,2
95,"Sunday, Jul 22",ARI,Home,HOU,8.0,2.0,47-48,3.0,6.0,D,3
96,"Monday, Jul 23",ARI,Home,COL,6.0,3.0,48-48,3.0,6.0,N,4
97,"Tuesday, Jul 24",ARI,Home,COL,6.0,2.0,49-48,3.0,6.0,N,5
98,"Wednesday, Jul 25",ARI,Home,COL,2.0,4.0,49-49,3.0,6.0,N,-1
99,"Thursday, Jul 26",ARI,Home,NYM,1.0,3.0,49-50,3.0,6.5,N,-2
100,"Friday, Jul 27",ARI,Home,NYM,11.0,5.0,50-50,3.0,5.5,N,1
101,"Saturday, Jul 28",ARI,Home,NYM,6.0,3.0,51-50,3.0,4.5,N,2
102,"Sunday, Jul 29",ARI,Home,NYM,1.0,5.0,51-51,3.0,4.5,D,-1
103,"Monday, Jul 30",ARI,@,LAD,7.0,2.0,52-51,3.0,3.5,N,1
104,"Tuesday, Jul 31",ARI,@,LAD,8.0,2.0,53-51,3.0,3.5,N,2
105,"Wednesday, Aug 1",ARI,@,LAD,4.0,0.0,54-51,3.0,2.5,D,3
106,"Friday, Aug 3",ARI,@,PHI,4.0,2.0,55-51,3.0,2.0,N,4
107,"Saturday, Aug 4",ARI,@,PHI,0.0,3.0,55-52,3.0,3.0,N,-1
108,"Sunday, Aug 5",ARI,@,PHI,4.0,5.0,55-53,3.0,4.0,D,-2
109,"Monday, Aug 6",ARI,@,PIT,0.0,4.0,55-54,3.0,4.0,N,-3
110,"Tuesday, Aug 7",ARI,@,PIT,10.0,4.0,56-54,3.0,4.0,N,1
111,"Wednesday, Aug 8",ARI,@,PIT,6.0,7.0,56-55,3.0,5.0,N,-1
112,"Thursday, Aug 9",ARI,@,PIT,6.0,3.0,57-55,3.0,4.0,D,1
113,"Friday, Aug 10",ARI,Home,WSN,1.0,9.0,57-56,3.0,4.0,N,-1
114,"Saturday, Aug 11",ARI,Home,WSN,5.0,6.0,57-57,3.0,5.0,N,-2
115,"Sunday, Aug 12",ARI,Home,WSN,7.0,4.0,58-57,3.0,5.0,D,1
116,"Tuesday, Aug 14",ARI,@,STL,2.0,8.0,58-58,3.0,5.5,N,-1
117,"Wednesday, Aug 15",ARI,@,STL,2.0,5.0,58-59,3.0,6.5,N,-2
118,"Thursday, Aug 16",ARI,@,STL,2.0,1.0,59-59,3.0,5.5,N,1
119,"Friday, Aug 17",ARI,@,HOU,3.0,1.0,60-59,3.0,5.0,N,2
120,"Saturday, Aug 18",ARI,@,HOU,12.0,4.0,61-59,3.0,5.0,N,3
121,"Sunday, Aug 19",ARI,@,HOU,8.0,1.0,62-59,3.0,4.5,D,4
122,"Monday, Aug 20",ARI,Home,MIA,3.0,12.0,62-60,3.0,5.0,N,-1
123,"Tuesday, Aug 21",ARI,Home,MIA,5.0,6.0,62-61,3.0,6.0,N,-2
124,"Wednesday, Aug 22 (1)",ARI,Home,MIA,3.0,2.0,63-61,3.0,5.5,D,1
125,"Wednesday, Aug 22 (2)",ARI,Home,MIA,3.0,0.0,64-61,3.0,5.5,N,2
126,"Friday, Aug 24",ARI,Home,SDP,0.0,5.0,64-62,3.0,7.0,N,-1
127,"Saturday, Aug 25",ARI,Home,SDP,3.0,9.0,64-63,3.0,7.0,N,-2
128,"Sunday, Aug 26",ARI,Home,SDP,4.0,5.0,64-64,3.0,7.0,D,-3
129,"Monday, Aug 27",ARI,Home,CIN,2.0,3.0,64-65,3.0,7.5,N,-4
130,"Tuesday, Aug 28",ARI,Home,CIN,2.0,5.0,64-66,3.0,8.5,N,-5
131,"Wednesday, Aug 29",ARI,Home,CIN,2.0,6.0,64-67,3.0,9.5,D,-6
132,"Thursday, Aug 30",ARI,@,LAD,2.0,0.0,65-67,3.0,9.5,N,1
133,"Friday, Aug 31",ARI,@,LAD,4.0,3.0,66-67,3.0,8.5,N,2
134,"Saturday, Sep 1",ARI,@,LAD,1.0,2.0,66-68,3.0,9.5,N,-1
135,"Sunday, Sep 2",ARI,@,LAD,4.0,5.0,66-69,3.0,10.5,D,-2
