,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Thursday, Apr 5",ATL,@,NYM,0.0,1.0,0-1,4.0,1.0,D,-1
2,"Saturday, Apr 7",ATL,@,NYM,2.0,4.0,0-2,5.0,2.0,D,-2
3,"Sunday, Apr 8",ATL,@,NYM,5.0,7.0,0-3,5.0,3.0,D,-3
4,"Monday, Apr 9",ATL,@,HOU,3.0,8.0,0-4,5.0,4.0,N,-4
5,"Tuesday, Apr 10",ATL,@,HOU,6.0,4.0,1-4,5.0,3.0,N,1
6,"Wednesday, Apr 11",ATL,@,HOU,6.0,3.0,2-4,4.0,2.0,N,2
7,"Friday, Apr 13",ATL,Home,MIL,10.0,8.0,3-4,3.0,2.5,N,3
8,"Saturday, Apr 14",ATL,Home,MIL,2.0,1.0,4-4,3.0,2.5,N,4
9,"Sunday, Apr 15",ATL,Home,MIL,7.0,4.0,5-4,3.0,1.5,D,5
10,"Monday, Apr 16",ATL,Home,NYM,1.0,6.0,5-5,3.0,2.5,N,-1
11,"Tuesday, Apr 17",ATL,Home,NYM,9.0,3.0,6-5,3.0,2.5,N,1
12,"Wednesday, Apr 18",ATL,Home,NYM,14.0,6.0,7-5,2.0,2.5,D,2
13,"Thursday, Apr 19",ATL,@,ARI,10.0,2.0,8-5,2.0,1.5,N,3
14,"Friday, Apr 20",ATL,@,ARI,9.0,1.0,9-5,2.0,1.5,N,4
15,"Saturday, Apr 21",ATL,@,ARI,3.0,2.0,10-5,2.0,1.5,N,5
16,"Sunday, Apr 22",ATL,@,ARI,4.0,6.0,10-6,2.0,2.0,D,-1
17,"Monday, Apr 23",ATL,@,LAD,2.0,7.0,10-7,2.0,2.5,N,-2
18,"Tuesday, Apr 24",ATL,@,LAD,4.0,3.0,11-7,2.0,2.5,N,1
19,"Wednesday, Apr 25",ATL,@,LAD,4.0,2.0,12-7,2.0,2.5,N,2
20,"Friday, Apr 27",ATL,Home,PIT,6.0,1.0,13-7,2.0,1.0,N,3
21,"Saturday, Apr 28",ATL,Home,PIT,2.0,4.0,13-8,2.0,1.0,N,-1
22,"Sunday, Apr 29",ATL,Home,PIT,4.0,3.0,14-8,1.0,Tied,D,1
23,"Monday, Apr 30",ATL,Home,PIT,3.0,9.0,14-9,2.0,0.5,N,-1
24,"Tuesday, May 1",ATL,Home,PHI,2.0,4.0,14-10,2.0,0.5,N,-2
25,"Wednesday, May 2",ATL,Home,PHI,15.0,13.0,15-10,2.0,0.5,N,1
26,"Thursday, May 3",ATL,Home,PHI,0.0,4.0,15-11,2.0,1.5,D,-1
27,"Friday, May 4",ATL,@,COL,9.0,8.0,16-11,2.0,1.5,N,1
28,"Saturday, May 5",ATL,@,COL,13.0,9.0,17-11,2.0,1.5,N,2
29,"Sunday, May 6",ATL,@,COL,7.0,2.0,18-11,2.0,0.5,D,3
30,"Monday, May 7",ATL,@,CHC,1.0,5.0,18-12,2.0,1.0,N,-1
31,"Tuesday, May 8",ATL,@,CHC,3.0,1.0,19-12,1.0,Tied,N,1
32,"Wednesday, May 9",ATL,@,CHC,0.0,1.0,19-13,1.0,Tied,D,-1
33,"Friday, May 11",ATL,@,STL,9.0,7.0,20-13,2.0,0.5,N,1
34,"Saturday, May 12",ATL,@,STL,7.0,2.0,21-13,2.0,0.5,N,2
35,"Sunday, May 13",ATL,@,STL,7.0,4.0,22-13,1.0,up 0.5,D,3
36,"Monday, May 14",ATL,Home,CIN,1.0,3.0,22-14,2.0,0.5,N,-1
37,"Tuesday, May 15",ATL,Home,CIN,6.0,2.0,23-14,1.0,up 0.5,N,1
38,"Wednesday, May 16",ATL,Home,MIA,4.0,8.0,23-15,2.0,0.5,N,-1
39,"Thursday, May 17",ATL,Home,MIA,7.0,0.0,24-15,1.0,up 0.5,N,1
40,"Friday, May 18",ATL,@,TBR,5.0,3.0,25-15,1.0,up 1.5,N,2
41,"Saturday, May 19",ATL,@,TBR,2.0,5.0,25-16,1.0,up 1.5,D,-1
42,"Sunday, May 20",ATL,@,TBR,2.0,0.0,26-16,1.0,up 1.5,D,1
43,"Monday, May 21",ATL,@,CIN,1.0,4.0,26-17,1.0,up 0.5,N,-1
44,"Tuesday, May 22",ATL,@,CIN,3.0,4.0,26-18,2.0,0.5,N,-2
45,"Wednesday, May 23",ATL,@,CIN,1.0,2.0,26-19,2.0,0.5,N,-3
46,"Thursday, May 24",ATL,@,CIN,3.0,6.0,26-20,2.0,1.0,N,-4
47,"Friday, May 25",ATL,Home,WSN,4.0,7.0,26-21,2.0,2.0,N,-5
48,"Saturday, May 26",ATL,Home,WSN,4.0,8.0,26-22,4.0,3.0,D,-6
49,"Sunday, May 27",ATL,Home,WSN,2.0,7.0,26-23,4.0,4.0,N,-7
50,"Monday, May 28",ATL,Home,STL,2.0,8.0,26-24,4.0,4.0,D,-8
51,"Tuesday, May 29",ATL,Home,STL,5.0,4.0,27-24,4.0,3.0,N,1
52,"Wednesday, May 30",ATL,Home,STL,10.0,7.0,28-24,4.0,2.0,N,2
53,"Saturday, Jun 2",ATL,@,WSN,0.0,2.0,28-25,4.0,3.0,D,-1
54,"Sunday, Jun 3",ATL,@,WSN,3.0,2.0,29-25,4.0,2.0,D,1
55,"Tuesday, Jun 5",ATL,@,MIA,11.0,0.0,30-25,4.0,2.0,N,2
56,"Wednesday, Jun 6",ATL,@,MIA,2.0,1.0,31-25,2.0,2.0,N,3
57,"Thursday, Jun 7",ATL,@,MIA,8.0,2.0,32-25,2.0,1.0,N,4
