,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Friday, Apr 6",BAL,Home,MIN,4.0,2.0,1-0,1.0,Tied,D,1.0
2,"Saturday, Apr 7",BAL,Home,MIN,8.0,2.0,2-0,1.0,Tied,N,2.0
3,"Sunday, Apr 8",BAL,Home,MIN,3.0,1.0,3-0,1.0,Tied,D,3.0
4,"Monday, Apr 9",BAL,Home,NYY,2.0,6.0,3-1,2.0,0.5,N,-1.0
5,"Tuesday, Apr 10",BAL,Home,NYY,4.0,5.0,3-2,2.0,0.5,N,-2.0
6,"Wednesday, Apr 11",BAL,Home,NYY,4.0,6.0,3-3,3.0,1.5,N,-3.0
7,"Friday, Apr 13",BAL,@,TOR,7.0,5.0,4-3,1.0,Tied,N,1.0
8,"Saturday, Apr 14",BAL,@,TOR,6.0,4.0,5-3,1.0,up 1.0,D,2.0
9,"Sunday, Apr 15",BAL,@,TOR,2.0,9.0,5-4,1.0,Tied,D,-1.0
10,"Monday, Apr 16",BAL,@,CHW,10.0,4.0,6-4,1.0,up 0.5,N,1.0
11,"Tuesday, Apr 17",BAL,@,CHW,3.0,2.0,7-4,1.0,up 0.5,N,2.0
12,"Wednesday, Apr 18",BAL,@,CHW,1.0,8.0,7-5,1.0,up 0.5,N,-1.0
13,"Thursday, Apr 19",BAL,@,CHW,5.0,3.0,8-5,1.0,up 1.0,D,1.0
14,"Friday, Apr 20",BAL,@,LAA,3.0,6.0,8-6,1.0,Tied,N,-1.0
15,"Saturday, Apr 21",BAL,@,LAA,3.0,6.0,8-7,3.0,1.0,N,-2.0
16,"Sunday, Apr 22",BAL,@,LAA,3.0,2.0,9-7,3.0,0.5,D,1.0
17,"Tuesday, Apr 24",BAL,Home,TOR,2.0,1.0,10-7,1.0,Tied,N,2.0
18,"Wednesday, Apr 25",BAL,Home,TOR,3.0,0.0,11-7,1.0,Tied,N,3.0
19,"Thursday, Apr 26",BAL,Home,TOR,5.0,2.0,12-7,1.0,Tied,N,4.0
20,"Friday, Apr 27",BAL,Home,OAK,2.0,5.0,12-8,2.0,1.0,N,-1.0
21,"Saturday, Apr 28",BAL,Home,OAK,10.0,1.0,13-8,1.0,Tied,N,1.0
22,"Sunday, Apr 29",BAL,Home,OAK,5.0,2.0,14-8,1.0,Tied,D,2.0
23,"Monday, Apr 30",BAL,@,NYY,1.0,2.0,14-9,2.0,1.0,N,-1.0
24,"Tuesday, May 1",BAL,@,NYY,7.0,1.0,15-9,2.0,1.0,N,1.0
25,"Wednesday, May 2",BAL,@,NYY,5.0,0.0,16-9,2.0,1.0,N,2.0
26,"Friday, May 4",BAL,@,BOS,6.0,4.0,17-9,2.0,1.5,N,3.0
27,"Saturday, May 5",BAL,@,BOS,8.0,2.0,18-9,2.0,0.5,D,4.0
28,"Sunday, May 6",BAL,@,BOS,9.0,6.0,19-9,1.0,up 0.5,D,5.0
29,"Monday, May 7",BAL,Home,TEX,3.0,14.0,19-10,1.0,Tied,N,-1.0
30,"Tuesday, May 8",BAL,Home,TEX,3.0,10.0,19-11,1.0,Tied,N,-2.0
31,"Thursday, May 10 (1)",BAL,Home,TEX,6.0,5.0,20-11,1.0,Tied,D,1.0
32,"Thursday, May 10 (2)",BAL,Home,TEX,3.0,7.0,20-12,1.0,Tied,N,-1.0
33,"Friday, May 11",BAL,Home,TBR,4.0,3.0,21-12,1.0,up 1.0,N,1.0
34,"Saturday, May 12",BAL,Home,TBR,5.0,3.0,22-12,1.0,up 2.0,N,2.0
35,"Sunday, May 13",BAL,Home,TBR,8.0,9.0,22-13,1.0,up 1.0,D,-1.0
36,"Monday, May 14",BAL,Home,NYY,5.0,8.0,22-14,1.0,Tied,N,-2.0
37,"Tuesday, May 15",BAL,Home,NYY,5.0,2.0,23-14,1.0,Tied,N,1.0
38,"Wednesday, May 16",BAL,@,KCR,4.0,3.0,24-14,1.0,Tied,N,2.0
39,"Thursday, May 17",BAL,@,KCR,5.0,3.0,25-14,1.0,up 1.0,D,3.0
40,"Friday, May 18",BAL,@,WSN,2.0,1.0,26-14,1.0,up 2.0,N,4.0
41,"Saturday, May 19",BAL,@,WSN,6.0,5.0,27-14,1.0,up 2.0,N,5.0
42,"Sunday, May 20",BAL,@,WSN,3.0,9.0,27-15,1.0,up 2.0,D,-1.0
43,"Monday, May 21",BAL,Home,BOS,6.0,8.0,27-16,1.0,up 2.0,N,-2.0
44,"Tuesday, May 22",BAL,Home,BOS,4.0,1.0,28-16,1.0,up 2.0,N,1.0
45,"Wednesday, May 23",BAL,Home,BOS,5.0,6.0,28-17,1.0,up 1.0,D,-1.0
46,"Friday, May 25",BAL,Home,KCR,8.0,2.0,29-17,1.0,up 1.0,N,1.0
47,"Saturday, May 26",BAL,Home,KCR,3.0,4.0,29-18,1.0,up 1.0,D,-1.0
48,"Sunday, May 27",BAL,Home,KCR,2.0,4.0,29-19,1.0,Tied,D,-2.0
49,"Monday, May 28",BAL,@,TOR,2.0,6.0,29-20,1.0,Tied,N,-3.0
50,"Tuesday, May 29",BAL,@,TOR,6.0,8.0,29-21,1.0,Tied,N,-4.0
51,"Wednesday, May 30",BAL,@,TOR,1.0,4.0,29-22,1.0,Tied,N,-5.0
52,"Friday, Jun 1",BAL,@,TBR,0.0,5.0,29-23,2.0,1.0,N,-6.0
