,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,3,1,9,2.0,0,1.0,0,0,0,0,0,0
2,20120407,3,1,9,0.0,0.0,5.0,1.0,0,-1,0,1,0
3,20120408,3,1,9,12.0,0.0,4.0,2.0,0,-2,0,2,0
4,20120409,3,1,28,4.0,0.0,4.0,3.0,1,-3,0,3,0
5,20120410,3,1,28,3.0,0.3333333333333333,4.0,2.5,1,1,1,3,0
6,20120411,3,1,28,1.0,0.25,5.0,2.5,0,-1,1,4,0
7,20120413,3,0,26,12.0,0.2,5.0,3.5,0,-2,1,5,0
8,20120414,3,0,26,13.0,0.4,5.0,2.0,0,1,2,5,0
9,20120415,3,0,26,6.0,0.6,5.0,2.0,0,2,3,5,0
10,20120416,3,0,26,0.0,0.8,4.0,1.0,0,3,4,5,0
11,20120417,3,0,27,3.0,0.6666666666666666,5.0,2.0,1,-1,4,6,0
12,20120418,3,0,27,3.0,0.5714285714285714,5.0,3.0,1,-2,4,7,0
13,20120420,3,0,18,2.0,0.5,5.0,3.0,0,-3,4,8,0
14,20120421,3,0,18,9.0,0.4444444444444444,5.0,3.5,0,-4,4,9,0
15,20120423,3,1,16,6.0,0.4,5.0,4.5,1,-5,4,10,0
16,20120424,3,1,16,11.0,0.5,5.0,4.5,1,1,5,10,0
17,20120425,3,1,16,7.0,0.6,5.0,3.5,1,2,6,10,0
18,20120426,3,1,5,10.0,0.7,5.0,3.5,1,3,7,10,0
19,20120427,3,1,5,10.0,0.8,5.0,3.5,1,4,8,10,0
20,20120428,3,1,5,1.0,0.9,5.0,3.5,1,5,9,10,0
21,20120429,3,1,5,1.0,1.0,5.0,2.5,0,6,10,10,0
22,20120430,3,0,19,11.0,0.9090909090909091,5.0,3.5,1,-1,10,11,0
23,20120501,3,0,19,3.0,1.0,5.0,3.5,1,1,11,11,0
24,20120502,3,0,19,2.0,0.9166666666666666,5.0,4.5,1,-1,11,12,0
25,20120504,3,0,2,4.0,0.8461538461538461,5.0,5.5,1,-2,11,13,0
26,20120505,3,0,2,2.0,0.7857142857142857,5.0,7.0,0,-3,11,14,0
27,20120506,3,0,2,6.0,0.7333333333333333,5.0,7.0,0,-4,11,15,0
28,20120507,3,1,11,11.0,0.6875,5.0,7.5,1,-5,11,16,0
29,20120508,3,1,11,4.0,0.75,5.0,6.5,1,1,12,16,0
30,20120509,3,1,11,3.0,0.7058823529411765,5.0,6.5,1,-1,12,17,0
31,20120510,3,0,7,3.0,0.6666666666666666,5.0,7.5,1,-2,12,18,0
32,20120511,3,0,7,7.0,0.631578947368421,5.0,7.5,1,-3,12,19,0
33,20120512,3,0,7,4.0,0.6842105263157895,5.0,7.5,1,1,13,19,0
34,20120513,3,0,7,12.0,0.7368421052631579,5.0,7.5,0,2,14,19,0
35,20120514,3,0,23,6.0,0.7894736842105263,5.0,6.5,1,3,15,19,0
36,20120515,3,0,23,5.0,0.8421052631578947,5.0,5.5,0,4,16,19,0
37,20120516,3,1,26,1.0,0.8947368421052632,5.0,5.5,1,5,17,19,0
38,20120517,3,1,26,5.0,0.85,5.0,6.5,1,-1,17,20,0
39,20120518,3,1,20,4.0,0.9,5.0,6.5,1,1,18,20,0
40,20120519,3,1,20,7.0,0.8571428571428571,5.0,7.5,1,-1,18,21,0
41,20120520,3,1,20,5.0,0.9047619047619048,5.0,7.5,0,1,19,21,0
42,20120521,3,1,2,8.0,0.9523809523809523,5.0,6.5,1,2,20,21,0
43,20120522,3,1,2,1.0,1.0,4.0,5.5,1,3,21,21,0
44,20120523,3,1,2,6.0,0.9545454545454546,5.0,6.5,0,-1,21,22,0
45,20120525,3,0,26,4.0,1.0,5.0,5.5,1,1,22,22,0
46,20120526,3,0,26,3.0,0.9565217391304348,5.0,6.5,1,-1,22,23,0
47,20120527,3,0,26,3.0,1.0,5.0,5.5,0,1,23,23,0
48,20120528,3,0,9,7.0,0.9583333333333334,5.0,5.5,0,-1,23,24,0
49,20120529,3,0,9,6.0,1.0,5.0,4.5,1,1,24,24,0
50,20120530,3,0,9,6.0,1.0416666666666667,5.0,3.5,1,2,25,24,0
51,20120531,3,0,9,3.0,1.0833333333333333,5.0,2.5,1,3,26,24,0
52,20120601,3,1,28,7.0,1.04,5.0,3.0,1,-1,26,25,0
53,20120602,3,1,28,7.0,1.08,4.0,3.0,0,1,27,25,0
54,20120603,3,1,28,1.0,1.12,4.0,2.0,0,2,28,25,0
55,20120605,3,0,2,6.0,1.0769230769230769,4.0,3.0,1,-1,28,26,0
56,20120606,3,0,2,1.0,1.037037037037037,5.0,3.0,1,-2,28,27,0
57,20120607,3,0,2,7.0,1.0,5.0,4.0,1,-3,28,28,0
58,20120608,3,0,29,4.0,1.0357142857142858,5.0,3.0,1,1,29,28,0
59,20120609,3,0,29,2.0,1.0,5.0,4.0,0,-1,29,29,0
60,20120610,3,0,29,3.0,0.9666666666666667,5.0,5.0,0,-2,29,30,0
61,20120611,3,1,14,1.0,0.9354838709677419,5.0,6.0,1,-3,29,31,0
62,20120612,3,1,14,2.0,0.90625,5.0,6.5,1,-4,29,32,0
63,20120613,3,1,14,10.0,0.9375,5.0,6.5,1,1,30,32,0
64,20120615,3,1,4,0.0,0.96875,4.0,6.5,0,2,31,32,0
65,20120616,3,1,4,4.0,0.9393939393939394,5.0,7.5,1,-1,31,33,0
66,20120617,3,1,4,7.0,0.9696969696969697,5.0,7.5,1,1,32,33,0
67,20120619,3,0,14,7.0,1.0,5.0,7.5,1,2,33,33,0
68,20120620,3,0,14,15.0,1.0303030303030303,5.0,7.0,1,3,34,33,0
69,20120621,3,0,14,6.0,1.0606060606060606,4.0,6.0,1,4,35,33,0
70,20120622,3,0,1,1.0,1.0909090909090908,4.0,5.5,1,5,36,33,0
71,20120623,3,0,1,8.0,1.0588235294117647,4.0,5.5,1,-1,36,34,0
72,20120624,3,0,1,9.0,1.088235294117647,4.0,5.5,0,1,37,34,0
73,20120625,3,0,28,6.0,1.1176470588235294,4.0,5.5,1,2,38,34,0
74,20120626,3,0,28,5.0,1.0857142857142856,4.0,6.5,1,-1,38,35,0
75,20120627,3,0,28,10.0,1.1142857142857143,4.0,6.5,0,1,39,35,0
76,20120628,3,1,23,0.0,1.1428571428571428,3.0,6.5,1,2,40,35,0
77,20120629,3,1,23,5.0,1.1111111111111112,3.0,6.5,1,-1,40,36,0
78,20120630,3,1,23,2.0,1.1388888888888888,3.0,5.5,1,1,41,36,0
79,20120701,3,1,23,2.0,1.1081081081081081,3.0,6.5,0,-1,41,37,0
80,20120702,3,1,19,1.0,1.135135135135135,3.0,6.5,1,1,42,37,0
81,20120703,3,1,19,2.0,1.105263157894737,3.0,6.5,1,-1,42,38,0
82,20120704,3,1,19,2.0,1.0769230769230769,4.0,6.5,0,-2,42,39,0
83,20120706,3,0,18,8.0,1.05,4.0,7.5,1,-3,42,40,0
84,20120707,3,0,18,1.0,1.024390243902439,4.0,8.5,0,-4,42,41,1
85,20120707,3,0,18,9.0,1.0,4.0,8.5,1,-5,42,42,1
86,20120708,3,0,18,3.0,1.0238095238095237,4.0,8.5,1,1,43,42,0
87,20120713,3,1,26,3.0,1.0,4.0,9.5,1,-1,43,43,0
88,20120714,3,1,26,3.0,1.0232558139534884,4.0,9.5,1,1,44,43,0
89,20120715,3,1,26,7.0,1.0,4.0,10.5,0,-1,44,44,0
90,20120716,3,0,5,5.0,1.0227272727272727,4.0,9.5,1,1,45,44,0
91,20120717,3,0,5,5.0,1.0454545454545454,3.0,9.5,1,2,46,44,0
92,20120718,3,0,5,10.0,1.0222222222222221,4.0,10.5,1,-1,46,45,0
93,20120719,3,0,5,3.0,1.0444444444444445,3.0,10.5,1,1,47,45,0
94,20120720,3,0,28,1.0,1.0666666666666667,3.0,9.5,1,2,48,45,0
95,20120721,3,0,28,3.0,1.0434782608695652,4.0,9.5,1,-1,48,46,0
96,20120722,3,0,28,7.0,1.0212765957446808,4.0,9.5,0,-2,48,47,0
97,20120723,3,1,27,1.0,1.0,5.0,9.5,1,-3,48,48,0
98,20120724,3,1,27,2.0,0.9795918367346939,5.0,10.5,1,-4,48,49,0
99,20120725,3,1,27,3.0,1.0,4.0,9.5,1,1,49,49,0
100,20120727,3,1,18,3.0,0.98,4.0,10.5,1,-1,49,50,0
101,20120728,3,1,18,8.0,0.9607843137254902,5.0,11.5,1,-2,49,51,0
102,20120729,3,1,18,3.0,0.9803921568627451,5.0,10.5,1,1,50,51,0
103,20120730,3,0,9,7.0,1.0,5.0,9.5,1,2,51,51,0
104,20120731,3,0,9,4.0,1.0196078431372548,4.0,8.5,1,3,52,51,0
105,20120801,3,0,9,5.0,1.0392156862745099,4.0,7.5,1,4,53,51,0
106,20120802,3,0,16,0.0,1.0192307692307692,4.0,8.5,1,-1,53,52,0
107,20120803,3,0,16,5.0,1.0,4.0,9.0,1,-2,53,53,0
108,20120804,3,0,16,4.0,0.9814814814814815,4.0,10.0,1,-3,53,54,0
109,20120805,3,0,16,6.0,0.9636363636363636,4.0,10.0,0,-4,53,55,0
110,20120806,3,0,27,9.0,0.9818181818181818,4.0,10.0,1,1,54,55,0
111,20120807,3,0,27,3.0,1.0,4.0,9.0,1,2,55,55,0
112,20120808,3,0,27,9.0,0.9821428571428571,4.0,9.0,0,-1,55,56,0
113,20120809,3,1,7,3.0,0.9649122807017544,4.0,10.0,1,-2,55,57,0
114,20120810,3,1,7,3.0,0.9482758620689655,4.0,11.0,1,-3,55,58,0
115,20120811,3,1,7,2.0,0.9655172413793104,4.0,11.0,1,1,56,58,0
116,20120812,3,1,7,14.0,0.9491525423728814,4.0,12.0,0,-1,56,59,0
117,20120814,3,1,2,1.0,0.9661016949152542,4.0,11.0,1,1,57,59,0
118,20120815,3,1,2,3.0,0.95,4.0,12.5,1,-1,57,60,0
119,20120816,3,1,2,6.0,0.9344262295081968,4.0,13.5,1,-2,57,61,0
120,20120817,3,1,18,4.0,0.9508196721311475,4.0,12.5,1,1,58,61,0
