,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,4,0,29,1.0,2.0,0,1.0,0,0,0,0,0,0
2,20120407,4,0,29,4.0,7.0,0.0,5.0,1.0,0,-1,0,1,0
3,20120408,4,0,29,4.0,3.0,0.0,6.0,1.5,0,-2,0,2,0
4,20120409,4,0,15,5.0,7.0,0.5,5.0,1.5,1,1,1,2,0
5,20120410,4,0,15,4.0,7.0,0.3333333333333333,6.0,2.5,1,-1,1,3,0
6,20120411,4,0,15,1.0,2.0,0.25,6.0,3.5,0,-2,1,4,0
7,20120412,4,0,15,8.0,0.0,0.2,6.0,3.5,0,-3,1,5,0
8,20120413,4,1,25,9.0,5.0,0.4,6.0,3.0,0,1,2,5,0
9,20120414,4,1,25,1.0,5.0,0.6,4.0,2.0,0,2,3,5,0
10,20120415,4,1,25,3.0,10.0,0.5,4.0,3.0,0,-1,3,6,0
11,20120417,4,1,14,2.0,5.0,0.42857142857142855,6.0,4.0,1,-2,3,7,0
12,20120418,4,1,14,1.0,9.0,0.375,6.0,5.0,1,-3,3,8,0
13,20120419,4,1,14,3.0,5.0,0.3333333333333333,6.0,6.0,0,-4,3,9,0
14,20120420,4,0,6,4.0,9.0,0.3,6.0,6.0,0,-5,3,10,0
15,20120421,4,0,6,6.0,1.0,0.2727272727272727,6.0,7.0,0,-6,3,11,0
16,20120422,4,0,6,3.0,4.0,0.36363636363636365,6.0,6.0,0,1,4,11,0
17,20120423,4,0,25,3.0,2.0,0.3333333333333333,6.0,7.0,1,-1,4,12,0
18,20120424,4,0,25,3.0,2.0,0.4166666666666667,6.0,6.0,1,1,5,12,0
19,20120425,4,0,25,1.0,5.0,0.5,5.0,5.0,0,2,6,12,0
20,20120427,4,1,20,5.0,1.0,0.46153846153846156,6.0,6.0,1,-1,6,13,0
21,20120428,4,1,20,2.0,5.0,0.5384615384615384,6.0,6.0,1,1,7,13,0
22,20120429,4,1,20,5.0,1.0,0.5,6.0,7.0,0,-1,7,14,0
23,20120430,4,1,20,4.0,6.0,0.5714285714285714,5.0,6.0,1,1,8,14,0
24,20120502,4,1,6,3.0,1.0,0.5333333333333333,6.0,6.5,1,-1,8,15,0
25,20120503,4,1,6,3.0,4.0,0.6,6.0,7.0,0,1,9,15,0
26,20120504,4,0,13,5.0,4.0,0.5625,6.0,7.0,0,-1,9,16,0
27,20120505,4,0,13,1.0,5.0,0.625,6.0,6.0,0,1,10,16,0
28,20120506,4,0,13,4.0,3.0,0.5882352941176471,6.0,6.0,0,-1,10,17,0
29,20120507,4,0,1,5.0,1.0,0.6470588235294118,6.0,6.0,1,1,11,17,0
30,20120508,4,0,1,1.0,3.0,0.7058823529411765,5.0,6.0,1,2,12,17,0
31,20120509,4,0,1,1.0,0.0,0.6666666666666666,6.0,7.0,0,-1,12,18,0
32,20120511,4,1,15,7.0,8.0,0.7222222222222222,5.0,7.0,1,1,13,18,0
33,20120512,4,1,15,2.0,8.0,0.6842105263157895,6.0,7.0,0,-1,13,19,0
34,20120513,4,1,15,8.0,2.0,0.65,6.0,7.0,0,-2,13,20,0
35,20120514,4,1,25,6.0,4.0,0.7,6.0,6.0,1,1,14,20,0
36,20120515,4,1,25,6.0,7.0,0.75,4.0,5.0,0,2,15,20,0
37,20120516,4,0,20,2.0,9.0,0.7142857142857143,5.0,6.0,1,-1,15,21,0
38,20120517,4,0,20,7.0,8.0,0.6818181818181818,6.0,7.0,1,-2,15,22,0
39,20120518,4,0,5,2.0,3.0,0.6521739130434783,6.0,7.0,0,-3,15,23,0
40,20120519,4,0,5,4.0,7.0,0.625,6.0,7.0,1,-4,15,24,0
41,20120520,4,0,5,0.0,6.0,0.6,6.0,7.0,0,-5,15,25,0
42,20120521,4,1,10,4.0,8.0,0.5769230769230769,6.0,7.0,1,-6,15,26,0
43,20120522,4,1,10,1.0,2.0,0.5555555555555556,6.0,8.0,1,-7,15,27,0
44,20120523,4,1,10,1.0,5.0,0.5357142857142857,6.0,9.0,1,-8,15,28,0
45,20120525,4,1,21,0.0,1.0,0.5172413793103449,6.0,10.0,1,-9,15,29,0
46,20120526,4,1,21,2.0,3.0,0.5,6.0,10.0,1,-10,15,30,0
47,20120527,4,1,21,4.0,10.0,0.4838709677419355,6.0,11.0,0,-11,15,31,0
48,20120528,4,0,22,11.0,7.0,0.46875,6.0,12.0,0,-12,15,32,0
49,20120529,4,0,22,5.0,3.0,0.5,6.0,11.0,0,1,16,32,0
50,20120530,4,0,22,8.0,6.0,0.53125,6.0,11.0,0,2,17,32,0
51,20120601,4,1,24,3.0,4.0,0.5625,6.0,10.0,1,3,18,32,0
52,20120602,4,1,24,1.0,2.0,0.5454545454545454,6.0,11.0,0,-1,18,33,0
53,20120603,4,1,24,0.0,2.0,0.5294117647058824,6.0,12.0,0,-2,18,34,0
54,20120604,4,1,24,2.0,3.0,0.5142857142857142,6.0,12.0,0,-3,18,35,0
55,20120605,4,1,15,10.0,0.0,0.5,6.0,12.5,1,-4,18,36,0
56,20120606,4,1,15,0.0,8.0,0.5277777777777778,6.0,11.5,1,1,19,36,0
57,20120607,4,1,15,3.0,4.0,0.5135135135135135,6.0,12.5,0,-1,19,37,0
58,20120608,4,1,16,7.0,8.0,0.5,6.0,12.5,1,-2,19,38,0
59,20120609,4,1,16,3.0,11.0,0.48717948717948717,6.0,13.5,0,-3,19,39,0
60,20120610,4,1,16,8.0,2.0,0.475,6.0,13.5,0,-4,19,40,0
61,20120612,4,0,9,4.0,3.0,0.5,6.0,12.5,1,1,20,40,0
62,20120613,4,0,9,4.0,8.0,0.525,6.0,12.5,1,2,21,40,0
63,20120614,4,0,9,3.0,5.0,0.5121951219512195,6.0,13.5,0,-1,21,41,0
64,20120615,4,0,3,3.0,0.0,0.5,6.0,14.5,0,-2,21,42,0
65,20120616,4,0,3,3.0,4.0,0.5238095238095238,6.0,14.5,1,1,22,42,0
