,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Friday, Apr 6",CHW,@,TEX,2.0,3.0,0-1,2.0,1.0,D,-1
2,"Saturday, Apr 7",CHW,@,TEX,4.0,3.0,1-1,2.0,1.0,N,1
3,"Sunday, Apr 8",CHW,@,TEX,0.0,5.0,1-2,3.0,2.0,N,-1
4,"Monday, Apr 9",CHW,@,CLE,4.0,2.0,2-2,2.0,1.5,N,1
5,"Wednesday, Apr 11",CHW,@,CLE,10.0,6.0,3-2,2.0,1.0,D,2
6,"Friday, Apr 13",CHW,Home,DET,5.0,2.0,4-2,2.0,0.5,D,3
7,"Saturday, Apr 14",CHW,Home,DET,5.0,1.0,5-2,1.0,up 0.5,D,4
8,"Sunday, Apr 15",CHW,Home,DET,2.0,5.0,5-3,2.0,0.5,D,-1
9,"Monday, Apr 16",CHW,Home,BAL,4.0,10.0,5-4,2.0,1.5,N,-2
10,"Tuesday, Apr 17",CHW,Home,BAL,2.0,3.0,5-5,3.0,2.5,N,-3
11,"Wednesday, Apr 18",CHW,Home,BAL,8.0,1.0,6-5,2.0,2.5,N,1
12,"Thursday, Apr 19",CHW,Home,BAL,3.0,5.0,6-6,3.0,2.5,D,-1
13,"Friday, Apr 20",CHW,@,SEA,7.0,3.0,7-6,3.0,2.0,N,1
14,"Saturday, Apr 21",CHW,@,SEA,4.0,0.0,8-6,3.0,1.5,D,2
15,"Sunday, Apr 22",CHW,@,SEA,7.0,4.0,9-6,2.0,0.5,D,3
16,"Monday, Apr 23",CHW,@,OAK,4.0,0.0,10-6,1.0,Tied,N,4
17,"Tuesday, Apr 24",CHW,@,OAK,0.0,2.0,10-7,1.0,Tied,N,-1
18,"Wednesday, Apr 25",CHW,@,OAK,4.0,5.0,10-8,1.0,Tied,D,-2
19,"Thursday, Apr 26",CHW,Home,BOS,3.0,10.0,10-9,1.0,Tied,N,-3
20,"Friday, Apr 27",CHW,Home,BOS,3.0,10.0,10-10,2.0,1.0,N,-4
21,"Saturday, Apr 28",CHW,Home,BOS,0.0,1.0,10-11,3.0,1.0,N,-5
22,"Sunday, Apr 29",CHW,Home,BOS,4.0,1.0,11-11,2.0,1.0,D,1
23,"Tuesday, May 1",CHW,Home,CLE,7.0,2.0,12-11,1.0,Tied,N,2
24,"Wednesday, May 2",CHW,Home,CLE,3.0,6.0,12-12,2.0,1.0,N,-1
25,"Thursday, May 3",CHW,Home,CLE,5.0,7.0,12-13,3.0,2.0,N,-2
26,"Friday, May 4",CHW,@,DET,4.0,5.0,12-14,3.0,3.0,N,-3
27,"Saturday, May 5",CHW,@,DET,3.0,2.0,13-14,3.0,2.0,D,1
28,"Sunday, May 6",CHW,@,DET,1.0,3.0,13-15,3.0,3.0,D,-1
29,"Monday, May 7 (1)",CHW,@,CLE,6.0,8.0,13-16,3.0,5.0,D,-2
30,"Monday, May 7 (2)",CHW,@,CLE,2.0,3.0,13-17,3.0,5.0,N,-3
31,"Tuesday, May 8",CHW,@,CLE,5.0,3.0,14-17,3.0,4.0,N,1
32,"Wednesday, May 9",CHW,@,CLE,8.0,1.0,15-17,3.0,3.0,N,2
33,"Friday, May 11",CHW,Home,KCR,5.0,0.0,16-17,3.0,2.5,N,3
34,"Saturday, May 12",CHW,Home,KCR,0.0,5.0,16-18,3.0,2.5,N,-1
35,"Sunday, May 13",CHW,Home,KCR,1.0,9.0,16-19,3.0,2.5,D,-2
36,"Monday, May 14",CHW,Home,DET,7.0,5.0,17-19,3.0,2.5,N,1
37,"Tuesday, May 15",CHW,Home,DET,8.0,10.0,17-20,3.0,3.5,D,-1
38,"Wednesday, May 16",CHW,@,LAA,2.0,7.0,17-21,3.0,4.5,N,-2
39,"Thursday, May 17",CHW,@,LAA,6.0,1.0,18-21,3.0,4.5,D,1
40,"Friday, May 18",CHW,@,CHC,3.0,2.0,19-21,3.0,3.5,D,2
41,"Saturday, May 19",CHW,@,CHC,7.0,4.0,20-21,2.0,3.5,N,3
42,"Sunday, May 20",CHW,@,CHC,6.0,0.0,21-21,2.0,2.5,D,4
43,"Tuesday, May 22",CHW,Home,MIN,2.0,9.0,21-22,2.0,3.5,N,-1
44,"Wednesday, May 23",CHW,Home,MIN,6.0,0.0,22-22,2.0,3.5,N,1
45,"Thursday, May 24",CHW,Home,MIN,11.0,8.0,23-22,2.0,3.5,N,2
46,"Friday, May 25",CHW,Home,CLE,9.0,3.0,24-22,2.0,2.5,N,3
47,"Saturday, May 26",CHW,Home,CLE,14.0,7.0,25-22,2.0,1.5,D,4
48,"Sunday, May 27",CHW,Home,CLE,12.0,6.0,26-22,2.0,0.5,D,5
49,"Monday, May 28",CHW,@,TBR,2.0,1.0,27-22,2.0,0.5,D,6
50,"Tuesday, May 29",CHW,@,TBR,7.0,2.0,28-22,1.0,up 0.5,N,7
51,"Wednesday, May 30",CHW,@,TBR,4.0,3.0,29-22,1.0,up 1.5,D,8
52,"Friday, Jun 1",CHW,Home,SEA,7.0,4.0,30-22,1.0,up 1.5,N,9
53,"Saturday, Jun 2",CHW,Home,SEA,8.0,10.0,30-23,1.0,up 1.5,D,-1
54,"Sunday, Jun 3",CHW,Home,SEA,4.0,2.0,31-23,1.0,up 2.5,D,1
55,"Tuesday, Jun 5",CHW,Home,TOR,5.0,9.0,31-24,1.0,up 1.5,N,-1
56,"Wednesday, Jun 6",CHW,Home,TOR,0.0,4.0,31-25,1.0,up 0.5,N,-2
57,"Thursday, Jun 7",CHW,Home,TOR,4.0,3.0,32-25,1.0,up 1.5,N,1
58,"Friday, Jun 8",CHW,Home,HOU,3.0,8.0,32-26,1.0,up 0.5,N,-1
59,"Saturday, Jun 9",CHW,Home,HOU,10.0,1.0,33-26,1.0,up 1.5,D,1
60,"Sunday, Jun 10",CHW,Home,HOU,9.0,11.0,33-27,1.0,up 0.5,D,-1
61,"Tuesday, Jun 12",CHW,@,STL,6.0,1.0,34-27,1.0,up 1.5,N,1
62,"Wednesday, Jun 13",CHW,@,STL,0.0,1.0,34-28,1.0,up 1.5,N,-1
63,"Thursday, Jun 14",CHW,@,STL,3.0,5.0,34-29,1.0,up 1.5,N,-2
64,"Friday, Jun 15",CHW,@,LAD,6.0,7.0,34-30,1.0,up 0.5,N,-3
65,"Saturday, Jun 16",CHW,@,LAD,5.0,4.0,35-30,1.0,up 1.5,N,1
66,"Sunday, Jun 17",CHW,@,LAD,1.0,2.0,35-31,1.0,up 1.5,D,-1
67,"Monday, Jun 18",CHW,Home,CHC,3.0,12.0,35-32,1.0,up 0.5,N,-2
68,"Tuesday, Jun 19",CHW,Home,CHC,1.0,2.0,35-33,2.0,0.5,N,-3
69,"Wednesday, Jun 20",CHW,Home,CHC,7.0,0.0,36-33,2.0,0.5,N,1
70,"Friday, Jun 22",CHW,Home,MIL,0.0,1.0,36-34,2.0,1.5,N,-1
71,"Saturday, Jun 23",CHW,Home,MIL,8.0,6.0,37-34,2.0,0.5,N,1
72,"Sunday, Jun 24",CHW,Home,MIL,1.0,0.0,38-34,1.0,up 0.5,D,2
73,"Monday, Jun 25",CHW,@,MIN,1.0,4.0,38-35,1.0,up 0.5,N,-1
74,"Tuesday, Jun 26",CHW,@,MIN,3.0,2.0,39-35,1.0,up 1.5,N,1
