,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Thursday, Apr 5",CIN,Home,MIA,4.0,0.0,1-0,1.0,Tied,D,1
2,"Saturday, Apr 7",CIN,Home,MIA,3.0,8.0,1-1,2.0,0.5,N,-1
3,"Sunday, Apr 8",CIN,Home,MIA,6.0,5.0,2-1,2.0,0.5,D,1
4,"Monday, Apr 9",CIN,Home,STL,1.0,7.0,2-2,4.0,1.5,N,-1
5,"Tuesday, Apr 10",CIN,Home,STL,1.0,3.0,2-3,5.0,2.5,N,-2
6,"Wednesday, Apr 11",CIN,Home,STL,4.0,3.0,3-3,3.0,1.5,D,1
7,"Thursday, Apr 12",CIN,@,WSN,2.0,3.0,3-4,4.0,2.0,D,-1
8,"Friday, Apr 13",CIN,@,WSN,1.0,2.0,3-5,4.0,2.0,N,-2
9,"Saturday, Apr 14",CIN,@,WSN,1.0,4.0,3-6,4.0,3.0,D,-3
10,"Sunday, Apr 15",CIN,@,WSN,8.0,5.0,4-6,3.0,3.0,D,1
11,"Tuesday, Apr 17",CIN,@,STL,1.0,2.0,4-7,3.0,4.0,N,-1
12,"Wednesday, Apr 18",CIN,@,STL,1.0,11.0,4-8,4.0,5.0,N,-2
13,"Thursday, Apr 19",CIN,@,STL,6.0,3.0,5-8,4.0,4.0,D,1
14,"Friday, Apr 20",CIN,@,CHC,9.0,4.0,6-8,2.0,4.0,D,2
15,"Saturday, Apr 21",CIN,@,CHC,1.0,6.0,6-9,4.0,4.0,D,-1
16,"Sunday, Apr 22",CIN,@,CHC,4.0,3.0,7-9,2.0,4.0,D,1
17,"Tuesday, Apr 24",CIN,Home,SFG,9.0,2.0,8-9,3.0,2.5,N,2
18,"Wednesday, Apr 25",CIN,Home,SFG,4.0,2.0,9-9,2.0,2.5,N,3
19,"Thursday, Apr 26",CIN,Home,SFG,5.0,6.0,9-10,2.0,3.0,D,-1
20,"Friday, Apr 27",CIN,Home,HOU,4.0,6.0,9-11,2.0,4.0,N,-2
21,"Saturday, Apr 28",CIN,Home,HOU,6.0,0.0,10-11,2.0,4.0,D,1
22,"Sunday, Apr 29",CIN,Home,HOU,6.0,5.0,11-11,2.0,3.0,D,2
23,"Wednesday, May 2",CIN,Home,CHC,1.0,3.0,11-12,2.0,4.5,N,-1
24,"Thursday, May 3",CIN,Home,CHC,4.0,3.0,12-12,2.0,3.5,D,1
25,"Friday, May 4",CIN,@,PIT,6.0,1.0,13-12,2.0,2.5,N,2
26,"Saturday, May 5",CIN,@,PIT,2.0,3.0,13-13,2.0,2.5,N,-1
27,"Sunday, May 6",CIN,@,PIT,5.0,0.0,14-13,2.0,2.5,D,1
28,"Monday, May 7",CIN,@,MIL,6.0,1.0,15-13,2.0,2.5,N,2
29,"Tuesday, May 8",CIN,@,MIL,3.0,8.0,15-14,2.0,3.5,N,-1
30,"Wednesday, May 9",CIN,@,MIL,2.0,1.0,16-14,2.0,3.5,D,1
31,"Friday, May 11",CIN,Home,WSN,3.0,7.0,16-15,2.0,3.5,N,-1
32,"Saturday, May 12",CIN,Home,WSN,1.0,2.0,16-16,2.0,3.5,N,-2
33,"Sunday, May 13",CIN,Home,WSN,9.0,6.0,17-16,2.0,2.5,D,1
34,"Monday, May 14",CIN,@,ATL,3.0,1.0,18-16,2.0,1.5,N,2
35,"Tuesday, May 15",CIN,@,ATL,2.0,6.0,18-17,2.0,2.5,N,-1
36,"Wednesday, May 16",CIN,@,NYM,6.0,3.0,19-17,2.0,2.5,N,1
37,"Thursday, May 17",CIN,@,NYM,4.0,9.0,19-18,2.0,2.5,D,-1
38,"Friday, May 18",CIN,@,NYY,0.0,4.0,19-19,2.0,2.5,N,-2
39,"Saturday, May 19",CIN,@,NYY,6.0,5.0,20-19,2.0,1.5,D,1
40,"Sunday, May 20",CIN,@,NYY,5.0,2.0,21-19,2.0,0.5,D,2
41,"Monday, May 21",CIN,Home,ATL,4.0,1.0,22-19,2.0,0.5,N,3
