,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,7,0,28,4.0,7.0,0,1.0,0,0,0,0,0,0
2,20120407,7,0,28,4.0,7.0,0.0,5.0,1.0,0,-1,0,1,0
3,20120408,7,0,28,4.0,3.0,0.0,4.0,2.0,0,-2,0,2,0
4,20120409,7,0,5,2.0,4.0,0.5,3.0,2.0,1,1,1,2,0
5,20120411,7,0,5,6.0,10.0,0.3333333333333333,4.0,2.5,0,-1,1,3,0
6,20120413,7,1,11,8.0,3.0,0.25,4.0,3.0,0,-2,1,4,0
7,20120414,7,1,11,11.0,9.0,0.5,4.0,2.5,1,1,2,4,0
8,20120415,7,1,11,13.0,7.0,0.75,3.0,2.0,0,2,3,4,0
9,20120417,7,1,23,9.0,8.0,1.0,3.0,1.5,1,3,4,4,0
10,20120418,7,1,23,1.0,4.0,1.25,2.0,2.0,1,4,5,4,0
11,20120419,7,1,23,2.0,1.0,1.0,3.0,3.0,1,-1,5,5,0
12,20120420,7,1,19,4.0,3.0,1.2,2.0,2.0,1,1,6,5,0
13,20120421,7,1,19,5.0,1.0,1.4,2.0,1.5,1,2,7,5,0
14,20120422,7,1,19,1.0,5.0,1.6,2.0,1.0,0,3,8,5,0
15,20120424,7,0,11,4.0,3.0,1.3333333333333333,3.0,1.0,1,-1,8,6,0
16,20120425,7,0,11,2.0,8.0,1.5,1.0,0,1,1,9,6,0
17,20120426,7,0,11,2.0,4.0,1.2857142857142858,1.0,0,0,-1,9,7,0
18,20120427,7,0,12,3.0,2.0,1.125,1.0,0,1,-2,9,8,0
19,20120428,7,0,12,1.0,2.0,1.25,1.0,-1.0,0,1,10,8,0
20,20120429,7,0,12,4.0,0.0,1.1111111111111112,1.0,0,0,-1,10,9,0
21,20120501,7,1,5,2.0,7.0,1.2222222222222223,1.0,-1.0,1,1,11,9,0
22,20120502,7,1,5,6.0,3.0,1.1,1.0,0,1,-1,11,10,0
23,20120503,7,1,5,7.0,5.0,1.2,1.0,-1.0,1,1,12,10,0
24,20120504,7,0,27,6.0,3.0,1.3,1.0,-1.5,1,2,13,10,0
25,20120505,7,0,27,2.0,5.0,1.4,1.0,-1.5,1,3,14,10,0
26,20120506,7,0,27,4.0,2.0,1.2727272727272727,1.0,-1.5,0,-1,14,11,0
27,20120507,7,0,5,8.0,6.0,1.3636363636363635,1.0,-1.5,0,1,15,11,1
28,20120507,7,0,5,3.0,2.0,1.4545454545454546,1.0,-3.0,1,2,16,11,1
29,20120508,7,0,5,3.0,5.0,1.5454545454545454,1.0,-3.0,1,3,17,11,0
30,20120509,7,0,5,1.0,8.0,1.4166666666666667,1.0,-2.0,1,-1,17,12,0
31,20120510,7,1,3,8.0,3.0,1.3076923076923077,1.0,-2.0,1,-2,17,13,0
32,20120511,7,1,3,5.0,7.0,1.3846153846153846,1.0,-2.0,1,1,18,13,0
33,20120512,7,1,3,1.0,4.0,1.2857142857142858,1.0,-2.0,1,-1,18,14,0
34,20120513,7,1,3,1.0,12.0,1.2,1.0,-2.0,0,-2,18,15,0
35,20120514,7,1,16,5.0,4.0,1.125,1.0,-1.0,1,-3,18,16,0
36,20120515,7,1,16,5.0,0.0,1.1875,1.0,-2.0,0,1,19,16,0
37,20120516,7,0,23,9.0,3.0,1.25,1.0,-2.0,1,2,20,16,0
38,20120517,7,0,23,6.0,5.0,1.3125,1.0,-3.0,0,3,21,16,0
39,20120518,7,0,14,2.0,3.0,1.375,1.0,-4.0,1,4,22,16,0
40,20120519,7,0,14,2.0,0.0,1.2941176470588236,1.0,-3.0,0,-1,22,17,0
41,20120520,7,0,14,3.0,5.0,1.3529411764705883,1.0,-3.5,0,1,23,17,0
42,20120522,7,0,9,5.0,3.0,1.2777777777777777,1.0,-2.5,1,-1,23,18,0
43,20120523,7,0,9,4.0,2.0,1.3333333333333333,1.0,-3.5,1,1,24,18,0
44,20120524,7,0,9,2.0,1.0,1.3888888888888888,1.0,-3.5,0,2,25,18,0
45,20120525,7,1,5,3.0,9.0,1.4444444444444444,1.0,-3.5,1,3,26,18,0
46,20120526,7,1,5,7.0,14.0,1.368421052631579,1.0,-2.5,0,-1,26,19,0
47,20120527,7,1,5,6.0,12.0,1.3,1.0,-1.5,0,-2,26,20,0
48,20120528,7,0,11,8.0,5.0,1.2380952380952381,1.0,-0.5,0,-3,26,21,0
49,20120529,7,0,11,2.0,8.0,1.2857142857142858,1.0,-0.5,1,1,27,21,0
50,20120530,7,0,11,3.0,6.0,1.2272727272727273,2.0,0.5,0,-1,27,22,0
51,20120601,7,0,16,7.0,1.0,1.173913043478261,2.0,1.5,1,-2,27,23,0
52,20120602,7,0,16,4.0,7.0,1.2173913043478262,2.0,1.5,1,1,28,23,0
53,20120603,7,0,16,3.0,6.0,1.1666666666666667,2.0,1.5,0,-1,28,24,0
54,20120605,7,1,9,4.0,2.0,1.12,2.0,2.5,1,-2,28,25,0
55,20120606,7,1,9,9.0,6.0,1.16,2.0,1.5,1,1,29,25,0
56,20120607,7,1,9,5.0,7.0,1.2,2.0,0.5,0,2,30,25,0
57,20120608,7,1,25,6.0,2.0,1.1538461538461537,2.0,1.5,1,-1,30,26,0
58,20120609,7,1,25,0.0,2.0,1.1923076923076923,2.0,0.5,1,1,31,26,0
59,20120610,7,1,25,4.0,1.0,1.1481481481481481,2.0,1.5,0,-1,31,27,0
60,20120612,7,1,6,1.0,7.0,1.1851851851851851,2.0,0.5,1,1,32,27,0
61,20120613,7,1,6,3.0,5.0,1.1428571428571428,2.0,1.5,1,-1,32,28,0
62,20120614,7,1,6,5.0,12.0,1.103448275862069,2.0,1.5,0,-2,32,29,0
63,20120615,7,0,21,2.0,0.0,1.0666666666666667,2.0,1.5,1,-3,32,30,0
64,20120616,7,0,21,2.0,9.0,1.1,2.0,0.5,0,1,33,30,0
65,20120617,7,0,21,5.0,9.0,1.064516129032258,2.0,1.5,0,-1,33,31,0
66,20120618,7,0,6,10.0,9.0,1.03125,2.0,1.5,1,-2,33,32,0
67,20120619,7,0,6,3.0,2.0,1.0625,2.0,0.5,1,1,34,32,0
68,20120620,7,0,6,8.0,1.0,1.09375,1.0,-0.5,1,2,35,32,0
69,20120622,7,1,10,2.0,0.0,1.125,1.0,-0.5,1,3,36,32,0
70,20120623,7,1,10,1.0,8.0,1.15625,1.0,-1.5,0,4,37,32,0
71,20120624,7,1,10,1.0,7.0,1.121212121212121,1.0,-0.5,0,-1,37,33,0
72,20120625,7,1,18,1.0,7.0,1.088235294117647,2.0,0.5,1,-2,37,34,0
73,20120626,7,1,18,4.0,6.0,1.0571428571428572,2.0,0.5,1,-3,37,35,0
74,20120627,7,1,18,4.0,5.0,1.0277777777777777,2.0,1.5,0,-4,37,36,0
75,20120628,7,1,2,7.0,2.0,1.0,2.0,2.5,1,-5,37,37,0
76,20120629,7,1,2,8.0,9.0,1.027027027027027,2.0,2.5,1,1,38,37,0
77,20120630,7,1,2,11.0,5.0,1.0,2.0,3.5,0,-1,38,38,0
78,20120701,7,1,2,6.0,2.0,1.0263157894736843,2.0,2.5,0,1,39,38,0
79,20120702,7,0,12,0.0,3.0,1.0526315789473684,2.0,1.5,1,2,40,38,0
80,20120703,7,0,12,9.0,5.0,1.0256410256410255,2.0,2.0,1,-1,40,39,0
81,20120704,7,0,12,12.0,3.0,1.0512820512820513,2.0,2.0,0,1,41,39,0
82,20120705,7,0,26,3.0,1.0,1.0769230769230769,2.0,2.0,1,2,42,39,0
83,20120706,7,0,26,3.0,10.0,1.1025641025641026,2.0,2.0,1,3,43,39,0
84,20120707,7,0,26,7.0,3.0,1.075,2.0,3.0,1,-1,43,40,0
85,20120708,7,0,26,6.0,7.0,1.1,2.0,3.0,0,1,44,40,0
86,20120713,7,1,28,1.0,0.0,1.0731707317073171,2.0,3.0,1,-1,44,41,0
87,20120714,7,1,28,9.0,11.0,1.0975609756097562,2.0,3.0,0,1,45,41,0
88,20120715,7,1,28,0.0,3.0,1.0714285714285714,2.0,3.0,0,-1,45,42,0
89,20120716,7,1,26,3.0,2.0,1.0465116279069768,3.0,4.0,1,-2,45,43,0
90,20120717,7,1,26,2.0,4.0,1.069767441860465,3.0,3.0,1,1,46,43,0
91,20120718,7,1,26,10.0,6.0,1.0454545454545454,3.0,4.0,1,-1,46,44,0
92,20120719,7,1,26,0.0,6.0,1.0681818181818181,3.0,3.0,0,1,47,44,0
93,20120720,7,0,2,2.0,10.0,1.0444444444444445,3.0,3.0,1,-1,47,45,0
94,20120721,7,0,2,1.0,3.0,1.0217391304347827,3.0,3.0,1,-2,47,46,0
95,20120722,7,0,2,3.0,4.0,1.0,3.0,3.5,0,-3,47,47,0
96,20120723,7,0,2,3.0,1.0,0.9791666666666666,3.0,4.5,1,-4,47,48,0
97,20120724,7,0,9,3.0,2.0,1.0,3.0,4.0,1,1,48,48,0
98,20120725,7,0,9,3.0,5.0,1.0208333333333333,3.0,3.0,1,2,49,48,0
99,20120726,7,0,9,5.0,3.0,1.0,3.0,4.0,1,-1,49,49,0
100,20120727,7,1,16,0.0,11.0,1.0204081632653061,3.0,3.5,1,1,50,49,0
101,20120728,7,1,16,5.0,12.0,1.0,3.0,4.5,1,-1,50,50,0
102,20120729,7,1,16,1.0,5.0,0.9803921568627451,3.0,5.5,0,-2,50,51,0
103,20120731,7,1,11,3.0,8.0,0.9615384615384616,3.0,5.5,1,-3,50,52,0
104,20120801,7,1,11,2.0,5.0,0.9433962264150944,3.0,6.0,1,-4,50,53,0
105,20120802,7,1,11,6.0,7.0,0.9259259259259259,3.0,7.0,1,-5,50,54,0
106,20120803,7,1,9,2.0,10.0,0.9090909090909091,3.0,7.5,1,-6,50,55,0
107,20120804,7,1,9,1.0,6.0,0.8928571428571429,3.0,8.5,1,-7,50,56,0
108,20120805,7,1,9,8.0,10.0,0.8771929824561403,3.0,8.5,0,-8,50,57,0
109,20120806,7,0,16,3.0,14.0,0.8620689655172413,3.0,9.5,1,-9,50,58,0
110,20120807,7,0,16,5.0,7.0,0.847457627118644,3.0,10.5,1,-10,50,59,0
111,20120808,7,0,16,6.0,2.0,0.8333333333333334,3.0,10.5,0,-11,50,60,0
112,20120809,7,0,3,5.0,3.0,0.85,3.0,9.5,1,1,51,60,0
113,20120810,7,0,3,2.0,3.0,0.8666666666666667,3.0,9.0,1,2,52,60,0
114,20120811,7,0,3,5.0,2.0,0.8524590163934426,3.0,10.0,1,-1,52,61,0
115,20120812,7,0,3,1.0,14.0,0.8688524590163934,3.0,9.0,0,1,53,61,0
116,20120813,7,1,12,6.0,2.0,0.8548387096774194,3.0,10.0,1,-1,53,62,0
117,20120814,7,1,12,6.0,9.0,0.8709677419354839,3.0,9.0,1,1,54,62,0
118,20120815,7,1,12,4.0,8.0,0.8571428571428571,3.0,10.0,1,-1,54,63,0
119,20120817,7,1,19,4.0,6.0,0.84375,3.0,11.0,1,-2,54,64,0
120,20120818,7,1,19,5.0,8.0,0.8307692307692308,3.0,11.5,1,-3,54,65,0
121,20120819,7,1,19,0.0,7.0,0.8181818181818182,3.0,11.5,0,-4,54,66,0
122,20120820,7,1,23,3.0,5.0,0.8059701492537313,4.0,11.5,1,-5,54,67,0
123,20120821,7,1,23,1.0,5.0,0.7941176470588235,4.0,12.5,1,-6,54,68,0
124,20120822,7,1,23,1.0,3.0,0.782608695652174,4.0,13.5,0,-7,54,69,0
125,20120824,7,0,18,1.0,3.0,0.7714285714285715,4.0,14.5,1,-8,54,70,0
126,20120825,7,0,18,3.0,1.0,0.7605633802816901,4.0,15.5,1,-9,54,71,0
127,20120826,7,0,18,2.0,4.0,0.7746478873239436,4.0,15.5,0,1,55,71,0
128,20120827,7,0,19,0.0,3.0,0.7638888888888888,4.0,16.5,1,-1,55,72,0
129,20120828,7,0,19,0.0,7.0,0.7534246575342466,4.0,16.5,1,-2,55,73,0
130,20120829,7,0,19,4.0,8.0,0.7432432432432432,4.0,16.5,1,-3,55,74,0
131,20120830,7,0,19,7.0,12.0,0.7333333333333333,4.0,17.5,0,-4,55,75,0
132,20120831,7,0,27,3.0,5.0,0.7236842105263158,4.0,17.5,1,-5,55,76,0
133,20120901,7,0,27,4.0,3.0,0.7142857142857143,4.0,17.5,1,-6,55,77,0
134,20120902,7,0,27,3.0,8.0,0.7272727272727273,4.0,16.5,0,1,56,77,0
135,20120903,7,1,9,3.0,2.0,0.717948717948718,4.0,16.5,0,-1,56,78,0
136,20120904,7,1,9,3.0,2.0,0.7307692307692307,4.0,16.5,1,1,57,78,0
137,20120905,7,1,9,1.0,7.0,0.7435897435897436,4.0,15.5,1,2,58,78,0
138,20120907,7,1,16,7.0,6.0,0.7341772151898734,4.0,16.5,1,-1,58,79,0
139,20120908,7,1,16,0.0,3.0,0.7468354430379747,4.0,15.5,1,1,59,79,0
140,20120909,7,1,16,7.0,8.0,0.7375,4.0,16.5,0,-1,59,80,0
141,20120910,7,1,16,2.0,7.0,0.7283950617283951,4.0,16.5,1,-2,59,81,0
142,20120911,7,1,27,4.0,6.0,0.7195121951219512,4.0,17.5,1,-3,59,82,0
143,20120912,7,1,27,2.0,5.0,0.7108433734939759,4.0,17.5,1,-4,59,83,0
144,20120913,7,1,27,5.0,4.0,0.7023809523809523,4.0,17.5,1,-5,59,84,0
145,20120914,7,0,9,0.0,4.0,0.7142857142857143,4.0,17.0,1,1,60,84,0
146,20120915,7,0,9,3.0,5.0,0.7058823529411765,4.0,18.0,0,-1,60,85,0
147,20120916,7,0,9,7.0,6.0,0.6976744186046512,4.0,19.0,0,-2,60,86,0
148,20120918,7,0,16,5.0,6.0,0.7093023255813954,4.0,19.0,1,1,61,86,0
149,20120919,7,0,16,4.0,6.0,0.7011494252873564,4.0,20.5,1,-1,61,87,0
150,20120920,7,0,16,4.0,3.0,0.6931818181818182,5.0,20.5,0,-2,61,88,0
151,20120921,7,1,11,3.0,6.0,0.7045454545454546,4.0,19.5,1,1,62,88,0
152,20120922,7,1,11,3.0,5.0,0.6966292134831461,5.0,19.5,1,-1,62,89,0
153,20120923,7,1,11,15.0,4.0,0.6888888888888889,5.0,19.5,0,-2,62,90,0
154,20120924,7,1,5,4.0,5.0,0.7,5.0,18.5,1,1,63,90,0
155,20120925,7,1,5,4.0,3.0,0.6923076923076923,5.0,19.5,0,-1,63,91,0
156,20120926,7,1,5,6.0,4.0,0.7032967032967034,5.0,18.5,1,1,64,91,0
157,20120928,7,0,11,8.0,5.0,0.7142857142857143,4.0,18.5,1,2,65,91,0
158,20120929,7,0,11,6.0,7.0,0.7252747252747253,4.0,18.0,1,3,66,91,0
159,20120930,7,0,11,15.0,3.0,0.717391304347826,4.0,19.0,0,-1,66,92,0
160,20121001,7,0,5,0.0,11.0,0.7282608695652174,4.0,19.0,1,1,67,92,0
161,20121002,7,0,5,4.0,3.0,0.7204301075268817,4.0,20.0,1,-1,67,93,0
162,20121003,7,0,5,0.0,9.0,0.7311827956989247,4.0,19.0,1,1,68,93,0
1,20130402,7,1,28,4.0,1.0,0,1.0,0,1,0,0,0,0
2,20130403,7,1,28,3.0,2.0,1.0,1.0,0,1,1,1,0,0
3,20130404,7,1,28,8.0,10.0,2.0,1.0,0,1,2,2,0,0
4,20130405,7,1,26,0.0,4.0,2.0,1.0,0,1,-1,2,1,0
5,20130406,7,1,26,0.0,6.0,1.0,1.0,0,1,-2,2,2,0
