,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Friday, Apr 6",COL,@,HOU,5.0,3.0,1-0,2.0,0.5,N,1
2,"Saturday, Apr 7",COL,@,HOU,3.0,7.0,1-1,3.0,1.5,N,-1
3,"Sunday, Apr 8",COL,@,HOU,2.0,3.0,1-2,3.0,2.0,D,-2
4,"Monday, Apr 9",COL,Home,SFG,0.0,7.0,1-3,3.0,2.5,D,-3
5,"Wednesday, Apr 11",COL,Home,SFG,17.0,8.0,2-3,3.0,2.5,N,1
6,"Thursday, Apr 12",COL,Home,SFG,2.0,4.0,2-4,3.0,3.5,D,-1
7,"Friday, Apr 13",COL,Home,ARI,7.0,6.0,3-4,3.0,3.5,N,1
8,"Saturday, Apr 14",COL,Home,ARI,8.0,7.0,4-4,3.0,3.5,N,2
9,"Sunday, Apr 15",COL,Home,ARI,2.0,5.0,4-5,3.0,4.5,D,-1
10,"Monday, Apr 16",COL,Home,SDP,1.0,7.0,4-6,3.0,5.0,N,-2
11,"Tuesday, Apr 17",COL,Home,SDP,5.0,3.0,5-6,3.0,4.0,N,1
12,"Wednesday, Apr 18",COL,Home,SDP,8.0,4.0,6-6,3.0,3.0,N,2
13,"Friday, Apr 20",COL,@,MIL,4.0,3.0,7-6,2.0,3.5,N,3
14,"Saturday, Apr 21",COL,@,MIL,4.0,9.0,7-7,2.0,4.5,N,-1
15,"Sunday, Apr 22",COL,@,MIL,4.0,1.0,8-7,2.0,3.5,D,1
16,"Tuesday, Apr 24",COL,@,PIT,4.0,5.0,8-8,3.0,4.0,N,-1
17,"Wednesday, Apr 25 (1)",COL,@,PIT,2.0,1.0,9-8,2.0,3.5,D,1
18,"Wednesday, Apr 25 (2)",COL,@,PIT,1.0,5.0,9-9,2.0,3.5,D,-1
19,"Friday, Apr 27",COL,Home,NYM,18.0,9.0,10-9,2.0,3.5,N,1
20,"Saturday, Apr 28",COL,Home,NYM,5.0,7.0,10-10,3.0,4.5,N,-1
21,"Sunday, Apr 29",COL,Home,NYM,5.0,6.0,10-11,4.0,5.5,D,-2
22,"Monday, Apr 30",COL,Home,LAD,6.0,2.0,11-11,4.0,4.5,N,1
23,"Tuesday, May 1",COL,Home,LAD,6.0,7.0,11-12,4.0,5.5,N,-1
24,"Wednesday, May 2",COL,Home,LAD,8.0,5.0,12-12,3.0,4.5,D,1
25,"Friday, May 4",COL,Home,ATL,8.0,9.0,12-13,3.0,4.5,N,-1
26,"Saturday, May 5",COL,Home,ATL,9.0,13.0,12-14,4.0,5.5,N,-2
27,"Sunday, May 6",COL,Home,ATL,2.0,7.0,12-15,4.0,5.5,D,-3
28,"Monday, May 7",COL,@,SDP,2.0,3.0,12-16,4.0,6.5,N,-4
29,"Tuesday, May 8",COL,@,SDP,1.0,3.0,12-17,4.0,6.5,N,-5
30,"Wednesday, May 9",COL,@,SDP,6.0,2.0,13-17,3.0,6.5,D,1
31,"Friday, May 11",COL,@,LAD,3.0,7.0,13-18,4.0,7.5,N,-1
32,"Saturday, May 12",COL,@,LAD,1.0,2.0,13-19,4.0,8.5,N,-2
33,"Sunday, May 13",COL,@,LAD,5.0,11.0,13-20,4.0,9.5,D,-3
34,"Monday, May 14",COL,@,SFG,2.0,3.0,13-21,4.0,10.5,N,-4
35,"Tuesday, May 15",COL,@,SFG,5.0,4.0,14-21,4.0,9.5,N,1
36,"Wednesday, May 16",COL,Home,ARI,6.0,1.0,15-21,3.0,8.5,N,2
37,"Thursday, May 17",COL,Home,ARI,7.0,9.0,15-22,4.0,9.5,D,-1
38,"Friday, May 18",COL,Home,SEA,0.0,4.0,15-23,4.0,10.5,N,-2
39,"Saturday, May 19",COL,Home,SEA,3.0,10.0,15-24,4.0,11.5,D,-3
40,"Sunday, May 20",COL,Home,SEA,4.0,6.0,15-25,4.0,12.5,D,-4
41,"Monday, May 21",COL,@,MIA,4.0,7.0,15-26,4.0,13.5,N,-5
42,"Tuesday, May 22",COL,@,MIA,6.0,7.0,15-27,4.0,14.5,N,-6
43,"Wednesday, May 23",COL,@,MIA,8.0,4.0,16-27,4.0,13.5,N,1
44,"Friday, May 25",COL,@,CIN,6.0,3.0,17-27,4.0,12.5,N,2
45,"Saturday, May 26",COL,@,CIN,3.0,10.0,17-28,4.0,13.5,N,-1
46,"Sunday, May 27",COL,@,CIN,5.0,7.0,17-29,4.0,14.5,D,-2
47,"Monday, May 28 (1)",COL,Home,HOU,9.0,7.0,18-29,4.0,13.0,D,1
48,"Monday, May 28 (2)",COL,Home,HOU,7.0,6.0,19-29,4.0,13.0,N,2
49,"Wednesday, May 30",COL,Home,HOU,13.0,5.0,20-29,4.0,11.5,N,3
50,"Thursday, May 31",COL,Home,HOU,11.0,5.0,21-29,4.0,10.5,N,4
51,"Friday, Jun 1",COL,Home,LAD,13.0,3.0,22-29,4.0,9.5,N,5
52,"Saturday, Jun 2",COL,Home,LAD,2.0,6.0,22-30,4.0,10.5,D,-1
53,"Sunday, Jun 3",COL,Home,LAD,3.0,2.0,23-30,4.0,9.5,D,1
54,"Monday, Jun 4",COL,@,ARI,4.0,0.0,24-30,4.0,9.5,N,2
55,"Tuesday, Jun 5",COL,@,ARI,0.0,10.0,24-31,4.0,10.5,N,-1
56,"Wednesday, Jun 6",COL,@,ARI,1.0,6.0,24-32,4.0,11.5,N,-2
57,"Friday, Jun 8",COL,Home,LAA,2.0,7.0,24-33,4.0,12.0,N,-3
58,"Saturday, Jun 9",COL,Home,LAA,5.0,11.0,24-34,4.0,13.0,D,-4
59,"Sunday, Jun 10",COL,Home,LAA,8.0,10.0,24-35,4.0,14.0,D,-5
60,"Tuesday, Jun 12",COL,Home,OAK,5.0,8.0,24-36,4.0,14.5,N,-6
61,"Wednesday, Jun 13",COL,Home,OAK,8.0,10.0,24-37,4.0,14.5,N,-7
62,"Thursday, Jun 14",COL,Home,OAK,2.0,8.0,24-38,4.0,15.0,D,-8
63,"Friday, Jun 15",COL,@,DET,12.0,4.0,25-38,4.0,15.0,N,1
64,"Saturday, Jun 16",COL,@,DET,1.0,4.0,25-39,4.0,15.0,D,-1
65,"Sunday, Jun 17",COL,@,DET,0.0,5.0,25-40,4.0,16.0,D,-2
66,"Tuesday, Jun 19",COL,@,PHI,2.0,7.0,25-41,4.0,16.0,N,-3
67,"Wednesday, Jun 20",COL,@,PHI,6.0,7.0,25-42,4.0,16.0,N,-4
68,"Thursday, Jun 21",COL,@,PHI,4.0,1.0,26-42,4.0,15.0,N,1
69,"Friday, Jun 22",COL,@,TEX,1.0,4.0,26-43,4.0,15.0,N,-1
70,"Saturday, Jun 23",COL,@,TEX,11.0,7.0,27-43,4.0,15.0,D,1
71,"Sunday, Jun 24",COL,@,TEX,2.0,4.0,27-44,4.0,15.0,N,-1
72,"Monday, Jun 25",COL,Home,WSN,4.0,2.0,28-44,4.0,14.0,N,1
