,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,9,0,3,3.0,2.0,0,1.0,0,0,0,0,0,0
2,20120407,9,0,3,10.0,0.0,1.0,1.0,-0.5,0,1,1,0,0
3,20120408,9,0,3,13.0,12.0,2.0,1.0,-1.0,0,2,2,0,0
4,20120410,9,0,26,5.0,2.0,3.0,1.0,-1.0,0,3,3,0,0
5,20120411,9,0,26,2.0,4.0,4.0,1.0,-1.5,0,4,4,0,0
6,20120412,9,0,26,7.0,2.0,4.0,1.0,-1.0,0,-1,4,1,0
7,20120413,9,1,5,2.0,5.0,5.0,1.0,-1.5,0,1,5,1,0
8,20120414,9,1,5,1.0,5.0,2.5,1.0,-0.5,0,-1,5,2,0
9,20120415,9,1,5,5.0,2.0,1.6666666666666667,2.0,0.5,0,-2,5,3,0
10,20120416,9,1,11,3.0,2.0,2.0,1.0,-0.5,1,1,6,3,0
11,20120417,9,1,11,3.0,1.0,2.3333333333333335,1.0,-1.5,1,2,7,3,0
12,20120418,9,1,11,4.0,3.0,2.6666666666666665,1.0,-2.0,1,3,8,3,0
13,20120419,9,0,27,3.0,10.0,3.0,1.0,-2.5,1,4,9,3,0
14,20120421,9,0,27,4.0,10.0,2.25,1.0,-2.0,0,-1,9,4,1
15,20120421,9,0,27,3.0,2.0,1.8,1.0,-1.0,1,-2,9,5,1
16,20120422,9,0,27,2.0,3.0,2.0,1.0,-1.0,0,1,10,5,0
17,20120424,9,0,23,4.0,7.0,1.6666666666666667,1.0,-0.5,1,-1,10,6,0
18,20120425,9,0,23,1.0,9.0,1.4285714285714286,1.0,0,1,-2,10,7,0
19,20120426,9,0,23,4.0,5.0,1.25,1.0,0,0,-3,10,8,0
20,20120427,9,1,18,6.0,7.0,1.1111111111111112,1.0,0,1,-4,10,9,0
21,20120428,9,1,18,7.0,5.0,1.0,2.0,1.0,0,-5,10,10,0
22,20120429,9,1,18,2.0,6.0,1.1,1.0,0,0,1,11,10,0
23,20120501,9,0,11,9.0,3.0,1.0,2.0,1.0,1,-1,11,11,0
24,20120502,9,0,11,2.0,3.0,1.0909090909090908,1.0,0,0,1,12,11,0
25,20120504,9,0,5,5.0,4.0,1.0,2.0,1.0,1,-1,12,12,0
