,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,10,0,8,3.0,0,1.0,0,1,0.0,0,0,0
2,20120407,10,0,8,7.0,0.0,3.0,1.5,1,-1.0,0,1,0
3,20120408,10,0,8,3.0,1.0,2.0,0.5,0,1.0,1,1,0
4,20120409,10,0,1,8.0,2.0,2.0,0.5,1,2.0,2,1,0
5,20120410,10,0,1,4.0,3.0,2.0,0.5,1,3.0,3,1,0
6,20120411,10,0,1,3.0,1.5,2.0,1.5,1,-1.0,3,2,0
7,20120413,10,1,14,4.0,1.0,3.0,1.5,1,-2.0,3,3,0
8,20120414,10,1,14,5.0,0.75,3.0,1.5,1,-3.0,3,4,0
9,20120415,10,1,14,4.0,1.0,2.0,1.5,0,1.0,4,4,0
10,20120416,10,1,29,3.0,0.8,2.0,2.5,1,-1.0,4,5,0
11,20120417,10,1,29,0.0,0.6666666666666666,2.0,3.0,1,-2.0,4,6,0
12,20120418,10,1,29,2.0,0.5714285714285714,3.0,4.0,1,-3.0,4,7,0
13,20120419,10,1,29,11.0,0.5,4.0,5.0,1,-4.0,4,8,0
14,20120420,10,0,13,1.0,0.625,4.0,4.0,1,1.0,5,8,0
15,20120421,10,0,13,1.0,0.5555555555555556,5.0,5.0,1,-1.0,5,9,0
16,20120422,10,0,13,12.0,0.5,5.0,5.0,0,-2.0,5,10,0
17,20120423,10,1,15,5.0,0.6,5.0,5.0,1,1.0,6,10,0
18,20120424,10,1,15,6.0,0.5454545454545454,5.0,5.0,1,-1.0,6,11,0
19,20120425,10,1,15,7.0,0.5,5.0,5.0,0,-2.0,6,12,0
20,20120427,10,1,6,6.0,0.5833333333333334,5.0,5.0,1,1.0,7,12,0
21,20120428,10,1,6,0.0,0.6666666666666666,5.0,5.0,0,2.0,8,12,0
22,20120429,10,1,6,5.0,0.6153846153846154,5.0,6.0,0,-1.0,8,13,0
23,20120430,10,0,17,4.0,0.5714285714285714,5.0,6.0,1,-2.0,8,14,0
24,20120501,10,0,17,6.0,0.6428571428571429,5.0,5.5,1,1.0,9,14,0
