,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Friday, Apr 6",KCR,@,LAA,0.0,5.0,0-1,2.0,1.0,N,-1
2,"Saturday, Apr 7",KCR,@,LAA,6.0,3.0,1-1,2.0,1.0,D,1
3,"Sunday, Apr 8",KCR,@,LAA,7.0,3.0,2-1,2.0,1.0,D,2
4,"Monday, Apr 9",KCR,@,OAK,0.0,1.0,2-2,2.0,1.5,N,-1
5,"Tuesday, Apr 10",KCR,@,OAK,3.0,0.0,3-2,2.0,1.5,N,1
6,"Wednesday, Apr 11",KCR,@,OAK,4.0,5.0,3-3,3.0,1.5,D,-1
7,"Friday, Apr 13",KCR,Home,CLE,3.0,8.0,3-4,3.0,2.0,D,-2
8,"Saturday, Apr 14",KCR,Home,CLE,9.0,11.0,3-5,4.0,2.5,N,-3
9,"Sunday, Apr 15",KCR,Home,CLE,7.0,13.0,3-6,4.0,3.0,D,-4
10,"Monday, Apr 16",KCR,Home,DET,2.0,3.0,3-7,4.0,4.0,N,-5
11,"Tuesday, Apr 17",KCR,Home,DET,1.0,3.0,3-8,4.0,5.0,N,-6
12,"Wednesday, Apr 18",KCR,Home,DET,3.0,4.0,3-9,5.0,6.0,N,-7
13,"Friday, Apr 20",KCR,Home,TOR,3.0,4.0,3-10,5.0,6.0,N,-8
14,"Saturday, Apr 21",KCR,Home,TOR,5.0,9.0,3-11,5.0,6.5,N,-9
15,"Sunday, Apr 22",KCR,Home,TOR,3.0,5.0,3-12,5.0,6.5,D,-10
16,"Monday, Apr 23",KCR,Home,TOR,1.0,4.0,3-13,5.0,7.0,N,-11
17,"Tuesday, Apr 24",KCR,@,CLE,3.0,4.0,3-14,5.0,7.0,N,-12
18,"Wednesday, Apr 25",KCR,@,CLE,8.0,2.0,4-14,5.0,6.0,N,1
19,"Thursday, Apr 26",KCR,@,CLE,4.0,2.0,5-14,4.0,5.0,D,2
20,"Friday, Apr 27",KCR,@,MIN,7.0,6.0,6-14,4.0,5.0,N,3
21,"Sunday, Apr 29",KCR,@,MIN,4.0,7.0,6-15,4.0,5.5,D,-1
22,"Tuesday, May 1",KCR,@,DET,3.0,9.0,6-16,4.0,5.5,N,-2
23,"Wednesday, May 2",KCR,@,DET,3.0,2.0,7-16,4.0,5.5,D,1
24,"Thursday, May 3",KCR,Home,NYY,4.0,3.0,8-16,4.0,5.5,N,2
25,"Friday, May 4",KCR,Home,NYY,2.0,6.0,8-17,4.0,6.5,N,-1
26,"Saturday, May 5",KCR,Home,NYY,5.0,1.0,9-17,4.0,5.5,N,1
27,"Sunday, May 6",KCR,Home,NYY,4.0,10.0,9-18,4.0,6.5,D,-1
28,"Monday, May 7",KCR,Home,BOS,5.0,11.0,9-19,4.0,8.0,N,-2
29,"Tuesday, May 8",KCR,Home,BOS,6.0,4.0,10-19,4.0,7.0,N,1
30,"Wednesday, May 9",KCR,Home,BOS,4.0,3.0,11-19,4.0,6.0,N,2
31,"Friday, May 11",KCR,@,CHW,0.0,5.0,11-20,4.0,6.5,N,-1
32,"Saturday, May 12",KCR,@,CHW,5.0,0.0,12-20,4.0,5.5,N,1
33,"Sunday, May 13",KCR,@,CHW,9.0,1.0,13-20,4.0,4.5,D,2
34,"Monday, May 14",KCR,@,TEX,3.0,1.0,14-20,4.0,4.5,N,3
35,"Tuesday, May 15",KCR,@,TEX,7.0,4.0,15-20,4.0,4.5,N,4
36,"Wednesday, May 16",KCR,Home,BAL,3.0,4.0,15-21,4.0,5.5,N,-1
37,"Thursday, May 17",KCR,Home,BAL,3.0,5.0,15-22,4.0,6.5,D,-2
38,"Friday, May 18",KCR,Home,ARI,4.0,6.0,15-23,4.0,6.5,N,-3
39,"Saturday, May 19",KCR,Home,ARI,7.0,3.0,16-23,4.0,6.5,N,1
40,"Sunday, May 20",KCR,Home,ARI,0.0,2.0,16-24,4.0,6.5,D,-1
41,"Monday, May 21",KCR,@,NYY,6.0,0.0,17-24,4.0,6.0,N,1
42,"Tuesday, May 22",KCR,@,NYY,2.0,3.0,17-25,4.0,7.0,N,-1
43,"Wednesday, May 23",KCR,@,NYY,3.0,8.0,17-26,4.0,8.0,N,-2
44,"Friday, May 25",KCR,@,BAL,2.0,8.0,17-27,4.0,8.5,N,-3
45,"Saturday, May 26",KCR,@,BAL,4.0,3.0,18-27,4.0,7.5,D,1
46,"Sunday, May 27",KCR,@,BAL,4.0,2.0,19-27,4.0,6.5,D,2
47,"Monday, May 28",KCR,@,CLE,5.0,8.0,19-28,4.0,7.5,D,-1
48,"Tuesday, May 29",KCR,@,CLE,8.0,2.0,20-28,4.0,7.0,N,1
49,"Wednesday, May 30",KCR,@,CLE,6.0,3.0,21-28,4.0,7.0,D,2
50,"Friday, Jun 1",KCR,Home,OAK,2.0,0.0,22-28,4.0,7.0,N,3
51,"Saturday, Jun 2",KCR,Home,OAK,3.0,9.0,22-29,4.0,7.0,D,-1
52,"Sunday, Jun 3",KCR,Home,OAK,2.0,0.0,23-29,4.0,7.0,D,1
53,"Monday, Jun 4",KCR,Home,MIN,7.0,10.0,23-30,4.0,7.5,N,-1
54,"Tuesday, Jun 5",KCR,Home,MIN,1.0,0.0,24-30,4.0,6.5,N,1
55,"Wednesday, Jun 6",KCR,Home,MIN,2.0,4.0,24-31,4.0,6.5,N,-1
56,"Friday, Jun 8",KCR,@,PIT,2.0,4.0,24-32,4.0,7.0,N,-2
57,"Saturday, Jun 9",KCR,@,PIT,3.0,5.0,24-33,4.0,8.0,N,-3
58,"Sunday, Jun 10",KCR,@,PIT,2.0,3.0,24-34,4.0,8.0,D,-4
59,"Tuesday, Jun 12",KCR,Home,MIL,2.0,1.0,25-34,4.0,8.0,N,1
60,"Wednesday, Jun 13",KCR,Home,MIL,4.0,3.0,26-34,4.0,7.0,N,2
61,"Thursday, Jun 14",KCR,Home,MIL,4.0,3.0,27-34,4.0,6.0,N,3
62,"Friday, Jun 15",KCR,@,STL,3.0,2.0,28-34,4.0,5.0,N,4
63,"Saturday, Jun 16",KCR,@,STL,7.0,10.0,28-35,4.0,6.0,D,-1
64,"Sunday, Jun 17",KCR,@,STL,5.0,3.0,29-35,4.0,5.0,D,1
65,"Monday, Jun 18",KCR,@,HOU,7.0,9.0,29-36,4.0,5.0,N,-1
66,"Tuesday, Jun 19",KCR,@,HOU,2.0,0.0,30-36,4.0,4.5,N,1
67,"Wednesday, Jun 20",KCR,@,HOU,2.0,1.0,31-36,4.0,4.5,D,2
68,"Friday, Jun 22",KCR,Home,STL,4.0,11.0,31-37,4.0,5.5,N,-1
69,"Saturday, Jun 23",KCR,Home,STL,2.0,8.0,31-38,4.0,5.5,D,-2
70,"Sunday, Jun 24",KCR,Home,STL,8.0,11.0,31-39,4.0,6.0,D,-3
71,"Monday, Jun 25",KCR,Home,TBR,8.0,0.0,32-39,4.0,5.0,N,1
72,"Tuesday, Jun 26",KCR,Home,TBR,8.0,2.0,33-39,4.0,5.0,N,2
73,"Wednesday, Jun 27",KCR,Home,TBR,5.0,4.0,34-39,4.0,5.0,D,3
74,"Friday, Jun 29",KCR,@,MIN,4.0,3.0,35-39,4.0,5.5,N,4
75,"Saturday, Jun 30 (1)",KCR,@,MIN,2.0,7.0,35-40,4.0,6.0,D,-1
76,"Saturday, Jun 30 (2)",KCR,@,MIN,1.0,5.0,35-41,4.0,6.0,N,-2
77,"Sunday, Jul 1",KCR,@,MIN,8.0,10.0,35-42,4.0,6.0,D,-3
