,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,12,0,11,5.0,0.0,0,1.0,0,1,0.0,0,0,0
2,20120407,12,0,11,3.0,6.0,1.0,1.0,0,0,1.0,1,0,0
3,20120408,12,0,11,3.0,7.0,1.0,2.0,1.0,0,-1.0,1,1,0
4,20120409,12,1,16,5.0,1.0,0.5,3.0,1.5,0,-2.0,1,2,0
5,20120411,12,1,16,5.0,6.0,1.0,3.0,1.0,1,1.0,2,2,0
6,20120412,12,1,16,9.0,10.0,0.6666666666666666,3.0,1.5,0,-1.0,2,3,0
7,20120413,12,1,18,0.0,5.0,0.5,4.0,2.5,0,-2.0,2,4,0
8,20120414,12,1,18,7.0,1.0,0.4,4.0,3.5,0,-3.0,2,5,0
9,20120415,12,1,18,5.0,11.0,0.6,4.0,3.5,1,1.0,3,5,0
10,20120416,12,0,19,6.0,0.0,0.5,4.0,4.5,1,-1.0,3,6,0
11,20120417,12,0,19,3.0,5.0,0.6666666666666666,3.0,4.0,1,1.0,4,6,0
12,20120418,12,0,19,0.0,6.0,0.5714285714285714,4.0,5.0,1,-1.0,4,7,0
13,20120419,12,0,19,2.0,4.0,0.5,4.0,6.0,1,-2.0,4,8,0
14,20120420,12,0,2,6.0,3.0,0.4444444444444444,4.0,7.0,1,-3.0,4,9,0
15,20120421,12,0,2,6.0,3.0,0.5555555555555556,4.0,6.5,1,1.0,5,9,0
16,20120422,12,0,2,2.0,3.0,0.6666666666666666,4.0,6.0,0,2.0,6,9,0
17,20120424,12,1,26,0.0,5.0,0.6,4.0,7.0,1,-1.0,6,10,0
18,20120425,12,1,26,2.0,3.0,0.5454545454545454,4.0,7.5,1,-2.0,6,11,0
19,20120426,12,1,26,3.0,4.0,0.5,4.0,8.5,0,-3.0,6,12,0
20,20120427,12,1,7,2.0,3.0,0.46153846153846156,4.0,9.0,1,-4.0,6,13,0
21,20120428,12,1,7,2.0,1.0,0.42857142857142855,4.0,9.0,0,-5.0,6,14,0
22,20120429,12,1,7,0.0,4.0,0.5,4.0,9.0,0,1.0,7,14,0
23,20120430,12,0,16,4.0,3.0,0.4666666666666667,4.0,9.0,1,-1.0,7,15,0
24,20120501,12,0,16,4.0,0.0,0.5333333333333333,4.0,9.0,1,1.0,8,15,0
25,20120502,12,0,16,9.0,0.0,0.6,4.0,8.0,1,2.0,9,15,0
26,20120503,12,0,28,0.0,5.0,0.6666666666666666,4.0,7.0,1,3.0,10,15,0
27,20120504,12,0,28,0.0,4.0,0.625,4.0,7.5,1,-1.0,10,16,0
28,20120505,12,0,28,6.0,2.0,0.5882352941176471,4.0,7.5,1,-2.0,10,17,0
29,20120506,12,0,28,4.0,3.0,0.6470588235294118,4.0,7.5,0,1.0,11,17,0
30,20120507,12,1,16,8.0,3.0,0.7058823529411765,4.0,6.5,1,2.0,12,17,0
31,20120508,12,1,16,0.0,5.0,0.7647058823529411,4.0,6.5,1,3.0,13,17,0
32,20120509,12,1,16,6.0,2.0,0.7222222222222222,4.0,7.5,1,-1.0,13,18,0
33,20120511,12,1,27,3.0,10.0,0.7777777777777778,4.0,7.0,1,1.0,14,18,0
34,20120512,12,1,27,4.0,2.0,0.7368421052631579,4.0,8.0,0,-1.0,14,19,0
35,20120513,12,1,27,6.0,13.0,0.7894736842105263,3.0,7.0,1,1.0,15,19,0
36,20120514,12,0,19,0.0,5.0,0.75,4.0,8.0,1,-1.0,15,20,0
37,20120515,12,0,19,4.0,0.0,0.7142857142857143,4.0,8.0,0,-2.0,15,21,0
38,20120516,12,0,5,7.0,2.0,0.7619047619047619,3.0,7.0,1,1.0,16,21,0
39,20120517,12,0,5,1.0,6.0,0.8095238095238095,3.0,7.0,0,2.0,17,21,0
40,20120518,12,1,22,7.0,2.0,0.7727272727272727,3.0,7.0,1,-1.0,17,22,0
41,20120519,12,1,22,2.0,3.0,0.8181818181818182,3.0,7.0,1,1.0,18,22,0
42,20120520,12,1,22,2.0,3.0,0.782608695652174,3.0,7.0,0,-1.0,18,23,0
43,20120521,12,1,19,1.0,2.0,0.75,4.0,8.0,1,-2.0,18,24,0
44,20120522,12,1,19,5.0,0.0,0.72,4.0,8.0,1,-3.0,18,25,0
45,20120523,12,1,19,3.0,1.0,0.76,4.0,8.0,0,1.0,19,25,0
46,20120524,12,1,23,3.0,0.0,0.8,4.0,7.0,1,2.0,20,25,0
47,20120525,12,1,23,6.0,4.0,0.84,3.0,6.5,1,3.0,21,25,0
48,20120526,12,1,23,5.0,3.0,0.88,3.0,6.5,0,4.0,22,25,0
49,20120527,12,1,23,4.0,2.0,0.92,2.0,6.5,0,5.0,23,25,0
50,20120528,12,0,18,9.0,8.0,0.96,2.0,6.5,1,6.0,24,25,0
51,20120529,12,0,18,5.0,1.0,1.0,2.0,6.5,1,7.0,25,25,0
52,20120530,12,0,18,5.0,6.0,1.04,2.0,5.5,1,8.0,26,25,0
53,20120601,12,0,27,4.0,2.0,1.0,2.0,5.5,1,-1.0,26,26,0
54,20120602,12,0,27,3.0,2.0,1.0384615384615385,2.0,4.5,1,1.0,27,26,0
55,20120603,12,0,27,3.0,7.0,1.0769230769230769,2.0,3.5,0,2.0,28,26,0
56,20120604,12,0,23,6.0,8.0,1.037037037037037,2.0,4.5,1,-1.0,28,27,0
57,20120605,12,0,23,6.0,1.0,1.0,2.0,4.5,1,-2.0,28,28,0
58,20120606,12,0,23,6.0,8.0,1.0357142857142858,2.0,4.5,1,1.0,29,28,0
59,20120608,12,1,8,7.0,2.0,1.0,2.0,4.5,1,-1.0,29,29,0
60,20120609,12,1,8,11.0,5.0,1.0344827586206897,2.0,4.0,0,1.0,30,29,0
61,20120610,12,1,8,10.0,8.0,1.0689655172413792,2.0,3.0,0,2.0,31,29,0
62,20120611,12,1,13,3.0,2.0,1.103448275862069,2.0,3.0,1,3.0,32,29,0
63,20120612,12,1,13,2.0,5.0,1.1379310344827587,2.0,2.5,1,4.0,33,29,0
64,20120613,12,1,13,2.0,1.0,1.1,2.0,3.5,1,-1.0,33,30,0
65,20120615,12,0,0,0.0,5.0,1.1333333333333333,2.0,3.5,1,1.0,34,30,0
66,20120616,12,0,0,2.0,0.0,1.096774193548387,2.0,4.0,1,-1.0,34,31,0
67,20120617,12,0,0,2.0,0.0,1.1290322580645162,2.0,4.0,0,1.0,35,31,0
68,20120618,12,0,24,3.0,5.0,1.1612903225806452,2.0,4.0,1,2.0,36,31,0
69,20120619,12,0,24,12.0,5.0,1.125,2.0,5.0,1,-1.0,36,32,0
70,20120620,12,0,24,6.0,0.0,1.15625,2.0,5.0,1,1.0,37,32,0
71,20120622,12,0,13,8.0,5.0,1.1875,2.0,5.0,1,2.0,38,32,0
72,20120623,12,0,13,1.0,3.0,1.21875,2.0,5.0,0,3.0,39,32,0
73,20120624,12,0,13,5.0,3.0,1.1818181818181819,2.0,5.0,0,-1.0,39,33,0
74,20120626,12,1,2,7.0,3.0,1.2121212121212122,2.0,5.0,1,1.0,40,33,0
75,20120627,12,1,2,13.0,1.0,1.2424242424242424,2.0,4.5,1,2.0,41,33,0
76,20120628,12,1,28,9.0,7.0,1.2727272727272727,2.0,4.5,1,3.0,42,33,0
77,20120629,12,1,28,5.0,7.0,1.303030303030303,2.0,4.5,1,4.0,43,33,0
78,20120630,12,1,28,2.0,11.0,1.2647058823529411,2.0,5.5,0,-1.0,43,34,0
79,20120701,12,1,28,10.0,6.0,1.2285714285714286,2.0,6.5,0,-2.0,43,35,0
80,20120702,12,1,7,3.0,0.0,1.2571428571428571,2.0,5.5,1,1.0,44,35,0
81,20120703,12,1,7,5.0,9.0,1.2857142857142858,2.0,5.0,1,2.0,45,35,0
82,20120704,12,1,7,3.0,12.0,1.25,2.0,5.0,0,-1.0,45,36,0
83,20120705,12,0,2,9.0,7.0,1.2162162162162162,2.0,5.0,1,-2.0,45,37,0
84,20120706,12,0,2,2.0,3.0,1.2432432432432432,2.0,4.0,1,1.0,46,37,0
85,20120707,12,0,2,3.0,0.0,1.2105263157894737,2.0,4.0,1,-1.0,46,38,0
86,20120708,12,0,2,6.0,0.0,1.236842105263158,2.0,4.0,0,1.0,47,38,0
87,20120713,12,1,18,5.0,6.0,1.263157894736842,2.0,4.0,1,2.0,48,38,0
88,20120714,12,1,18,3.0,5.0,1.2307692307692308,2.0,5.0,0,-1.0,48,39,0
89,20120715,12,1,18,10.0,8.0,1.2,2.0,5.0,0,-2.0,48,40,0
90,20120716,12,1,9,6.0,8.0,1.225,2.0,5.0,1,1.0,49,40,0
91,20120717,12,1,9,13.0,0.0,1.1951219512195121,2.0,5.5,1,-1.0,49,41,0
92,20120718,12,1,9,2.0,7.0,1.2195121951219512,2.0,5.5,1,1.0,50,41,0
93,20120719,12,1,9,1.0,5.0,1.1904761904761905,2.0,5.5,0,-1.0,50,42,0
94,20120720,12,0,27,6.0,1.0,1.1627906976744187,2.0,6.0,1,-2.0,50,43,0
95,20120721,12,0,27,2.0,9.0,1.186046511627907,2.0,5.0,0,1.0,51,43,0
96,20120722,12,0,27,7.0,4.0,1.1590909090909092,2.0,6.0,1,-1.0,51,44,0
97,20120723,12,0,11,6.0,3.0,1.1818181818181819,2.0,5.0,1,1.0,52,44,0
98,20120724,12,0,11,1.0,4.0,1.2045454545454546,2.0,5.0,1,2.0,53,44,0
99,20120725,12,0,11,11.0,6.0,1.1777777777777778,2.0,5.0,0,-1.0,53,45,0
100,20120727,12,0,26,3.0,1.0,1.2,2.0,5.0,1,1.0,54,45,0
101,20120728,12,0,26,0.0,3.0,1.2222222222222223,2.0,4.0,1,2.0,55,45,0
102,20120729,12,0,26,0.0,2.0,1.1956521739130435,3.0,4.0,0,-1.0,55,46,0
103,20120730,12,1,27,15.0,8.0,1.1702127659574468,3.0,5.0,1,-2.0,55,47,0
104,20120731,12,1,27,6.0,2.0,1.1914893617021276,3.0,4.0,1,1.0,56,47,0
105,20120801,12,1,27,10.0,11.0,1.2127659574468086,2.0,3.0,1,2.0,57,47,0
106,20120802,12,1,27,9.0,15.0,1.1875,2.0,4.0,1,-1.0,57,48,0
107,20120803,12,1,5,6.0,8.0,1.163265306122449,3.0,5.0,1,-2.0,57,49,0
108,20120804,12,1,5,6.0,5.0,1.14,3.0,6.0,1,-3.0,57,50,0
109,20120805,12,1,5,2.0,4.0,1.16,3.0,6.0,0,1.0,58,50,0
110,20120806,12,1,19,4.0,0.0,1.1372549019607843,3.0,6.0,1,-1.0,58,51,0
111,20120807,12,1,19,4.0,10.0,1.1568627450980393,2.0,5.0,1,1.0,59,51,0
112,20120808,12,1,19,8.0,9.0,1.1346153846153846,3.0,6.0,0,-1.0,59,52,0
113,20120810,12,0,23,6.0,5.0,1.1132075471698113,3.0,7.0,1,-2.0,59,53,0
114,20120811,12,0,23,4.0,7.0,1.1320754716981132,3.0,6.0,1,1.0,60,53,0
115,20120812,12,0,23,1.0,4.0,1.1111111111111112,3.0,7.0,0,-1.0,60,54,0
116,20120813,12,0,7,2.0,6.0,1.0909090909090908,3.0,8.0,1,-2.0,60,55,0
117,20120814,12,0,7,9.0,6.0,1.0714285714285714,3.0,8.0,1,-3.0,60,56,0
118,20120815,12,0,7,8.0,4.0,1.0892857142857142,3.0,7.0,1,1.0,61,56,0
119,20120816,12,0,26,0.0,7.0,1.1071428571428572,2.0,6.0,1,2.0,62,56,0
120,20120817,12,0,26,3.0,12.0,1.087719298245614,3.0,7.0,1,-1.0,62,57,0
121,20120818,12,0,26,8.0,10.0,1.0689655172413792,3.0,7.0,1,-2.0,62,58,0
122,20120819,12,0,26,3.0,8.0,1.0508474576271187,3.0,8.0,0,-3.0,62,59,0
123,20120821,12,1,3,5.0,3.0,1.0333333333333334,3.0,9.0,1,-4.0,62,60,0
124,20120822,12,1,3,7.0,3.0,1.05,3.0,8.5,1,1.0,63,60,0
125,20120823,12,1,3,14.0,13.0,1.0666666666666667,3.0,8.5,1,2.0,64,60,0
126,20120824,12,1,9,2.0,1.0,1.0833333333333333,3.0,8.5,1,3.0,65,60,0
127,20120825,12,1,9,3.0,5.0,1.1,3.0,8.5,1,4.0,66,60,0
