,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,13,1,22,5.0,3.0,0,1.0,0,0,0,0,0,0
2,20120406,13,1,22,6.0,0.0,1.0,1.0,-0.5,1,1,1,0,0
3,20120407,13,1,22,6.0,5.0,2.0,1.0,-0.5,1,2,2,0,0
4,20120408,13,1,22,4.0,8.0,3.0,1.0,-0.5,0,3,3,0,0
5,20120410,13,0,21,2.0,1.0,3.0,2.0,0.5,0,-1,3,1,0
6,20120411,13,0,21,4.0,1.0,4.0,2.0,0.5,1,1,4,1,0
7,20120412,13,0,21,3.0,2.0,5.0,1.0,-0.5,1,2,5,1,0
8,20120413,13,0,22,9.0,8.0,6.0,1.0,-0.5,1,3,6,1,0
9,20120414,13,0,22,6.0,1.0,7.0,1.0,-1.5,1,4,7,1,0
10,20120415,13,0,22,5.0,4.0,8.0,1.0,-2.5,0,5,8,1,0
11,20120417,13,1,15,4.0,5.0,9.0,1.0,-2.5,1,6,9,1,0
12,20120418,13,1,15,2.0,3.0,4.5,1.0,-2.0,1,-1,9,2,0
13,20120419,13,1,15,4.0,3.0,3.0,1.0,-2.0,0,-2,9,3,0
14,20120420,13,1,10,3.0,1.0,3.3333333333333335,1.0,-3.0,1,1,10,3,0
15,20120421,13,1,10,5.0,1.0,3.6666666666666665,1.0,-3.5,1,2,11,3,0
16,20120422,13,1,10,0.0,12.0,4.0,1.0,-4.5,0,3,12,3,0
17,20120423,13,0,1,7.0,2.0,3.0,1.0,-3.5,1,-1,12,4,0
18,20120424,13,0,1,3.0,4.0,3.25,1.0,-3.5,1,1,13,4,0
19,20120425,13,0,1,2.0,4.0,2.6,1.0,-3.5,1,-1,13,5,0
20,20120427,13,0,29,3.0,2.0,2.1666666666666665,1.0,-3.5,1,-2,13,6,0
21,20120428,13,0,29,4.0,3.0,2.3333333333333335,1.0,-3.5,1,1,14,6,0
22,20120429,13,0,29,2.0,0.0,2.5,1.0,-4.0,0,2,15,6,0
23,20120430,13,1,8,2.0,6.0,2.6666666666666665,1.0,-4.0,1,3,16,6,0
24,20120501,13,1,8,7.0,6.0,2.2857142857142856,1.0,-3.5,1,-1,16,7,0
25,20120502,13,1,8,5.0,8.0,2.4285714285714284,1.0,-4.0,0,1,17,7,0
26,20120504,13,1,4,4.0,5.0,2.125,1.0,-4.0,0,-1,17,8,0
27,20120505,13,1,4,5.0,1.0,1.8888888888888888,1.0,-3.5,0,-2,17,9,0
28,20120506,13,1,4,3.0,4.0,2.0,1.0,-4.5,0,1,18,9,0
29,20120507,13,0,24,9.0,1.0,1.8,1.0,-4.0,1,-1,18,10,0
30,20120508,13,0,24,1.0,2.0,1.9,1.0,-5.0,1,1,19,10,0
31,20120509,13,0,24,6.0,2.0,1.7272727272727273,1.0,-4.0,1,-1,19,11,0
32,20120511,13,0,8,7.0,3.0,1.8181818181818181,1.0,-5.0,1,1,20,11,0
33,20120512,13,0,8,2.0,1.0,1.9090909090909092,1.0,-6.0,1,2,21,11,0
