,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120404,14,0,25,1.0,4.0,0,1.0,0,1,0,0,0,0
2,20120405,14,1,6,0.0,4.0,0.0,5.0,0.5,0,-1,0,1,0
3,20120407,14,1,6,8.0,3.0,0.0,5.0,1.5,1,-2,0,2,0
4,20120408,14,1,6,5.0,6.0,0.5,4.0,1.5,0,1,1,2,0
5,20120409,14,1,20,6.0,2.0,0.3333333333333333,4.0,2.5,0,-1,1,3,0
6,20120411,14,1,20,1.0,7.0,0.6666666666666666,3.0,2.5,1,1,2,3,0
7,20120412,14,1,20,1.0,3.0,0.5,4.0,2.0,1,-1,2,4,0
8,20120413,14,0,10,5.0,4.0,0.4,5.0,3.0,1,-2,2,5,0
9,20120414,14,0,10,4.0,5.0,0.6,5.0,3.0,1,1,3,5,0
10,20120415,14,0,10,5.0,4.0,0.5,5.0,4.0,0,-1,3,6,0
11,20120417,14,0,4,5.0,2.0,0.6666666666666666,5.0,3.0,1,1,4,6,0
12,20120418,14,0,4,9.0,1.0,0.8333333333333334,4.0,3.5,1,2,5,6,0
13,20120419,14,0,4,5.0,3.0,1.0,4.0,3.5,0,3,6,6,0
14,20120420,14,1,29,0.0,2.0,1.1666666666666667,4.0,2.5,1,4,7,6,0
15,20120421,14,1,29,2.0,3.0,1.0,4.0,3.5,0,-1,7,7,0
16,20120424,14,1,17,1.0,2.0,0.875,4.0,4.5,1,-2,7,8,0
17,20120425,14,1,17,1.0,5.0,0.7777777777777778,4.0,5.5,1,-3,7,9,0
18,20120426,14,1,17,2.0,3.0,0.7,5.0,6.5,0,-4,7,10,0
19,20120427,14,0,0,0.0,5.0,0.6363636363636364,5.0,6.5,1,-5,7,11,0
20,20120428,14,0,0,3.0,2.0,0.5833333333333334,5.0,6.5,1,-6,7,12,0
21,20120429,14,0,0,4.0,8.0,0.6666666666666666,5.0,5.5,0,1,8,12,0
22,20120430,14,0,0,5.0,9.0,0.6153846153846154,5.0,5.5,0,-1,8,13,0
23,20120501,14,1,24,2.0,1.0,0.5714285714285714,5.0,6.0,1,-2,8,14,0
24,20120502,14,1,24,3.0,2.0,0.6428571428571429,5.0,5.0,1,1,9,14,0
25,20120503,14,1,24,3.0,2.0,0.7142857142857143,5.0,5.0,0,2,10,14,0
26,20120504,14,1,22,9.0,8.0,0.7857142857142857,5.0,5.0,1,3,11,14,0
27,20120505,14,1,22,4.0,1.0,0.8571428571428571,5.0,5.0,1,4,12,14,0
28,20120506,14,1,22,6.0,3.0,0.9285714285714286,4.0,5.0,0,5,13,14,0
29,20120507,14,1,10,4.0,0.0,1.0,4.0,4.0,1,6,14,14,0
30,20120508,14,1,10,2.0,3.0,1.0714285714285714,4.0,3.5,1,7,15,14,0
31,20120509,14,1,10,5.0,3.0,1.0,4.0,3.5,1,-1,15,15,0
32,20120511,14,0,17,6.0,5.0,1.0666666666666667,4.0,2.5,1,1,16,15,0
33,20120512,14,0,17,3.0,9.0,1.1333333333333333,4.0,3.0,0,2,17,15,0
34,20120513,14,0,17,8.0,4.0,1.0625,4.0,4.0,0,-1,17,16,0
35,20120514,14,0,21,2.0,3.0,1.125,4.0,3.5,1,1,18,16,0
36,20120515,14,0,21,6.0,2.0,1.0588235294117647,4.0,4.0,1,-1,18,17,0
37,20120516,14,1,1,8.0,4.0,1.1176470588235294,4.0,3.5,1,1,19,17,0
38,20120517,14,1,1,0.0,7.0,1.1764705882352942,3.0,3.0,1,2,20,17,0
39,20120518,14,1,7,3.0,2.0,1.1111111111111112,4.0,3.5,1,-1,20,18,0
40,20120519,14,1,7,0.0,2.0,1.1666666666666667,3.0,3.5,0,1,21,18,0
41,20120520,14,1,7,5.0,3.0,1.105263157894737,3.0,3.5,0,-1,21,19,0
42,20120521,14,0,8,7.0,4.0,1.1578947368421053,3.0,3.5,1,1,22,19,0
43,20120522,14,0,8,7.0,6.0,1.2105263157894737,3.0,2.5,1,2,23,19,0
44,20120523,14,0,8,4.0,8.0,1.263157894736842,3.0,2.0,1,3,24,19,0
45,20120524,14,0,24,7.0,14.0,1.2,3.0,2.0,1,-1,24,20,0
46,20120525,14,0,24,7.0,6.0,1.1428571428571428,3.0,2.5,1,-2,24,21,0
47,20120526,14,0,24,5.0,3.0,1.1904761904761905,3.0,2.5,0,1,25,21,0
48,20120527,14,0,24,2.0,3.0,1.2380952380952381,2.0,2.5,0,2,26,21,0
49,20120528,14,0,29,5.0,3.0,1.1818181818181819,3.0,3.5,0,-1,26,22,0
50,20120529,14,0,29,3.0,1.0,1.2272727272727273,2.0,2.5,1,1,27,22,0
51,20120530,14,0,29,5.0,3.0,1.2727272727272727,2.0,1.5,1,2,28,22,0
52,20120601,14,1,20,4.0,6.0,1.3181818181818181,2.0,0.5,1,3,29,22,0
53,20120602,14,1,20,5.0,4.0,1.2608695652173914,2.0,1.0,0,-1,29,23,0
54,20120603,14,1,20,5.0,1.0,1.3043478260869565,2.0,1.0,0,1,30,23,0
55,20120605,14,0,1,0.0,11.0,1.3478260869565217,1.0,0,1,2,31,23,0
56,20120606,14,0,1,1.0,2.0,1.2916666666666667,2.0,1.0,1,-1,31,24,0
57,20120607,14,0,1,2.0,8.0,1.24,2.0,2.0,1,-2,31,25,0
58,20120608,14,0,26,1.0,5.0,1.1923076923076923,4.0,2.0,1,-3,31,26,0
59,20120609,14,0,26,4.0,13.0,1.1481481481481481,4.0,3.0,1,-4,31,27,0
60,20120610,14,0,26,2.0,4.0,1.1071428571428572,4.0,4.0,0,-5,31,28,0
61,20120611,14,0,3,4.0,1.0,1.0689655172413792,4.0,5.0,1,-6,31,29,0
62,20120612,14,0,3,1.0,2.0,1.103448275862069,3.0,5.0,1,1,32,29,0
63,20120613,14,0,3,2.0,10.0,1.0666666666666667,4.0,6.0,1,-1,32,30,0
64,20120615,14,1,26,0.0,11.0,1.032258064516129,4.0,7.0,1,-2,32,31,0
65,20120616,14,1,26,4.0,3.0,1.0,4.0,7.0,1,-3,32,32,0
66,20120617,14,1,26,0.0,3.0,1.03125,4.0,6.0,0,1,33,32,0
67,20120619,14,1,3,5.0,7.0,1.0,4.0,6.0,1,-1,33,33,0
68,20120620,14,1,3,5.0,15.0,0.9705882352941176,4.0,6.0,1,-2,33,34,0
69,20120621,14,1,3,5.0,6.0,0.9428571428571428,4.0,7.0,1,-3,33,35,0
70,20120622,14,0,28,5.0,12.0,0.9166666666666666,4.0,8.0,1,-4,33,36,0
71,20120623,14,0,28,1.0,7.0,0.8918918918918919,4.0,8.0,0,-5,33,37,0
72,20120624,14,0,28,9.0,0.0,0.868421052631579,5.0,9.0,0,-6,33,38,0
73,20120625,14,0,25,7.0,8.0,0.8947368421052632,4.0,8.0,1,1,34,38,0
74,20120626,14,0,25,2.0,5.0,0.8717948717948718,4.0,8.0,1,-1,34,39,0
75,20120627,14,0,25,5.0,3.0,0.85,5.0,9.0,1,-2,34,40,0
76,20120629,14,0,20,6.0,2.0,0.875,4.0,9.0,1,1,35,40,0
77,20120630,14,0,20,3.0,2.0,0.9,4.0,8.5,0,2,36,40,0
78,20120701,14,0,20,5.0,2.0,0.925,4.0,7.5,0,3,37,40,0
79,20120702,14,1,15,5.0,6.0,0.95,4.0,7.5,1,4,38,40,0
80,20120703,14,1,15,12.0,13.0,0.926829268292683,4.0,8.0,0,-1,38,41,0
81,20120704,14,1,15,7.0,6.0,0.9047619047619048,4.0,9.0,0,-2,38,42,0
82,20120705,14,1,15,4.0,0.0,0.9285714285714286,4.0,9.0,0,1,39,42,0
