,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,15,0,25,5.0,11.0,0,1.0,0,0,0,0,0,0
2,20120407,15,0,25,6.0,0.0,0.0,3.0,1.5,0,-1,0,1,0
3,20120408,15,0,25,3.0,9.0,1.0,2.0,0.5,0,1,1,1,0
4,20120409,15,1,4,7.0,5.0,0.5,5.0,1.5,1,-1,1,2,0
5,20120410,15,1,4,7.0,4.0,1.0,4.0,1.5,1,1,2,2,0
6,20120411,15,1,4,2.0,1.0,1.5,2.0,1.5,0,2,3,2,0
7,20120412,15,1,4,0.0,8.0,2.0,2.0,0.5,0,3,4,2,0
8,20120413,15,1,1,8.0,10.0,1.3333333333333333,2.0,1.0,1,-1,4,3,0
9,20120414,15,1,1,1.0,2.0,1.0,2.0,1.0,1,-2,4,4,0
10,20120415,15,1,1,4.0,7.0,0.8,3.0,2.0,0,-3,4,5,0
11,20120417,15,0,13,5.0,4.0,0.6666666666666666,3.0,3.0,1,-4,4,6,0
12,20120418,15,0,13,3.0,2.0,0.8333333333333334,2.0,3.0,1,1,5,6,0
13,20120419,15,0,13,3.0,4.0,1.0,2.0,3.0,0,2,6,6,0
14,20120420,15,0,8,3.0,4.0,0.8571428571428571,2.0,3.0,1,-1,6,7,0
15,20120421,15,0,8,9.0,4.0,0.75,2.0,4.0,1,-2,6,8,0
16,20120422,15,0,8,1.0,4.0,0.875,2.0,3.0,0,1,7,8,0
17,20120423,15,0,10,6.0,5.0,0.7777777777777778,2.0,4.0,1,-1,7,9,0
18,20120424,15,0,10,9.0,6.0,0.8888888888888888,2.0,3.0,1,1,8,9,0
19,20120425,15,0,10,5.0,7.0,1.0,2.0,2.0,0,2,9,9,0
20,20120427,15,1,25,1.0,13.0,0.9,3.0,3.0,1,-1,9,10,0
21,20120428,15,1,25,3.0,7.0,0.8181818181818182,2.0,4.0,0,-2,9,11,0
22,20120429,15,1,25,3.0,2.0,0.75,4.0,5.0,0,-3,9,12,0
23,20120430,15,1,22,8.0,3.0,0.8333333333333334,3.0,4.0,1,1,10,12,0
24,20120501,15,1,22,0.0,2.0,0.9166666666666666,3.0,3.5,1,2,11,12,0
25,20120502,15,1,22,0.0,5.0,0.8461538461538461,3.0,4.5,0,-1,11,13,0
26,20120504,15,1,24,6.0,4.0,0.7857142857142857,3.0,5.5,1,-2,11,14,0
27,20120505,15,1,24,2.0,5.0,0.8571428571428571,3.0,4.0,0,1,12,14,0
28,20120506,15,1,24,3.0,4.0,0.8,4.0,4.0,0,-1,12,15,0
29,20120507,15,0,6,1.0,6.0,0.75,4.0,5.0,1,-2,12,16,0
30,20120508,15,0,6,8.0,3.0,0.7058823529411765,5.0,6.0,1,-3,12,17,0
31,20120509,15,0,6,1.0,2.0,0.7647058823529411,5.0,6.0,0,1,13,17,0
32,20120511,15,0,4,8.0,7.0,0.7222222222222222,5.0,7.0,1,-1,13,18,0
33,20120512,15,0,4,8.0,2.0,0.7777777777777778,4.0,6.0,0,1,14,18,0
34,20120513,15,0,4,2.0,8.0,0.8333333333333334,3.0,5.0,0,2,15,18,0
35,20120514,15,1,17,1.0,3.0,0.7894736842105263,4.0,5.0,1,-1,15,19,0
36,20120515,15,1,17,8.0,0.0,0.75,4.0,5.0,1,-2,15,20,0
37,20120516,15,1,10,3.0,8.0,0.8,4.0,5.0,1,1,16,20,0
38,20120517,15,1,10,0.0,4.0,0.7619047619047619,4.0,6.0,1,-1,16,21,0
39,20120518,15,0,16,3.0,11.0,0.7272727272727273,5.0,6.0,1,-2,16,22,0
40,20120519,15,0,16,4.0,5.0,0.6956521739130435,5.0,6.0,0,-3,16,23,0
41,20120520,15,0,16,16.0,4.0,0.6666666666666666,5.0,6.0,0,-4,16,24,0
42,20120521,15,0,24,3.0,4.0,0.7083333333333334,5.0,5.0,1,1,17,24,0
43,20120522,15,0,24,4.0,6.0,0.68,5.0,6.0,1,-1,17,25,0
44,20120523,15,0,24,8.0,5.0,0.6538461538461539,5.0,7.0,0,-2,17,26,0
45,20120525,15,1,0,7.0,1.0,0.6923076923076923,5.0,7.0,1,1,18,26,0
46,20120526,15,1,0,5.0,8.0,0.7307692307692307,5.0,6.0,1,2,19,26,0
47,20120527,15,1,0,3.0,4.0,0.7037037037037037,5.0,7.0,0,-1,19,27,0
48,20120528,15,1,13,3.0,2.0,0.6785714285714286,5.0,8.0,1,-2,19,28,0
49,20120529,15,1,13,2.0,1.0,0.7142857142857143,5.0,7.0,1,1,20,28,0
50,20120530,15,1,13,6.0,3.0,0.75,5.0,7.0,1,2,21,28,0
51,20120531,15,1,13,6.0,2.0,0.7857142857142857,4.0,6.0,1,3,22,28,0
52,20120601,15,0,21,2.0,8.0,0.8214285714285714,4.0,5.5,1,4,23,28,0
53,20120602,15,0,21,5.0,1.0,0.7931034482758621,4.0,6.5,1,-1,23,29,0
54,20120603,15,0,21,5.0,6.0,0.8275862068965517,4.0,6.5,0,1,24,29,0
55,20120605,15,0,4,0.0,10.0,0.8,4.0,6.5,1,-1,24,30,0
56,20120606,15,0,4,8.0,0.0,0.7741935483870968,4.0,6.5,1,-2,24,31,0
57,20120607,15,0,4,4.0,3.0,0.8064516129032258,4.0,6.5,0,1,25,31,0
58,20120608,15,0,22,9.0,5.0,0.8387096774193549,4.0,5.5,1,2,26,31,0
59,20120609,15,0,22,2.0,5.0,0.8709677419354839,4.0,5.5,0,3,27,31,0
60,20120610,15,0,22,6.0,5.0,0.84375,4.0,5.5,0,-1,27,32,0
61,20120612,15,1,11,1.0,2.0,0.875,4.0,4.5,1,1,28,32,0
62,20120613,15,1,11,3.0,4.0,0.8484848484848485,4.0,5.5,1,-1,28,33,0
63,20120614,15,1,11,3.0,4.0,0.8235294117647058,4.0,6.5,1,-2,28,34,0
64,20120615,15,1,16,5.0,3.0,0.8,4.0,7.5,1,-3,28,35,0
65,20120616,15,1,16,6.0,2.0,0.8285714285714286,4.0,7.5,0,1,29,35,0
66,20120617,15,1,16,4.0,5.0,0.8571428571428571,4.0,7.5,0,2,30,35,0
67,20120618,15,0,28,7.0,6.0,0.8333333333333334,4.0,8.5,1,-1,30,36,0
68,20120619,15,0,28,9.0,10.0,0.8611111111111112,4.0,7.5,1,1,31,36,0
69,20120620,15,0,28,8.0,3.0,0.8378378378378378,4.0,7.5,0,-1,31,37,0
70,20120622,15,1,5,1.0,0.0,0.8648648648648649,4.0,6.5,1,1,32,37,0
71,20120623,15,1,5,6.0,8.0,0.8918918918918919,4.0,5.5,1,2,33,37,0
72,20120624,15,1,5,0.0,1.0,0.868421052631579,4.0,6.5,0,-1,33,38,0
73,20120625,15,1,6,1.0,3.0,0.8461538461538461,4.0,6.5,1,-2,33,39,0
74,20120626,15,1,6,3.0,4.0,0.825,4.0,7.5,1,-3,33,40,0
75,20120627,15,1,6,8.0,4.0,0.8048780487804879,4.0,8.5,0,-4,33,41,0
76,20120629,15,0,0,3.0,9.0,0.8292682926829268,4.0,7.5,1,1,34,41,0
77,20120630,15,0,0,10.0,2.0,0.8095238095238095,4.0,8.0,1,-1,34,42,0
78,20120701,15,0,0,2.0,1.0,0.8333333333333334,4.0,8.0,0,1,35,42,0
79,20120702,15,0,14,6.0,5.0,0.8571428571428571,4.0,7.0,1,2,36,42,0
80,20120703,15,0,14,13.0,12.0,0.8809523809523809,4.0,7.0,0,3,37,42,0
81,20120704,15,0,14,6.0,7.0,0.9047619047619048,4.0,6.0,0,4,38,42,0
82,20120705,15,0,14,0.0,4.0,0.8837209302325582,4.0,7.0,0,-1,38,43,0
83,20120706,15,1,10,7.0,1.0,0.8636363636363636,4.0,8.0,1,-2,38,44,0
84,20120707,15,1,10,3.0,6.0,0.8863636363636364,4.0,7.0,0,1,39,44,0
85,20120708,15,1,10,5.0,3.0,0.8666666666666667,4.0,8.0,0,-1,39,45,0
86,20120713,15,0,21,10.0,7.0,0.8888888888888888,4.0,8.0,1,1,40,45,0
87,20120714,15,0,21,4.0,6.0,0.9111111111111111,4.0,7.0,1,2,41,45,0
88,20120715,15,0,21,4.0,1.0,0.8913043478260869,4.0,8.0,0,-1,41,46,0
89,20120716,15,0,25,2.0,3.0,0.9130434782608695,4.0,8.0,1,1,42,46,0
90,20120717,15,0,25,3.0,2.0,0.8936170212765957,4.0,8.0,1,-1,42,47,0
91,20120718,15,0,25,4.0,3.0,0.9148936170212766,4.0,8.0,0,1,43,47,0
92,20120720,15,1,6,1.0,3.0,0.9361702127659575,4.0,7.0,1,2,44,47,0
93,20120721,15,1,6,2.0,6.0,0.9166666666666666,4.0,8.5,1,-1,44,48,0
94,20120722,15,1,6,1.0,2.0,0.8979591836734694,4.0,9.5,0,-2,44,49,0
95,20120723,15,1,20,6.0,7.0,0.88,4.0,10.5,1,-3,44,50,0
96,20120724,15,1,20,6.0,7.0,0.8627450980392157,4.0,11.5,1,-4,44,51,0
97,20120725,15,1,20,6.0,7.0,0.8461538461538461,4.0,12.5,0,-5,44,52,0
98,20120726,15,0,29,2.0,8.0,0.8301886792452831,4.0,13.5,1,-6,44,53,0
99,20120727,15,0,29,6.0,0.0,0.8148148148148148,4.0,14.0,1,-7,44,54,0
100,20120728,15,0,29,1.0,4.0,0.8333333333333334,4.0,14.0,1,1,45,54,0
101,20120729,15,0,29,10.0,11.0,0.8181818181818182,4.0,15.0,0,-1,45,55,0
102,20120730,15,0,10,8.0,7.0,0.8035714285714286,4.0,16.0,1,-2,45,56,0
103,20120731,15,0,10,10.0,1.0,0.8214285714285714,4.0,15.0,1,1,46,56,0
104,20120801,15,0,10,13.0,4.0,0.8392857142857143,4.0,15.0,0,2,47,56,0
105,20120803,15,1,25,3.0,9.0,0.8571428571428571,4.0,15.0,1,3,48,56,0
106,20120804,15,1,25,1.0,6.0,0.8421052631578947,4.0,16.5,1,-1,48,57,0
107,20120805,15,1,25,0.0,3.0,0.8275862068965517,4.0,17.5,1,-2,48,58,0
108,20120806,15,0,6,6.0,3.0,0.8135593220338984,4.0,17.5,1,-3,48,59,0
109,20120807,15,0,6,3.0,1.0,0.8305084745762712,4.0,16.5,1,1,49,59,0
110,20120808,15,0,6,3.0,2.0,0.847457627118644,4.0,15.5,0,2,50,59,0
111,20120810,15,1,10,3.0,4.0,0.864406779661017,4.0,14.5,1,3,51,59,0
112,20120811,15,1,10,5.0,6.0,0.85,4.0,15.0,1,-1,51,60,0
113,20120812,15,1,10,5.0,3.0,0.8360655737704918,4.0,16.0,0,-2,51,61,0
114,20120813,15,1,8,6.0,9.0,0.8524590163934426,4.0,16.0,1,1,52,61,0
115,20120814,15,1,8,6.0,8.0,0.8387096774193549,4.0,16.5,1,-1,52,62,0
116,20120815,15,1,8,6.0,7.0,0.8253968253968254,4.0,17.5,0,-2,52,63,0
117,20120816,15,0,20,7.0,4.0,0.8125,4.0,18.5,1,-3,52,64,0
118,20120817,15,0,20,6.0,2.0,0.828125,4.0,17.5,1,1,53,64,0
119,20120818,15,0,20,3.0,4.0,0.84375,4.0,17.5,1,2,54,64,0
120,20120819,15,0,20,0.0,8.0,0.8307692307692308,4.0,18.0,0,-1,54,65,0
121,20120820,15,0,4,9.0,5.0,0.8181818181818182,4.0,19.0,1,-2,54,66,0
122,20120821,15,0,4,5.0,2.0,0.8333333333333334,4.0,18.0,1,1,55,66,0
123,20120822,15,0,4,3.0,2.0,0.8484848484848485,4.0,18.0,0,2,56,66,0
124,20120824,15,1,21,6.0,5.0,0.8636363636363636,4.0,18.0,1,3,57,66,0
125,20120825,15,1,21,0.0,4.0,0.8787878787878788,4.0,16.5,1,4,58,66,0
126,20120826,15,1,21,7.0,0.0,0.8656716417910447,4.0,17.5,0,-1,58,67,0
127,20120827,15,1,4,15.0,4.0,0.8805970149253731,4.0,16.5,1,1,59,67,0
128,20120828,15,1,4,4.0,1.0,0.8955223880597015,4.0,16.5,1,2,60,67,0
129,20120829,15,1,4,3.0,1.0,0.9104477611940298,4.0,16.5,1,3,61,67,0
130,20120830,15,1,4,11.0,12.0,0.9253731343283582,4.0,16.5,0,4,62,67,0
131,20120831,15,0,21,9.0,3.0,0.9117647058823529,4.0,17.0,1,-1,62,68,0
132,20120901,15,0,21,3.0,2.0,0.9264705882352942,4.0,17.0,1,1,63,68,0
133,20120902,15,0,21,12.0,8.0,0.9411764705882353,4.0,16.0,0,2,64,68,0
134,20120903,15,1,14,3.0,7.0,0.9558823529411765,4.0,16.0,0,3,65,68,0
135,20120904,15,1,14,8.0,4.0,0.9420289855072463,4.0,16.0,1,-1,65,69,0
136,20120905,15,1,14,8.0,5.0,0.9565217391304348,4.0,16.0,1,1,66,69,0
137,20120906,15,1,14,2.0,6.0,0.9710144927536232,4.0,15.0,0,2,67,69,0
138,20120907,15,1,25,5.0,4.0,0.9571428571428572,4.0,15.5,1,-1,67,70,0
139,20120908,15,1,25,6.0,3.0,0.9714285714285714,4.0,14.5,1,1,68,70,0
140,20120909,15,1,25,4.0,5.0,0.9857142857142858,4.0,14.5,0,2,69,70,0
141,20120910,15,0,1,4.0,1.0,0.971830985915493,4.0,14.5,1,-1,69,71,0
142,20120911,15,0,1,5.0,0.0,0.9859154929577465,4.0,14.5,1,1,70,71,0
143,20120912,15,0,1,8.0,2.0,1.0,4.0,14.5,1,2,71,71,0
144,20120914,15,0,17,3.0,7.0,1.0140845070422535,4.0,14.5,1,3,72,71,0
145,20120915,15,0,17,9.0,6.0,1.0,4.0,14.5,1,-1,72,72,0
146,20120916,15,0,17,3.0,0.0,1.0138888888888888,4.0,13.5,0,1,73,72,0
147,20120918,15,1,21,6.0,0.0,1.0277777777777777,3.0,13.5,1,2,74,72,0
148,20120919,15,1,21,3.0,1.0,1.0416666666666667,3.0,13.5,1,3,75,72,0
149,20120920,15,1,21,9.0,7.0,1.0555555555555556,3.0,13.5,0,4,76,72,0
150,20120921,15,1,29,4.0,2.0,1.0694444444444444,3.0,13.5,1,5,77,72,0
151,20120922,15,1,29,4.0,10.0,1.0833333333333333,3.0,12.5,0,6,78,72,0
152,20120923,15,1,29,6.0,2.0,1.0684931506849316,3.0,13.5,0,-1,78,73,0
153,20120924,15,1,29,2.0,12.0,1.082191780821918,3.0,12.5,0,1,79,73,0
154,20120925,15,1,6,2.0,4.0,1.0675675675675675,3.0,13.0,1,-1,79,74,0
155,20120926,15,1,6,8.0,1.0,1.0533333333333332,3.0,14.0,1,-2,79,75,0
156,20120927,15,1,6,1.0,2.0,1.0666666666666667,3.0,13.0,0,1,80,75,0
157,20120928,15,0,10,6.0,7.0,1.0526315789473684,3.0,14.0,1,-1,80,76,0
158,20120929,15,0,10,9.0,5.0,1.0389610389610389,3.0,15.0,1,-2,80,77,0
159,20120930,15,0,10,0.0,7.0,1.051948051948052,3.0,14.0,0,1,81,77,0
160,20121001,15,0,22,5.0,3.0,1.0384615384615385,3.0,15.0,1,-1,81,78,0
161,20121002,15,0,22,4.0,3.0,1.0512820512820513,3.0,14.0,1,1,82,78,0
162,20121003,15,0,22,6.0,7.0,1.064102564102564,3.0,14.0,1,2,83,78,0
1,20130401,15,0,8,5.0,4.0,0,1.0,0,0,0,0,0,0
2,20130402,15,0,8,4.0,8.0,1.0,1.0,0,1,1,1,0,0
3,20130403,15,0,8,3.0,7.0,1.0,2.0,0.5,1,-1,1,1,0
4,20130405,15,0,0,1.0,3.0,0.5,4.0,0.5,1,-2,1,2,0
5,20130406,15,0,0,2.0,9.0,0.3333333333333333,3.0,2.0,1,-3,1,3,0
6,20130407,15,0,0,7.0,8.0,0.25,4.0,2.0,0,-4,1,4,0
7,20130408,15,1,4,7.0,4.0,0.2,4.0,3.0,0,-5,1,5,0
8,20130409,15,1,4,3.0,6.0,0.4,3.0,3.0,1,1,2,5,0
9,20130412,15,1,25,0.0,2.0,0.3333333333333333,5.0,3.0,1,-1,2,6,0
10,20130413,15,1,25,0.0,8.0,0.2857142857142857,5.0,3.5,0,-2,2,7,0
11,20130414,15,1,25,4.0,3.0,0.25,5.0,4.5,0,-3,2,8,0
12,20130416,15,0,24,10.0,8.0,0.375,5.0,3.5,1,1,3,8,0
13,20130417,15,0,24,4.0,3.0,0.5,4.0,3.5,1,2,4,8,0
14,20130418,15,0,24,7.0,2.0,0.625,4.0,2.5,0,3,5,8,0
15,20130419,15,0,4,5.0,4.0,0.75,4.0,2.5,1,4,6,8,0
16,20130420,15,0,4,5.0,1.0,0.875,4.0,1.5,1,5,7,8,0
17,20130421,15,0,4,4.0,2.0,1.0,4.0,1.5,0,6,8,8,0
18,20130422,15,1,22,7.0,1.0,1.125,4.0,1.0,1,7,9,8,0
19,20130423,15,1,22,6.0,3.0,1.25,3.0,1.0,1,8,10,8,0
20,20130424,15,1,22,1.0,2.0,1.375,2.0,0.5,1,9,11,8,0
21,20130426,15,1,13,5.0,7.0,1.2222222222222223,4.0,1.5,1,-1,11,9,0
22,20130427,15,1,13,6.0,4.0,1.1,4.0,2.5,1,-2,11,10,0
23,20130428,15,1,13,0.0,2.0,1.2,3.0,1.5,0,1,12,10,0
24,20130429,15,0,21,10.0,4.0,1.0909090909090908,4.0,2.0,1,-1,12,11,0
25,20130430,15,0,21,12.0,8.0,1.1818181818181819,4.0,1.0,1,1,13,11,0
26,20130501,15,0,21,4.0,6.0,1.2727272727272727,2.0,0.5,0,2,14,11,0
27,20130502,15,0,25,5.0,6.0,1.1666666666666667,3.0,1.5,1,-1,14,12,0
28,20130503,15,0,25,1.0,6.0,1.0769230769230769,3.0,2.5,1,-2,14,13,0
29,20130504,15,0,25,6.0,7.0,1.0,4.0,3.5,0,-3,14,14,0
30,20130505,15,0,25,1.0,10.0,0.9333333333333333,4.0,4.5,0,-4,14,15,0
31,20130507,15,0,27,6.0,3.0,0.875,4.0,5.5,1,-5,14,16,0
32,20130508,15,0,27,1.0,4.0,0.9375,4.0,4.5,1,1,15,16,0
33,20130510,15,1,6,3.0,4.0,0.8823529411764706,4.0,5.5,1,-1,15,17,0
34,20130511,15,1,6,7.0,13.0,0.8333333333333334,4.0,6.5,0,-2,15,18,0
35,20130512,15,1,6,1.0,5.0,0.7894736842105263,4.0,7.5,0,-3,15,19,0
36,20130513,15,1,21,5.0,1.0,0.75,4.0,7.5,1,-4,15,20,0
37,20130514,15,1,21,3.0,4.0,0.8,4.0,7.5,1,1,16,20,0
38,20130515,15,1,21,1.0,3.0,0.7619047619047619,4.0,8.5,1,-1,16,21,0
39,20130516,15,1,21,1.0,7.0,0.7272727272727273,4.0,9.5,1,-2,16,22,0
40,20130517,15,1,25,6.0,7.0,0.6956521739130435,5.0,9.5,1,-3,16,23,0
41,20130518,15,1,25,6.0,4.0,0.6666666666666666,5.0,10.5,1,-4,16,24,0
42,20130519,15,1,25,2.0,4.0,0.7083333333333334,5.0,9.5,0,1,17,24,0
43,20130520,15,0,13,1.0,3.0,0.68,5.0,10.5,1,-1,17,25,0
44,20130521,15,0,13,5.0,2.0,0.6538461538461539,5.0,10.5,1,-2,17,26,0
45,20130522,15,0,13,2.0,9.0,0.6923076923076923,4.0,10.5,0,1,18,26,0
46,20130524,15,0,21,2.0,1.0,0.6666666666666666,4.0,11.5,1,-1,18,27,0
47,20130525,15,0,21,2.0,5.0,0.7037037037037037,4.0,11.5,0,1,19,27,0
48,20130526,15,0,21,4.0,5.0,0.6785714285714286,4.0,11.5,0,-1,19,28,0
49,20130527,15,0,16,3.0,6.0,0.6551724137931034,4.0,12.5,0,-2,19,29,0
50,20130528,15,0,16,5.0,6.0,0.6333333333333333,5.0,13.5,1,-3,19,30,0
51,20130529,15,1,16,1.0,4.0,0.6129032258064516,5.0,14.5,1,-4,19,31,0
52,20130530,15,1,16,6.0,8.0,0.59375,5.0,15.5,1,-5,19,32,0
53,20130531,15,1,20,8.0,5.0,0.5757575757575758,5.0,15.5,1,-6,19,33,0
54,20130601,15,1,20,4.0,3.0,0.6060606060606061,5.0,15.0,0,1,20,33,0
55,20130602,15,1,20,5.0,7.0,0.6363636363636364,5.0,15.5,0,2,21,33,0
56,20130603,15,0,19,2.0,10.0,0.6176470588235294,5.0,15.5,1,-1,21,34,0
57,20130604,15,0,19,4.0,3.0,0.6,5.0,16.5,1,-2,21,35,0
58,20130605,15,0,19,1.0,6.0,0.6285714285714286,5.0,15.5,0,1,22,35,0
59,20130606,15,0,20,1.0,5.0,0.6111111111111112,5.0,15.5,1,-1,22,36,0
60,20130607,15,0,20,5.0,4.0,0.5945945945945946,5.0,16.5,1,-2,22,37,0
61,20130608,15,0,20,4.0,3.0,0.6216216216216216,5.0,16.5,1,1,23,37,0
62,20130609,15,0,20,9.0,1.0,0.6486486486486487,5.0,15.5,0,2,24,37,0
63,20130610,15,1,14,6.0,1.0,0.6756756756756757,5.0,15.5,1,3,25,37,0
64,20130611,15,1,14,4.0,5.0,0.7027027027027027,4.0,15.0,1,4,26,37,0
65,20130612,15,1,14,10.0,1.0,0.6842105263157895,4.0,16.0,1,-1,26,38,0
66,20130614,15,1,6,3.0,4.0,0.7105263157894737,4.0,15.0,1,1,27,38,0
67,20130615,15,1,6,6.0,0.0,0.6923076923076923,5.0,15.5,0,-1,27,39,0
68,20130616,15,1,6,1.0,5.0,0.717948717948718,5.0,15.5,0,1,28,39,0
69,20130618,15,1,10,1.0,10.0,0.7,5.0,15.5,1,-1,28,40,0
70,20130619,15,1,10,3.0,1.0,0.6829268292682927,5.0,16.0,1,-2,28,41,0
71,20130620,15,1,10,4.0,7.0,0.7073170731707317,4.0,16.0,0,1,29,41,0
72,20130621,15,0,1,2.0,0.0,0.6904761904761905,4.0,17.0,1,-1,29,42,0
73,20130622,15,0,1,2.0,0.0,0.7142857142857143,4.0,16.0,0,1,30,42,0
74,20130623,15,0,1,4.0,7.0,0.7380952380952381,4.0,15.0,0,2,31,42,0
75,20130625,15,0,4,9.0,3.0,0.7209302325581395,4.0,15.0,1,-1,31,43,0
76,20130626,15,0,4,4.0,5.0,0.7441860465116279,4.0,15.0,1,1,32,43,0
77,20130627,15,0,4,2.0,7.0,0.7272727272727273,4.0,15.0,0,-1,32,44,0
78,20130628,15,1,21,3.0,10.0,0.7111111111111111,5.0,15.5,1,-2,32,45,0
79,20130629,15,1,21,1.0,2.0,0.6956521739130435,5.0,16.5,1,-3,32,46,0
80,20130630,15,1,21,1.0,2.0,0.6808510638297872,5.0,17.5,0,-4,32,47,0
