,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,16,1,2,2.0,4.0,0,1.0,0,0,0.0,0,0,0
2,20120407,16,1,2,2.0,8.0,0.0,2.0,1.0,1,-1.0,0,1,0
3,20120408,16,1,2,1.0,3.0,0.0,4.0,2.0,0,-2.0,0,2,0
4,20120409,16,0,12,1.0,5.0,0.0,5.0,3.0,0,-3.0,0,3,0
5,20120411,16,0,12,6.0,5.0,0.0,5.0,3.5,1,-4.0,0,4,0
6,20120412,16,0,12,10.0,9.0,0.25,4.0,3.0,0,1.0,1,4,0
7,20120413,16,0,27,1.0,4.0,0.5,4.0,3.0,1,2.0,2,4,0
8,20120414,16,0,27,2.0,6.0,0.4,5.0,3.0,0,-1.0,2,5,0
9,20120415,16,0,27,3.0,4.0,0.3333333333333333,5.0,3.5,0,-2.0,2,6,0
10,20120416,16,1,18,7.0,3.0,0.2857142857142857,5.0,4.0,1,-3.0,2,7,0
11,20120417,16,1,18,3.0,8.0,0.42857142857142855,4.0,4.0,1,1.0,3,7,0
12,20120418,16,1,18,6.0,5.0,0.375,4.0,5.0,1,-1.0,3,8,0
13,20120419,16,1,18,6.0,7.0,0.5,4.0,5.0,1,1.0,4,8,0
14,20120420,16,1,26,5.0,4.0,0.4444444444444444,4.0,5.0,1,-1.0,4,9,0
15,20120421,16,1,26,1.0,4.0,0.5555555555555556,4.0,4.5,1,1.0,5,9,0
16,20120422,16,1,26,2.0,6.0,0.5,4.0,5.0,0,-1.0,5,10,0
17,20120423,16,0,3,5.0,6.0,0.45454545454545453,4.0,5.0,1,-2.0,5,11,0
18,20120424,16,0,3,2.0,11.0,0.4166666666666667,4.0,5.5,1,-3.0,5,12,0
19,20120425,16,0,3,6.0,7.0,0.38461538461538464,4.0,5.5,1,-4.0,5,13,0
20,20120427,16,0,11,6.0,7.0,0.35714285714285715,4.0,5.5,1,-5.0,5,14,0
21,20120429,16,0,11,7.0,4.0,0.3333333333333333,5.0,6.0,0,-6.0,5,15,0
22,20120430,16,1,12,3.0,4.0,0.4,4.0,5.5,1,1.0,6,15,0
23,20120501,16,1,12,0.0,4.0,0.375,5.0,6.0,1,-1.0,6,16,0
24,20120502,16,1,12,0.0,9.0,0.35294117647058826,5.0,6.0,1,-2.0,6,17,0
25,20120504,16,1,23,3.0,2.0,0.3333333333333333,5.0,7.0,1,-3.0,6,18,0
26,20120505,16,1,23,0.0,7.0,0.3888888888888889,5.0,7.5,1,1.0,7,18,0
27,20120506,16,1,23,2.0,5.0,0.3684210526315789,5.0,7.5,0,-1.0,7,19,0
28,20120507,16,0,12,3.0,8.0,0.35,5.0,8.5,1,-2.0,7,20,0
29,20120508,16,0,12,5.0,0.0,0.3333333333333333,5.0,10.0,1,-3.0,7,21,0
30,20120509,16,0,12,2.0,6.0,0.38095238095238093,5.0,9.0,1,1.0,8,21,0
31,20120510,16,0,28,2.0,6.0,0.36363636363636365,5.0,9.0,1,-1.0,8,22,0
32,20120511,16,0,28,7.0,6.0,0.34782608695652173,5.0,10.0,1,-2.0,8,23,0
33,20120512,16,0,28,1.0,2.0,0.391304347826087,5.0,9.0,1,1.0,9,23,0
34,20120513,16,0,28,4.0,3.0,0.375,5.0,9.0,0,-1.0,9,24,0
35,20120514,16,0,7,4.0,5.0,0.4166666666666667,5.0,8.0,1,1.0,10,24,0
36,20120515,16,0,7,0.0,5.0,0.4,5.0,9.0,0,-1.0,10,25,0
37,20120516,16,1,9,11.0,7.0,0.38461538461538464,5.0,10.0,1,-2.0,10,26,0
38,20120517,16,1,9,4.0,3.0,0.4230769230769231,5.0,10.0,0,1.0,11,26,0
39,20120518,16,1,15,11.0,3.0,0.46153846153846156,5.0,10.0,1,2.0,12,26,0
40,20120519,16,1,15,5.0,4.0,0.5,5.0,9.0,0,3.0,13,26,0
41,20120520,16,1,15,4.0,16.0,0.5384615384615384,5.0,9.0,0,4.0,14,26,0
42,20120522,16,1,5,9.0,2.0,0.5185185185185185,5.0,9.0,1,-1.0,14,27,0
43,20120523,16,1,5,0.0,6.0,0.5555555555555556,5.0,9.0,1,1.0,15,27,0
44,20120524,16,1,5,8.0,11.0,0.5357142857142857,5.0,10.0,1,-1.0,15,28,0
45,20120525,16,0,9,6.0,10.0,0.5172413793103449,5.0,11.0,1,-2.0,15,29,0
46,20120526,16,0,9,3.0,6.0,0.5,5.0,11.0,0,-3.0,15,30,0
47,20120527,16,0,9,3.0,4.0,0.4838709677419355,5.0,11.0,0,-4.0,15,31,0
48,20120528,16,0,19,5.0,4.0,0.46875,5.0,11.0,0,-5.0,15,32,0
49,20120529,16,0,19,3.0,2.0,0.5,5.0,11.0,1,1.0,16,32,0
50,20120530,16,0,19,4.0,0.0,0.53125,5.0,10.5,0,2.0,17,32,0
51,20120601,16,1,7,1.0,7.0,0.5625,5.0,10.5,1,3.0,18,32,0
52,20120602,16,1,7,7.0,4.0,0.5454545454545454,5.0,11.5,1,-1.0,18,33,0
53,20120603,16,1,7,6.0,3.0,0.5757575757575758,5.0,10.5,0,1.0,19,33,0
54,20120604,16,1,11,10.0,7.0,0.6060606060606061,5.0,10.5,1,2.0,20,33,0
55,20120605,16,1,11,0.0,1.0,0.6363636363636364,5.0,10.0,1,3.0,21,33,0
56,20120606,16,1,11,4.0,2.0,0.6176470588235294,5.0,10.0,1,-1.0,21,34,0
57,20120608,16,0,4,8.0,7.0,0.6470588235294118,5.0,9.0,1,1.0,22,34,0
58,20120609,16,0,4,11.0,3.0,0.6764705882352942,5.0,8.5,0,2.0,23,34,0
59,20120610,16,0,4,2.0,8.0,0.7058823529411765,5.0,8.5,0,3.0,24,34,0
60,20120612,16,0,20,11.0,7.0,0.6857142857142857,5.0,8.5,1,-1.0,24,35,0
61,20120613,16,0,20,8.0,9.0,0.7142857142857143,5.0,8.5,1,1.0,25,35,0
62,20120614,16,0,20,1.0,6.0,0.6944444444444444,5.0,8.5,1,-1.0,25,36,0
63,20120615,16,0,15,3.0,5.0,0.6756756756756757,5.0,8.5,1,-2.0,25,37,0
64,20120616,16,0,15,2.0,6.0,0.6578947368421053,5.0,8.5,0,-3.0,25,38,0
65,20120617,16,0,15,5.0,4.0,0.6410256410256411,5.0,9.5,0,-4.0,25,39,0
66,20120619,16,1,21,2.0,7.0,0.6666666666666666,5.0,8.5,1,1.0,26,39,0
67,20120620,16,1,21,2.0,1.0,0.65,5.0,8.5,1,-1.0,26,40,0
68,20120621,16,1,21,1.0,9.0,0.675,5.0,8.5,1,1.0,27,40,0
69,20120622,16,1,6,5.0,4.0,0.6585365853658537,5.0,9.0,1,-1.0,27,41,0
70,20120623,16,1,6,0.0,6.0,0.6829268292682927,5.0,9.0,0,1.0,28,41,0
71,20120624,16,1,6,4.0,3.0,0.6666666666666666,5.0,9.0,0,-1.0,28,42,0
