,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Thursday, Apr 5",NYM,Home,ATL,1.0,0.0,1-0,1.0,Tied,D,1
2,"Saturday, Apr 7",NYM,Home,ATL,4.0,2.0,2-0,1.0,Tied,D,2
3,"Sunday, Apr 8",NYM,Home,ATL,7.0,5.0,3-0,1.0,up 1.0,D,3
4,"Monday, Apr 9",NYM,Home,WSN,4.0,3.0,4-0,1.0,up 2.0,N,4
5,"Tuesday, Apr 10",NYM,Home,WSN,2.0,6.0,4-1,1.0,up 1.0,N,-1
6,"Wednesday, Apr 11",NYM,Home,WSN,0.0,4.0,4-2,1.0,Tied,D,-2
7,"Friday, Apr 13",NYM,@,PHI,5.0,2.0,5-2,2.0,0.5,N,1
8,"Saturday, Apr 14",NYM,@,PHI,5.0,0.0,6-2,2.0,0.5,D,2
9,"Sunday, Apr 15",NYM,@,PHI,2.0,8.0,6-3,2.0,0.5,D,-1
10,"Monday, Apr 16",NYM,@,ATL,6.0,1.0,7-3,2.0,0.5,N,1
11,"Tuesday, Apr 17",NYM,@,ATL,3.0,9.0,7-4,2.0,1.5,N,-1
12,"Wednesday, Apr 18",NYM,@,ATL,6.0,14.0,7-5,2.0,2.5,D,-2
13,"Friday, Apr 20",NYM,Home,SFG,3.0,4.0,7-6,3.0,3.0,N,-3
14,"Saturday, Apr 21",NYM,Home,SFG,5.0,4.0,8-6,3.0,3.0,D,1
15,"Monday, Apr 23 (1)",NYM,Home,SFG,1.0,6.0,8-7,3.0,4.0,D,-1
16,"Monday, Apr 23 (2)",NYM,Home,SFG,2.0,7.0,8-8,3.0,4.0,N,-2
17,"Tuesday, Apr 24",NYM,Home,MIA,2.0,1.0,9-8,3.0,4.0,N,1
18,"Wednesday, Apr 25",NYM,Home,MIA,5.0,1.0,10-8,3.0,4.0,N,2
19,"Thursday, Apr 26",NYM,Home,MIA,3.0,2.0,11-8,3.0,3.0,D,3
20,"Friday, Apr 27",NYM,@,COL,9.0,18.0,11-9,3.0,3.0,N,-1
21,"Saturday, Apr 28",NYM,@,COL,7.0,5.0,12-9,3.0,2.0,N,1
22,"Sunday, Apr 29",NYM,@,COL,6.0,5.0,13-9,3.0,1.0,D,2
23,"Monday, Apr 30",NYM,@,HOU,3.0,4.0,13-10,3.0,1.5,N,-1
24,"Tuesday, May 1",NYM,@,HOU,3.0,6.0,13-11,3.0,1.5,N,-2
25,"Wednesday, May 2",NYM,@,HOU,1.0,8.0,13-12,3.0,2.5,D,-3
26,"Friday, May 4",NYM,Home,ARI,4.0,5.0,13-13,3.0,4.0,N,-4
27,"Saturday, May 5",NYM,Home,ARI,4.0,3.0,14-13,3.0,4.0,D,1
28,"Sunday, May 6",NYM,Home,ARI,3.0,1.0,15-13,3.0,3.0,D,2
29,"Monday, May 7",NYM,@,PHI,5.0,2.0,16-13,3.0,2.5,N,3
30,"Tuesday, May 8",NYM,@,PHI,7.0,4.0,17-13,3.0,1.5,N,4
31,"Wednesday, May 9",NYM,@,PHI,10.0,6.0,18-13,3.0,0.5,N,5
32,"Friday, May 11",NYM,@,MIA,5.0,6.0,18-14,3.0,2.0,N,-1
33,"Saturday, May 12",NYM,@,MIA,9.0,3.0,19-14,3.0,2.0,D,1
34,"Sunday, May 13",NYM,@,MIA,4.0,8.0,19-15,3.0,2.5,D,-1
35,"Monday, May 14",NYM,Home,MIL,3.0,1.0,20-15,3.0,2.0,N,1
36,"Tuesday, May 15",NYM,Home,MIL,0.0,8.0,20-16,3.0,2.5,N,-1
37,"Wednesday, May 16",NYM,Home,CIN,3.0,6.0,20-17,3.0,3.0,N,-2
38,"Thursday, May 17",NYM,Home,CIN,9.0,4.0,21-17,3.0,2.5,D,1
39,"Friday, May 18",NYM,@,TOR,5.0,14.0,21-18,3.0,3.5,N,-1
40,"Saturday, May 19",NYM,@,TOR,0.0,2.0,21-19,3.0,3.5,D,-2
41,"Sunday, May 20",NYM,@,TOR,6.0,5.0,22-19,3.0,3.5,D,1
42,"Monday, May 21",NYM,@,PIT,4.0,5.0,22-20,4.0,3.5,N,-1
43,"Tuesday, May 22",NYM,@,PIT,3.0,2.0,23-20,4.0,3.0,N,1
44,"Wednesday, May 23",NYM,@,PIT,3.0,1.0,24-20,3.0,2.0,D,2
45,"Thursday, May 24",NYM,Home,SDP,5.0,11.0,24-21,3.0,2.5,N,-1
46,"Friday, May 25",NYM,Home,SDP,6.0,1.0,25-21,3.0,2.5,N,1
47,"Saturday, May 26",NYM,Home,SDP,9.0,0.0,26-21,2.0,2.5,D,2
48,"Sunday, May 27",NYM,Home,SDP,2.0,0.0,27-21,2.0,2.5,D,3
49,"Monday, May 28",NYM,Home,PHI,4.0,8.0,27-22,2.0,2.5,D,-1
50,"Tuesday, May 29",NYM,Home,PHI,6.0,3.0,28-22,2.0,1.5,N,1
51,"Wednesday, May 30",NYM,Home,PHI,6.0,10.0,28-23,3.0,1.5,N,-1
52,"Friday, Jun 1",NYM,Home,STL,8.0,0.0,29-23,2.0,1.0,N,1
53,"Saturday, Jun 2",NYM,Home,STL,5.0,0.0,30-23,2.0,1.0,D,2
54,"Sunday, Jun 3",NYM,Home,STL,6.0,1.0,31-23,1.0,Tied,N,3
55,"Monday, Jun 4",NYM,Home,STL,4.0,5.0,31-24,3.0,0.5,D,-1
56,"Tuesday, Jun 5",NYM,@,WSN,6.0,7.0,31-25,3.0,1.5,N,-2
57,"Wednesday, Jun 6",NYM,@,WSN,3.0,5.0,31-26,4.0,2.5,N,-3
58,"Thursday, Jun 7",NYM,@,WSN,3.0,1.0,32-26,3.0,1.5,D,1
59,"Friday, Jun 8",NYM,@,NYY,1.0,9.0,32-27,3.0,2.5,N,-1
60,"Saturday, Jun 9",NYM,@,NYY,2.0,4.0,32-28,3.0,3.5,N,-2
61,"Sunday, Jun 10",NYM,@,NYY,4.0,5.0,32-29,3.0,4.5,D,-3
62,"Tuesday, Jun 12",NYM,@,TBR,11.0,2.0,33-29,3.0,5.0,N,1
63,"Wednesday, Jun 13",NYM,@,TBR,9.0,1.0,34-29,2.0,5.0,N,2
64,"Thursday, Jun 14",NYM,@,TBR,9.0,6.0,35-29,2.0,4.5,D,3
65,"Friday, Jun 15",NYM,Home,CIN,3.0,7.0,35-30,3.0,4.5,N,-1
66,"Saturday, Jun 16",NYM,Home,CIN,1.0,4.0,35-31,3.0,4.5,N,-2
67,"Sunday, Jun 17",NYM,Home,CIN,1.0,3.0,35-32,3.0,4.5,D,-3
68,"Monday, Jun 18",NYM,Home,BAL,5.0,0.0,36-32,2.0,4.0,N,1
69,"Tuesday, Jun 19",NYM,Home,BAL,5.0,0.0,37-32,2.0,3.0,N,2
70,"Wednesday, Jun 20",NYM,Home,BAL,4.0,3.0,38-32,2.0,3.0,N,3
71,"Friday, Jun 22",NYM,Home,NYY,6.0,4.0,39-32,2.0,2.5,N,4
72,"Saturday, Jun 23",NYM,Home,NYY,3.0,4.0,39-33,2.0,3.5,N,-1
73,"Sunday, Jun 24",NYM,Home,NYY,5.0,6.0,39-34,2.0,3.5,N,-2
74,"Monday, Jun 25",NYM,@,CHC,1.0,6.0,39-35,2.0,3.5,N,-3
75,"Tuesday, Jun 26",NYM,@,CHC,3.0,5.0,39-36,3.0,4.5,N,-4
76,"Wednesday, Jun 27",NYM,@,CHC,17.0,1.0,40-36,3.0,4.5,D,1
77,"Thursday, Jun 28",NYM,@,LAD,3.0,2.0,41-36,2.0,3.5,N,2
78,"Friday, Jun 29",NYM,@,LAD,9.0,0.0,42-36,2.0,3.5,N,3
79,"Saturday, Jun 30",NYM,@,LAD,5.0,0.0,43-36,2.0,2.5,D,4
80,"Sunday, Jul 1",NYM,@,LAD,3.0,8.0,43-37,2.0,3.5,N,-1
81,"Tuesday, Jul 3",NYM,Home,PHI,11.0,1.0,44-37,2.0,3.5,N,1
82,"Wednesday, Jul 4",NYM,Home,PHI,2.0,9.0,44-38,2.0,4.5,D,-1
83,"Thursday, Jul 5",NYM,Home,PHI,6.0,5.0,45-38,2.0,4.5,N,1
84,"Friday, Jul 6",NYM,Home,CHC,7.0,8.0,45-39,2.0,4.5,N,-1
85,"Saturday, Jul 7",NYM,Home,CHC,3.0,1.0,46-39,2.0,4.5,D,1
86,"Sunday, Jul 8",NYM,Home,CHC,0.0,7.0,46-40,3.0,4.5,D,-1
