,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,18,1,26,6.0,7.0,0,1.0,0,0,0,0,0,0
2,20120407,18,1,26,6.0,8.0,0.0,4.0,1.0,1,-1,0,1,0
3,20120408,18,1,26,0.0,3.0,0.0,4.0,2.0,0,-2,0,2,0
4,20120409,18,1,2,6.0,2.0,0.0,4.0,3.0,1,-3,0,3,0
5,20120410,18,1,2,5.0,4.0,0.3333333333333333,4.0,2.5,1,1,1,3,0
6,20120411,18,1,2,6.0,4.0,0.6666666666666666,4.0,1.5,1,2,2,3,0
7,20120413,18,0,12,5.0,0.0,1.0,3.0,1.5,0,3,3,3,0
8,20120414,18,0,12,1.0,7.0,1.3333333333333333,1.0,0,0,4,4,3,0
9,20120415,18,0,12,11.0,5.0,1.0,2.0,1.0,1,-1,4,4,0
10,20120416,18,0,16,3.0,7.0,1.25,1.0,0,1,1,5,4,0
11,20120417,18,0,16,8.0,3.0,1.0,3.0,1.0,1,-1,5,5,0
12,20120418,18,0,16,5.0,6.0,1.2,3.0,1.0,1,1,6,5,0
13,20120419,18,0,16,7.0,6.0,1.0,3.0,1.0,1,-1,6,6,0
14,20120420,18,1,3,6.0,2.0,1.1666666666666667,2.0,1.0,0,1,7,6,0
15,20120421,18,1,3,15.0,9.0,1.3333333333333333,1.0,0,0,2,8,6,0
16,20120423,18,1,27,7.0,4.0,1.5,1.0,-0.5,1,3,9,6,0
17,20120424,18,1,27,0.0,2.0,1.6666666666666667,1.0,0,1,4,10,6,0
18,20120425,18,1,27,3.0,7.0,1.4285714285714286,1.0,0,1,-1,10,7,0
19,20120427,18,0,9,7.0,6.0,1.25,3.0,1.0,1,-2,10,8,0
20,20120428,18,0,9,5.0,7.0,1.375,3.0,1.5,0,1,11,8,0
21,20120429,18,0,9,6.0,2.0,1.2222222222222223,3.0,1.5,0,-1,11,9,0
22,20120430,18,0,2,2.0,1.0,1.3333333333333333,3.0,1.5,1,1,12,9,0
23,20120501,18,0,2,1.0,7.0,1.4444444444444444,3.0,1.5,1,2,13,9,0
24,20120502,18,0,2,0.0,5.0,1.3,3.0,2.5,1,-1,13,10,0
25,20120503,18,1,11,3.0,4.0,1.1818181818181819,4.0,3.5,1,-2,13,11,0
26,20120504,18,1,11,6.0,2.0,1.0833333333333333,4.0,4.5,1,-3,13,12,0
27,20120505,18,1,11,1.0,5.0,1.1666666666666667,4.0,4.5,1,1,14,12,0
28,20120506,18,1,11,10.0,4.0,1.0769230769230769,4.0,4.5,0,-1,14,13,0
29,20120508,18,0,26,5.0,3.0,1.1538461538461537,4.0,4.0,1,1,15,13,0
30,20120509,18,0,26,1.0,4.0,1.2307692307692308,3.0,2.5,1,2,16,13,0
31,20120510,18,0,26,5.0,3.0,1.1428571428571428,4.0,3.5,1,-1,16,14,0
32,20120511,18,0,23,6.0,2.0,1.2142857142857142,4.0,2.5,1,1,17,14,0
33,20120512,18,0,23,6.0,2.0,1.2857142857142858,3.0,2.5,0,2,18,14,0
34,20120513,18,0,23,2.0,6.0,1.3571428571428572,3.0,2.5,0,3,19,14,0
35,20120514,18,1,2,8.0,5.0,1.2666666666666666,3.0,2.5,1,-1,19,15,0
36,20120515,18,1,2,2.0,5.0,1.3333333333333333,3.0,1.5,1,1,20,15,0
37,20120516,18,1,28,1.0,8.0,1.25,3.0,2.5,1,-1,20,16,0
38,20120517,18,1,28,1.0,4.0,1.1764705882352942,3.0,3.5,1,-2,20,17,0
39,20120518,18,0,6,4.0,0.0,1.1111111111111112,4.0,4.5,1,-3,20,18,0
40,20120519,18,0,6,5.0,6.0,1.1666666666666667,4.0,4.5,0,1,21,18,0
