,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120328,19,0,23,1.0,3.0,0,1.0,0,1,0,0,0,0
2,20120329,19,0,23,4.0,1.0,0.0,4.0,1.0,1,-1,0,1,0
3,20120406,19,0,23,3.0,7.0,1.0,1.0,0,1,1,1,1,0
4,20120407,19,0,23,7.0,8.0,0.5,4.0,1.0,1,-1,1,2,0
5,20120409,19,0,11,1.0,0.0,0.3333333333333333,4.0,2.0,1,-2,1,3,0
6,20120410,19,0,11,0.0,3.0,0.6666666666666666,4.0,1.5,1,1,2,3,0
7,20120411,19,0,11,5.0,4.0,0.5,4.0,2.5,0,-1,2,4,0
8,20120413,19,1,23,4.0,0.0,0.75,3.0,1.5,1,1,3,4,0
9,20120414,19,1,23,0.0,4.0,1.0,2.0,2.0,1,2,4,4,0
10,20120415,19,1,23,3.0,5.0,0.8,3.0,3.0,0,-1,4,5,0
11,20120416,19,1,12,0.0,6.0,0.6666666666666666,3.0,4.0,1,-2,4,6,0
12,20120417,19,1,12,5.0,3.0,0.5714285714285714,4.0,4.5,1,-3,4,7,0
13,20120418,19,1,12,6.0,0.0,0.7142857142857143,3.0,4.5,1,1,5,7,0
14,20120419,19,1,12,4.0,2.0,0.8571428571428571,3.0,4.5,1,2,6,7,0
15,20120420,19,0,7,3.0,4.0,1.0,2.0,4.5,1,3,7,7,0
16,20120421,19,0,7,1.0,5.0,0.875,2.0,5.0,1,-1,7,8,0
17,20120422,19,0,7,5.0,1.0,0.7777777777777778,2.0,5.5,0,-2,7,9,0
18,20120423,19,0,5,0.0,4.0,0.8888888888888888,2.0,5.5,1,1,8,9,0
19,20120424,19,0,5,2.0,0.0,0.8,2.0,5.5,1,-1,8,10,0
20,20120425,19,0,5,5.0,4.0,0.9,2.0,5.5,0,1,9,10,0
21,20120427,19,1,2,5.0,2.0,1.0,2.0,5.5,1,2,10,10,0
22,20120428,19,1,2,1.0,10.0,1.1,2.0,4.5,1,3,11,10,0
23,20120429,19,1,2,2.0,5.0,1.0,2.0,5.5,0,-1,11,11,0
24,20120430,19,1,3,6.0,11.0,0.9166666666666666,2.0,5.5,1,-2,11,12,0
25,20120501,19,1,3,5.0,3.0,0.8461538461538461,2.0,6.5,1,-3,11,13,0
26,20120502,19,1,3,4.0,2.0,0.9230769230769231,2.0,5.5,1,1,12,13,0
27,20120504,19,1,26,2.0,7.0,1.0,2.0,4.5,1,2,13,13,0
28,20120505,19,1,26,4.0,3.0,0.9285714285714286,2.0,4.5,1,-1,13,14,0
29,20120506,19,1,26,9.0,5.0,1.0,2.0,4.5,0,1,14,14,0
30,20120508,19,0,28,7.0,3.0,1.0714285714285714,2.0,3.5,1,2,15,14,0
31,20120509,19,0,28,2.0,5.0,1.1428571428571428,2.0,4.0,0,3,16,14,0
32,20120510,19,0,9,6.0,10.0,1.0666666666666667,2.0,4.5,1,-1,16,15,0
33,20120511,19,0,9,11.0,4.0,1.0,2.0,5.0,1,-2,16,16,0
34,20120512,19,0,9,3.0,1.0,1.0625,2.0,5.0,1,1,17,16,0
35,20120513,19,0,9,1.0,3.0,1.125,2.0,4.0,0,2,18,16,0
36,20120514,19,1,12,5.0,0.0,1.0588235294117647,2.0,5.0,1,-1,18,17,0
37,20120515,19,1,12,0.0,4.0,1.1176470588235294,2.0,4.0,0,1,19,17,0
38,20120516,19,1,27,1.0,4.0,1.0555555555555556,2.0,4.0,1,-1,19,18,0
39,20120517,19,1,27,5.0,4.0,1.0,2.0,5.0,0,-2,19,19,0
40,20120518,19,1,24,6.0,8.0,1.0526315789473684,2.0,4.0,1,1,20,19,0
