,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,20,1,21,1.0,0,1.0,0,0,0.0,0,0,0
2,20120407,20,1,21,1.0,1.0,1.0,0,1,1.0,1,0,0
3,20120408,20,1,21,4.0,1.0,3.0,1.0,0,-1.0,1,1,0
4,20120409,20,0,14,2.0,0.5,3.0,2.0,0,-2.0,1,2,0
5,20120411,20,0,14,7.0,0.3333333333333333,4.0,3.0,1,-3.0,1,3,0
6,20120412,20,0,14,3.0,0.6666666666666666,3.0,1.5,1,1.0,2,3,0
7,20120413,20,0,17,2.0,1.0,3.0,1.5,1,2.0,3,3,0
8,20120414,20,0,17,0.0,0.75,3.0,2.5,0,-1.0,3,4,0
9,20120415,20,0,17,8.0,0.6,4.0,3.5,0,-2.0,3,5,0
10,20120416,20,1,24,5.0,0.8,4.0,2.5,1,1.0,4,5,0
11,20120417,20,1,24,2.0,1.0,3.0,2.5,1,2.0,5,5,0
12,20120418,20,1,24,0.0,0.8333333333333334,4.0,3.5,1,-1.0,5,6,0
13,20120419,20,1,22,2.0,0.7142857142857143,5.0,4.5,1,-2.0,5,7,0
14,20120420,20,1,22,4.0,0.8571428571428571,5.0,3.5,1,1.0,6,7,0
15,20120421,20,1,22,1.0,1.0,4.0,3.5,1,2.0,7,7,0
16,20120422,20,1,22,1.0,0.875,4.0,4.5,0,-1.0,7,8,0
17,20120423,20,1,0,5.0,0.7777777777777778,5.0,5.0,1,-2.0,7,9,0
18,20120424,20,1,0,8.0,0.7,5.0,5.5,1,-3.0,7,10,0
19,20120425,20,1,0,7.0,0.8,4.0,5.5,0,1.0,8,10,0
20,20120427,20,0,4,1.0,0.9,4.0,5.5,1,2.0,9,10,0
21,20120428,20,0,4,5.0,0.8181818181818182,4.0,5.0,1,-1.0,9,11,0
22,20120429,20,0,4,1.0,0.9090909090909091,4.0,4.0,0,1.0,10,11,0
23,20120430,20,0,4,6.0,0.8333333333333334,4.0,4.0,1,-1.0,10,12,0
24,20120501,20,1,1,4.0,0.9166666666666666,4.0,3.5,1,1.0,11,12,0
25,20120502,20,1,1,13.0,1.0,4.0,2.5,1,2.0,12,12,0
26,20120503,20,1,1,4.0,0.9230769230769231,4.0,3.5,0,-1.0,12,13,0
27,20120504,20,1,29,3.0,1.0,4.0,3.5,1,1.0,13,13,0
28,20120505,20,1,29,1.0,0.9285714285714286,4.0,4.5,0,-1.0,13,14,0
29,20120506,20,1,29,9.0,0.8666666666666667,5.0,5.5,1,-2.0,13,15,0
30,20120507,20,0,17,2.0,0.9333333333333333,5.0,4.5,1,1.0,14,15,0
31,20120508,20,0,17,4.0,0.875,5.0,5.0,1,-1.0,14,16,0
32,20120509,20,0,17,6.0,0.8235294117647058,5.0,5.0,1,-2.0,14,17,0
33,20120511,20,0,22,7.0,0.7777777777777778,5.0,5.0,1,-3.0,14,18,0
34,20120512,20,0,22,1.0,0.8333333333333334,5.0,5.5,1,1.0,15,18,0
35,20120513,20,0,22,3.0,0.7894736842105263,5.0,6.5,0,-1.0,15,19,0
36,20120514,20,0,10,5.0,0.8421052631578947,5.0,6.0,1,1.0,16,19,0
37,20120515,20,0,10,4.0,0.8947368421052632,5.0,5.5,0,2.0,17,19,0
38,20120516,20,1,4,9.0,0.9473684210526315,5.0,5.0,1,3.0,18,19,0
39,20120517,20,1,4,8.0,1.0,5.0,4.5,1,4.0,19,19,0
40,20120518,20,0,3,6.0,1.0526315789473684,5.0,4.0,1,5.0,20,19,0
41,20120519,20,0,3,5.0,1.105263157894737,5.0,4.0,1,6.0,21,19,0
42,20120520,20,0,3,1.0,1.05,5.0,4.0,0,-1.0,21,20,0
43,20120521,20,0,29,1.0,1.0,5.0,5.0,1,-2.0,21,21,0
44,20120522,20,0,29,2.0,0.9545454545454546,5.0,5.0,1,-3.0,21,22,0
45,20120523,20,0,29,4.0,0.9130434782608695,5.0,5.5,1,-4.0,21,23,0
46,20120524,20,1,25,10.0,0.9565217391304348,5.0,4.5,1,1.0,22,23,0
47,20120525,20,1,25,5.0,1.0,5.0,4.0,1,2.0,23,23,0
48,20120526,20,1,25,4.0,1.0434782608695652,5.0,4.0,1,3.0,24,23,0
49,20120527,20,1,25,3.0,1.0869565217391304,5.0,4.0,0,4.0,25,23,0
50,20120528,20,1,17,8.0,1.0416666666666667,5.0,5.0,0,-1.0,25,24,0
51,20120529,20,1,17,3.0,1.0833333333333333,4.0,4.0,1,1.0,26,24,0
52,20120530,20,1,17,10.0,1.04,5.0,4.0,1,-1.0,26,25,0
53,20120601,20,0,14,6.0,1.08,5.0,3.0,1,1.0,27,25,0
54,20120602,20,0,14,4.0,1.12,5.0,2.5,0,2.0,28,25,0
55,20120603,20,0,14,1.0,1.0769230769230769,5.0,3.5,0,-1.0,28,26,0
56,20120604,20,0,13,3.0,1.037037037037037,5.0,3.5,1,-2.0,28,27,0
57,20120605,20,0,13,1.0,1.0,5.0,4.0,1,-3.0,28,28,0
58,20120606,20,0,13,5.0,0.9655172413793104,5.0,5.0,1,-4.0,28,29,0
59,20120607,20,0,13,3.0,0.9333333333333333,5.0,6.0,0,-5.0,28,30,0
60,20120608,20,1,2,9.0,0.9032258064516129,5.0,6.0,1,-6.0,28,31,0
61,20120609,20,1,2,4.0,0.9354838709677419,5.0,6.0,0,1.0,29,31,0
62,20120610,20,1,2,4.0,0.90625,5.0,7.0,0,-1.0,29,32,0
