,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,21,0,20,0.0,0,1.0,0,0,0.0,0,0,0
2,20120407,21,0,20,2.0,0.0,5.0,1.0,1,-1.0,0,1,0
3,20120408,21,0,20,5.0,1.0,2.0,0.5,0,1.0,1,1,0
4,20120410,21,1,13,1.0,2.0,2.0,0.5,0,2.0,2,1,0
5,20120411,21,1,13,1.0,1.0,4.0,2.0,1,-1.0,2,2,0
6,20120412,21,1,13,2.0,0.6666666666666666,5.0,2.0,1,-2.0,2,3,0
7,20120413,21,1,24,0.0,0.5,5.0,2.5,0,-3.0,2,4,0
8,20120414,21,1,24,3.0,0.4,6.0,2.5,1,-4.0,2,5,0
9,20120415,21,1,24,4.0,0.3333333333333333,6.0,3.5,0,-5.0,2,6,0
10,20120416,21,1,0,1.0,0.5,5.0,3.5,1,1.0,3,6,0
11,20120417,21,1,0,5.0,0.42857142857142855,5.0,4.0,1,-1.0,3,7,0
12,20120418,21,1,0,2.0,0.5714285714285714,3.0,4.0,0,1.0,4,7,0
13,20120420,21,0,25,1.0,0.7142857142857143,3.0,4.0,1,2.0,5,7,0
14,20120421,21,0,25,2.0,0.625,4.0,4.5,1,-1.0,5,8,0
15,20120422,21,0,25,1.0,0.75,3.0,3.5,0,1.0,6,8,0
16,20120424,21,0,8,5.0,0.6666666666666666,4.0,4.5,1,-1.0,6,9,0
17,20120425,21,0,8,1.0,0.7777777777777778,4.0,3.0,0,1.0,7,9,1
18,20120425,21,0,8,5.0,0.7,4.0,3.5,0,-1.0,7,10,1
19,20120427,21,1,1,1.0,0.8,4.0,3.5,1,1.0,8,10,0
20,20120428,21,1,1,4.0,0.7272727272727273,4.0,4.5,1,-1.0,8,11,0
21,20120429,21,1,1,3.0,0.8181818181818182,3.0,4.5,0,1.0,9,11,0
22,20120430,21,1,1,9.0,0.75,4.0,4.5,1,-1.0,9,12,0
23,20120501,21,1,25,7.0,0.8333333333333334,4.0,4.0,1,1.0,10,12,0
24,20120502,21,1,25,3.0,0.7692307692307693,4.0,5.0,1,-1.0,10,13,0
25,20120503,21,1,25,6.0,0.7142857142857143,5.0,6.0,0,-2.0,10,14,0
26,20120504,21,0,6,1.0,0.7857142857142857,3.0,5.0,1,1.0,11,14,0
27,20120505,21,0,6,3.0,0.7333333333333333,5.0,5.0,1,-1.0,11,15,0
28,20120506,21,0,6,0.0,0.8,4.0,4.0,0,1.0,12,15,0
29,20120508,21,0,29,5.0,0.75,4.0,5.0,1,-1.0,12,16,0
30,20120509,21,0,29,4.0,0.8125,4.0,5.5,1,1.0,13,16,0
31,20120510,21,0,29,2.0,0.875,3.0,5.5,1,2.0,14,16,0
32,20120511,21,0,10,0.0,0.8235294117647058,3.0,6.0,1,-1.0,14,17,0
33,20120512,21,0,10,5.0,0.7777777777777778,4.0,6.0,1,-2.0,14,18,0
34,20120513,21,0,10,3.0,0.8333333333333334,3.0,5.0,0,1.0,15,18,0
35,20120514,21,1,14,3.0,0.8888888888888888,3.0,4.0,1,2.0,16,18,0
36,20120515,21,1,14,2.0,0.9444444444444444,3.0,3.0,1,3.0,17,18,0
37,20120516,21,1,29,4.0,0.8947368421052632,3.0,4.0,1,-1.0,17,19,0
38,20120517,21,1,29,5.0,0.85,3.0,5.0,1,-2.0,17,20,0
39,20120518,21,1,9,0.0,0.9,3.0,4.0,1,1.0,18,20,0
40,20120519,21,1,9,4.0,0.8571428571428571,3.0,4.0,0,-1.0,18,21,0
41,20120520,21,1,9,3.0,0.9047619047619048,3.0,3.0,0,1.0,19,21,0
42,20120521,21,0,17,5.0,0.8636363636363636,3.0,3.0,1,-1.0,19,22,0
43,20120522,21,0,17,2.0,0.9090909090909091,3.0,3.0,1,1.0,20,22,0
44,20120523,21,0,17,1.0,0.8695652173913043,3.0,4.0,0,-1.0,20,23,0
45,20120525,21,0,4,1.0,0.8333333333333334,4.0,5.0,1,-2.0,20,24,0
46,20120526,21,0,4,3.0,0.875,4.0,4.0,1,1.0,21,24,0
47,20120527,21,0,4,10.0,0.9166666666666666,3.0,4.0,0,2.0,22,24,0
48,20120528,21,0,6,4.0,0.9583333333333334,3.0,4.0,0,3.0,23,24,0
49,20120529,21,0,6,1.0,1.0,3.0,3.0,1,4.0,24,24,0
50,20120530,21,0,6,2.0,0.96,3.0,4.0,1,-1.0,24,25,0
51,20120601,21,1,15,8.0,1.0,3.0,3.0,1,1.0,25,25,0
52,20120602,21,1,15,1.0,1.04,3.0,3.0,1,2.0,26,25,0
53,20120603,21,1,15,6.0,1.0,3.0,4.0,0,-1.0,26,26,0
54,20120605,21,1,6,8.0,1.0384615384615385,2.0,3.0,1,1.0,27,26,0
55,20120606,21,1,6,4.0,1.0769230769230769,2.0,2.0,1,2.0,28,26,0
56,20120607,21,1,6,5.0,1.037037037037037,2.0,3.0,1,-1.0,28,27,0
57,20120608,21,0,11,4.0,1.0740740740740742,2.0,2.0,1,1.0,29,27,0
58,20120609,21,0,11,5.0,1.1111111111111112,2.0,2.0,1,2.0,30,27,0
59,20120610,21,0,11,3.0,1.1481481481481481,2.0,1.0,0,3.0,31,27,0
60,20120612,21,1,2,6.0,1.1851851851851851,1.0,0,1,4.0,32,27,0
61,20120613,21,1,2,1.0,1.1428571428571428,2.0,1.0,1,-1.0,32,28,0
62,20120614,21,1,2,6.0,1.103448275862069,2.0,2.0,1,-2.0,32,29,0
63,20120615,21,1,7,0.0,1.0666666666666667,2.0,3.0,1,-3.0,32,30,0
64,20120616,21,1,7,9.0,1.032258064516129,2.0,4.0,0,-4.0,32,31,0
65,20120617,21,1,7,9.0,1.064516129032258,2.0,4.0,0,1.0,33,31,0
66,20120619,21,0,16,7.0,1.096774193548387,2.0,4.0,1,2.0,34,31,0
67,20120620,21,0,16,1.0,1.1290322580645162,2.0,2.5,1,3.0,35,31,0
68,20120621,21,0,16,9.0,1.09375,2.0,2.5,1,-1.0,35,32,0
69,20120622,21,0,9,4.0,1.125,2.0,2.0,1,1.0,36,32,0
70,20120623,21,0,9,4.0,1.15625,2.0,1.0,0,2.0,37,32,0
71,20120624,21,0,9,2.0,1.1875,2.0,1.0,0,3.0,38,32,0
72,20120625,21,1,20,3.0,1.1515151515151516,2.0,1.0,1,-1.0,38,33,0
73,20120626,21,1,20,4.0,1.1176470588235294,2.0,2.0,1,-2.0,38,34,0
74,20120627,21,1,20,11.0,1.0857142857142856,3.0,3.0,1,-3.0,38,35,0
75,20120628,21,1,20,5.0,1.1142857142857143,2.0,2.0,0,1.0,39,35,0
76,20120629,21,1,25,14.0,1.1428571428571428,2.0,1.0,1,2.0,40,35,0
77,20120630,21,1,25,7.0,1.1714285714285715,2.0,1.0,0,3.0,41,35,0
78,20120701,21,1,25,4.0,1.2,2.0,1.0,0,4.0,42,35,0
79,20120702,21,0,10,11.0,1.1666666666666667,2.0,1.0,1,-1.0,42,36,0
80,20120703,21,0,10,8.0,1.1944444444444444,2.0,1.0,1,1.0,43,36,0
81,20120704,21,0,10,6.0,1.2222222222222223,1.0,0,0,2.0,44,36,0
82,20120705,21,0,10,2.0,1.25,1.0,-1.0,1,3.0,45,36,0
83,20120706,21,0,24,5.0,1.2777777777777777,1.0,-2.0,1,4.0,46,36,0
84,20120707,21,0,24,3.0,1.2432432432432432,1.0,-1.0,0,-1.0,46,37,0
85,20120708,21,0,24,13.0,1.2702702702702702,1.0,-1.0,0,1.0,47,37,0
86,20120713,21,1,15,7.0,1.2972972972972974,1.0,-1.0,1,2.0,48,37,0
87,20120714,21,1,15,6.0,1.263157894736842,1.0,0,1,-1.0,48,38,0
88,20120715,21,1,15,1.0,1.2894736842105263,1.0,0,0,1.0,49,38,0
89,20120716,21,1,8,4.0,1.2564102564102564,2.0,1.0,1,-1.0,49,39,0
90,20120717,21,1,8,6.0,1.225,2.0,1.0,1,-2.0,49,40,0
91,20120718,21,1,8,9.0,1.25,2.0,1.0,0,1.0,50,40,0
92,20120720,21,0,14,4.0,1.275,1.0,0,1,2.0,51,40,0
93,20120721,21,0,14,5.0,1.3,2.0,0.5,1,3.0,52,40,0
94,20120722,21,0,14,3.0,1.325,2.0,0.5,0,4.0,53,40,0
95,20120723,21,0,4,0.0,1.35,2.0,0.5,1,5.0,54,40,0
96,20120724,21,0,4,1.0,1.3170731707317074,2.0,1.5,1,-1.0,54,41,0
97,20120725,21,0,4,3.0,1.2857142857142858,2.0,2.5,0,-2.0,54,42,0
98,20120726,21,1,10,5.0,1.3095238095238095,2.0,2.5,1,1.0,55,42,0
99,20120727,21,1,10,6.0,1.3333333333333333,2.0,2.0,1,2.0,56,42,0
100,20120728,21,1,10,4.0,1.3571428571428572,2.0,2.0,1,3.0,57,42,0
101,20120729,21,1,10,5.0,1.380952380952381,2.0,2.0,0,4.0,58,42,0
102,20120730,21,1,4,4.0,1.3488372093023255,2.0,3.0,1,-1.0,58,43,0
103,20120731,21,1,4,5.0,1.3181818181818181,2.0,3.0,1,-2.0,58,44,0
104,20120801,21,1,4,8.0,1.3409090909090908,2.0,3.0,0,1.0,59,44,0
105,20120803,21,1,6,0.0,1.3636363636363635,2.0,3.0,1,2.0,60,44,0
106,20120804,21,1,6,4.0,1.3333333333333333,2.0,4.5,1,-1.0,60,45,0
107,20120805,21,1,6,6.0,1.3043478260869565,2.0,5.5,0,-2.0,60,46,0
108,20120806,21,0,0,4.0,1.326086956521739,2.0,4.5,1,1.0,61,46,0
109,20120807,21,0,0,4.0,1.3478260869565217,2.0,3.5,1,2.0,62,46,0
110,20120808,21,0,0,7.0,1.3191489361702127,2.0,3.5,1,-1.0,62,47,0
111,20120809,21,0,0,3.0,1.3404255319148937,2.0,2.5,0,1.0,63,47,0
112,20120810,21,0,22,8.0,1.3125,2.0,2.5,1,-1.0,63,48,0
113,20120811,21,0,22,0.0,1.2857142857142858,2.0,3.5,1,-2.0,63,49,0
114,20120812,21,0,22,11.0,1.26,2.0,4.5,0,-3.0,63,50,0
115,20120813,21,0,13,4.0,1.28,2.0,4.5,1,1.0,64,50,0
116,20120814,21,0,13,0.0,1.2549019607843137,2.0,5.0,1,-1.0,64,51,0
117,20120815,21,0,13,3.0,1.2307692307692308,2.0,6.0,1,-2.0,64,52,0
118,20120816,21,0,13,10.0,1.2075471698113207,2.0,7.0,0,-3.0,64,53,0
119,20120817,21,1,25,2.0,1.2264150943396226,2.0,6.0,1,1.0,65,53,0
120,20120818,21,1,25,4.0,1.2452830188679245,2.0,6.0,0,2.0,66,53,0
121,20120819,21,1,25,6.0,1.2222222222222223,2.0,6.5,0,-1.0,66,54,0
122,20120820,21,1,22,1.0,1.2407407407407407,2.0,6.5,1,1.0,67,54,0
123,20120821,21,1,22,5.0,1.2181818181818183,2.0,6.5,1,-1.0,67,55,0
124,20120822,21,1,22,2.0,1.1964285714285714,2.0,7.5,0,-2.0,67,56,0
125,20120824,21,0,15,5.0,1.1754385964912282,3.0,8.5,1,-3.0,67,57,0
126,20120825,21,0,15,4.0,1.1551724137931034,3.0,8.0,1,-4.0,67,58,0
127,20120826,21,0,15,0.0,1.1724137931034482,3.0,8.0,0,1.0,68,58,0
128,20120827,21,0,25,3.0,1.152542372881356,3.0,8.0,1,-1.0,68,59,0
129,20120828,21,0,25,9.0,1.1333333333333333,3.0,9.0,1,-2.0,68,60,0
130,20120829,21,0,25,5.0,1.15,3.0,9.0,1,1.0,69,60,0
131,20120831,21,1,15,3.0,1.1666666666666667,3.0,9.0,1,2.0,70,60,0
132,20120901,21,1,15,2.0,1.1475409836065573,3.0,10.0,1,-1.0,70,61,0
133,20120902,21,1,15,8.0,1.1290322580645162,3.0,10.0,0,-2.0,70,62,0
134,20120903,21,0,10,1.0,1.1111111111111112,3.0,11.0,0,-3.0,70,63,0
135,20120904,21,0,10,6.0,1.09375,3.0,11.0,1,-4.0,70,64,0
136,20120905,21,0,10,6.0,1.109375,3.0,11.0,1,1.0,71,64,0
137,20120907,21,0,4,2.0,1.125,3.0,10.0,1,2.0,72,64,0
138,20120908,21,0,4,3.0,1.1076923076923078,3.0,10.0,1,-1.0,72,65,0
139,20120909,21,0,4,2.0,1.0909090909090908,3.0,11.0,0,-2.0,72,66,0
140,20120910,21,1,6,3.0,1.0746268656716418,3.0,11.0,1,-3.0,72,67,0
141,20120911,21,1,6,3.0,1.0588235294117647,3.0,12.0,1,-4.0,72,68,0
142,20120912,21,1,6,1.0,1.0434782608695652,3.0,13.0,1,-5.0,72,69,0
143,20120914,21,1,4,4.0,1.0285714285714285,3.0,14.0,0,-6.0,72,70,0
144,20120915,21,1,4,7.0,1.0140845070422535,3.0,14.0,0,-7.0,72,71,0
145,20120916,21,1,4,9.0,1.028169014084507,3.0,13.0,0,1.0,73,71,0
146,20120917,21,1,4,3.0,1.0138888888888888,4.0,14.0,1,-1.0,73,72,0
147,20120918,21,0,15,0.0,1.0277777777777777,3.0,13.5,1,1.0,74,72,0
148,20120919,21,0,15,1.0,1.0136986301369864,4.0,14.5,1,-1.0,74,73,0
149,20120920,21,0,15,7.0,1.0,4.0,15.5,0,-2.0,74,74,0
150,20120921,21,1,10,1.0,0.9866666666666667,4.0,16.5,1,-3.0,74,75,0
151,20120922,21,1,10,1.0,0.9736842105263158,4.0,16.5,1,-4.0,74,76,0
152,20120923,21,1,10,8.0,0.961038961038961,4.0,17.5,0,-5.0,74,77,0
153,20120924,21,1,17,2.0,0.974025974025974,4.0,16.5,1,1.0,75,77,0
154,20120925,21,1,17,10.0,0.9615384615384616,4.0,17.0,1,-1.0,75,78,0
155,20120926,21,1,17,0.0,0.9743589743589743,4.0,17.0,1,1.0,76,78,0
156,20120927,21,1,17,5.0,0.9620253164556962,4.0,17.0,0,-1.0,76,79,0
157,20120928,21,0,6,0.0,0.95,4.0,18.0,1,-2.0,76,80,0
158,20120929,21,0,6,2.0,0.9382716049382716,4.0,19.0,1,-3.0,76,81,0
159,20120930,21,0,6,3.0,0.9506172839506173,4.0,18.0,0,1.0,77,81,0
160,20121001,21,0,1,2.0,0.9390243902439024,4.0,19.0,1,-1.0,77,82,0
161,20121002,21,0,1,5.0,0.9512195121951219,4.0,18.0,1,1.0,78,82,0
162,20121003,21,0,1,0.0,0.9634146341463414,4.0,18.0,0,2.0,79,82,0
1,20130401,21,0,4,1.0,0,1.0,0,0,0.0,0,0,0
2,20130403,21,0,4,3.0,0.0,3.0,1.0,1,-1.0,0,1,0
3,20130404,21,0,4,2.0,1.0,1.0,0,0,1.0,1,1,0
4,20130405,21,1,13,0.0,0.5,3.0,1.0,1,-1.0,1,2,0
5,20130406,21,1,13,0.0,0.3333333333333333,3.0,2.0,1,-2.0,1,3,0
6,20130407,21,1,13,2.0,0.25,4.0,2.0,0,-3.0,1,4,0
7,20130408,21,1,0,5.0,0.2,4.0,3.0,1,-4.0,1,5,0
8,20130409,21,1,0,6.0,0.4,3.0,3.0,1,1.0,2,5,0
9,20130410,21,1,0,2.0,0.6,3.0,2.0,0,2.0,3,5,0
10,20130412,21,0,6,6.0,0.5,4.0,2.0,1,-1.0,3,6,0
11,20130413,21,0,6,3.0,0.6666666666666666,3.0,2.0,1,1.0,4,6,0
12,20130414,21,0,6,10.0,0.8333333333333334,2.0,2.0,0,2.0,5,6,0
13,20130415,21,0,25,6.0,1.0,2.0,1.0,1,3.0,6,6,0
14,20130417,21,0,25,5.0,0.8571428571428571,2.0,2.0,1,-1.0,6,7,0
15,20130418,21,0,1,4.0,1.0,3.0,1.0,1,1.0,7,7,0
16,20130419,21,0,1,6.0,0.875,3.0,2.0,1,-1.0,7,8,0
17,20130420,21,0,1,3.0,1.0,3.0,1.0,1,1.0,8,8,0
18,20130421,21,0,1,4.0,1.125,3.0,1.0,0,2.0,9,8,0
19,20130422,21,1,20,2.0,1.25,2.0,0.5,1,3.0,10,8,0
20,20130423,21,1,20,2.0,1.1111111111111112,4.0,1.5,1,-1.0,10,9,0
21,20130424,21,1,20,5.0,1.2222222222222223,4.0,1.0,1,1.0,11,9,0
