,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,22,0,13,3.0,5.0,0,1.0,0,0,0,0,0,0
2,20120406,22,0,13,0.0,6.0,0.0,5.0,1.0,1,-1,0,1,0
3,20120407,22,0,13,5.0,6.0,0.0,5.0,2.0,1,-2,0,2,0
4,20120408,22,0,13,8.0,4.0,0.0,5.0,3.0,0,-3,0,3,0
5,20120410,22,0,0,2.0,4.0,0.3333333333333333,4.0,2.5,1,1,1,3,0
6,20120411,22,0,0,2.0,1.0,0.25,5.0,3.5,0,-1,1,4,0
7,20120412,22,0,0,1.0,3.0,0.5,4.0,3.0,1,1,2,4,0
8,20120413,22,1,13,8.0,9.0,0.4,5.0,4.0,1,-1,2,5,0
9,20120414,22,1,13,1.0,6.0,0.3333333333333333,5.0,5.0,1,-2,2,6,0
10,20120415,22,1,13,4.0,5.0,0.2857142857142857,5.0,6.0,0,-3,2,7,0
11,20120416,22,1,8,7.0,1.0,0.25,5.0,7.0,1,-4,2,8,0
12,20120417,22,1,8,3.0,5.0,0.375,5.0,6.5,1,1,3,8,0
13,20120418,22,1,8,4.0,8.0,0.3333333333333333,5.0,6.5,1,-1,3,9,0
14,20120419,22,0,20,0.0,2.0,0.3,5.0,6.5,1,-2,3,10,0
15,20120420,22,0,20,1.0,4.0,0.2727272727272727,5.0,7.5,1,-3,3,11,0
16,20120421,22,0,20,5.0,1.0,0.25,5.0,8.5,1,-4,3,12,0
17,20120422,22,0,20,6.0,1.0,0.3333333333333333,5.0,8.5,0,1,4,12,0
18,20120424,22,0,29,1.0,3.0,0.4166666666666667,5.0,7.5,1,2,5,12,0
19,20120425,22,0,29,2.0,7.0,0.38461538461538464,5.0,8.0,0,-1,5,13,0
20,20120426,22,0,29,2.0,1.0,0.35714285714285715,5.0,8.0,1,-2,5,14,0
21,20120427,22,1,24,5.0,3.0,0.42857142857142855,5.0,7.5,1,1,6,14,0
22,20120428,22,1,24,1.0,2.0,0.5,5.0,7.5,1,2,7,14,0
23,20120429,22,1,24,1.0,4.0,0.4666666666666667,5.0,8.5,0,-1,7,15,0
24,20120430,22,0,15,3.0,8.0,0.4375,5.0,9.5,1,-2,7,16,0
25,20120501,22,0,15,2.0,0.0,0.4117647058823529,5.0,9.5,1,-3,7,17,0
26,20120502,22,0,15,5.0,0.0,0.47058823529411764,5.0,9.5,0,1,8,17,0
27,20120504,22,0,14,8.0,9.0,0.5294117647058824,5.0,8.5,1,2,9,17,0
28,20120505,22,0,14,1.0,4.0,0.5,5.0,8.5,1,-1,9,18,0
29,20120506,22,0,14,3.0,6.0,0.47368421052631576,5.0,9.5,0,-2,9,19,0
30,20120507,22,0,8,3.0,2.0,0.45,5.0,9.5,1,-3,9,20,0
31,20120508,22,0,8,3.0,1.0,0.5,5.0,9.5,1,1,10,20,0
32,20120509,22,0,8,2.0,6.0,0.55,5.0,8.5,0,2,11,20,0
