,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120328,23,1,19,3.0,1.0,0,1.0,0,1,0,0,0,0
2,20120329,23,1,19,1.0,4.0,1.0,1.0,-0.5,1,1,1,0,0
3,20120406,23,1,19,7.0,3.0,1.0,1.0,0,1,-1,1,1,0
4,20120407,23,1,19,8.0,7.0,2.0,1.0,0,1,1,2,1,0
5,20120409,23,1,27,5.0,11.0,3.0,1.0,-1.0,1,2,3,1,0
6,20120410,23,1,27,0.0,1.0,1.5,2.0,0.5,1,-1,3,2,0
7,20120411,23,1,27,4.0,3.0,1.0,2.0,1.5,1,-2,3,3,0
8,20120412,23,1,27,3.0,5.0,1.3333333333333333,2.0,0.5,0,1,4,3,0
9,20120413,23,0,19,0.0,4.0,1.0,2.0,1.5,1,-1,4,4,0
10,20120414,23,0,19,4.0,0.0,0.8,3.0,2.5,1,-2,4,5,0
11,20120415,23,0,19,5.0,3.0,1.0,2.0,2.5,0,1,5,5,0
12,20120417,23,0,7,8.0,9.0,1.2,2.0,2.5,1,2,6,5,0
13,20120418,23,0,7,4.0,1.0,1.0,2.0,3.5,1,-1,6,6,0
14,20120419,23,0,7,1.0,2.0,1.1666666666666667,2.0,3.5,1,1,7,6,0
15,20120420,23,0,5,3.0,7.0,1.0,2.0,4.5,1,-1,7,7,0
16,20120421,23,0,5,0.0,4.0,0.875,2.0,5.0,0,-2,7,8,0
17,20120422,23,0,5,4.0,7.0,0.7777777777777778,2.0,5.5,0,-3,7,9,0
18,20120424,23,1,9,7.0,4.0,0.7,3.0,6.5,1,-4,7,10,0
19,20120425,23,1,9,9.0,1.0,0.8,3.0,6.0,1,1,8,10,0
20,20120426,23,1,9,5.0,4.0,0.9,3.0,6.0,0,2,9,10,0
21,20120427,23,1,28,9.0,5.0,1.0,2.0,5.5,1,3,10,10,0
22,20120428,23,1,28,0.0,7.0,1.1,2.0,4.5,0,4,11,10,0
23,20120429,23,1,28,2.0,7.0,1.0,2.0,5.5,0,-1,11,11,0
24,20120430,23,1,26,2.0,3.0,0.9166666666666666,2.0,5.5,1,-2,11,12,0
25,20120501,23,1,26,1.0,3.0,0.8461538461538461,2.0,6.5,1,-3,11,13,0
26,20120502,23,1,26,4.0,5.0,0.7857142857142857,3.0,6.5,1,-4,11,14,0
