,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,24,1,0,4.0,0,1.0,0,0,0,0,0,0
2,20120407,24,1,0,4.0,0.0,4.0,1.5,0,-1,0,1,0
3,20120408,24,1,0,6.0,0.0,4.0,2.5,0,-2,0,2,0
4,20120409,24,1,8,7.0,0.0,5.0,3.0,0,-3,0,3,0
5,20120411,24,1,8,8.0,0.3333333333333333,3.0,2.5,1,1,1,3,0
6,20120412,24,1,8,4.0,0.25,5.0,3.5,0,-1,1,4,0
7,20120413,24,0,21,5.0,0.5,3.0,3.5,0,1,2,4,0
8,20120414,24,0,21,4.0,0.75,3.0,3.5,1,2,3,4,0
9,20120415,24,0,21,1.0,1.0,3.0,3.5,0,3,4,4,0
10,20120416,24,0,20,2.0,0.8,3.0,4.5,1,-1,4,5,0
11,20120417,24,0,20,4.0,0.6666666666666666,3.0,5.0,1,-2,4,6,0
12,20120418,24,0,20,1.0,0.8333333333333334,3.0,4.0,1,1,5,6,0
13,20120420,24,1,17,4.0,1.0,3.0,3.0,1,2,6,6,0
14,20120421,24,1,17,4.0,1.1666666666666667,2.0,3.5,0,3,7,6,0
15,20120423,24,1,17,6.0,1.0,2.0,4.5,0,-1,7,7,1
16,20120423,24,1,17,7.0,1.1428571428571428,2.0,3.5,1,1,8,7,1
17,20120424,24,1,6,2.0,1.2857142857142858,2.0,3.5,1,2,9,7,0
18,20120425,24,1,6,2.0,1.125,2.0,3.5,1,-1,9,8,0
19,20120426,24,1,6,6.0,1.0,2.0,3.5,0,-2,9,9,0
20,20120427,24,0,22,3.0,1.1111111111111112,2.0,3.0,1,1,10,9,0
21,20120428,24,0,22,2.0,1.0,3.0,4.0,1,-1,10,10,0
22,20120429,24,0,22,4.0,1.1,2.0,4.0,0,1,11,10,0
23,20120501,24,0,14,1.0,1.2,2.0,4.0,1,2,12,10,0
24,20120502,24,0,14,2.0,1.0909090909090908,3.0,4.5,1,-1,12,11,0
25,20120503,24,0,14,2.0,1.0,3.0,4.5,0,-2,12,12,0
26,20120504,24,0,15,4.0,0.9230769230769231,4.0,5.0,1,-3,12,13,0
27,20120505,24,0,15,5.0,0.8571428571428571,4.0,5.0,0,-4,12,14,0
28,20120506,24,0,15,4.0,0.9285714285714286,3.0,5.0,0,1,13,14,0
29,20120507,24,1,13,1.0,1.0,2.0,4.0,1,2,14,14,0
30,20120508,24,1,13,2.0,0.9333333333333333,2.0,5.0,1,-1,14,15,0
31,20120509,24,1,13,2.0,1.0,2.0,4.0,1,1,15,15,0
32,20120511,24,1,0,1.0,0.9375,2.0,5.0,1,-1,15,16,0
33,20120512,24,1,0,5.0,0.8823529411764706,2.0,6.0,1,-2,15,17,0
34,20120513,24,1,0,7.0,0.9411764705882353,2.0,6.0,0,1,16,17,0
35,20120514,24,0,8,3.0,1.0,2.0,6.0,1,2,17,17,0
36,20120515,24,0,8,4.0,1.0588235294117647,2.0,6.0,1,3,18,17,0
37,20120516,24,0,25,1.0,1.0,2.0,6.0,1,-1,18,18,0
38,20120517,24,0,25,7.0,0.9473684210526315,2.0,6.0,0,-2,18,19,0
39,20120518,24,0,19,8.0,1.0,2.0,6.0,1,1,19,19,0
40,20120519,24,0,19,4.0,1.0526315789473684,2.0,6.0,0,2,20,19,0
41,20120520,24,0,19,2.0,1.105263157894737,2.0,6.0,0,3,21,19,0
42,20120521,24,1,15,4.0,1.05,2.0,7.0,1,-1,21,20,0
43,20120522,24,1,15,6.0,1.1,2.0,7.0,1,1,22,20,0
44,20120523,24,1,15,5.0,1.15,2.0,7.0,0,2,23,20,0
45,20120524,24,1,14,14.0,1.0952380952380953,2.0,7.0,1,-1,23,21,0
46,20120525,24,1,14,6.0,1.1428571428571428,2.0,6.5,1,1,24,21,0
47,20120526,24,1,14,3.0,1.0909090909090908,2.0,6.5,0,-1,24,22,0
48,20120527,24,1,14,3.0,1.0434782608695652,2.0,7.5,0,-2,24,23,0
49,20120528,24,0,0,4.0,1.0869565217391304,2.0,7.5,0,1,25,23,0
50,20120529,24,0,0,3.0,1.1304347826086956,2.0,6.5,1,2,26,23,0
51,20120530,24,0,0,1.0,1.173913043478261,2.0,5.5,1,3,27,23,0
52,20120601,24,0,4,4.0,1.125,2.0,5.5,1,-1,27,24,0
53,20120602,24,0,4,2.0,1.1666666666666667,2.0,4.0,0,1,28,24,0
54,20120603,24,0,4,2.0,1.2083333333333333,2.0,4.0,0,2,29,24,0
55,20120604,24,0,4,3.0,1.25,2.0,3.0,0,3,30,24,0
56,20120605,24,1,22,5.0,1.2916666666666667,2.0,3.0,1,4,31,24,0
57,20120606,24,1,22,6.0,1.24,2.0,4.0,0,-1,31,25,0
58,20120607,24,1,22,8.0,1.28,2.0,4.0,0,1,32,25,0
59,20120608,24,0,27,0.0,1.32,2.0,4.0,1,2,33,25,0
60,20120609,24,0,27,5.0,1.2692307692307692,2.0,4.0,0,-1,33,26,0
61,20120610,24,0,27,0.0,1.3076923076923077,2.0,4.0,0,1,34,26,0
62,20120612,24,0,10,6.0,1.2592592592592593,2.0,5.0,1,-1,34,27,0
63,20120613,24,0,10,10.0,1.2962962962962963,2.0,4.5,1,1,35,27,0
64,20120614,24,0,10,3.0,1.3333333333333333,2.0,3.5,0,2,36,27,0
65,20120615,24,1,23,4.0,1.2857142857142858,2.0,4.0,1,-1,36,28,0
66,20120616,24,1,23,4.0,1.3214285714285714,2.0,4.0,1,1,37,28,0
67,20120617,24,1,23,1.0,1.2758620689655173,2.0,4.0,0,-1,37,29,0
68,20120618,24,1,12,5.0,1.2333333333333334,2.0,5.0,1,-2,37,30,0
69,20120619,24,1,12,5.0,1.2666666666666666,2.0,4.5,1,1,38,30,0
70,20120620,24,1,12,0.0,1.2258064516129032,2.0,4.5,1,-1,38,31,0
71,20120622,24,1,19,5.0,1.1875,2.0,4.5,1,-2,38,32,0
72,20120623,24,1,19,9.0,1.21875,2.0,3.0,0,1,39,32,0
73,20120624,24,1,19,2.0,1.25,2.0,3.0,0,2,40,32,0
74,20120625,24,0,13,8.0,1.2121212121212122,2.0,3.0,1,-1,40,33,0
75,20120626,24,0,13,2.0,1.2424242424242424,2.0,2.0,1,1,41,33,0
76,20120627,24,0,13,3.0,1.2727272727272727,2.0,1.0,0,2,42,33,0
77,20120628,24,0,6,5.0,1.303030303030303,1.0,0,1,3,43,33,0
78,20120629,24,0,6,1.0,1.3333333333333333,1.0,-1.0,1,4,44,33,0
79,20120630,24,0,6,1.0,1.2941176470588236,1.0,-1.0,0,-1,44,34,0
80,20120701,24,0,6,4.0,1.2571428571428571,1.0,-1.0,0,-2,44,35,0
81,20120703,24,1,29,3.0,1.2857142857142858,1.0,-1.0,1,1,45,35,0
82,20120704,24,1,29,4.0,1.25,1.0,-0.5,0,-1,45,36,0
83,20120705,24,1,29,5.0,1.2162162162162162,2.0,0.5,1,-2,45,37,0
84,20120706,24,1,21,6.0,1.1842105263157894,2.0,1.5,1,-3,45,38,0
85,20120707,24,1,21,1.0,1.2105263157894737,2.0,0.5,0,1,46,38,0
86,20120708,24,1,21,2.0,1.1794871794871795,2.0,0.5,0,-1,46,39,0
87,20120713,24,0,10,5.0,1.15,2.0,0.5,1,-2,46,40,0
88,20120714,24,0,10,3.0,1.175,2.0,0.5,1,1,47,40,0
89,20120715,24,0,10,3.0,1.2,1.0,-0.5,0,2,48,40,0
90,20120717,24,1,1,9.0,1.225,1.0,-1.5,1,3,49,40,0
91,20120718,24,1,1,9.0,1.25,1.0,-3.0,1,4,50,40,0
92,20120719,24,1,1,2.0,1.275,1.0,-3.0,0,5,51,40,0
93,20120720,24,1,20,7.0,1.2439024390243902,1.0,-2.5,1,-1,51,41,0
