,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120404,25,1,14,4.0,1.0,0,1.0,0,1,0,0,0,0
2,20120406,25,1,15,11.0,5.0,1.0,1.0,-0.5,0,1,1,0,0
3,20120407,25,1,15,0.0,6.0,2.0,1.0,-0.5,0,2,2,0,0
4,20120408,25,1,15,9.0,3.0,2.0,1.0,-0.5,0,-1,2,1,0
5,20120409,25,1,6,7.0,1.0,3.0,1.0,-0.5,1,1,3,1,0
6,20120410,25,1,6,3.0,1.0,4.0,1.0,-0.5,1,2,4,1,0
7,20120411,25,1,6,3.0,4.0,5.0,1.0,-1.5,0,3,5,1,0
8,20120413,25,0,4,5.0,9.0,2.5,1.0,-0.5,0,-1,5,2,0
9,20120414,25,0,4,5.0,1.0,1.6666666666666667,1.0,-1.0,0,-2,5,3,0
10,20120415,25,0,4,10.0,3.0,2.0,1.0,-1.5,0,1,6,3,0
11,20120417,25,0,6,2.0,1.0,2.3333333333333335,1.0,-2.5,1,2,7,3,0
12,20120418,25,0,6,11.0,1.0,2.6666666666666665,1.0,-3.0,1,3,8,3,0
13,20120419,25,0,6,3.0,6.0,3.0,1.0,-3.0,0,4,9,3,0
14,20120420,25,1,21,4.0,1.0,2.25,1.0,-3.0,1,-1,9,4,0
15,20120421,25,1,21,0.0,2.0,2.5,1.0,-4.0,1,1,10,4,0
16,20120422,25,1,21,5.0,1.0,2.0,1.0,-3.0,0,-1,10,5,0
17,20120423,25,1,4,2.0,3.0,2.2,1.0,-4.0,1,1,11,5,0
18,20120424,25,1,4,2.0,3.0,1.8333333333333333,1.0,-3.0,1,-1,11,6,0
19,20120425,25,1,4,5.0,1.0,1.5714285714285714,1.0,-2.0,0,-2,11,7,0
20,20120427,25,0,15,13.0,1.0,1.7142857142857142,1.0,-2.5,1,1,12,7,0
21,20120428,25,0,15,7.0,3.0,1.8571428571428572,1.0,-4.0,0,2,13,7,0
22,20120429,25,0,15,2.0,3.0,2.0,1.0,-4.0,0,3,14,7,0
23,20120501,25,0,21,10.0,7.0,1.75,1.0,-3.0,1,-1,14,8,0
24,20120502,25,0,21,12.0,3.0,1.875,1.0,-3.5,1,1,15,8,0
25,20120503,25,0,21,3.0,6.0,2.0,1.0,-4.5,0,2,16,8,0
26,20120504,25,1,10,4.0,5.0,1.7777777777777777,1.0,-3.5,1,-1,16,9,0
27,20120505,25,1,10,2.0,8.0,1.6,1.0,-2.5,1,-2,16,10,0
28,20120506,25,1,10,8.0,1.0,1.4545454545454546,1.0,-2.5,0,-3,16,11,0
29,20120507,25,1,0,9.0,6.0,1.5454545454545454,1.0,-2.5,1,1,17,11,0
30,20120508,25,1,0,6.0,1.0,1.6363636363636365,1.0,-2.5,1,2,18,11,0
31,20120509,25,1,0,7.0,2.0,1.7272727272727273,1.0,-3.5,1,3,19,11,0
