,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,26,0,18,7.0,6.0,0,1.0,0,0,0,0,0,0
2,20120407,26,0,18,8.0,6.0,1.0,1.0,0,1,1,1,0,0
3,20120408,26,0,18,3.0,0.0,2.0,1.0,0,0,2,2,0,0
4,20120410,26,1,9,2.0,5.0,3.0,1.0,0,0,3,3,0,0
5,20120411,26,1,9,4.0,2.0,3.0,1.0,-0.5,0,-1,3,1,0
6,20120412,26,1,9,2.0,7.0,4.0,1.0,-0.5,0,1,4,1,0
7,20120413,26,1,3,2.0,12.0,2.0,1.0,0,0,-1,4,2,0
8,20120414,26,1,3,5.0,13.0,1.3333333333333333,1.0,0,0,-2,4,3,0
9,20120415,26,1,3,4.0,6.0,1.0,2.0,1.0,0,-3,4,4,0
10,20120416,26,1,3,1.0,0.0,0.8,4.0,1.0,0,-4,4,5,0
11,20120417,26,1,28,3.0,7.0,1.0,3.0,1.0,1,1,5,5,0
12,20120418,26,1,28,12.0,2.0,0.8333333333333334,4.0,2.0,1,-1,5,6,0
13,20120419,26,1,28,9.0,4.0,1.0,3.0,1.0,1,1,6,6,0
14,20120420,26,0,16,4.0,5.0,1.1666666666666667,2.0,1.0,1,2,7,6,0
15,20120421,26,0,16,4.0,1.0,1.0,4.0,1.0,1,-1,7,7,0
16,20120422,26,0,16,6.0,2.0,1.1428571428571428,3.0,1.0,0,1,8,7,0
17,20120424,26,0,12,5.0,0.0,1.2857142857142858,3.0,0.5,1,2,9,7,0
18,20120425,26,0,12,3.0,2.0,1.4285714285714286,1.0,0,1,3,10,7,0
19,20120426,26,0,12,4.0,3.0,1.5714285714285714,1.0,0,0,4,11,7,0
20,20120427,26,1,27,8.0,4.0,1.7142857142857142,1.0,0,1,5,12,7,0
21,20120428,26,1,27,2.0,7.0,1.8571428571428572,1.0,-1.0,1,6,13,7,0
22,20120429,26,1,27,5.0,2.0,1.625,1.0,0,1,-1,13,8,0
23,20120430,26,0,23,3.0,2.0,1.75,1.0,0,1,1,14,8,0
24,20120501,26,0,23,3.0,1.0,1.875,1.0,-1.0,1,2,15,8,0
25,20120502,26,0,23,5.0,4.0,2.0,1.0,-1.0,1,3,16,8,0
26,20120503,26,0,23,4.0,3.0,2.125,1.0,-1.0,0,4,17,8,0
27,20120504,26,0,19,7.0,2.0,2.25,1.0,-1.5,1,5,18,8,0
28,20120505,26,0,19,3.0,4.0,2.375,1.0,-1.5,1,6,19,8,0
29,20120506,26,0,19,5.0,9.0,2.111111111111111,1.0,-0.5,0,-1,19,9,0
30,20120508,26,1,18,3.0,5.0,1.9,2.0,0.5,1,-2,19,10,0
31,20120509,26,1,18,4.0,1.0,1.7272727272727273,1.0,0,1,-3,19,11,0
32,20120510,26,1,18,3.0,5.0,1.8181818181818181,1.0,-0.5,1,1,20,11,0
33,20120511,26,1,2,3.0,4.0,1.6666666666666667,1.0,0,1,-1,20,12,0
34,20120512,26,1,2,3.0,5.0,1.5384615384615385,2.0,1.0,1,-2,20,13,0
35,20120513,26,1,2,9.0,8.0,1.4285714285714286,2.0,2.0,0,-3,20,14,0
36,20120514,26,1,28,7.0,1.0,1.5,2.0,1.0,1,1,21,14,0
37,20120515,26,1,28,4.0,3.0,1.5714285714285714,1.0,0,1,2,22,14,0
38,20120516,26,0,3,2.0,1.0,1.6428571428571428,1.0,0,1,3,23,14,0
39,20120517,26,0,3,3.0,5.0,1.7142857142857142,1.0,0,1,4,24,14,0
40,20120518,26,0,1,3.0,5.0,1.6,2.0,1.0,1,-1,24,15,0
41,20120519,26,0,1,5.0,2.0,1.5,2.0,2.0,0,-2,24,16,0
42,20120520,26,0,1,0.0,2.0,1.5625,2.0,2.0,0,1,25,16,0
43,20120521,26,0,28,2.0,6.0,1.4705882352941178,2.0,2.0,1,-1,25,17,0
44,20120522,26,0,28,8.0,5.0,1.3888888888888888,2.0,2.0,1,-2,25,18,0
45,20120523,26,0,28,5.0,4.0,1.4444444444444444,2.0,2.0,0,1,26,18,0
46,20120525,26,1,3,7.0,4.0,1.5,2.0,1.0,1,2,27,18,0
47,20120526,26,1,3,2.0,3.0,1.5555555555555556,2.0,1.0,1,3,28,18,0
48,20120527,26,1,3,4.0,3.0,1.4736842105263157,2.0,1.0,0,-1,28,19,0
49,20120528,26,0,5,1.0,2.0,1.5263157894736843,1.0,0,0,1,29,19,0
50,20120529,26,0,5,2.0,7.0,1.45,1.0,0,1,-1,29,20,0
51,20120530,26,0,5,3.0,4.0,1.380952380952381,1.0,0,0,-2,29,21,0
52,20120601,26,0,2,5.0,0.0,1.3181818181818181,1.0,0,1,-3,29,22,0
53,20120602,26,0,2,1.0,2.0,1.3636363636363635,1.0,-1.0,0,1,30,22,0
54,20120603,26,0,2,8.0,4.0,1.3043478260869565,1.0,0,0,-1,30,23,0
55,20120605,26,1,18,0.0,7.0,1.3478260869565217,1.0,-1.0,1,1,31,23,0
56,20120606,26,1,18,1.0,4.0,1.2916666666666667,1.0,0,1,-1,31,24,0
57,20120607,26,1,18,7.0,3.0,1.24,3.0,1.0,1,-2,31,25,0
58,20120608,26,1,14,5.0,1.0,1.28,1.0,0,1,1,32,25,0
59,20120609,26,1,14,13.0,4.0,1.32,1.0,-0.5,1,2,33,25,0
60,20120610,26,1,14,4.0,2.0,1.36,1.0,-0.5,0,3,34,25,0
61,20120612,26,0,17,2.0,11.0,1.4,1.0,-0.5,1,4,35,25,0
62,20120613,26,0,17,1.0,9.0,1.3461538461538463,2.0,1.0,1,-1,35,26,0
63,20120614,26,0,17,6.0,9.0,1.2962962962962963,3.0,2.0,0,-2,35,27,0
64,20120615,26,0,14,11.0,0.0,1.25,3.0,2.5,1,-3,35,28,0
65,20120616,26,0,14,3.0,4.0,1.2857142857142858,3.0,2.5,1,1,36,28,0
66,20120617,26,0,14,3.0,0.0,1.2413793103448276,3.0,3.5,0,-1,36,29,0
67,20120619,26,1,29,5.0,4.0,1.2758620689655173,3.0,3.5,1,1,37,29,0
68,20120620,26,1,29,2.0,3.0,1.3103448275862069,3.0,3.0,1,2,38,29,0
69,20120621,26,1,29,2.0,5.0,1.2666666666666666,3.0,3.0,1,-1,38,30,0
70,20120623,26,1,20,6.0,7.0,1.2258064516129032,3.0,3.5,0,-2,38,31,0
