,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,27,0,5,3.0,2.0,0,1.0,0,0,0.0,0,0,0
2,20120407,27,0,5,3.0,4.0,1.0,1.0,0,1,1.0,1,0,0
3,20120408,27,0,5,5.0,0.0,1.0,2.0,1.0,1,-1.0,1,1,0
4,20120409,27,0,23,11.0,5.0,2.0,2.0,0.5,1,1.0,2,1,0
5,20120410,27,0,23,1.0,0.0,3.0,1.0,-0.5,1,2.0,3,1,0
6,20120411,27,0,23,3.0,4.0,4.0,1.0,-1.5,1,3.0,4,1,0
7,20120412,27,0,23,5.0,3.0,2.0,1.0,-0.5,0,-1.0,4,2,0
8,20120413,27,1,16,4.0,1.0,2.5,1.0,-1.5,1,1.0,5,2,0
9,20120414,27,1,16,6.0,2.0,3.0,1.0,-2.0,0,2.0,6,2,0
10,20120415,27,1,16,4.0,3.0,3.5,1.0,-2.5,0,3.0,7,2,0
11,20120417,27,1,3,18.0,3.0,4.0,1.0,-2.5,1,4.0,8,2,0
12,20120418,27,1,3,6.0,3.0,4.5,1.0,-3.5,1,5.0,9,2,0
13,20120419,27,1,9,10.0,3.0,5.0,1.0,-3.5,1,6.0,10,2,0
14,20120421,27,1,9,10.0,4.0,5.5,1.0,-4.5,0,7.0,11,2,1
15,20120421,27,1,9,2.0,3.0,6.0,1.0,-5.5,1,8.0,12,2,1
16,20120422,27,1,9,3.0,2.0,4.0,1.0,-5.5,0,-1.0,12,3,0
17,20120423,27,0,18,4.0,7.0,4.333333333333333,1.0,-5.5,1,1.0,13,3,0
18,20120424,27,0,18,2.0,0.0,3.25,1.0,-5.5,1,-1.0,13,4,0
19,20120425,27,0,18,7.0,3.0,3.5,1.0,-5.5,1,1.0,14,4,0
20,20120427,27,0,26,4.0,8.0,3.75,1.0,-5.5,1,2.0,15,4,0
21,20120428,27,0,26,7.0,2.0,3.0,1.0,-4.5,1,-1.0,15,5,0
22,20120429,27,0,26,2.0,5.0,3.2,1.0,-5.5,1,1.0,16,5,0
23,20120430,27,1,28,4.0,1.0,2.6666666666666665,1.0,-5.5,1,-1.0,16,6,0
24,20120501,27,1,28,7.0,8.0,2.8333333333333335,1.0,-6.5,1,1.0,17,6,0
25,20120502,27,1,28,5.0,11.0,2.4285714285714284,1.0,-5.5,0,-1.0,17,7,0
26,20120504,27,1,7,3.0,6.0,2.125,1.0,-4.5,1,-2.0,17,8,0
27,20120505,27,1,7,5.0,2.0,1.8888888888888888,1.0,-4.5,1,-3.0,17,9,0
28,20120506,27,1,7,2.0,4.0,2.0,1.0,-4.5,0,1.0,18,9,0
