,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,28,1,7,7.0,0,1.0,0,0,0.0,0,0,0
2,20120407,28,1,7,7.0,1.0,1.0,-0.5,0,1.0,1,0,0
3,20120408,28,1,7,3.0,2.0,1.0,0,0,2.0,2,0,0
4,20120409,28,0,3,2.0,2.0,3.0,1.0,1,-1.0,2,1,0
5,20120410,28,0,3,7.0,1.0,3.0,1.5,1,-2.0,2,2,0
6,20120411,28,0,3,3.0,1.5,2.0,0.5,0,1.0,3,2,0
7,20120413,28,0,2,5.0,2.0,2.0,0.5,1,2.0,4,2,0
8,20120414,28,0,2,4.0,1.3333333333333333,1.0,0,0,-1.0,4,3,0
9,20120415,28,0,2,9.0,1.0,2.0,1.0,0,-2.0,4,4,0
10,20120417,28,0,26,7.0,1.25,1.0,0,1,1.0,5,4,0
11,20120418,28,0,26,2.0,1.5,2.0,0.5,1,2.0,6,4,0
12,20120419,28,0,26,4.0,1.2,2.0,0.5,1,-1.0,6,5,0
13,20120420,28,1,11,4.0,1.0,4.0,1.5,1,-2.0,6,6,0
14,20120421,28,1,11,9.0,1.1666666666666667,3.0,0.5,1,1.0,7,6,0
15,20120422,28,1,11,5.0,1.3333333333333333,2.0,0.5,0,2.0,8,6,0
16,20120423,28,1,11,4.0,1.5,1.0,0,1,3.0,9,6,0
17,20120424,28,1,2,1.0,1.6666666666666667,1.0,0,1,4.0,10,6,0
18,20120425,28,1,2,0.0,1.4285714285714286,1.0,0,1,-1.0,10,7,0
19,20120426,28,1,2,2.0,1.25,3.0,1.0,1,-2.0,10,8,0
20,20120427,28,0,23,5.0,1.1111111111111112,4.0,2.0,1,-3.0,10,9,0
21,20120428,28,0,23,7.0,1.0,4.0,3.0,0,-4.0,10,10,0
22,20120429,28,0,23,7.0,1.1,4.0,2.0,0,1.0,11,10,0
23,20120430,28,0,27,1.0,1.2,4.0,2.0,1,2.0,12,10,0
24,20120501,28,0,27,8.0,1.0909090909090908,4.0,3.0,1,-1.0,12,11,0
25,20120502,28,0,27,11.0,1.1818181818181819,4.0,3.0,0,1.0,13,11,0
26,20120503,28,1,12,5.0,1.2727272727272727,3.0,3.0,1,2.0,14,11,0
27,20120504,28,1,12,4.0,1.3636363636363635,3.0,3.0,1,3.0,15,11,0
28,20120505,28,1,12,2.0,1.4545454545454546,3.0,3.0,1,4.0,16,11,0
29,20120506,28,1,12,3.0,1.3333333333333333,3.0,3.0,0,-1.0,16,12,0
30,20120508,28,1,19,3.0,1.2307692307692308,3.0,3.5,1,-2.0,16,13,0
31,20120509,28,1,19,5.0,1.1428571428571428,4.0,3.0,0,-3.0,16,14,0
32,20120510,28,1,16,6.0,1.2142857142857142,3.0,3.0,1,1.0,17,14,0
33,20120511,28,1,16,6.0,1.2857142857142858,3.0,2.0,1,2.0,18,14,0
34,20120512,28,1,16,2.0,1.2,4.0,3.0,1,-1.0,18,15,0
35,20120513,28,1,16,3.0,1.2666666666666666,4.0,3.0,0,1.0,19,15,0
36,20120514,28,0,26,1.0,1.1875,4.0,3.0,1,-1.0,19,16,0
37,20120515,28,0,26,3.0,1.1176470588235294,4.0,3.0,1,-2.0,19,17,0
38,20120516,28,0,18,8.0,1.0555555555555556,4.0,4.0,1,-3.0,19,18,0
39,20120517,28,0,18,4.0,1.1111111111111112,4.0,4.0,1,1.0,20,18,0
40,20120518,28,0,17,14.0,1.1666666666666667,3.0,4.0,1,2.0,21,18,0
41,20120519,28,0,17,2.0,1.2222222222222223,3.0,4.0,0,3.0,22,18,0
42,20120520,28,0,17,5.0,1.2777777777777777,3.0,4.0,0,4.0,23,18,0
43,20120521,28,1,26,6.0,1.2105263157894737,3.0,4.0,1,-1.0,23,19,0
44,20120522,28,1,26,5.0,1.263157894736842,3.0,3.0,1,1.0,24,19,0
45,20120523,28,1,26,4.0,1.2,3.0,4.0,0,-1.0,24,20,0
46,20120525,28,1,27,3.0,1.1428571428571428,3.0,4.0,1,-2.0,24,21,0
47,20120526,28,1,27,7.0,1.0909090909090908,4.0,5.0,0,-3.0,24,22,0
