,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
1,"Thursday, Apr 5",WSN,@,CHC,2.0,1.0,1-0,1.0,Tied,D,1
2,"Saturday, Apr 7",WSN,@,CHC,7.0,4.0,2-0,1.0,Tied,D,2
3,"Sunday, Apr 8",WSN,@,CHC,3.0,4.0,2-1,2.0,1.0,D,-1
4,"Monday, Apr 9",WSN,@,NYM,3.0,4.0,2-2,2.0,2.0,N,-2
5,"Tuesday, Apr 10",WSN,@,NYM,6.0,2.0,3-2,2.0,1.0,N,1
6,"Wednesday, Apr 11",WSN,@,NYM,4.0,0.0,4-2,1.0,Tied,D,2
7,"Thursday, Apr 12",WSN,Home,CIN,3.0,2.0,5-2,1.0,up 0.5,D,3
8,"Friday, Apr 13",WSN,Home,CIN,2.0,1.0,6-2,1.0,up 0.5,N,4
9,"Saturday, Apr 14",WSN,Home,CIN,4.0,1.0,7-2,1.0,up 0.5,D,5
10,"Sunday, Apr 15",WSN,Home,CIN,5.0,8.0,7-3,1.0,up 0.5,D,-1
11,"Monday, Apr 16",WSN,Home,HOU,6.0,3.0,8-3,1.0,up 0.5,N,1
12,"Tuesday, Apr 17",WSN,Home,HOU,1.0,0.0,9-3,1.0,up 1.5,N,2
13,"Wednesday, Apr 18",WSN,Home,HOU,3.0,2.0,10-3,1.0,up 2.5,N,3
14,"Thursday, Apr 19",WSN,Home,HOU,4.0,11.0,10-4,1.0,up 1.5,N,-1
15,"Friday, Apr 20",WSN,Home,MIA,2.0,0.0,11-4,1.0,up 1.5,N,1
16,"Saturday, Apr 21",WSN,Home,MIA,3.0,2.0,12-4,1.0,up 1.5,D,2
17,"Tuesday, Apr 24",WSN,@,SDP,3.0,1.0,13-4,1.0,up 2.5,N,3
18,"Wednesday, Apr 25",WSN,@,SDP,7.0,2.0,14-4,1.0,up 2.5,D,4
19,"Thursday, Apr 26",WSN,@,SDP,1.0,2.0,14-5,1.0,up 2.0,N,-1
20,"Friday, Apr 27",WSN,@,LAD,2.0,3.0,14-6,1.0,up 1.0,N,-2
21,"Saturday, Apr 28",WSN,@,LAD,3.0,4.0,14-7,1.0,up 1.0,N,-3
22,"Sunday, Apr 29",WSN,@,LAD,0.0,2.0,14-8,1.0,Tied,D,-4
23,"Tuesday, May 1",WSN,Home,ARI,1.0,5.0,14-9,1.0,up 0.5,N,-5
24,"Wednesday, May 2",WSN,Home,ARI,5.0,4.0,15-9,1.0,up 0.5,N,1
25,"Thursday, May 3",WSN,Home,ARI,2.0,1.0,16-9,1.0,up 1.5,N,2
26,"Friday, May 4",WSN,Home,PHI,4.0,3.0,17-9,1.0,up 1.5,N,3
27,"Saturday, May 5",WSN,Home,PHI,7.0,1.0,18-9,1.0,up 1.5,D,4
28,"Sunday, May 6",WSN,Home,PHI,3.0,9.0,18-10,1.0,up 0.5,N,-1
29,"Tuesday, May 8",WSN,@,PIT,4.0,5.0,18-11,1.0,Tied,N,-2
30,"Wednesday, May 9",WSN,@,PIT,2.0,4.0,18-12,1.0,Tied,N,-3
31,"Thursday, May 10",WSN,@,PIT,4.0,2.0,19-12,1.0,up 0.5,N,1
32,"Friday, May 11",WSN,@,CIN,7.0,3.0,20-12,1.0,up 0.5,N,2
33,"Saturday, May 12",WSN,@,CIN,2.0,1.0,21-12,1.0,up 0.5,N,3
34,"Sunday, May 13",WSN,@,CIN,6.0,9.0,21-13,2.0,0.5,D,-1
35,"Monday, May 14",WSN,Home,SDP,8.0,5.0,22-13,1.0,up 0.5,N,1
36,"Tuesday, May 15",WSN,Home,SDP,1.0,6.0,22-14,2.0,0.5,D,-1
37,"Wednesday, May 16",WSN,Home,PIT,7.0,4.0,23-14,1.0,up 0.5,N,1
38,"Thursday, May 17",WSN,Home,PIT,3.0,5.0,23-15,2.0,0.5,N,-1
39,"Friday, May 18",WSN,Home,BAL,1.0,2.0,23-16,2.0,1.5,N,-2
40,"Saturday, May 19",WSN,Home,BAL,5.0,6.0,23-17,2.0,1.5,N,-3
41,"Sunday, May 20",WSN,Home,BAL,9.0,3.0,24-17,2.0,1.5,D,1
42,"Monday, May 21",WSN,@,PHI,2.0,1.0,25-17,2.0,0.5,N,2
43,"Tuesday, May 22",WSN,@,PHI,5.0,2.0,26-17,1.0,up 0.5,N,3
44,"Wednesday, May 23",WSN,@,PHI,1.0,4.0,26-18,1.0,up 0.5,N,-1
45,"Friday, May 25",WSN,@,ATL,7.0,4.0,27-18,1.0,up 2.0,N,1
46,"Saturday, May 26",WSN,@,ATL,8.0,4.0,28-18,1.0,up 2.5,D,2
47,"Sunday, May 27",WSN,@,ATL,7.0,2.0,29-18,1.0,up 2.5,N,3
48,"Monday, May 28",WSN,@,MIA,3.0,5.0,29-19,1.0,up 2.5,D,-1
49,"Tuesday, May 29",WSN,@,MIA,1.0,3.0,29-20,1.0,up 1.5,N,-2
50,"Wednesday, May 30",WSN,@,MIA,3.0,5.0,29-21,1.0,up 0.5,N,-3
51,"Saturday, Jun 2",WSN,Home,ATL,2.0,0.0,30-21,1.0,up 1.0,D,1
