,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,1,1,17,0.0,0,1.0,0,0,0,0,0,0
2,20120407,1,1,17,2.0,0.0,4.0,1.0,0,-1,0,1,0
3,20120408,1,1,17,5.0,0.0,5.0,2.0,0,-2,0,2,0
4,20120409,1,1,10,3.0,0.0,5.0,3.0,1,-3,0,3,0
5,20120410,1,1,10,6.0,0.0,5.0,4.0,1,-4,0,4,0
6,20120411,1,1,10,6.0,0.25,5.0,3.0,1,1,1,4,0
7,20120413,1,0,15,10.0,0.5,4.0,2.0,1,2,2,4,0
8,20120414,1,0,15,2.0,0.75,3.0,2.5,1,3,3,4,0
9,20120415,1,0,15,7.0,1.0,3.0,2.5,0,4,4,4,0
10,20120416,1,0,17,1.0,1.25,3.0,1.5,1,5,5,4,0
11,20120417,1,0,17,9.0,1.0,3.0,2.5,1,-1,5,5,0
12,20120418,1,0,17,14.0,1.2,3.0,2.5,0,1,6,5,0
13,20120419,1,1,0,10.0,1.4,2.0,2.5,1,2,7,5,0
14,20120420,1,1,0,9.0,1.6,2.0,1.5,1,3,8,5,0
15,20120421,1,1,0,3.0,1.8,2.0,1.5,1,4,9,5,0
16,20120422,1,1,0,4.0,2.0,2.0,1.5,0,5,10,5,0
17,20120423,1,1,13,2.0,1.6666666666666667,2.0,2.0,1,-1,10,6,0
18,20120424,1,1,13,4.0,1.4285714285714286,2.0,2.5,1,-2,10,7,0
19,20120425,1,1,13,4.0,1.5714285714285714,2.0,2.5,1,1,11,7,0
20,20120427,1,0,21,6.0,1.7142857142857142,2.0,2.5,1,2,12,7,0
21,20120428,1,0,21,2.0,1.8571428571428572,2.0,1.0,1,3,13,7,0
22,20120429,1,0,21,4.0,1.625,2.0,1.0,0,-1,13,8,0
23,20120430,1,0,21,3.0,1.75,1.0,0,1,1,14,8,0
24,20120501,1,0,20,2.0,1.5555555555555556,2.0,0.5,1,-1,14,9,0
25,20120502,1,0,20,15.0,1.4,2.0,0.5,1,-2,14,10,0
26,20120503,1,0,20,0.0,1.5,2.0,0.5,0,1,15,10,0
27,20120504,1,1,8,9.0,1.3636363636363635,2.0,1.5,1,-1,15,11,0
