,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,2,0,16,4.0,0,1.0,0,0,0.0,0,0,0
2,20120407,2,0,16,8.0,1.0,1.0,0,1,1.0,1,0,0
3,20120408,2,0,16,3.0,2.0,1.0,0,0,2.0,2,0,0
4,20120409,2,0,18,2.0,3.0,1.0,0,1,3.0,3,0,0
5,20120410,2,0,18,4.0,3.0,2.0,0.5,1,-1.0,3,1,0
6,20120411,2,0,18,4.0,1.5,2.0,0.5,1,-2.0,3,2,0
7,20120413,2,1,28,7.0,1.0,3.0,1.5,1,-3.0,3,3,0
8,20120414,2,1,28,6.0,1.3333333333333333,1.0,0,0,1.0,4,3,0
9,20120415,2,1,28,2.0,1.6666666666666667,1.0,-1.0,0,2.0,5,3,0
10,20120416,2,1,5,10.0,1.25,1.0,0,1,-1.0,5,4,0
11,20120417,2,1,5,3.0,1.5,1.0,-0.5,1,1.0,6,4,0
12,20120418,2,1,5,1.0,1.75,1.0,-0.5,1,2.0,7,4,0
13,20120419,2,1,5,5.0,1.4,1.0,-0.5,0,-1.0,7,5,0
14,20120420,2,1,12,3.0,1.6,1.0,-1.0,1,1.0,8,5,0
15,20120421,2,1,12,3.0,1.3333333333333333,1.0,0,1,-1.0,8,6,0
16,20120422,2,1,12,3.0,1.1428571428571428,3.0,1.0,0,-2.0,8,7,0
17,20120424,2,0,28,2.0,1.2857142857142858,3.0,0.5,1,1.0,9,7,0
18,20120425,2,0,28,3.0,1.4285714285714286,1.0,0,1,2.0,10,7,0
19,20120426,2,0,28,5.0,1.5714285714285714,1.0,0,1,3.0,11,7,0
20,20120427,2,0,19,2.0,1.7142857142857142,1.0,0,1,4.0,12,7,0
21,20120428,2,0,19,10.0,1.5,2.0,1.0,1,-1.0,12,8,0
22,20120429,2,0,19,5.0,1.625,1.0,0,0,1.0,13,8,0
23,20120430,2,1,18,1.0,1.75,1.0,0,1,2.0,14,8,0
24,20120501,2,1,18,7.0,1.5555555555555556,2.0,1.0,1,-1.0,14,9,0
25,20120502,2,1,18,5.0,1.6666666666666667,2.0,1.0,1,1.0,15,9,0
26,20120504,2,1,3,6.0,1.7777777777777777,2.0,1.0,1,2.0,16,9,0
27,20120505,2,1,3,8.0,1.8888888888888888,2.0,1.5,0,3.0,17,9,0
28,20120506,2,1,3,9.0,2.0,2.0,0.5,0,4.0,18,9,0
29,20120507,2,0,27,3.0,2.111111111111111,1.0,-0.5,1,5.0,19,9,0
30,20120508,2,0,27,3.0,1.9,1.0,0,1,-1.0,19,10,0
31,20120510,2,0,27,6.0,1.7272727272727273,1.0,0,0,-2.0,19,11,1
32,20120510,2,0,27,3.0,1.8181818181818181,1.0,0,1,1.0,20,11,1
33,20120511,2,0,26,4.0,1.6666666666666667,1.0,0,1,-1.0,20,12,0
34,20120512,2,0,26,5.0,1.75,1.0,-1.0,1,1.0,21,12,0
35,20120513,2,0,26,8.0,1.8333333333333333,1.0,-2.0,0,2.0,22,12,0
36,20120514,2,0,18,5.0,1.6923076923076923,1.0,-1.0,1,-1.0,22,13,0
37,20120515,2,0,18,5.0,1.5714285714285714,1.0,0,1,-2.0,22,14,0
38,20120516,2,1,11,4.0,1.6428571428571428,1.0,0,1,1.0,23,14,0
39,20120517,2,1,11,5.0,1.7142857142857142,1.0,0,0,2.0,24,14,0
40,20120518,2,1,29,2.0,1.7857142857142858,1.0,-1.0,1,3.0,25,14,0
41,20120519,2,1,29,6.0,1.8571428571428572,1.0,-2.0,1,4.0,26,14,0
42,20120520,2,1,29,3.0,1.9285714285714286,1.0,-2.0,0,5.0,27,14,0
43,20120521,2,0,3,6.0,1.8,1.0,-2.0,1,-1.0,27,15,0
44,20120522,2,0,3,4.0,1.6875,1.0,-2.0,1,-2.0,27,16,0
45,20120523,2,0,3,5.0,1.75,1.0,-2.0,0,1.0,28,16,0
46,20120525,2,0,11,8.0,1.6470588235294117,1.0,-1.0,1,-1.0,28,17,0
47,20120526,2,0,11,3.0,1.7058823529411764,1.0,-1.0,0,1.0,29,17,0
48,20120527,2,0,11,2.0,1.6111111111111112,1.0,-1.0,0,-1.0,29,18,0
49,20120528,2,1,28,2.0,1.5263157894736843,1.0,0,1,-2.0,29,19,0
50,20120529,2,1,28,6.0,1.45,1.0,0,1,-3.0,29,20,0
51,20120530,2,1,28,1.0,1.380952380952381,1.0,0,1,-4.0,29,21,0
52,20120601,2,1,26,0.0,1.3181818181818181,1.0,0,1,-5.0,29,22,0
53,20120602,2,1,26,2.0,1.2608695652173914,2.0,1.0,0,-6.0,29,23,0
54,20120603,2,1,26,4.0,1.3043478260869565,1.0,0,0,1.0,30,23,0
55,20120605,2,1,3,8.0,1.25,2.0,1.0,1,-1.0,30,24,0
56,20120606,2,1,3,2.0,1.2916666666666667,1.0,0,1,1.0,31,24,0
57,20120607,2,1,3,0.0,1.3333333333333333,1.0,-0.5,1,2.0,32,24,0
58,20120608,2,0,20,6.0,1.28,1.0,0,1,-1.0,32,25,0
59,20120609,2,0,20,6.0,1.2307692307692308,3.0,1.0,0,-2.0,32,26,0
60,20120610,2,0,20,5.0,1.2692307692307692,3.0,1.0,0,1.0,33,26,0
61,20120612,2,0,21,8.0,1.3076923076923077,3.0,1.0,1,2.0,34,26,0
62,20120613,2,0,21,7.0,1.3461538461538463,2.0,1.0,1,3.0,35,26,0
63,20120614,2,0,21,12.0,1.3846153846153846,2.0,1.0,1,4.0,36,26,0
64,20120615,2,1,1,2.0,1.4230769230769231,2.0,0.5,1,5.0,37,26,0
65,20120616,2,1,1,5.0,1.3703703703703705,2.0,1.5,1,-1.0,37,27,0
66,20120617,2,1,1,2.0,1.4074074074074074,2.0,1.5,0,1.0,38,27,0
67,20120618,2,1,17,0.0,1.4444444444444444,2.0,1.5,1,2.0,39,27,0
68,20120619,2,1,17,0.0,1.3928571428571428,2.0,2.5,1,-1.0,39,28,0
69,20120620,2,1,17,3.0,1.3448275862068966,2.0,2.5,1,-2.0,39,29,0
70,20120622,2,0,29,2.0,1.3,2.0,2.5,1,-3.0,39,30,0
71,20120623,2,0,29,1.0,1.3333333333333333,2.0,1.5,1,1.0,40,30,0
72,20120624,2,0,29,2.0,1.2903225806451613,2.0,2.5,0,-1.0,40,31,0
73,20120626,2,0,12,3.0,1.3225806451612903,2.0,2.5,1,1.0,41,31,0
74,20120627,2,0,12,1.0,1.28125,2.0,4.0,1,-1.0,41,32,0
75,20120628,2,0,7,2.0,1.2424242424242424,2.0,5.0,1,-2.0,41,33,0
76,20120629,2,0,7,9.0,1.2058823529411764,2.0,5.0,1,-3.0,41,34,0
77,20120630,2,0,7,5.0,1.2352941176470589,2.0,4.0,0,1.0,42,34,0
78,20120701,2,0,7,2.0,1.2,2.0,5.0,0,-1.0,42,35,0
79,20120702,2,1,23,3.0,1.1666666666666667,2.0,6.0,1,-2.0,42,36,0
80,20120703,2,1,23,5.0,1.135135135135135,2.0,6.0,1,-3.0,42,37,0
81,20120704,2,1,23,4.0,1.162162162162162,2.0,5.0,0,1.0,43,37,0
82,20120705,2,1,12,7.0,1.1891891891891893,2.0,5.0,1,2.0,44,37,0
83,20120706,2,1,12,3.0,1.1578947368421053,2.0,5.5,1,-1.0,44,38,0
84,20120707,2,1,12,0.0,1.1842105263157894,2.0,5.5,1,1.0,45,38,0
85,20120708,2,1,12,0.0,1.1538461538461537,2.0,6.0,0,-1.0,45,39,0
86,20120713,2,0,9,2.0,1.125,2.0,7.0,1,-2.0,45,40,0
87,20120714,2,0,9,8.0,1.0975609756097562,2.0,8.0,0,-3.0,45,41,0
88,20120715,2,0,9,0.0,1.1219512195121952,2.0,8.0,0,1.0,46,41,0
89,20120716,2,1,16,7.0,1.0952380952380953,2.0,8.0,1,-1.0,46,42,0
90,20120717,2,1,16,4.0,1.069767441860465,2.0,9.0,1,-2.0,46,43,0
91,20120718,2,1,16,2.0,1.0454545454545454,3.0,10.0,1,-3.0,46,44,0
92,20120719,2,1,16,4.0,1.0681818181818181,2.0,10.0,0,1.0,47,44,0
93,20120720,2,1,7,10.0,1.0909090909090908,2.0,9.0,1,2.0,48,44,0
94,20120721,2,1,7,3.0,1.1136363636363635,2.0,8.0,1,3.0,49,44,0
95,20120722,2,1,7,4.0,1.1363636363636365,2.0,7.0,0,4.0,50,44,0
96,20120723,2,1,7,1.0,1.1590909090909092,2.0,6.0,1,5.0,51,44,0
97,20120724,2,0,26,1.0,1.1333333333333333,2.0,7.0,1,-1.0,51,45,0
98,20120725,2,0,26,1.0,1.108695652173913,2.0,7.0,1,-2.0,51,46,0
99,20120726,2,0,26,6.0,1.0851063829787233,2.0,8.0,0,-3.0,51,47,0
100,20120727,2,0,19,9.0,1.1063829787234043,2.0,7.5,1,1.0,52,47,0
101,20120728,2,0,19,1.0,1.0833333333333333,2.0,8.5,1,-1.0,52,48,0
102,20120729,2,0,19,6.0,1.0612244897959184,2.0,8.5,0,-2.0,52,49,0
103,20120730,2,1,18,5.0,1.0816326530612246,2.0,7.5,1,1.0,53,49,0
104,20120731,2,1,18,11.0,1.1020408163265305,2.0,6.5,1,2.0,54,49,0
