,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,5,1,27,2.0,0,1.0,0,0,0,0,0,0
2,20120407,5,1,27,4.0,0.0,2.0,1.0,1,-1,0,1,0
3,20120408,5,1,27,0.0,1.0,2.0,1.0,1,1,1,1,0
4,20120409,5,1,7,4.0,0.5,3.0,2.0,1,-1,1,2,0
5,20120411,5,1,7,10.0,1.0,2.0,1.5,0,1,2,2,0
6,20120413,5,0,9,5.0,1.5,2.0,1.0,0,2,3,2,0
7,20120414,5,0,9,5.0,2.0,2.0,0.5,0,3,4,2,0
8,20120415,5,0,9,2.0,2.5,1.0,-0.5,0,4,5,2,0
9,20120416,5,0,2,4.0,1.6666666666666667,2.0,0.5,1,-1,5,3,0
10,20120417,5,0,2,2.0,1.25,2.0,1.5,1,-2,5,4,0
11,20120418,5,0,2,8.0,1.0,3.0,2.5,1,-3,5,5,0
12,20120419,5,0,2,3.0,1.2,2.0,2.5,0,1,6,5,0
13,20120420,5,1,23,7.0,1.0,3.0,2.5,1,-1,6,6,0
14,20120421,5,1,23,4.0,1.1666666666666667,3.0,2.0,0,1,7,6,0
15,20120422,5,1,23,7.0,1.3333333333333333,3.0,1.5,0,2,8,6,0
16,20120423,5,1,19,4.0,1.5,2.0,0.5,1,3,9,6,0
17,20120424,5,1,19,0.0,1.6666666666666667,1.0,0,1,4,10,6,0
18,20120425,5,1,19,4.0,1.4285714285714286,1.0,0,0,-1,10,7,0
19,20120426,5,0,3,3.0,1.25,1.0,0,1,-2,10,8,0
20,20120427,5,0,3,3.0,1.1111111111111112,1.0,0,1,-3,10,9,0
21,20120428,5,0,3,0.0,1.0,2.0,1.0,1,-4,10,10,0
22,20120429,5,0,3,4.0,0.9090909090909091,3.0,1.0,0,-5,10,11,0
23,20120501,5,0,7,7.0,1.0,2.0,1.0,1,1,11,11,0
24,20120502,5,0,7,3.0,1.0909090909090908,1.0,0,1,2,12,11,0
25,20120503,5,0,7,5.0,1.0,2.0,1.0,1,-1,12,12,0
26,20120504,5,1,9,4.0,0.9230769230769231,3.0,2.0,1,-2,12,13,0
