,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,6,0,14,4.0,0,1.0,0,0,0,0,0,0
2,20120407,6,0,14,3.0,1.0,1.0,0,1,1,1,0,0
3,20120408,6,0,14,6.0,1.0,2.0,0.5,0,-1,1,1,0
4,20120409,6,0,25,1.0,2.0,2.0,0.5,1,1,2,1,0
5,20120410,6,0,25,1.0,1.0,4.0,1.5,1,-1,2,2,0
6,20120411,6,0,25,4.0,0.6666666666666666,5.0,2.5,0,-2,2,3,0
7,20120412,6,1,29,2.0,1.0,3.0,1.5,0,1,3,3,0
8,20120413,6,1,29,1.0,0.75,4.0,2.0,1,-1,3,4,0
9,20120414,6,1,29,1.0,0.6,4.0,2.0,0,-2,3,5,0
10,20120415,6,1,29,8.0,0.5,4.0,3.0,0,-3,3,6,0
11,20120417,6,1,25,1.0,0.6666666666666666,3.0,3.0,1,1,4,6,0
12,20120418,6,1,25,1.0,0.5714285714285714,3.0,4.0,1,-1,4,7,0
13,20120419,6,1,25,6.0,0.5,4.0,5.0,0,-2,4,8,0
14,20120420,6,1,4,9.0,0.625,4.0,4.0,0,1,5,8,0
15,20120421,6,1,4,1.0,0.75,2.0,4.0,0,2,6,8,0
16,20120422,6,1,4,4.0,0.6666666666666666,4.0,4.0,0,-1,6,9,0
17,20120424,6,0,24,9.0,0.7777777777777778,2.0,4.0,1,1,7,9,0
18,20120425,6,0,24,4.0,0.8888888888888888,3.0,2.5,1,2,8,9,0
19,20120426,6,0,24,5.0,1.0,2.0,2.5,0,3,9,9,0
20,20120427,6,0,10,4.0,0.9,2.0,3.0,1,-1,9,10,0
21,20120428,6,0,10,6.0,0.8181818181818182,2.0,4.0,0,-2,9,11,0
22,20120429,6,0,10,6.0,0.9090909090909091,2.0,4.0,0,1,10,11,0
23,20120502,6,0,4,1.0,1.0,2.0,3.0,1,2,11,11,0
24,20120503,6,0,4,4.0,0.9166666666666666,2.0,4.5,0,-1,11,12,0
25,20120504,6,1,21,6.0,1.0,2.0,3.5,1,1,12,12,0
26,20120505,6,1,21,2.0,1.0833333333333333,2.0,2.5,1,2,13,12,0
27,20120506,6,1,21,5.0,1.0,2.0,2.5,0,-1,13,13,0
28,20120507,6,1,15,6.0,1.0769230769230769,2.0,2.5,1,1,14,13,0
29,20120508,6,1,15,3.0,1.1538461538461537,2.0,2.5,1,2,15,13,0
30,20120509,6,1,15,2.0,1.0714285714285714,2.0,3.5,0,-1,15,14,0
31,20120511,6,0,29,3.0,1.1428571428571428,2.0,3.5,1,1,16,14,0
32,20120512,6,0,29,1.0,1.0666666666666667,2.0,3.5,1,-1,16,15,0
33,20120513,6,0,29,9.0,1.0,2.0,3.5,0,-2,16,16,0
34,20120514,6,1,1,3.0,1.0625,2.0,2.5,1,1,17,16,0
35,20120515,6,1,1,2.0,1.125,2.0,1.5,1,2,18,16,0
36,20120516,6,1,17,6.0,1.0588235294117647,2.0,2.5,1,-1,18,17,0
37,20120517,6,1,17,4.0,1.1176470588235294,2.0,2.5,0,1,19,17,0
38,20120518,6,1,18,0.0,1.0555555555555556,2.0,2.5,1,-1,19,18,0
39,20120519,6,1,18,6.0,1.0,2.0,2.5,0,-2,19,19,0
40,20120520,6,1,18,5.0,1.0526315789473684,2.0,1.5,0,1,20,19,0
41,20120521,6,0,1,4.0,1.105263157894737,2.0,0.5,1,2,21,19,0
42,20120522,6,0,1,4.0,1.1578947368421053,2.0,0.5,1,3,22,19,0
43,20120523,6,0,1,2.0,1.2105263157894737,2.0,0.5,1,4,23,19,0
44,20120524,6,0,1,6.0,1.263157894736842,2.0,0.5,1,5,24,19,0
45,20120525,6,0,8,3.0,1.3157894736842106,1.0,-0.5,1,6,25,19,0
46,20120526,6,0,8,10.0,1.25,1.0,-0.5,1,-1,25,20,0
47,20120527,6,0,8,7.0,1.3,1.0,-1.5,0,1,26,20,0
48,20120528,6,1,21,1.0,1.35,1.0,-1.5,0,2,27,20,0
49,20120529,6,1,21,8.0,1.2857142857142858,1.0,-0.5,1,-1,27,21,0
50,20120530,6,1,21,1.0,1.3333333333333333,1.0,-1.5,1,1,28,21,0
51,20120601,6,1,10,4.0,1.2727272727272727,1.0,-1.5,1,-1,28,22,0
52,20120602,6,1,10,12.0,1.3181818181818181,1.0,-2.5,1,1,29,22,0
53,20120603,6,1,10,3.0,1.3636363636363635,1.0,-3.5,0,2,30,22,0
54,20120605,6,0,21,4.0,1.3043478260869565,1.0,-3.0,1,-1,30,23,0
55,20120606,6,0,21,5.0,1.25,1.0,-2.0,1,-2,30,24,0
56,20120607,6,0,21,4.0,1.2916666666666667,1.0,-3.0,1,1,31,24,0
57,20120608,6,0,9,6.0,1.24,1.0,-2.0,1,-1,31,25,0
58,20120609,6,0,9,2.0,1.28,1.0,-2.0,0,1,32,25,0
59,20120610,6,0,9,6.0,1.2307692307692308,1.0,-1.0,1,-1,32,26,0
60,20120612,6,0,7,7.0,1.1851851851851851,1.0,0,1,-2,32,27,0
61,20120613,6,0,7,5.0,1.2222222222222223,1.0,-1.0,1,1,33,27,0
62,20120614,6,0,7,12.0,1.2592592592592593,1.0,-2.0,0,2,34,27,0
63,20120615,6,1,17,7.0,1.2962962962962963,1.0,-3.0,1,3,35,27,0
64,20120616,6,1,17,4.0,1.3333333333333333,1.0,-4.0,1,4,36,27,0
65,20120617,6,1,17,3.0,1.3703703703703705,1.0,-4.0,0,5,37,27,0
66,20120618,6,1,7,9.0,1.4074074074074074,1.0,-4.0,1,6,38,27,0
67,20120619,6,1,7,2.0,1.3571428571428572,1.0,-3.5,1,-1,38,28,0
68,20120620,6,1,7,1.0,1.3103448275862069,1.0,-2.5,1,-2,38,29,0
69,20120622,6,0,16,4.0,1.2666666666666666,1.0,-2.5,1,-3,38,30,0
70,20120623,6,0,16,6.0,1.2258064516129032,1.0,-1.0,0,-4,38,31,0
71,20120624,6,0,16,3.0,1.2580645161290323,1.0,-1.0,0,1,39,31,0
72,20120625,6,0,15,3.0,1.21875,1.0,-1.0,1,-1,39,32,0
73,20120626,6,0,15,4.0,1.25,1.0,-2.0,1,1,40,32,0
74,20120627,6,0,15,4.0,1.28125,1.0,-2.0,0,2,41,32,0
75,20120628,6,1,24,0.0,1.2424242424242424,1.0,-2.0,1,-1,41,33,0
76,20120629,6,1,24,5.0,1.2058823529411764,1.0,-1.0,1,-2,41,34,0
77,20120630,6,1,24,2.0,1.2352941176470589,1.0,-1.0,0,1,42,34,0
78,20120701,6,1,24,3.0,1.2647058823529411,1.0,-1.0,0,2,43,34,0
79,20120702,6,1,13,8.0,1.2285714285714286,1.0,-1.0,1,-1,43,35,0
80,20120703,6,1,13,1.0,1.2571428571428571,1.0,-1.0,1,1,44,35,0
81,20120704,6,1,13,1.0,1.2222222222222223,1.0,0,1,-1,44,36,0
82,20120705,6,1,22,1.0,1.1891891891891893,2.0,1.0,1,-2,44,37,0
83,20120706,6,1,22,6.0,1.1578947368421053,2.0,2.0,1,-3,44,38,0
84,20120707,6,1,22,6.0,1.1842105263157894,2.0,1.0,1,1,45,38,0
