,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,8,1,10,5.0,0,1.0,0,1,0,0,0,0
2,20120407,8,1,10,3.0,1.0,2.0,0.5,1,1,1,0,0
3,20120408,8,1,10,2.0,1.0,3.0,1.5,0,-1,1,1,0
4,20120409,8,0,24,0.0,0.5,3.0,2.0,0,-2,1,2,0
5,20120411,8,0,24,17.0,0.3333333333333333,3.0,2.5,1,-3,1,3,0
6,20120412,8,0,24,2.0,0.6666666666666666,3.0,2.5,0,1,2,3,0
7,20120413,8,0,0,7.0,0.5,3.0,3.5,1,-1,2,4,0
8,20120414,8,0,0,8.0,0.75,3.0,3.5,1,1,3,4,0
9,20120415,8,0,0,2.0,1.0,3.0,3.5,0,2,4,4,0
10,20120416,8,0,22,1.0,0.8,3.0,4.5,1,-1,4,5,0
11,20120417,8,0,22,5.0,0.6666666666666666,3.0,5.0,1,-2,4,6,0
12,20120418,8,0,22,8.0,0.8333333333333334,3.0,4.0,1,1,5,6,0
13,20120420,8,1,15,4.0,1.0,3.0,3.0,1,2,6,6,0
14,20120421,8,1,15,4.0,1.1666666666666667,2.0,3.5,1,3,7,6,0
15,20120422,8,1,15,4.0,1.0,2.0,4.5,0,-1,7,7,0
16,20120424,8,1,21,4.0,1.1428571428571428,2.0,3.5,1,1,8,7,0
17,20120425,8,1,21,2.0,1.0,3.0,4.0,0,-1,8,8,1
18,20120425,8,1,21,1.0,1.125,2.0,3.5,0,1,9,8,1
19,20120427,8,0,17,18.0,1.0,2.0,3.5,1,-1,9,9,0
20,20120428,8,0,17,5.0,1.1111111111111112,2.0,3.5,1,1,10,9,0
21,20120429,8,0,17,5.0,1.0,3.0,4.5,0,-1,10,10,0
22,20120430,8,0,13,6.0,0.9090909090909091,4.0,5.5,1,-2,10,11,0
23,20120501,8,0,13,6.0,1.0,4.0,4.5,1,1,11,11,0
24,20120502,8,0,13,8.0,0.9166666666666666,4.0,5.5,0,-1,11,12,0
25,20120504,8,0,1,8.0,1.0,3.0,4.5,1,1,12,12,0
26,20120505,8,0,1,9.0,0.9230769230769231,3.0,4.5,1,-1,12,13,0
27,20120506,8,0,1,2.0,0.8571428571428571,4.0,5.5,0,-2,12,14,0
28,20120507,8,1,22,2.0,0.8,4.0,5.5,1,-3,12,15,0
29,20120508,8,1,22,1.0,0.75,4.0,6.5,1,-4,12,16,0
30,20120509,8,1,22,6.0,0.7058823529411765,4.0,6.5,0,-5,12,17,0
31,20120511,8,1,13,3.0,0.7647058823529411,3.0,6.5,1,1,13,17,0
32,20120512,8,1,13,1.0,0.7222222222222222,4.0,7.5,1,-1,13,18,0
33,20120513,8,1,13,5.0,0.6842105263157895,4.0,8.5,0,-2,13,19,0
34,20120514,8,1,24,2.0,0.65,4.0,9.5,1,-3,13,20,0
35,20120515,8,1,24,5.0,0.6190476190476191,4.0,10.5,1,-4,13,21,0
36,20120516,8,0,0,6.0,0.6666666666666666,4.0,9.5,1,1,14,21,0
37,20120517,8,0,0,7.0,0.7142857142857143,3.0,8.5,0,2,15,21,0
38,20120518,8,0,23,0.0,0.6818181818181818,4.0,9.5,1,-1,15,22,0
39,20120519,8,0,23,3.0,0.6521739130434783,4.0,10.5,0,-2,15,23,0
40,20120520,8,0,23,4.0,0.625,4.0,11.5,0,-3,15,24,0
41,20120521,8,1,14,4.0,0.6,4.0,12.5,1,-4,15,25,0
42,20120522,8,1,14,6.0,0.5769230769230769,4.0,13.5,1,-5,15,26,0
43,20120523,8,1,14,8.0,0.5555555555555556,4.0,14.5,1,-6,15,27,0
44,20120525,8,1,6,6.0,0.5925925925925926,4.0,13.5,1,1,16,27,0
45,20120526,8,1,6,3.0,0.6296296296296297,4.0,12.5,1,2,17,27,0
46,20120527,8,1,6,5.0,0.6071428571428571,4.0,13.5,0,-1,17,28,0
47,20120528,8,0,10,9.0,0.5862068965517241,4.0,14.5,0,-2,17,29,1
