,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120406,11,1,12,0.0,0,1.0,0,1,0,0,0,0
2,20120407,11,1,12,6.0,0.0,2.0,1.0,0,-1,0,1,0
3,20120408,11,1,12,7.0,1.0,2.0,1.0,0,1,1,1,0
4,20120409,11,1,19,0.0,2.0,2.0,1.0,1,2,2,1,0
5,20120410,11,1,19,3.0,1.0,2.0,1.5,1,-1,2,2,0
6,20120411,11,1,19,4.0,1.5,2.0,1.5,0,1,3,2,0
7,20120413,11,0,7,3.0,1.0,3.0,1.5,0,-1,3,3,0
8,20120414,11,0,7,9.0,0.75,3.0,2.0,1,-2,3,4,0
9,20120415,11,0,7,7.0,0.6,4.0,2.5,0,-3,3,5,0
10,20120416,11,0,9,2.0,0.5,4.0,3.0,1,-4,3,6,0
11,20120417,11,0,9,1.0,0.42857142857142855,4.0,4.0,1,-5,3,7,0
12,20120418,11,0,9,3.0,0.375,4.0,5.0,1,-6,3,8,0
13,20120420,11,0,28,3.0,0.3333333333333333,5.0,6.0,1,-7,3,9,0
14,20120421,11,0,28,5.0,0.3,5.0,6.0,1,-8,3,10,0
15,20120422,11,0,28,3.0,0.2727272727272727,5.0,6.5,0,-9,3,11,0
16,20120423,11,0,28,1.0,0.25,5.0,6.5,1,-10,3,12,0
17,20120424,11,1,7,3.0,0.23076923076923078,5.0,7.0,1,-11,3,13,0
18,20120425,11,1,7,8.0,0.21428571428571427,5.0,7.0,1,-12,3,14,0
19,20120426,11,1,7,4.0,0.2857142857142857,5.0,6.0,0,1,4,14,0
20,20120427,11,1,16,7.0,0.35714285714285715,4.0,5.0,1,2,5,14,0
21,20120429,11,1,16,4.0,0.42857142857142855,4.0,5.0,0,3,6,14,0
22,20120501,11,1,9,3.0,0.4,4.0,5.5,1,-1,6,15,0
23,20120502,11,1,9,3.0,0.375,4.0,5.5,0,-2,6,16,0
24,20120503,11,0,18,4.0,0.4375,4.0,5.5,1,1,7,16,0
25,20120504,11,0,18,2.0,0.5,4.0,5.5,1,2,8,16,0
26,20120505,11,0,18,5.0,0.47058823529411764,4.0,6.5,1,-1,8,17,0
27,20120506,11,0,18,4.0,0.5294117647058824,4.0,5.5,0,1,9,17,0
28,20120507,11,0,3,5.0,0.5,4.0,6.5,1,-1,9,18,0
29,20120508,11,0,3,6.0,0.47368421052631576,4.0,8.0,1,-2,9,19,0
30,20120509,11,0,3,4.0,0.5263157894736842,4.0,7.0,1,1,10,19,0
31,20120511,11,1,5,0.0,0.5789473684210527,4.0,6.0,1,2,11,19,0
32,20120512,11,1,5,5.0,0.55,4.0,6.5,1,-1,11,20,0
33,20120513,11,1,5,9.0,0.6,4.0,5.5,0,1,12,20,0
34,20120514,11,1,27,3.0,0.65,4.0,4.5,1,2,13,20,0
35,20120515,11,1,27,7.0,0.7,4.0,4.5,1,3,14,20,0
36,20120516,11,0,2,3.0,0.75,4.0,4.5,1,4,15,20,0
37,20120517,11,0,2,3.0,0.7142857142857143,4.0,5.5,0,-1,15,21,0
38,20120518,11,0,0,4.0,0.6818181818181818,4.0,6.5,1,-2,15,22,0
39,20120519,11,0,0,7.0,0.6521739130434783,4.0,6.5,1,-3,15,23,0
40,20120520,11,0,0,0.0,0.6956521739130435,4.0,6.5,0,1,16,23,0
41,20120521,11,1,18,6.0,0.6666666666666666,4.0,6.5,1,-1,16,24,0
42,20120522,11,1,18,2.0,0.7083333333333334,4.0,6.0,1,1,17,24,0
43,20120523,11,1,18,3.0,0.68,4.0,7.0,1,-1,17,25,0
44,20120525,11,1,2,2.0,0.6538461538461539,4.0,8.0,1,-2,17,26,0
45,20120526,11,1,2,4.0,0.6296296296296297,4.0,8.5,0,-3,17,27,0
46,20120527,11,1,2,4.0,0.6666666666666666,4.0,7.5,0,1,18,27,0
47,20120528,11,1,7,5.0,0.7037037037037037,4.0,6.5,0,2,19,27,0
48,20120529,11,1,7,8.0,0.6785714285714286,4.0,7.5,1,-1,19,28,0
49,20120530,11,1,7,6.0,0.7142857142857143,4.0,7.0,0,1,20,28,0
50,20120601,11,0,19,2.0,0.75,4.0,7.0,1,2,21,28,0
51,20120602,11,0,19,3.0,0.7857142857142857,4.0,7.0,0,3,22,28,0
52,20120603,11,0,19,2.0,0.7586206896551724,4.0,7.0,0,-1,22,29,0
53,20120604,11,0,16,7.0,0.7931034482758621,4.0,7.0,1,1,23,29,0
54,20120605,11,0,16,1.0,0.7666666666666667,4.0,7.5,1,-1,23,30,0
55,20120606,11,0,16,2.0,0.8,4.0,6.5,1,1,24,30,0
56,20120608,11,1,21,2.0,0.7741935483870968,4.0,6.5,1,-1,24,31,0
57,20120609,11,1,21,3.0,0.75,4.0,7.0,1,-2,24,32,0
58,20120610,11,1,21,2.0,0.7272727272727273,4.0,8.0,0,-3,24,33,0
59,20120612,11,0,15,2.0,0.7058823529411765,4.0,8.0,1,-4,24,34,0
60,20120613,11,0,15,4.0,0.7352941176470589,4.0,8.0,1,1,25,34,0
61,20120614,11,0,15,4.0,0.7647058823529411,4.0,7.0,1,2,26,34,0
62,20120615,11,1,25,3.0,0.7941176470588235,4.0,6.0,1,3,27,34,0
63,20120616,11,1,25,7.0,0.8235294117647058,4.0,5.0,0,4,28,34,0
64,20120617,11,1,25,5.0,0.8,4.0,6.0,0,-1,28,35,0
65,20120618,11,1,10,7.0,0.8285714285714286,4.0,5.0,1,1,29,35,0
66,20120619,11,1,10,2.0,0.8055555555555556,4.0,5.0,1,-1,29,36,0
67,20120620,11,1,10,2.0,0.8333333333333334,4.0,4.5,0,1,30,36,0
68,20120622,11,0,25,4.0,0.8611111111111112,4.0,4.5,1,2,31,36,0
69,20120623,11,0,25,2.0,0.8378378378378378,4.0,5.5,0,-1,31,37,0
70,20120624,11,0,25,8.0,0.8157894736842105,4.0,5.5,0,-2,31,38,0
71,20120625,11,0,26,8.0,0.7948717948717948,4.0,6.0,1,-3,31,39,0
72,20120626,11,0,26,8.0,0.8205128205128205,4.0,5.0,1,1,32,39,0
73,20120627,11,0,26,5.0,0.8461538461538461,4.0,5.0,0,2,33,39,0
74,20120629,11,1,16,4.0,0.8717948717948718,4.0,5.0,1,3,34,39,0
