,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,17,0,1,1.0,0,1.0,0,0,0,0,0,0
2,20120407,17,0,1,4.0,1.0,1.0,0,0,1,1,0,0
3,20120408,17,0,1,7.0,2.0,1.0,0,0,2,2,0,0
4,20120409,17,0,29,4.0,3.0,1.0,-1.0,1,3,3,0,0
5,20120410,17,0,29,2.0,4.0,1.0,-2.0,1,4,4,0,0
6,20120411,17,0,29,0.0,4.0,1.0,-1.0,0,-1,4,1,0
7,20120413,17,1,20,5.0,2.0,1.0,0,1,-2,4,2,0
8,20120414,17,1,20,5.0,2.5,2.0,0.5,0,1,5,2,0
9,20120415,17,1,20,2.0,3.0,2.0,0.5,0,2,6,2,0
10,20120416,17,1,1,6.0,2.0,2.0,0.5,1,-1,6,3,0
11,20120417,17,1,1,3.0,2.3333333333333335,2.0,0.5,1,1,7,3,0
12,20120418,17,1,1,6.0,1.75,2.0,1.5,0,-1,7,4,0
13,20120420,17,0,24,3.0,1.4,2.0,2.5,1,-2,7,5,0
14,20120421,17,0,24,5.0,1.1666666666666667,3.0,3.0,0,-3,7,6,0
15,20120423,17,0,24,1.0,1.3333333333333333,3.0,3.0,0,1,8,6,1
16,20120423,17,0,24,2.0,1.1428571428571428,3.0,4.0,1,-1,8,7,1
17,20120424,17,0,14,2.0,1.0,3.0,4.0,1,-2,8,8,0
18,20120425,17,0,14,5.0,1.125,3.0,4.0,1,1,9,8,0
19,20120426,17,0,14,3.0,1.25,3.0,4.0,0,2,10,8,0
20,20120427,17,1,8,9.0,1.375,3.0,3.0,1,3,11,8,0
21,20120428,17,1,8,7.0,1.2222222222222223,3.0,3.0,1,-1,11,9,0
22,20120429,17,1,8,6.0,1.3333333333333333,3.0,2.0,0,1,12,9,0
23,20120430,17,1,10,3.0,1.4444444444444444,3.0,1.0,1,2,13,9,0
24,20120501,17,1,10,3.0,1.3,3.0,1.5,1,-1,13,10,0
25,20120502,17,1,10,1.0,1.1818181818181819,3.0,1.5,0,-2,13,11,0
26,20120504,17,0,0,4.0,1.0833333333333333,3.0,2.5,1,-3,13,12,0
27,20120505,17,0,0,4.0,1.0,3.0,4.0,0,-4,13,13,0
28,20120506,17,0,0,3.0,1.0769230769230769,3.0,4.0,0,1,14,13,0
29,20120507,17,1,20,5.0,1.1538461538461537,3.0,3.0,1,2,15,13,0
30,20120508,17,1,20,7.0,1.2307692307692308,3.0,2.5,1,3,16,13,0
31,20120509,17,1,20,10.0,1.3076923076923077,3.0,1.5,1,4,17,13,0
32,20120511,17,1,14,5.0,1.3846153846153846,3.0,0.5,1,5,18,13,0
33,20120512,17,1,14,9.0,1.2857142857142858,3.0,2.0,0,-1,18,14,0
34,20120513,17,1,14,4.0,1.3571428571428572,3.0,2.0,0,1,19,14,0
35,20120514,17,0,15,3.0,1.2666666666666666,3.0,2.5,1,-1,19,15,0
36,20120515,17,0,15,0.0,1.3333333333333333,3.0,2.0,1,1,20,15,0
37,20120516,17,0,6,3.0,1.25,3.0,2.5,1,-1,20,16,0
38,20120517,17,0,6,9.0,1.1764705882352942,3.0,3.0,0,-2,20,17,0
39,20120518,17,1,28,5.0,1.2352941176470589,3.0,2.5,1,1,21,17,0
40,20120519,17,1,28,0.0,1.1666666666666667,3.0,3.5,0,-1,21,18,0
41,20120520,17,1,28,6.0,1.105263157894737,3.0,3.5,0,-2,21,19,0
42,20120521,17,1,21,4.0,1.1578947368421053,3.0,3.5,1,1,22,19,0
43,20120522,17,1,21,3.0,1.1,4.0,3.5,1,-1,22,20,0
44,20120523,17,1,21,3.0,1.15,4.0,3.0,0,1,23,20,0
45,20120524,17,0,22,5.0,1.2,3.0,2.0,1,2,24,20,0
46,20120525,17,0,22,6.0,1.1428571428571428,3.0,2.5,1,-1,24,21,0
47,20120526,17,0,22,9.0,1.1904761904761905,3.0,2.5,0,1,25,21,0
48,20120527,17,0,22,2.0,1.2380952380952381,2.0,2.5,0,2,26,21,0
49,20120528,17,0,20,4.0,1.2857142857142858,2.0,2.5,0,3,27,21,0
50,20120529,17,0,20,6.0,1.2272727272727273,2.0,2.5,1,-1,27,22,0
51,20120530,17,0,20,6.0,1.2727272727272727,2.0,1.5,1,1,28,22,0
52,20120601,17,0,25,8.0,1.2173913043478262,3.0,1.5,1,-1,28,23,0
53,20120602,17,0,25,5.0,1.2608695652173914,2.0,1.0,0,1,29,23,0
54,20120603,17,0,25,6.0,1.3043478260869565,2.0,1.0,1,2,30,23,0
55,20120604,17,0,25,4.0,1.3478260869565217,1.0,0,0,3,31,23,0
56,20120605,17,1,29,6.0,1.2916666666666667,3.0,0.5,1,-1,31,24,0
57,20120606,17,1,29,3.0,1.24,3.0,1.5,1,-2,31,25,0
58,20120607,17,1,29,3.0,1.1923076923076923,4.0,2.5,0,-3,31,26,0
59,20120608,17,1,18,1.0,1.2307692307692308,3.0,1.5,1,1,32,26,0
60,20120609,17,1,18,2.0,1.1851851851851851,3.0,2.5,1,-1,32,27,0
61,20120610,17,1,18,4.0,1.1428571428571428,3.0,3.5,0,-2,32,28,0
62,20120612,17,1,26,11.0,1.103448275862069,3.0,4.5,1,-3,32,29,0
63,20120613,17,1,26,9.0,1.1379310344827587,3.0,5.0,1,1,33,29,0
64,20120614,17,1,26,9.0,1.1724137931034482,2.0,5.0,0,2,34,29,0
65,20120615,17,0,6,3.0,1.206896551724138,2.0,4.5,1,3,35,29,0
66,20120616,17,0,6,1.0,1.1666666666666667,3.0,4.5,1,-1,35,30,0
67,20120617,17,0,6,1.0,1.1290322580645162,3.0,4.5,0,-2,35,31,0
68,20120618,17,0,2,5.0,1.09375,3.0,4.5,1,-3,35,32,0
69,20120619,17,0,2,5.0,1.125,2.0,4.0,1,1,36,32,0
70,20120620,17,0,2,4.0,1.15625,2.0,3.0,1,2,37,32,0
71,20120622,17,0,18,6.0,1.1875,2.0,3.0,1,3,38,32,0
72,20120623,17,0,18,3.0,1.21875,2.0,2.5,1,4,39,32,0
73,20120624,17,0,18,5.0,1.1818181818181819,2.0,3.5,1,-1,39,33,0
74,20120625,17,1,4,1.0,1.1470588235294117,2.0,3.5,1,-2,39,34,0
75,20120626,17,1,4,3.0,1.1142857142857143,2.0,3.5,1,-3,39,35,0
76,20120627,17,1,4,17.0,1.0833333333333333,3.0,4.5,0,-4,39,36,0
77,20120628,17,1,13,3.0,1.1111111111111112,3.0,4.5,1,1,40,36,0
78,20120629,17,1,13,9.0,1.1388888888888888,2.0,3.5,1,2,41,36,0
79,20120630,17,1,13,5.0,1.1666666666666667,2.0,3.5,0,3,42,36,0
80,20120701,17,1,13,3.0,1.1944444444444444,2.0,2.5,1,4,43,36,0
81,20120703,17,0,20,11.0,1.162162162162162,2.0,3.5,1,-1,43,37,0
82,20120704,17,0,20,2.0,1.1891891891891893,2.0,3.5,0,1,44,37,0
83,20120705,17,0,20,6.0,1.1578947368421053,2.0,4.5,1,-1,44,38,0
84,20120706,17,0,4,7.0,1.1842105263157894,2.0,4.5,1,1,45,38,0
85,20120707,17,0,4,3.0,1.1538461538461537,2.0,4.5,0,-1,45,39,0
86,20120708,17,0,4,0.0,1.1794871794871795,2.0,4.5,0,1,46,39,0
87,20120713,17,1,1,5.0,1.15,3.0,4.5,1,-1,46,40,0
88,20120714,17,1,1,7.0,1.1219512195121952,3.0,5.5,0,-2,46,41,0
89,20120715,17,1,1,1.0,1.0952380952380953,3.0,5.5,0,-3,46,42,0
90,20120717,17,1,29,4.0,1.069767441860465,3.0,6.5,1,-4,46,43,0
91,20120718,17,1,29,3.0,1.0454545454545454,3.0,7.0,1,-5,46,44,0
92,20120719,17,1,29,9.0,1.0222222222222221,3.0,8.0,0,-6,46,45,0
93,20120720,17,0,13,6.0,1.0444444444444445,3.0,7.0,1,1,47,45,0
94,20120721,17,0,13,5.0,1.0217391304347827,3.0,7.0,0,-1,47,46,0
95,20120722,17,0,13,3.0,1.0,3.0,7.5,0,-2,47,47,0
96,20120723,17,0,29,2.0,0.9791666666666666,3.0,8.5,1,-3,47,48,0
97,20120724,17,0,29,2.0,0.9591836734693877,3.0,9.5,1,-4,47,49,0
98,20120725,17,0,29,2.0,0.94,3.0,10.5,0,-5,47,50,0
99,20120726,17,1,0,3.0,0.9215686274509803,3.0,11.5,1,-6,47,51,0
100,20120727,17,1,0,5.0,0.9411764705882353,3.0,11.5,1,1,48,51,0
101,20120728,17,1,0,3.0,0.9230769230769231,3.0,11.5,1,-1,48,52,0
102,20120729,17,1,0,5.0,0.9056603773584906,3.0,12.5,0,-2,48,53,0
103,20120730,17,1,24,8.0,0.9245283018867925,3.0,12.5,1,1,49,53,0
104,20120731,17,1,24,1.0,0.9433962264150944,3.0,12.0,1,2,50,53,0
105,20120801,17,1,24,2.0,0.9259259259259259,3.0,12.0,1,-1,50,54,0
106,20120802,17,1,24,9.0,0.9444444444444444,3.0,11.0,0,1,51,54,0
107,20120803,17,1,22,1.0,0.9629629629629629,3.0,11.0,1,2,52,54,0
108,20120804,17,1,22,6.0,0.9454545454545454,3.0,11.5,1,-1,52,55,0
109,20120805,17,1,22,3.0,0.9636363636363636,3.0,11.5,0,1,53,55,0
110,20120807,17,0,14,2.0,0.9464285714285714,3.0,12.5,1,-1,53,56,0
111,20120808,17,0,14,0.0,0.9298245614035088,3.0,14.0,1,-2,53,57,0
112,20120809,17,0,14,6.0,0.9137931034482759,3.0,15.0,0,-3,53,58,0
113,20120810,17,0,1,0.0,0.9310344827586207,3.0,15.0,1,1,54,58,0
114,20120811,17,0,1,3.0,0.9152542372881356,3.0,16.0,1,-1,54,59,0
