,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader
1,20120405,29,1,4,2.0,0,1.0,0,0,0,0,0,0
2,20120407,29,1,4,7.0,1.0,1.0,0,0,1,1,0,0
3,20120408,29,1,4,3.0,2.0,1.0,0,0,2,2,0,0
4,20120409,29,1,17,3.0,2.0,2.0,1.0,1,-1,2,1,0
5,20120410,29,1,17,6.0,1.0,2.0,2.0,1,-2,2,2,0
6,20120411,29,1,17,4.0,1.5,2.0,1.0,0,1,3,2,0
7,20120412,29,0,6,3.0,2.0,1.0,0,0,2,4,2,0
8,20120413,29,0,6,2.0,2.5,1.0,-0.5,1,3,5,2,0
9,20120414,29,0,6,4.0,3.0,1.0,-0.5,0,4,6,2,0
10,20120415,29,0,6,5.0,3.5,1.0,-0.5,0,5,7,2,0
11,20120416,29,0,10,6.0,2.3333333333333335,1.0,-0.5,1,-1,7,3,0
12,20120417,29,0,10,1.0,2.6666666666666665,1.0,-0.5,1,1,8,3,0
13,20120418,29,0,10,3.0,3.0,1.0,-1.5,1,2,9,3,0
14,20120419,29,0,10,4.0,3.3333333333333335,1.0,-2.5,1,3,10,3,0
15,20120420,29,0,14,2.0,2.5,1.0,-1.5,1,-1,10,4,0
16,20120421,29,0,14,3.0,2.75,1.0,-1.5,0,1,11,4,0
17,20120424,29,1,22,3.0,3.0,1.0,-1.5,1,2,12,4,0
18,20120425,29,1,22,7.0,3.25,1.0,-2.5,0,3,13,4,0
19,20120426,29,1,22,1.0,3.5,1.0,-2.5,1,4,14,4,0
20,20120427,29,1,13,2.0,2.8,1.0,-2.0,1,-1,14,5,0
21,20120428,29,1,13,3.0,2.3333333333333335,1.0,-1.0,1,-2,14,6,0
22,20120429,29,1,13,0.0,2.0,1.0,-1.0,0,-3,14,7,0
23,20120501,29,0,0,1.0,1.75,1.0,0,1,-4,14,8,0
24,20120502,29,0,0,5.0,1.5555555555555556,1.0,-0.5,1,-5,14,9,0
25,20120503,29,0,0,2.0,1.6666666666666667,1.0,-0.5,1,1,15,9,0
26,20120504,29,0,20,4.0,1.7777777777777777,1.0,-1.5,1,2,16,9,0
27,20120505,29,0,20,7.0,1.8888888888888888,1.0,-1.5,0,3,17,9,0
28,20120506,29,0,20,3.0,2.0,1.0,-1.5,1,4,18,9,0
29,20120508,29,1,21,4.0,1.8,1.0,-0.5,1,-1,18,10,0
30,20120509,29,1,21,2.0,1.6363636363636365,1.0,0,1,-2,18,11,0
31,20120510,29,1,21,4.0,1.5,1.0,0,1,-3,18,12,0
32,20120511,29,1,6,7.0,1.5833333333333333,1.0,-0.5,1,1,19,12,0
33,20120512,29,1,6,2.0,1.6666666666666667,1.0,-0.5,1,2,20,12,0
34,20120513,29,1,6,6.0,1.75,1.0,-0.5,0,3,21,12,0
35,20120514,29,0,22,8.0,1.6153846153846154,2.0,0.5,1,-1,21,13,0
36,20120515,29,0,22,1.0,1.6923076923076923,1.0,-0.5,0,1,22,13,0
37,20120516,29,0,21,7.0,1.5714285714285714,2.0,0.5,1,-1,22,14,0
38,20120517,29,0,21,3.0,1.6428571428571428,1.0,-0.5,1,1,23,14,0
39,20120518,29,0,2,1.0,1.5333333333333334,2.0,0.5,1,-1,23,15,0
40,20120519,29,0,2,5.0,1.4375,2.0,1.5,1,-2,23,16,0
41,20120520,29,0,2,9.0,1.3529411764705883,2.0,1.5,0,-3,23,17,0
42,20120521,29,1,20,2.0,1.411764705882353,2.0,1.5,1,1,24,17,0
43,20120522,29,1,20,5.0,1.4705882352941178,2.0,0.5,1,2,25,17,0
44,20120523,29,1,20,1.0,1.5294117647058822,1.0,-0.5,1,3,26,17,0
45,20120525,29,1,1,7.0,1.4444444444444444,1.0,-0.5,1,-1,26,18,0
46,20120526,29,1,1,8.0,1.5,1.0,-2.0,0,1,27,18,0
47,20120527,29,1,1,7.0,1.5555555555555556,1.0,-2.5,1,2,28,18,0
48,20120528,29,1,14,3.0,1.6111111111111112,1.0,-2.5,0,3,29,18,0
49,20120529,29,1,14,1.0,1.5263157894736843,1.0,-2.5,1,-1,29,19,0
50,20120530,29,1,14,3.0,1.45,1.0,-1.5,1,-2,29,20,0
51,20120602,29,0,1,2.0,1.380952380952381,1.0,-0.5,0,-3,29,21,0
52,20120603,29,0,1,2.0,1.4285714285714286,1.0,-1.0,0,1,30,21,0
53,20120605,29,0,17,7.0,1.3636363636363635,1.0,0,1,-1,30,22,0
54,20120606,29,0,17,5.0,1.4090909090909092,1.0,-1.0,1,1,31,22,0
55,20120607,29,0,17,1.0,1.4545454545454546,1.0,-2.0,0,2,32,22,0
56,20120608,29,1,3,7.0,1.391304347826087,1.0,-1.0,1,-1,32,23,0
57,20120609,29,1,3,4.0,1.434782608695652,1.0,-1.0,0,1,33,23,0
58,20120610,29,1,3,4.0,1.4782608695652173,1.0,-1.0,0,2,34,23,0
59,20120611,29,1,28,6.0,1.5217391304347827,1.0,-2.0,1,3,35,23,0
60,20120612,29,1,28,4.0,1.565217391304348,1.0,-3.0,1,4,36,23,0
61,20120613,29,1,28,6.0,1.608695652173913,1.0,-4.0,0,5,37,23,0
62,20120615,29,0,18,2.0,1.6521739130434783,1.0,-5.0,1,6,38,23,0
63,20120616,29,0,18,3.0,1.5833333333333333,1.0,-4.0,0,-1,38,24,0
64,20120617,29,0,18,1.0,1.52,1.0,-4.0,0,-2,38,25,0
65,20120619,29,0,26,4.0,1.4615384615384615,1.0,-4.0,1,-3,38,26,0
66,20120620,29,0,26,3.0,1.4074074074074074,1.0,-3.0,1,-4,38,27,0
67,20120621,29,0,26,5.0,1.4444444444444444,1.0,-3.0,1,1,39,27,0
68,20120622,29,1,2,1.0,1.4814814814814814,1.0,-3.5,1,2,40,27,0
69,20120623,29,1,2,3.0,1.4285714285714286,1.0,-2.5,1,-1,40,28,0
70,20120624,29,1,2,1.0,1.4642857142857142,1.0,-3.5,0,1,41,28,0
71,20120625,29,1,8,2.0,1.4137931034482758,1.0,-3.5,1,-1,41,29,0
72,20120626,29,1,8,12.0,1.3666666666666667,1.0,-3.5,1,-2,41,30,0
73,20120627,29,1,8,11.0,1.4,1.0,-3.5,1,1,42,30,0
74,20120628,29,1,8,10.0,1.4333333333333333,1.0,-3.5,0,2,43,30,0
75,20120629,29,1,1,5.0,1.3870967741935485,1.0,-3.5,1,-1,43,31,0
76,20120630,29,1,1,5.0,1.4193548387096775,1.0,-3.5,0,1,44,31,0
77,20120701,29,1,1,8.0,1.375,1.0,-2.5,0,-1,44,32,0
78,20120703,29,0,24,9.0,1.40625,1.0,-3.5,1,1,45,32,0
79,20120704,29,0,24,9.0,1.4375,1.0,-3.5,0,2,46,32,0
80,20120705,29,0,24,6.0,1.46875,1.0,-4.5,1,3,47,32,0
81,20120706,29,0,8,1.0,1.5,1.0,-4.5,1,4,48,32,0
82,20120707,29,0,8,4.0,1.4545454545454546,1.0,-4.5,0,-1,48,33,0
83,20120708,29,0,8,3.0,1.4848484848484849,1.0,-4.5,0,1,49,33,0
84,20120713,29,1,14,5.0,1.4411764705882353,1.0,-4.0,1,-1,49,34,0
85,20120714,29,1,14,1.0,1.4705882352941178,1.0,-4.0,1,1,50,34,0
86,20120715,29,1,14,4.0,1.4285714285714286,1.0,-3.0,0,-1,50,35,0
87,20120716,29,1,14,3.0,1.457142857142857,1.0,-3.0,1,1,51,35,0
88,20120717,29,0,17,5.0,1.4166666666666667,1.0,-2.5,1,-1,51,36,0
89,20120718,29,0,17,4.0,1.4444444444444444,1.0,-3.5,1,1,52,36,0
90,20120719,29,0,17,5.0,1.4722222222222223,1.0,-4.5,0,2,53,36,0
91,20120720,29,0,1,10.0,1.4324324324324325,1.0,-3.5,1,-1,53,37,0
92,20120721,29,0,1,0.0,1.394736842105263,1.0,-2.5,0,-2,53,38,1
93,20120721,29,0,1,5.0,1.358974358974359,1.0,-2.5,1,-3,53,39,1
94,20120722,29,0,1,9.0,1.3846153846153846,1.0,-2.5,0,1,54,39,0
95,20120723,29,1,17,8.0,1.4102564102564104,1.0,-3.5,1,2,55,39,0
96,20120724,29,1,17,5.0,1.435897435897436,1.0,-4.5,1,3,56,39,0
97,20120725,29,1,17,5.0,1.4615384615384615,1.0,-4.5,0,4,57,39,0
98,20120726,29,1,15,8.0,1.4871794871794872,1.0,-4.5,1,5,58,39,0
99,20120727,29,1,15,0.0,1.5128205128205128,1.0,-5.0,1,6,59,39,0
100,20120728,29,1,15,4.0,1.475,1.0,-4.0,1,-1,59,40,0
101,20120729,29,1,15,11.0,1.5,1.0,-4.0,0,1,60,40,0
102,20120731,29,0,20,0.0,1.525,1.0,-4.0,1,2,61,40,0
103,20120801,29,0,20,2.0,1.4878048780487805,1.0,-2.5,1,-1,61,41,0
104,20120802,29,0,20,3.0,1.4523809523809523,1.0,-2.5,1,-2,61,42,0
105,20120803,29,0,14,7.0,1.4761904761904763,1.0,-2.5,0,1,62,42,1
106,20120803,29,0,14,2.0,1.5,1.0,-2.0,1,2,63,42,1
107,20120804,29,0,14,10.0,1.4651162790697674,1.0,-2.0,1,-1,63,43,0
108,20120805,29,0,14,4.0,1.4883720930232558,1.0,-3.0,0,1,64,43,0
109,20120806,29,1,10,5.0,1.5116279069767442,1.0,-3.0,1,2,65,43,0
110,20120807,29,1,10,3.0,1.5348837209302326,1.0,-3.0,1,3,66,43,0
111,20120808,29,1,10,4.0,1.558139534883721,1.0,-4.0,1,4,67,43,0
112,20120809,29,1,10,5.0,1.5813953488372092,1.0,-4.0,1,5,68,43,0
113,20120810,29,1,0,9.0,1.6046511627906976,1.0,-4.5,1,6,69,43,0
