,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170402,0,0,24,6.0,0,1.0,0,0,0,0,0,0,5.012345679012346,4.977225672877847,4.977225672877847,4.977225672877847,4.977225672877847
2,20170404,0,0,24,4.0,1.0,1.0,-0.5,1,1,1,0,0,6.0,6.0,6.0,6.0,6.0
3,20170405,0,0,24,8.0,1.0,2.0,1.0,1,-1,1,1,0,4.0,5.0,5.0,5.0,5.0
4,20170406,0,0,24,9.0,2.0,1.0,0,1,1,2,1,0,8.0,6.0,6.0,6.0,6.0
5,20170407,0,0,7,7.0,3.0,1.0,0,1,2,3,1,0,9.0,7.0,6.75,6.75,6.75
6,20170408,0,0,7,11.0,4.0,1.0,0,1,3,4,1,0,7.0,8.0,6.8,6.8,6.8
7,20170409,0,0,7,3.0,5.0,1.0,0,0,4,5,1,0,11.0,9.0,7.8,7.5,7.5
8,20170410,0,1,24,1.0,6.0,1.0,-1.0,0,5,6,1,0,3.0,7.0,7.6,6.857142857142857,6.857142857142857
9,20170411,0,1,24,4.0,3.0,1.0,-1.0,1,-1,6,2,0,1.0,5.0,6.2,6.142857142857143,6.125
10,20170412,0,1,24,2.0,3.5,1.0,-1.0,1,1,7,2,0,4.0,2.6666666666666665,5.2,6.142857142857143,5.888888888888889
11,20170414,0,1,13,1.0,2.3333333333333335,1.0,-1.0,1,-1,7,3,0,2.0,2.3333333333333335,4.2,5.285714285714286,5.5
12,20170415,0,1,13,4.0,1.75,1.0,-0.5,1,-2,7,4,0,1.0,2.3333333333333335,2.2,4.142857142857143,5.0
13,20170416,0,1,13,3.0,1.4,2.0,0.5,0,-3,7,5,0,4.0,2.3333333333333335,2.4,3.7142857142857144,5.0
14,20170417,0,1,13,4.0,1.6,2.0,0.5,1,1,8,5,0,3.0,2.6666666666666665,2.8,2.5714285714285716,4.5
15,20170418,0,1,22,11.0,1.8,1.0,0,1,2,9,5,0,4.0,3.6666666666666665,2.8,2.7142857142857144,4.0
16,20170419,0,1,22,0.0,2.0,1.0,0,1,3,10,5,0,11.0,6.0,4.6,4.142857142857143,4.4
17,20170420,0,1,22,1.0,1.6666666666666667,1.0,0,1,-1,10,6,0,0.0,5.0,4.4,3.5714285714285716,3.3
18,20170421,0,0,13,13.0,1.4285714285714286,2.0,0.5,1,-2,10,7,0,1.0,4.0,3.8,3.4285714285714284,3.1
19,20170422,0,0,13,11.0,1.5714285714285714,2.0,0.5,1,1,11,7,0,13.0,4.666666666666667,5.8,5.142857142857143,4.3
20,20170423,0,0,13,2.0,1.7142857142857142,2.0,0.5,0,2,12,7,0,11.0,8.333333333333334,7.2,6.142857142857143,5.0
21,20170424,0,0,22,7.0,1.5,2.0,1.5,1,-1,12,8,0,2.0,8.666666666666666,5.4,6.0,5.0
22,20170425,0,0,22,9.0,1.625,2.0,1.5,1,1,13,8,0,7.0,6.666666666666667,6.8,6.428571428571429,5.6
23,20170426,0,0,22,5.0,1.75,2.0,0.5,1,2,14,8,0,9.0,6.0,8.4,6.142857142857143,6.1
24,20170427,0,0,22,6.0,1.5555555555555556,2.0,0.5,1,-1,14,9,0,5.0,7.0,6.8,6.857142857142857,6.3
25,20170428,0,0,8,1.0,1.6666666666666667,1.0,-0.5,1,1,15,9,0,6.0,6.666666666666667,5.8,7.571428571428571,6.5
26,20170429,0,0,8,6.0,1.5,2.0,0.5,1,-1,15,10,0,1.0,4.0,5.6,5.857142857142857,5.5
27,20170430,0,0,8,2.0,1.3636363636363635,2.0,1.5,0,-2,15,11,0,6.0,4.333333333333333,5.4,5.142857142857143,6.1
28,20170502,0,1,29,6.0,1.4545454545454546,2.0,0.5,1,1,16,11,0,2.0,3.0,4.0,5.142857142857143,6.2
29,20170503,0,1,29,1.0,1.5454545454545454,1.0,-0.5,1,2,17,11,0,6.0,4.666666666666667,4.2,5.0,5.5
30,20170504,0,1,29,2.0,1.4166666666666667,2.0,0.5,0,-1,17,12,0,1.0,3.0,3.2,3.857142857142857,4.5
31,20170505,0,1,8,6.0,1.3076923076923077,2.0,1.5,1,-2,17,13,0,2.0,3.0,3.4,3.4285714285714284,4.5
32,20170506,0,1,8,1.0,1.3846153846153846,2.0,0.5,1,1,18,13,0,6.0,3.0,3.4,3.4285714285714284,4.4
33,20170507,0,1,8,2.0,1.2857142857142858,2.0,1.5,0,-1,18,14,0,1.0,3.0,3.2,3.4285714285714284,3.6
34,20170509,0,0,9,3.0,1.2,2.0,2.5,1,-2,18,15,0,2.0,3.0,2.4,2.857142857142857,3.3
35,20170510,0,0,9,7.0,1.125,3.0,3.0,1,-3,18,16,0,3.0,2.0,2.8,3.0,3.0
36,20170511,0,0,21,2.0,1.1875,3.0,3.0,1,1,19,16,0,7.0,4.0,3.8,3.142857142857143,3.6
37,20170512,0,0,21,11.0,1.25,3.0,3.0,1,2,20,16,0,2.0,4.0,3.0,3.2857142857142856,3.2
38,20170513,0,0,21,3.0,1.3125,3.0,2.0,1,3,21,16,0,11.0,6.666666666666667,5.0,4.571428571428571,4.1
39,20170514,0,0,21,4.0,1.2352941176470589,3.0,2.0,0,-1,21,17,0,3.0,5.333333333333333,5.2,4.142857142857143,3.8
40,20170515,0,0,17,7.0,1.1666666666666667,3.0,3.0,1,-2,21,18,0,4.0,6.0,5.4,4.571428571428571,4.1
41,20170516,0,0,17,5.0,1.2222222222222223,3.0,2.5,1,1,22,18,0,7.0,4.666666666666667,5.4,5.285714285714286,4.6
42,20170517,0,0,17,5.0,1.2777777777777777,2.0,2.5,0,2,23,18,0,5.0,5.333333333333333,6.0,5.571428571428571,4.5
43,20170519,0,1,22,10.0,1.3333333333333333,2.0,2.0,1,3,24,18,0,5.0,5.666666666666667,4.8,5.285714285714286,4.9
44,20170520,0,1,22,9.0,1.3888888888888888,2.0,2.0,1,4,25,18,0,10.0,6.666666666666667,6.2,6.428571428571429,5.7
45,20170521,0,1,22,1.0,1.4444444444444444,2.0,1.0,0,5,26,18,0,9.0,8.0,7.2,6.142857142857143,6.3
46,20170522,0,0,5,5.0,1.368421052631579,2.0,2.0,1,-1,26,19,0,1.0,6.666666666666667,6.0,5.857142857142857,5.7
47,20170523,0,0,5,5.0,1.4210526315789473,2.0,2.0,1,1,27,19,0,5.0,5.0,6.0,6.0,6.0
48,20170524,0,0,5,8.0,1.4736842105263157,2.0,2.0,0,2,28,19,0,5.0,3.6666666666666665,6.0,5.714285714285714,5.4
49,20170525,0,1,15,4.0,1.5263157894736843,2.0,2.0,1,3,29,19,0,8.0,6.0,5.6,6.142857142857143,5.9
50,20170526,0,1,15,4.0,1.5789473684210527,2.0,1.0,1,4,30,19,0,4.0,5.666666666666667,4.6,6.0,5.9
51,20170527,0,1,15,1.0,1.631578947368421,2.0,1.0,0,5,31,19,0,4.0,5.333333333333333,5.2,5.142857142857143,5.6
52,20170528,0,1,15,5.0,1.55,2.0,1.0,0,-1,31,20,0,1.0,3.0,4.4,4.0,5.2
53,20170529,0,1,21,3.0,1.4761904761904763,3.0,2.0,0,-2,31,21,0,5.0,3.3333333333333335,4.4,4.571428571428571,5.2
54,20170530,0,1,21,3.0,1.4090909090909092,3.0,2.0,1,-3,31,22,0,3.0,3.0,3.4,4.285714285714286,4.5
55,20170531,0,1,21,6.0,1.4545454545454546,3.0,1.5,0,1,32,22,0,3.0,3.6666666666666665,3.2,4.0,3.9
56,20170601,0,1,14,3.0,1.5,2.0,0.5,1,2,33,22,0,6.0,4.0,3.6,3.7142857142857144,4.4
57,20170602,0,1,14,5.0,1.5454545454545454,1.0,0,1,3,34,22,0,3.0,4.0,4.0,3.5714285714285716,4.2
58,20170603,0,1,14,0.0,1.4782608695652173,2.0,0.5,0,-1,34,23,0,5.0,4.666666666666667,4.0,3.7142857142857144,4.2
59,20170604,0,1,14,5.0,1.4166666666666667,3.0,1.5,0,-2,34,24,0,0.0,2.6666666666666665,3.4,3.5714285714285716,3.4
60,20170606,0,0,22,10.0,1.36,3.0,2.0,1,-3,34,25,0,5.0,3.3333333333333335,3.8,3.5714285714285716,3.5
61,20170607,0,0,22,7.0,1.4,2.0,2.0,1,1,35,25,0,10.0,5.0,4.6,4.571428571428571,4.1
62,20170608,0,0,22,15.0,1.44,2.0,2.0,0,2,36,25,0,7.0,7.333333333333333,5.4,5.142857142857143,4.7
63,20170609,0,0,15,6.0,1.48,2.0,2.0,1,3,37,25,0,15.0,10.666666666666666,7.4,6.428571428571429,5.7
64,20170610,0,0,15,3.0,1.4230769230769231,3.0,3.0,1,-1,37,26,0,6.0,9.333333333333334,8.6,6.857142857142857,6.0
65,20170611,0,0,15,11.0,1.4615384615384615,3.0,3.0,0,1,38,26,0,3.0,8.0,8.2,6.571428571428571,6.0
66,20170613,0,1,9,7.0,1.5,3.0,2.0,1,2,39,26,0,11.0,6.666666666666667,8.4,8.142857142857142,6.5
67,20170614,0,1,9,2.0,1.5384615384615385,3.0,0.5,1,3,40,26,0,7.0,7.0,8.4,8.428571428571429,6.9
68,20170616,0,1,20,5.0,1.5769230769230769,3.0,0.5,1,4,41,26,0,2.0,6.666666666666667,5.8,7.285714285714286,6.6
69,20170617,0,1,20,5.0,1.6153846153846154,2.0,1.0,0,5,42,26,0,5.0,4.666666666666667,5.6,7.0,7.1
70,20170618,0,1,20,5.0,1.6538461538461537,2.0,1.0,0,6,43,26,0,5.0,4.0,6.0,5.571428571428571,7.1
71,20170620,0,1,8,3.0,1.6923076923076923,2.0,1.0,1,7,44,26,0,5.0,5.0,4.8,5.428571428571429,6.6
