,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,1,1,17,0.0,0,1.0,0,0,0,0,0,0,4.518518518518518,4.4813664596273295,4.477122153209109,4.47658976634132,4.470124716553288
2,20170405,1,1,17,3.0,0.0,4.0,1.0,1,-1,0,1,0,0.0,0.0,0.0,0.0,0.0
3,20170406,1,1,17,2.0,1.0,2.0,1.0,1,1,1,1,0,3.0,1.5,1.5,1.5,1.5
4,20170407,1,1,21,4.0,0.5,3.0,1.0,0,-1,1,2,0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
5,20170408,1,1,21,4.0,0.3333333333333333,4.0,2.0,1,-2,1,3,0,4.0,3.0,2.25,2.25,2.25
6,20170409,1,1,21,5.0,0.25,5.0,2.0,0,-3,1,4,0,4.0,3.3333333333333335,2.6,2.6,2.6
7,20170411,1,1,14,4.0,0.2,5.0,2.0,1,-4,1,5,0,5.0,4.333333333333333,3.6,3.0,3.0
8,20170412,1,1,14,5.0,0.16666666666666666,5.0,3.5,1,-5,1,6,0,4.0,4.333333333333333,3.8,3.142857142857143,3.142857142857143
9,20170414,1,0,22,5.0,0.3333333333333333,5.0,3.5,1,1,2,6,0,5.0,4.666666666666667,4.4,3.857142857142857,3.375
10,20170415,1,0,22,4.0,0.5,4.0,3.0,1,2,3,6,0,5.0,4.666666666666667,4.6,4.142857142857143,3.5555555555555554
11,20170416,1,0,22,9.0,0.6666666666666666,4.0,2.0,0,3,4,6,0,4.0,4.666666666666667,4.6,4.428571428571429,3.6
12,20170417,1,0,22,5.0,0.8333333333333334,4.0,1.5,1,4,5,6,0,9.0,6.0,5.4,5.142857142857143,4.5
13,20170418,1,0,29,1.0,1.0,4.0,1.0,1,5,6,6,0,5.0,6.0,5.6,5.285714285714286,4.7
14,20170419,1,0,29,4.0,0.8571428571428571,4.0,2.0,1,-1,6,7,0,1.0,5.0,4.8,4.714285714285714,4.6
15,20170420,1,0,29,2.0,0.75,4.0,3.0,1,-2,6,8,0,4.0,3.3333333333333335,4.6,4.714285714285714,4.6
16,20170421,1,1,20,3.0,0.6666666666666666,4.0,4.0,1,-3,6,9,0,2.0,2.3333333333333335,4.2,4.285714285714286,4.4
17,20170422,1,1,20,3.0,0.6,5.0,5.0,1,-4,6,10,0,3.0,3.0,3.0,4.0,4.2
18,20170423,1,1,20,2.0,0.5454545454545454,5.0,6.0,0,-5,6,11,0,3.0,2.6666666666666665,2.6,3.857142857142857,4.1
19,20170426,1,1,17,8.0,0.5,5.0,7.0,1,-6,6,12,0,2.0,2.6666666666666665,2.8,2.857142857142857,3.8
20,20170427,1,1,17,7.0,0.5833333333333334,5.0,7.0,0,1,7,12,0,8.0,4.333333333333333,3.6,3.2857142857142856,4.1
21,20170428,1,1,15,10.0,0.6666666666666666,4.0,7.0,1,2,8,12,0,7.0,5.666666666666667,4.6,4.142857142857143,4.4
22,20170429,1,1,15,11.0,0.75,4.0,6.0,1,3,9,12,0,10.0,8.333333333333334,6.0,5.0,4.5
23,20170430,1,1,15,3.0,0.8333333333333334,3.0,5.0,0,4,10,12,0,11.0,9.333333333333334,7.6,6.285714285714286,5.1
24,20170501,1,0,17,5.0,0.7692307692307693,4.0,6.0,1,-1,10,13,0,3.0,8.0,7.8,6.285714285714286,5.3
25,20170502,1,0,17,9.0,0.7142857142857143,5.0,6.5,1,-2,10,14,0,5.0,6.333333333333333,7.2,6.571428571428571,5.4
26,20170503,1,0,17,5.0,0.7857142857142857,3.0,5.5,1,1,11,14,0,9.0,5.666666666666667,7.6,7.571428571428571,6.1
27,20170505,1,0,25,0.0,0.7333333333333333,5.0,6.5,1,-1,11,15,0,5.0,6.333333333333333,6.6,7.142857142857143,6.3
28,20170506,1,0,25,3.0,0.6875,5.0,8.0,1,-2,11,16,0,0.0,4.666666666666667,4.4,6.142857142857143,6.0
29,20170507,1,0,25,4.0,0.6470588235294118,5.0,9.0,0,-3,11,17,0,3.0,2.6666666666666665,4.4,5.142857142857143,6.1
30,20170509,1,1,10,3.0,0.6111111111111112,5.0,9.0,1,-4,11,18,0,4.0,2.3333333333333335,4.2,4.142857142857143,5.7
31,20170510,1,1,10,2.0,0.5789473684210527,5.0,8.5,0,-5,11,19,0,3.0,3.3333333333333335,3.0,4.142857142857143,5.3
32,20170512,1,1,14,8.0,0.55,5.0,9.5,1,-6,11,20,0,2.0,3.0,2.4,3.7142857142857144,4.5
33,20170513,1,1,14,3.0,0.6,4.0,9.0,1,1,12,20,0,8.0,4.333333333333333,4.0,3.5714285714285716,4.2
34,20170514,1,1,14,1.0,0.65,3.0,9.0,0,2,13,20,0,3.0,4.333333333333333,4.0,3.2857142857142856,4.2
35,20170515,1,1,28,10.0,0.6190476190476191,4.0,9.5,1,-1,13,21,0,1.0,4.0,3.4,3.4285714285714284,3.8
36,20170516,1,1,28,9.0,0.6666666666666666,3.0,9.0,0,1,14,21,0,10.0,4.666666666666667,4.8,4.428571428571429,3.9
37,20170517,1,0,28,8.0,0.7142857142857143,2.0,9.0,1,2,15,21,0,9.0,6.666666666666667,6.2,5.142857142857143,4.3
38,20170518,1,0,28,0.0,0.7619047619047619,2.0,8.0,1,3,16,21,0,8.0,9.0,6.2,5.857142857142857,5.1
39,20170519,1,0,29,7.0,0.7272727272727273,2.0,8.0,1,-1,16,22,0,0.0,5.666666666666667,5.6,5.571428571428571,4.8
40,20170520,1,0,29,5.0,0.7727272727272727,2.0,7.0,0,1,17,22,0,7.0,5.0,6.8,5.428571428571429,5.1
41,20170521,1,0,29,2.0,0.8181818181818182,2.0,6.0,0,2,18,22,0,5.0,4.0,5.8,5.714285714285714,5.3
42,20170522,1,0,21,5.0,0.782608695652174,2.0,7.0,1,-1,18,23,0,2.0,4.666666666666667,4.4,5.857142857142857,5.3
43,20170523,1,0,21,6.0,0.8260869565217391,2.0,6.5,1,1,19,23,0,5.0,4.0,3.8,5.142857142857143,5.0
44,20170524,1,0,21,5.0,0.8695652173913043,2.0,6.5,1,2,20,23,0,6.0,4.333333333333333,5.0,4.714285714285714,5.3
45,20170525,1,0,21,4.0,0.8333333333333334,2.0,7.5,0,-1,20,24,0,5.0,5.333333333333333,4.6,4.285714285714286,5.7
46,20170526,1,1,24,2.0,0.8,2.0,7.5,1,-2,20,25,0,4.0,5.0,4.4,4.857142857142857,5.1
47,20170527,1,1,24,3.0,0.84,2.0,7.5,1,1,21,25,0,2.0,3.6666666666666665,4.4,4.142857142857143,4.4
48,20170528,1,1,24,1.0,0.8076923076923077,2.0,8.5,0,-1,21,26,0,3.0,3.0,4.0,3.857142857142857,3.9
49,20170529,1,1,12,6.0,0.7777777777777778,2.0,8.5,1,-2,21,27,0,1.0,2.0,3.0,3.7142857142857144,4.0
50,20170530,1,1,12,3.0,0.8148148148148148,2.0,8.5,1,1,22,27,0,6.0,3.3333333333333335,3.2,3.857142857142857,3.9
51,20170531,1,1,12,1.0,0.7857142857142857,3.0,9.5,1,-1,22,28,0,3.0,3.3333333333333335,3.0,3.4285714285714284,3.7
52,20170602,1,1,6,2.0,0.7586206896551724,3.0,10.5,1,-2,22,29,0,1.0,3.3333333333333335,2.8,2.857142857142857,3.6
53,20170603,1,1,6,6.0,0.7333333333333333,3.0,11.5,0,-3,22,30,0,2.0,2.0,2.6,2.5714285714285716,3.3
54,20170604,1,1,6,13.0,0.7666666666666667,3.0,10.5,0,1,23,30,0,6.0,3.0,3.6,3.142857142857143,3.3
55,20170605,1,0,20,4.0,0.8,2.0,10.5,1,2,24,30,0,13.0,7.0,5.0,4.571428571428571,4.1
56,20170606,1,0,20,1.0,0.7741935483870968,2.0,11.5,1,-1,24,31,0,4.0,7.666666666666667,5.2,5.0,4.1
57,20170607,1,0,20,14.0,0.75,2.0,12.5,1,-2,24,32,0,1.0,6.0,5.2,4.285714285714286,4.0
58,20170608,1,0,20,3.0,0.78125,2.0,11.5,1,1,25,32,0,14.0,6.333333333333333,7.6,5.857142857142857,5.1
59,20170609,1,0,17,3.0,0.8125,2.0,11.5,1,2,26,32,0,3.0,6.0,7.0,6.142857142857143,5.3
60,20170610,1,0,17,1.0,0.84375,2.0,10.5,0,3,27,32,1,3.0,6.666666666666667,5.0,6.285714285714286,5.0
61,20170610,1,0,17,1.0,0.8181818181818182,3.0,11.0,1,-1,27,33,1,1.0,2.3333333333333335,4.4,5.571428571428571,4.8
62,20170611,1,0,17,1.0,0.7941176470588235,3.0,11.0,0,-2,27,34,0,1.0,1.6666666666666667,4.4,3.857142857142857,4.8
63,20170612,1,1,29,11.0,0.7714285714285715,3.0,11.0,1,-3,27,35,0,1.0,1.0,1.8,3.4285714285714284,4.7
64,20170613,1,1,29,5.0,0.8,3.0,10.0,1,1,28,35,0,11.0,4.333333333333333,3.4,4.857142857142857,5.2
65,20170614,1,1,29,13.0,0.7777777777777778,4.0,11.0,0,-1,28,36,0,5.0,5.666666666666667,3.8,3.5714285714285716,4.4
66,20170616,1,0,14,0.0,0.8055555555555556,4.0,10.0,1,1,29,36,0,13.0,9.666666666666666,6.2,5.0,5.3
67,20170617,1,0,14,8.0,0.7837837837837838,4.0,11.5,0,-1,29,37,0,0.0,6.0,6.0,4.571428571428571,5.2
68,20170618,1,0,14,5.0,0.8108108108108109,3.0,11.5,0,1,30,37,0,8.0,7.0,7.4,5.571428571428571,4.6
69,20170619,1,0,24,9.0,0.8378378378378378,2.0,10.5,1,2,31,37,0,5.0,4.333333333333333,6.2,6.142857142857143,4.8
70,20170620,1,0,24,3.0,0.8648648648648649,2.0,9.5,1,3,32,37,0,9.0,7.333333333333333,7.0,7.285714285714286,5.4
71,20170621,1,0,24,5.0,0.8421052631578947,2.0,10.5,1,-1,32,38,0,3.0,5.666666666666667,5.0,6.142857142857143,5.6
72,20170622,1,0,24,12.0,0.868421052631579,2.0,9.5,1,1,33,38,0,5.0,5.666666666666667,6.0,6.142857142857143,6.0
73,20170623,1,0,15,5.0,0.8947368421052632,2.0,9.0,1,2,34,38,0,12.0,6.666666666666667,6.8,6.0,7.1
74,20170624,1,0,15,3.0,0.9210526315789473,2.0,9.0,0,3,35,38,0,5.0,7.333333333333333,6.8,6.714285714285714,6.5
75,20170625,1,0,15,0.0,0.9473684210526315,2.0,9.0,0,4,36,38,0,3.0,6.666666666666667,5.6,6.0,6.3
76,20170627,1,1,22,3.0,0.9230769230769231,2.0,9.0,1,-1,36,39,0,0.0,2.6666666666666665,5.0,5.285714285714286,5.0
77,20170628,1,1,22,4.0,0.9487179487179487,2.0,8.5,1,1,37,39,0,3.0,2.0,4.6,4.428571428571429,5.3
78,20170629,1,1,22,0.0,0.925,2.0,9.5,1,-1,37,40,0,4.0,2.3333333333333335,3.0,4.571428571428571,4.9
79,20170630,1,1,19,3.0,0.9024390243902439,2.0,9.5,1,-2,37,41,0,0.0,2.3333333333333335,2.0,3.857142857142857,4.4
80,20170701,1,1,19,4.0,0.926829268292683,2.0,8.5,0,1,38,41,0,3.0,2.3333333333333335,2.0,2.5714285714285716,3.8
81,20170702,1,1,19,4.0,0.9512195121951219,2.0,7.5,0,2,39,41,0,4.0,2.3333333333333335,2.8,2.4285714285714284,3.9
82,20170704,1,0,10,4.0,0.975609756097561,2.0,7.5,1,3,40,41,0,4.0,3.6666666666666665,3.0,2.5714285714285716,3.8
83,20170705,1,0,10,4.0,0.9523809523809523,2.0,9.0,1,-1,40,42,0,4.0,4.0,3.0,3.142857142857143,3.0
84,20170706,1,1,29,5.0,0.9302325581395349,2.0,9.5,1,-2,40,43,0,4.0,4.0,3.8,3.2857142857142856,2.9
85,20170707,1,1,29,4.0,0.9534883720930233,2.0,8.5,1,1,41,43,0,5.0,4.333333333333333,4.2,3.4285714285714284,3.1
86,20170708,1,1,29,13.0,0.9318181818181818,2.0,9.5,0,-1,41,44,0,4.0,4.333333333333333,4.2,4.0,3.5
87,20170709,1,1,29,5.0,0.9545454545454546,2.0,8.5,0,1,42,44,0,13.0,7.333333333333333,6.0,5.428571428571429,4.5
88,20170714,1,0,0,4.0,0.9333333333333333,2.0,9.5,1,-1,42,45,0,5.0,7.333333333333333,6.2,5.571428571428571,4.6
89,20170715,1,0,0,8.0,0.9555555555555556,2.0,9.5,1,1,43,45,0,4.0,7.333333333333333,6.2,5.571428571428571,5.0
90,20170716,1,0,0,7.0,0.9777777777777777,2.0,9.5,0,2,44,45,0,8.0,5.666666666666667,6.8,6.142857142857143,5.5
91,20170717,1,0,4,3.0,1.0,2.0,9.5,1,3,45,45,0,7.0,6.333333333333333,7.4,6.571428571428571,5.8
92,20170718,1,0,4,1.0,0.9782608695652174,2.0,10.5,1,-1,45,46,0,3.0,6.0,5.4,6.285714285714286,5.7
93,20170719,1,0,4,2.0,0.9574468085106383,2.0,11.5,0,-2,45,47,0,1.0,3.6666666666666665,4.6,5.857142857142857,5.4
94,20170720,1,1,13,6.0,0.9375,2.0,11.5,1,-3,45,48,0,2.0,2.0,4.2,4.285714285714286,5.2
95,20170721,1,1,13,12.0,0.9583333333333334,2.0,11.0,1,1,46,48,0,6.0,3.0,3.8,4.428571428571429,5.3
96,20170722,1,1,13,2.0,0.9791666666666666,2.0,10.0,1,2,47,48,0,12.0,6.666666666666667,4.8,5.571428571428571,6.1
97,20170723,1,1,13,4.0,0.9591836734693877,2.0,11.0,0,-1,47,49,0,2.0,6.666666666666667,4.6,4.714285714285714,5.0
98,20170724,1,1,0,2.0,0.94,2.0,12.0,1,-2,47,50,0,4.0,6.0,5.2,4.285714285714286,4.9
99,20170725,1,1,0,8.0,0.9215686274509803,2.0,12.5,1,-3,47,51,0,2.0,2.6666666666666665,5.2,4.142857142857143,4.7
100,20170726,1,1,0,3.0,0.9411764705882353,2.0,11.5,0,1,48,51,0,8.0,4.666666666666667,5.6,5.142857142857143,4.7
101,20170728,1,1,20,3.0,0.9230769230769231,2.0,12.5,1,-1,48,52,0,3.0,4.333333333333333,3.8,5.285714285714286,4.3
102,20170729,1,1,20,3.0,0.9056603773584906,2.0,13.5,1,-2,48,53,0,3.0,4.666666666666667,4.0,4.857142857142857,4.3
103,20170730,1,1,20,1.0,0.8888888888888888,3.0,13.5,0,-3,48,54,0,3.0,3.0,3.8,3.5714285714285716,4.5
104,20170731,1,1,20,6.0,0.8727272727272727,3.0,14.0,0,-4,48,55,0,1.0,2.3333333333333335,3.6,3.4285714285714284,4.4
105,20170801,1,0,13,2.0,0.8571428571428571,4.0,15.0,1,-5,48,56,0,6.0,3.3333333333333335,3.2,3.7142857142857144,4.4
106,20170802,1,0,13,5.0,0.8421052631578947,4.0,15.0,1,-6,48,57,0,2.0,3.0,3.0,3.7142857142857144,3.4
107,20170803,1,0,13,4.0,0.8596491228070176,4.0,14.0,1,1,49,57,0,5.0,4.333333333333333,3.4,3.2857142857142856,3.7
108,20170804,1,0,14,5.0,0.8448275862068966,4.0,14.5,1,-1,49,58,0,4.0,3.6666666666666665,3.6,3.4285714285714284,3.7
109,20170805,1,0,14,7.0,0.8620689655172413,3.0,14.5,1,1,50,58,0,5.0,4.666666666666667,4.4,3.7142857142857144,4.0
110,20170806,1,0,14,1.0,0.8793103448275862,3.0,13.5,0,2,51,58,0,7.0,5.333333333333333,4.6,4.285714285714286,3.9
111,20170808,1,0,20,2.0,0.864406779661017,3.0,14.5,1,-1,51,59,0,1.0,4.333333333333333,4.4,4.285714285714286,3.7
112,20170809,1,0,20,2.0,0.85,3.0,15.0,1,-2,51,60,0,2.0,3.3333333333333335,3.8,3.7142857142857144,3.6
113,20170811,1,1,25,5.0,0.8360655737704918,3.0,16.0,1,-3,51,61,0,2.0,1.6666666666666667,3.4,3.7142857142857144,3.5
114,20170812,1,1,25,5.0,0.8225806451612904,4.0,17.0,1,-4,51,62,0,5.0,3.0,3.4,3.7142857142857144,3.9
115,20170813,1,1,25,6.0,0.8095238095238095,4.0,18.0,0,-5,51,63,0,5.0,4.0,3.0,3.857142857142857,3.8
116,20170814,1,1,8,0.0,0.8253968253968254,4.0,17.5,1,1,52,63,0,6.0,5.333333333333333,4.0,4.0,4.2
117,20170815,1,1,8,4.0,0.8125,4.0,18.0,1,-1,52,64,0,0.0,3.6666666666666665,3.6,3.0,3.7
118,20170816,1,1,8,2.0,0.828125,3.0,18.0,1,1,53,64,0,4.0,3.3333333333333335,4.0,3.4285714285714284,3.7
119,20170817,1,1,8,10.0,0.8153846153846154,3.0,18.0,0,-1,53,65,0,2.0,2.0,3.4,3.4285714285714284,3.4
120,20170818,1,0,6,3.0,0.8307692307692308,3.0,18.0,1,1,54,65,0,10.0,5.333333333333333,4.4,4.571428571428571,3.7
121,20170819,1,0,6,8.0,0.8181818181818182,3.0,19.0,1,-1,54,66,0,3.0,5.0,3.8,4.285714285714286,3.9
122,20170820,1,0,6,8.0,0.8059701492537313,3.0,19.0,0,-2,54,67,0,8.0,7.0,5.4,4.714285714285714,4.5
123,20170821,1,0,23,5.0,0.8208955223880597,3.0,19.0,1,1,55,67,0,8.0,6.333333333333333,6.2,5.0,5.1
124,20170822,1,0,23,4.0,0.8088235294117647,3.0,19.5,1,-1,55,68,0,5.0,7.0,6.8,5.714285714285714,5.1
125,20170823,1,0,23,6.0,0.8235294117647058,3.0,19.5,1,1,56,68,0,4.0,5.666666666666667,5.6,5.714285714285714,5.0
126,20170825,1,0,8,5.0,0.8115942028985508,3.0,19.5,1,-1,56,69,0,6.0,5.0,6.2,6.285714285714286,5.0
127,20170826,1,0,8,6.0,0.8260869565217391,3.0,19.0,1,1,57,69,0,5.0,5.0,5.6,5.571428571428571,5.5
128,20170827,1,0,8,0.0,0.8142857142857143,3.0,20.0,0,-1,57,70,0,6.0,5.666666666666667,5.2,6.0,5.7
129,20170828,1,1,20,1.0,0.8028169014084507,3.0,20.5,1,-2,57,71,0,0.0,3.6666666666666665,4.2,4.857142857142857,5.5
130,20170830,1,1,20,9.0,0.7916666666666666,3.0,21.5,0,-3,57,72,1,1.0,2.3333333333333335,3.6,3.857142857142857,4.6
131,20170830,1,1,20,5.0,0.8055555555555556,3.0,21.5,0,1,58,72,1,9.0,3.3333333333333335,4.2,4.428571428571429,5.2
132,20170831,1,1,4,2.0,0.8194444444444444,3.0,21.5,1,2,59,72,0,5.0,5.0,4.2,4.571428571428571,4.9
133,20170901,1,1,4,0.0,0.8082191780821918,3.0,21.5,0,-1,59,73,0,2.0,5.333333333333333,3.4,4.0,4.3
134,20170902,1,1,4,12.0,0.7972972972972973,3.0,21.5,0,-2,59,74,0,0.0,2.3333333333333335,3.4,3.2857142857142856,3.8
135,20170903,1,1,4,5.0,0.7866666666666666,3.0,22.5,0,-3,59,75,0,12.0,4.666666666666667,5.6,4.142857142857143,4.6
136,20170904,1,0,27,2.0,0.8,3.0,21.5,1,1,60,75,0,5.0,5.666666666666667,4.8,4.857142857142857,4.5
137,20170906,1,0,27,8.0,0.7894736842105263,3.0,22.5,0,-1,60,76,1,2.0,6.333333333333333,4.2,5.0,4.2
138,20170906,1,0,27,5.0,0.7792207792207793,3.0,23.5,1,-2,60,77,1,8.0,5.0,5.4,4.857142857142857,4.4
139,20170907,1,0,14,6.0,0.7922077922077922,3.0,23.5,1,1,61,77,0,5.0,5.0,6.4,4.857142857142857,4.9
