,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,2,0,28,3.0,0,1.0,0,0,0.0,0,0,0,4.58641975308642,4.62111801242236,4.6326086956521735,4.629325643300798,4.632266094843735
2,20170405,2,0,28,3.0,1.0,1.0,0,1,1.0,1,0,0,3.0,3.0,3.0,3.0,3.0
3,20170407,2,0,18,6.0,2.0,1.0,0,1,2.0,2,0,0,3.0,3.0,3.0,3.0,3.0
4,20170408,2,0,18,5.0,3.0,1.0,-1.0,0,3.0,3,0,0,6.0,4.0,4.0,4.0,4.0
5,20170409,2,0,18,3.0,4.0,1.0,-1.0,0,4.0,4,0,0,5.0,4.666666666666667,4.25,4.25,4.25
6,20170411,2,1,3,1.0,4.0,1.0,0,1,-1.0,4,1,0,3.0,4.666666666666667,4.0,4.0,4.0
7,20170412,2,1,3,12.0,2.0,1.0,0,1,-2.0,4,2,0,1.0,3.0,3.6,3.5,3.5
8,20170413,2,1,28,2.0,2.5,1.0,-1.0,1,1.0,5,2,0,12.0,5.333333333333333,5.4,4.714285714285714,4.714285714285714
9,20170414,2,1,28,6.0,3.0,1.0,-1.5,1,2.0,6,2,0,2.0,5.0,4.6,4.571428571428571,4.375
10,20170415,2,1,28,1.0,3.5,1.0,-1.5,0,3.0,7,2,0,6.0,6.666666666666667,4.8,5.0,4.555555555555555
11,20170416,2,1,28,11.0,2.3333333333333335,1.0,-0.5,0,-1.0,7,3,0,1.0,3.0,4.4,4.285714285714286,4.2
12,20170418,2,1,6,3.0,2.6666666666666665,1.0,-0.5,1,1.0,8,3,0,11.0,6.0,6.4,5.142857142857143,5.0
13,20170419,2,1,6,2.0,2.0,1.0,0,1,-1.0,8,4,0,3.0,5.0,4.6,5.142857142857143,5.0
14,20170420,2,1,6,2.0,2.25,1.0,0,1,1.0,9,4,0,2.0,5.333333333333333,4.6,5.285714285714286,4.6
15,20170421,2,0,3,2.0,2.5,1.0,-0.5,1,2.0,10,4,0,2.0,2.3333333333333335,3.8,3.857142857142857,4.3
16,20170422,2,0,3,4.0,2.75,1.0,-1.5,1,3.0,11,4,0,2.0,2.0,4.0,3.857142857142857,4.2
17,20170423,2,0,3,2.0,3.0,1.0,-1.5,0,4.0,12,4,0,4.0,2.6666666666666665,2.6,3.5714285714285716,4.5
18,20170424,2,0,26,6.0,2.4,1.0,-1.5,1,-1.0,12,5,0,2.0,2.6666666666666665,2.4,3.7142857142857144,3.5
19,20170425,2,0,26,0.0,2.6,1.0,-2.0,1,1.0,13,5,0,6.0,4.0,3.2,3.0,3.9
20,20170426,2,0,26,5.0,2.1666666666666665,1.0,-1.5,1,-1.0,13,6,0,0.0,2.6666666666666665,2.8,2.5714285714285716,3.3
21,20170428,2,1,18,11.0,2.3333333333333335,1.0,-1.5,1,1.0,14,6,0,5.0,3.6666666666666665,3.4,3.0,3.7
22,20170429,2,1,18,4.0,2.0,1.0,0,0,-1.0,14,7,0,11.0,5.333333333333333,4.8,4.285714285714286,3.7
23,20170430,2,1,18,7.0,1.75,2.0,1.0,0,-2.0,14,8,0,4.0,6.666666666666667,5.2,4.571428571428571,3.8
24,20170501,2,1,3,5.0,1.875,1.0,0,1,1.0,15,8,0,7.0,7.333333333333333,5.4,5.0,4.3
25,20170502,2,1,3,2.0,2.0,1.0,-1.0,1,2.0,16,8,0,5.0,5.333333333333333,6.4,5.428571428571429,4.6
26,20170503,2,1,3,2.0,1.7777777777777777,1.0,0,1,-1.0,16,9,0,2.0,4.666666666666667,5.8,4.857142857142857,4.6
27,20170504,2,1,3,8.0,1.6,2.0,1.0,1,-2.0,16,10,0,2.0,3.0,4.0,5.142857142857143,4.4
28,20170505,2,0,5,4.0,1.7,2.0,0.5,1,1.0,17,10,0,8.0,4.0,4.8,5.571428571428571,5.0
29,20170506,2,0,5,6.0,1.8,2.0,0.5,1,2.0,18,10,0,4.0,4.666666666666667,4.2,4.571428571428571,4.8
30,20170507,2,0,5,4.0,1.9,2.0,0.5,0,3.0,19,10,0,6.0,6.0,4.4,4.857142857142857,5.4
31,20170508,2,0,29,6.0,2.0,2.0,0.5,1,4.0,20,10,0,4.0,4.666666666666667,4.8,4.428571428571429,5.3
32,20170509,2,0,29,5.0,2.1,2.0,0.5,1,5.0,21,10,0,6.0,5.333333333333333,5.6,4.571428571428571,4.8
33,20170510,2,1,29,6.0,2.2,1.0,-0.5,1,6.0,22,10,0,5.0,5.0,5.0,5.0,4.9
34,20170512,2,1,11,2.0,2.0,1.0,0,1,-1.0,22,11,0,6.0,5.666666666666667,5.4,5.571428571428571,4.8
35,20170513,2,1,11,3.0,1.8333333333333333,1.0,-0.5,1,-2.0,22,12,0,2.0,4.333333333333333,4.6,4.714285714285714,4.5
36,20170514,2,1,11,8.0,1.6923076923076923,1.0,0,0,-3.0,22,13,0,3.0,3.6666666666666665,4.4,4.571428571428571,4.6
37,20170516,2,1,9,13.0,1.5714285714285714,2.0,0.5,1,-4.0,22,14,0,8.0,4.333333333333333,4.8,4.857142857142857,5.2
38,20170517,2,1,9,4.0,1.6428571428571428,2.0,0.5,1,1.0,23,14,0,13.0,8.0,6.4,6.142857142857143,5.7
39,20170518,2,1,9,5.0,1.5333333333333334,2.0,1.5,0,-1.0,23,15,0,4.0,8.333333333333334,6.0,5.857142857142857,5.7
40,20170519,2,0,28,5.0,1.4375,2.0,1.5,1,-2.0,23,16,0,5.0,7.333333333333333,6.6,5.857142857142857,5.6
41,20170520,2,0,28,7.0,1.5,2.0,0.5,1,1.0,24,16,0,5.0,4.666666666666667,7.0,5.714285714285714,5.7
42,20170521,2,0,28,1.0,1.5625,1.0,-0.5,0,2.0,25,16,0,7.0,5.666666666666667,6.8,6.428571428571429,5.8
43,20170522,2,0,16,7.0,1.4705882352941178,2.0,0.5,1,-1.0,25,17,0,1.0,4.333333333333333,4.4,6.142857142857143,5.4
44,20170523,2,0,16,0.0,1.3888888888888888,2.0,1.5,1,-2.0,25,18,0,7.0,5.0,5.0,6.0,5.5
45,20170524,2,0,16,3.0,1.3157894736842106,2.0,1.5,0,-3.0,25,19,0,0.0,2.6666666666666665,4.0,4.142857142857143,5.3
46,20170526,2,1,10,0.0,1.25,2.0,2.5,1,-4.0,25,20,0,3.0,3.3333333333333335,3.6,4.0,5.3
47,20170527,2,1,10,2.0,1.1904761904761905,3.0,2.5,1,-5.0,25,21,0,0.0,1.0,2.2,3.2857142857142856,4.5
48,20170528,2,1,10,4.0,1.1363636363636365,3.0,3.5,0,-6.0,25,22,0,2.0,1.6666666666666667,2.4,2.857142857142857,3.4
49,20170529,2,0,18,3.0,1.0869565217391304,3.0,4.5,0,-7.0,25,23,0,4.0,2.0,1.8,2.4285714285714284,3.4
50,20170530,2,0,18,3.0,1.1304347826086956,3.0,3.5,1,1.0,26,23,0,3.0,3.0,2.4,2.7142857142857144,3.2
51,20170531,2,0,18,10.0,1.0833333333333333,3.0,4.5,1,-1.0,26,24,0,3.0,3.3333333333333335,2.4,2.142857142857143,3.0
52,20170601,2,0,3,7.0,1.125,3.0,3.5,1,1.0,27,24,0,10.0,5.333333333333333,4.4,3.5714285714285716,3.3
53,20170602,2,0,3,3.0,1.1666666666666667,3.0,3.5,1,2.0,28,24,0,7.0,6.666666666666667,5.4,4.142857142857143,3.9
54,20170603,2,0,3,2.0,1.2083333333333333,2.0,2.5,1,3.0,29,24,0,3.0,6.666666666666667,5.2,4.571428571428571,3.5
55,20170604,2,0,3,3.0,1.16,3.0,3.5,0,-1.0,29,25,0,2.0,4.0,5.0,4.571428571428571,3.7
56,20170606,2,0,21,6.0,1.1153846153846154,3.0,3.5,1,-2.0,29,26,0,3.0,2.6666666666666665,5.0,4.428571428571429,3.7
