,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,3,0,21,5.0,0,1.0,0,0,0,0,0,0,4.845679012345679,4.857142857142857,4.857349896480331,4.851730257320319,4.844683525584147
2,20170405,3,0,21,3.0,1.0,1.0,0,1,1,1,0,0,5.0,5.0,5.0,5.0,5.0
3,20170407,3,1,9,5.0,2.0,1.0,0,0,2,2,0,0,3.0,4.0,4.0,4.0,4.0
4,20170408,3,1,9,1.0,2.0,2.0,1.0,0,-1,2,1,0,5.0,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333
5,20170409,3,1,9,7.0,1.0,3.0,2.0,0,-2,2,2,0,1.0,3.0,3.5,3.5,3.5
6,20170410,3,1,9,1.0,1.5,3.0,1.0,0,1,3,2,0,7.0,4.333333333333333,4.2,4.2,4.2
7,20170411,3,0,2,8.0,1.0,3.0,1.5,1,-1,3,3,0,1.0,3.0,3.4,3.6666666666666665,3.6666666666666665
8,20170412,3,0,2,5.0,1.3333333333333333,3.0,0.5,1,1,4,3,0,8.0,5.333333333333333,4.4,4.285714285714286,4.285714285714286
9,20170413,3,0,21,4.0,1.0,3.0,1.5,0,-1,4,4,0,5.0,4.666666666666667,4.4,4.285714285714286,4.375
10,20170414,3,0,26,5.0,1.25,2.0,1.5,1,1,5,4,0,4.0,5.666666666666667,5.0,4.428571428571429,4.333333333333333
11,20170415,3,0,26,2.0,1.0,4.0,2.5,0,-1,5,5,0,5.0,4.666666666666667,4.6,4.428571428571429,4.4
12,20170416,3,0,26,7.0,1.2,3.0,1.5,0,1,6,5,0,2.0,3.6666666666666665,4.8,4.571428571428571,4.1
13,20170417,3,0,26,4.0,1.4,3.0,1.5,0,2,7,5,0,7.0,4.666666666666667,4.6,4.571428571428571,4.5
14,20170418,3,1,28,8.0,1.6,3.0,1.0,1,3,8,5,0,4.0,4.333333333333333,4.4,5.0,4.4
15,20170419,3,1,28,0.0,1.8,1.0,0,1,4,9,5,0,8.0,6.333333333333333,5.2,5.0,5.1
16,20170420,3,1,28,4.0,1.5,3.0,1.0,0,-1,9,6,0,0.0,4.0,4.2,4.285714285714286,4.4
17,20170421,3,1,2,0.0,1.6666666666666667,3.0,1.0,1,1,10,6,0,4.0,4.0,4.6,4.285714285714286,4.7
18,20170422,3,1,2,2.0,1.4285714285714286,3.0,2.0,1,-1,10,7,0,0.0,1.3333333333333333,3.2,3.5714285714285716,3.9
19,20170423,3,1,2,6.0,1.25,3.0,3.0,0,-2,10,8,0,2.0,2.0,2.8,3.5714285714285716,3.6
20,20170426,3,0,18,1.0,1.375,3.0,2.0,1,1,11,8,0,6.0,2.6666666666666665,2.4,3.4285714285714284,3.8
21,20170427,3,0,18,0.0,1.2222222222222223,3.0,3.0,1,-1,11,9,0,1.0,3.0,2.6,3.0,3.4
22,20170428,3,0,4,5.0,1.1,3.0,3.5,1,-2,11,10,0,0.0,2.3333333333333335,1.8,1.8571428571428572,3.2
23,20170429,3,0,4,4.0,1.2,3.0,2.5,0,1,12,10,0,5.0,2.0,2.8,2.5714285714285716,3.0
24,20170430,3,0,4,6.0,1.0909090909090908,3.0,3.5,1,-1,12,11,0,4.0,3.0,3.2,2.5714285714285716,3.0
25,20170501,3,0,2,2.0,1.1818181818181819,3.0,2.5,1,1,13,11,0,6.0,5.0,3.2,3.4285714285714284,2.8
26,20170502,3,0,2,5.0,1.0833333333333333,3.0,3.5,1,-1,13,12,0,2.0,4.0,3.4,3.4285714285714284,3.0
27,20170503,3,0,2,4.0,1.1666666666666667,3.0,2.5,1,1,14,12,0,5.0,4.333333333333333,4.4,3.2857142857142856,3.1
28,20170504,3,0,2,3.0,1.25,3.0,2.5,1,2,15,12,0,4.0,3.6666666666666665,4.2,3.7142857142857144,3.5
29,20170505,3,1,16,3.0,1.1538461538461537,3.0,3.0,1,-1,15,13,0,3.0,4.0,4.0,4.142857142857143,3.6
30,20170506,3,1,16,11.0,1.0714285714285714,3.0,4.0,0,-2,15,14,0,3.0,3.3333333333333335,3.4,3.857142857142857,3.3
31,20170507,3,1,16,17.0,1.1428571428571428,3.0,4.0,0,1,16,14,0,11.0,5.666666666666667,5.2,4.857142857142857,4.3
32,20170509,3,1,15,7.0,1.2142857142857142,3.0,4.0,1,2,17,14,0,17.0,10.333333333333334,7.6,6.428571428571429,6.0
33,20170510,3,1,15,4.0,1.1333333333333333,3.0,5.0,1,-1,17,15,0,7.0,11.666666666666666,8.2,7.142857142857143,6.2
34,20170511,3,1,15,4.0,1.0625,3.0,5.0,0,-2,17,16,0,4.0,9.333333333333334,8.4,7.0,6.2
35,20170512,3,0,26,4.0,1.125,3.0,4.5,1,1,18,16,0,4.0,5.0,8.6,7.0,6.0
36,20170513,3,0,26,6.0,1.0588235294117647,3.0,4.5,0,-1,18,17,0,4.0,4.0,7.2,7.142857142857143,6.2
