,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170402,4,1,25,3.0,0,1.0,0,1,0,0,0,0,5.074074074074074,5.069358178053831,5.061904761904762,5.04824016563147,5.033646357093563
2,20170404,4,1,25,2.0,0.0,5.0,1.0,1,-1,0,1,0,3.0,3.0,3.0,3.0,3.0
3,20170406,4,1,25,6.0,1.0,1.0,0,0,1,1,1,0,2.0,2.5,2.5,2.5,2.5
4,20170407,4,1,15,1.0,2.0,1.0,0,1,2,2,1,0,6.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
5,20170408,4,1,15,11.0,1.0,2.0,1.0,1,-1,2,2,0,1.0,3.0,3.0,3.0,3.0
6,20170409,4,1,15,7.0,1.5,1.0,0,0,1,3,2,0,11.0,6.0,4.6,4.6,4.6
7,20170410,4,0,13,3.0,2.0,1.0,0,1,2,4,2,0,7.0,6.333333333333333,5.4,5.0,5.0
8,20170412,4,0,13,0.0,2.5,1.0,0,1,3,5,2,0,3.0,7.0,5.6,4.714285714285714,4.714285714285714
9,20170413,4,0,13,4.0,1.6666666666666667,2.0,1.5,0,-1,5,3,0,0.0,3.3333333333333335,4.4,4.285714285714286,4.125
10,20170414,4,0,21,2.0,2.0,2.0,0.5,0,1,6,3,0,4.0,2.3333333333333335,5.0,4.571428571428571,4.111111111111111
11,20170415,4,0,21,7.0,1.5,2.0,0.5,0,-1,6,4,0,2.0,2.0,3.2,4.0,3.9
12,20170416,4,0,21,1.0,1.2,2.0,1.5,0,-2,6,5,0,7.0,4.333333333333333,3.2,4.857142857142857,4.3
13,20170417,4,0,15,3.0,1.0,3.0,1.5,1,-3,6,6,0,1.0,3.3333333333333335,2.8,3.4285714285714284,4.2
14,20170418,4,0,15,9.0,0.8571428571428571,3.0,2.0,1,-4,6,7,0,3.0,3.6666666666666665,3.4,2.857142857142857,3.9
15,20170419,4,0,15,7.0,1.0,3.0,2.0,0,1,7,7,0,9.0,4.333333333333333,4.4,3.7142857142857144,4.7
16,20170421,4,1,6,6.0,1.1428571428571428,2.0,1.0,1,2,8,7,0,7.0,6.333333333333333,5.4,4.714285714285714,4.3
17,20170422,4,1,6,12.0,1.2857142857142858,1.0,-0.5,0,3,9,7,0,6.0,7.333333333333333,5.2,5.0,4.2
18,20170423,4,1,6,5.0,1.4285714285714286,1.0,-1.5,0,4,10,7,0,12.0,8.333333333333334,7.4,6.428571428571429,5.1
19,20170424,4,1,21,14.0,1.25,1.0,-0.5,1,-1,10,8,0,5.0,7.666666666666667,7.8,6.142857142857143,5.6
20,20170425,4,1,21,1.0,1.375,1.0,-1.5,1,1,11,8,0,14.0,10.333333333333334,8.8,8.0,6.6
21,20170426,4,1,21,5.0,1.5,1.0,-2.0,1,2,12,8,0,1.0,6.666666666666667,7.6,7.714285714285714,6.5
22,20170428,4,1,3,4.0,1.3333333333333333,1.0,-1.0,1,-1,12,9,0,5.0,6.666666666666667,7.4,7.142857142857143,6.3
23,20170429,4,1,3,7.0,1.2,1.0,-0.5,0,-2,12,10,0,4.0,3.3333333333333335,5.8,6.714285714285714,6.6
24,20170430,4,1,3,2.0,1.3,1.0,-1.0,1,1,13,10,0,7.0,5.333333333333333,6.2,6.857142857142857,7.0
25,20170501,4,0,20,2.0,1.1818181818181819,1.0,-1.0,1,-1,13,11,0,2.0,4.333333333333333,3.8,5.428571428571429,6.3
26,20170502,4,0,20,8.0,1.0833333333333333,1.0,0,1,-2,13,12,0,2.0,3.6666666666666665,4.0,5.0,5.8
27,20170503,4,0,20,5.0,1.1666666666666667,1.0,-1.0,1,1,14,12,0,8.0,4.0,4.6,4.142857142857143,6.0
28,20170504,4,0,20,5.0,1.25,1.0,-1.5,0,2,15,12,0,5.0,5.0,4.8,4.714285714285714,5.3
29,20170505,4,0,18,2.0,1.3333333333333333,1.0,-1.5,0,3,16,12,0,5.0,6.0,4.4,4.714285714285714,5.3
30,20170506,4,0,18,6.0,1.2307692307692308,1.0,-1.0,1,-1,16,13,0,2.0,4.0,4.4,4.428571428571429,4.1
31,20170507,4,0,18,4.0,1.1428571428571428,1.0,0,1,-2,16,14,0,6.0,4.333333333333333,5.2,4.285714285714286,4.6
