,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170404,5,0,9,3.0,0,1.0,0,0,0,0,0,0,4.3580246913580245,4.39544513457557,4.40527950310559,4.411165335699498,4.408328403825299
2,20170406,5,0,9,11.0,0.0,4.0,1.5,0,-1,0,1,0,3.0,3.0,3.0,3.0,3.0
3,20170407,5,0,16,1.0,1.0,3.0,1.5,1,1,1,1,0,11.0,7.0,7.0,7.0,7.0
4,20170408,5,0,16,6.0,0.5,4.0,2.5,0,-1,1,2,0,1.0,5.0,5.0,5.0,5.0
5,20170409,5,0,16,1.0,1.0,4.0,1.5,0,1,2,2,0,6.0,6.0,5.25,5.25,5.25
6,20170411,5,1,7,1.0,0.6666666666666666,4.0,2.5,0,-1,2,3,0,1.0,2.6666666666666665,4.4,4.4,4.4
7,20170412,5,1,7,2.0,0.5,4.0,2.5,1,-2,2,4,0,1.0,2.6666666666666665,4.0,3.8333333333333335,3.8333333333333335
8,20170413,5,1,7,10.0,0.75,4.0,2.5,1,1,3,4,0,2.0,1.3333333333333333,2.2,3.5714285714285716,3.5714285714285716
9,20170414,5,1,16,2.0,1.0,3.0,1.5,1,2,4,4,0,10.0,4.333333333333333,4.0,4.571428571428571,4.375
10,20170415,5,1,16,0.0,1.25,3.0,1.5,0,3,5,4,0,2.0,4.666666666666667,3.2,3.2857142857142856,4.111111111111111
11,20170416,5,1,16,3.0,1.0,3.0,1.5,0,-1,5,5,0,0.0,4.0,3.0,3.142857142857143,3.7
12,20170417,5,1,18,4.0,1.2,3.0,1.5,1,1,6,5,0,3.0,1.6666666666666667,3.4,2.7142857142857144,3.7
13,20170418,5,1,18,4.0,1.0,3.0,2.0,1,-1,6,6,0,4.0,2.3333333333333335,3.8,3.142857142857143,3.0
14,20170419,5,1,18,1.0,1.1666666666666667,2.0,1.0,1,1,7,6,0,4.0,3.6666666666666665,2.6,3.5714285714285716,3.3
