,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,6,0,20,3.0,0,1.0,0,0,0,0,0,0,4.648148148148148,4.667701863354037,4.667701863354037,4.667701863354037,4.667701863354037
2,20170405,6,0,20,2.0,0.0,2.0,1.0,1,-1,0,1,0,3.0,3.0,3.0,3.0,3.0
3,20170406,6,0,20,7.0,1.0,1.0,0,0,1,1,1,0,2.0,2.5,2.5,2.5,2.5
4,20170407,6,1,25,2.0,2.0,1.0,0,1,2,2,1,0,7.0,4.0,4.0,4.0,4.0
5,20170408,6,1,25,4.0,3.0,1.0,-1.0,0,3,3,1,0,2.0,3.6666666666666665,3.5,3.5,3.5
6,20170409,6,1,25,8.0,1.5,1.0,0,0,-1,3,2,0,4.0,4.333333333333333,3.6,3.6,3.6
7,20170410,6,1,21,7.0,2.0,1.0,0,1,1,4,2,0,8.0,4.666666666666667,4.6,4.333333333333333,4.333333333333333
8,20170411,6,1,21,6.0,2.5,1.0,0,1,2,5,2,0,7.0,6.333333333333333,5.6,4.714285714285714,4.714285714285714
9,20170412,6,1,21,9.0,3.0,1.0,-0.5,1,3,6,2,0,6.0,7.0,5.4,5.142857142857143,4.875
10,20170413,6,0,15,1.0,3.5,1.0,-1.5,1,4,7,2,0,9.0,7.333333333333333,6.8,6.142857142857143,5.333333333333333
11,20170414,6,0,15,4.0,2.3333333333333335,1.0,-0.5,1,-1,7,3,0,1.0,5.333333333333333,6.2,5.285714285714286,4.9
12,20170415,6,0,15,7.0,1.75,1.0,-0.5,0,-2,7,4,0,4.0,4.666666666666667,5.4,5.571428571428571,5.0
13,20170416,6,0,15,2.0,2.0,1.0,-1.5,0,1,8,4,0,7.0,4.0,5.4,6.0,5.5
14,20170418,6,0,2,9.0,1.6,1.0,-1.0,1,-1,8,5,0,2.0,4.333333333333333,4.6,5.142857142857143,5.0
15,20170419,6,0,2,0.0,1.8,1.0,-1.5,1,1,9,5,0,9.0,6.0,4.6,5.428571428571429,5.7
16,20170420,6,0,2,1.0,1.5,1.0,-1.0,1,-1,9,6,0,0.0,3.6666666666666665,4.4,4.571428571428571,5.3
17,20170421,6,0,4,5.0,1.2857142857142858,1.0,-0.5,1,-2,9,7,0,1.0,3.3333333333333335,3.8,3.4285714285714284,4.6
18,20170422,6,0,4,8.0,1.125,2.0,0.5,0,-3,9,8,0,5.0,2.0,3.4,4.0,4.4
19,20170423,6,0,4,7.0,1.0,2.0,1.5,0,-4,9,9,0,8.0,4.666666666666667,4.6,4.571428571428571,4.6
20,20170424,6,1,15,7.0,1.1111111111111112,2.0,0.5,1,1,10,9,0,7.0,6.666666666666667,4.2,4.571428571428571,4.4
21,20170425,6,1,15,1.0,1.0,2.0,1.5,1,-1,10,10,0,7.0,7.333333333333333,5.6,5.285714285714286,5.0
22,20170426,6,1,15,4.0,0.9090909090909091,3.0,2.5,0,-2,10,11,0,1.0,5.0,5.6,4.142857142857143,4.7
23,20170428,6,1,25,5.0,0.8333333333333334,3.0,2.5,1,-3,10,12,0,4.0,4.0,5.4,4.714285714285714,4.4
24,20170430,6,1,25,5.0,0.7692307692307693,5.0,2.5,0,-4,10,13,0,5.0,3.3333333333333335,4.8,5.285714285714286,4.7
25,20170501,6,0,21,4.0,0.8461538461538461,4.0,2.0,1,1,11,13,0,5.0,4.666666666666667,4.4,5.285714285714286,4.3
26,20170502,6,0,21,3.0,0.9230769230769231,3.0,1.0,1,2,12,13,0,4.0,4.666666666666667,3.8,4.714285714285714,4.7
27,20170503,6,0,21,7.0,0.8571428571428571,4.0,2.0,1,-1,12,14,0,3.0,4.0,4.2,4.142857142857143,4.9
28,20170504,6,0,21,4.0,0.9285714285714286,4.0,2.0,0,1,13,14,0,7.0,4.666666666666667,4.8,4.142857142857143,5.1
29,20170505,6,0,24,13.0,1.0,3.0,2.0,1,2,14,14,0,4.0,4.666666666666667,4.6,4.571428571428571,4.7
30,20170506,6,0,24,14.0,1.0714285714285714,2.0,1.0,1,3,15,14,0,13.0,8.0,6.2,5.857142857142857,5.3
31,20170507,6,0,24,4.0,1.1428571428571428,1.0,0,0,4,16,14,0,14.0,10.333333333333334,8.2,7.142857142857143,6.0
32,20170508,6,0,18,4.0,1.2142857142857142,1.0,-0.5,1,5,17,14,0,4.0,10.333333333333334,8.4,7.0,6.3
33,20170509,6,0,18,5.0,1.1333333333333333,2.0,0.5,1,-1,17,15,0,4.0,7.333333333333333,7.8,7.0,6.3
