,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,7,1,27,8.0,0,1.0,0,1,0,0,0,0,5.049382716049383,5.082815734989648,5.082815734989647,5.082815734989647,5.082815734989647
2,20170404,7,1,27,4.0,1.0,1.0,0,1,1,1,0,0,8.0,8.0,8.0,8.0,8.0
3,20170405,7,1,27,9.0,2.0,1.0,-0.5,1,2,2,0,0,4.0,6.0,6.0,6.0,6.0
4,20170407,7,1,0,3.0,3.0,1.0,-0.5,1,3,3,0,0,9.0,7.0,7.0,7.0,7.0
5,20170408,7,1,0,2.0,3.0,2.0,1.0,1,-1,3,1,0,3.0,5.333333333333333,6.0,6.0,6.0
6,20170409,7,1,0,2.0,1.5,3.0,1.0,0,-2,3,2,0,2.0,4.666666666666667,5.2,5.2,5.2
7,20170411,7,0,5,2.0,1.0,3.0,2.0,0,-3,3,3,0,2.0,2.3333333333333335,4.0,4.666666666666667,4.666666666666667
8,20170412,7,0,5,1.0,1.3333333333333333,3.0,1.0,1,1,4,3,0,2.0,2.0,3.6,4.285714285714286,4.285714285714286
9,20170413,7,0,5,4.0,1.0,3.0,2.0,1,-1,4,4,0,1.0,1.6666666666666667,2.0,3.2857142857142856,3.875
10,20170414,7,0,9,6.0,0.8,4.0,2.0,1,-2,4,5,0,4.0,2.3333333333333335,2.2,3.2857142857142856,3.888888888888889
11,20170415,7,0,9,13.0,0.6666666666666666,4.0,3.0,0,-3,4,6,0,6.0,3.6666666666666665,3.0,2.857142857142857,4.1
12,20170416,7,0,9,1.0,0.8333333333333334,4.0,2.0,0,1,5,6,0,13.0,7.666666666666667,5.2,4.285714285714286,4.6
13,20170417,7,1,16,3.0,0.7142857142857143,5.0,3.0,1,-1,5,7,0,1.0,6.666666666666667,5.0,4.142857142857143,4.3
14,20170418,7,1,16,11.0,0.8571428571428571,5.0,2.5,1,1,6,7,0,3.0,5.666666666666667,5.4,4.285714285714286,3.7
15,20170420,7,1,16,6.0,1.0,3.0,1.5,0,2,7,7,0,11.0,5.0,6.8,5.571428571428571,4.5
16,20170421,7,1,5,3.0,1.1428571428571428,1.0,0,1,3,8,7,0,6.0,6.666666666666667,6.8,6.285714285714286,4.9
17,20170422,7,1,5,7.0,1.2857142857142858,1.0,-1.0,1,4,9,7,0,3.0,6.666666666666667,4.8,6.142857142857143,5.0
18,20170423,7,1,5,2.0,1.4285714285714286,1.0,-1.0,0,5,10,7,0,7.0,5.333333333333333,6.0,6.285714285714286,5.5
19,20170425,7,0,10,2.0,1.25,1.0,0,1,-1,10,8,0,2.0,4.0,5.8,4.714285714285714,5.6
