,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170404,9,1,5,6.0,0,1.0,0,0,0,0,0,0,4.537037037037037,4.573498964803312,4.573498964803313,4.573498964803313,4.573498964803313
2,20170406,9,1,5,2.0,1.0,2.0,0.5,0,1,1,0,0,6.0,6.0,6.0,6.0,6.0
3,20170407,9,0,3,6.0,1.0,3.0,1.5,0,-1,1,1,0,2.0,4.0,4.0,4.0,4.0
4,20170408,9,0,3,4.0,2.0,3.0,1.5,0,1,2,1,0,6.0,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667
5,20170409,9,0,3,5.0,3.0,2.0,0.5,0,2,3,1,0,4.0,4.0,4.5,4.5,4.5
6,20170410,9,0,3,2.0,1.5,2.0,1.5,0,-1,3,2,0,5.0,5.0,4.6,4.6,4.6
7,20170411,9,0,16,2.0,2.0,2.0,1.0,0,1,4,2,0,2.0,3.6666666666666665,3.8,4.166666666666667,4.166666666666667
8,20170412,9,0,16,5.0,2.5,1.0,0,0,2,5,2,0,2.0,3.0,3.8,3.857142857142857,3.857142857142857
9,20170413,9,0,16,5.0,3.0,1.0,-1.0,0,3,6,2,0,5.0,3.0,3.6,3.7142857142857144,4.0
10,20170414,9,1,7,7.0,2.0,1.0,0,1,-1,6,3,0,5.0,4.0,3.8,4.142857142857143,4.111111111111111
11,20170415,9,1,7,6.0,2.3333333333333335,1.0,-1.0,0,1,7,3,0,7.0,5.666666666666667,4.2,4.285714285714286,4.4
12,20170416,9,1,7,4.0,1.75,1.0,0,0,-1,7,4,0,6.0,6.0,5.0,4.571428571428571,4.4
13,20170418,9,1,26,1.0,2.0,1.0,-1.0,1,1,8,4,0,4.0,5.666666666666667,5.4,4.428571428571429,4.6
14,20170419,9,1,26,7.0,1.6,1.0,-1.0,1,-1,8,5,0,1.0,3.6666666666666665,4.6,4.285714285714286,4.1
15,20170420,9,1,26,1.0,1.3333333333333333,1.0,-1.0,0,-2,8,6,0,7.0,4.0,5.0,5.0,4.4
16,20170421,9,1,16,3.0,1.1428571428571428,1.0,0,1,-3,8,7,0,1.0,3.0,3.8,4.428571428571429,4.0
17,20170422,9,1,16,5.0,1.0,2.0,1.0,0,-4,8,8,0,3.0,3.6666666666666665,3.2,4.142857142857143,4.1
18,20170423,9,1,16,13.0,1.125,2.0,1.0,0,1,9,8,0,5.0,3.0,3.4,3.857142857142857,4.4
19,20170425,9,0,23,19.0,1.25,1.0,0,1,2,10,8,0,13.0,7.0,5.8,4.857142857142857,5.2
20,20170426,9,0,23,0.0,1.375,1.0,-1.0,1,3,11,8,0,19.0,12.333333333333334,8.2,7.0,6.6
21,20170427,9,0,23,1.0,1.2222222222222223,1.0,0,0,-1,11,9,0,0.0,10.666666666666666,8.0,6.857142857142857,5.9
22,20170428,9,0,5,3.0,1.1,3.0,1.0,1,-2,11,10,0,1.0,6.666666666666667,7.6,6.0,5.4
23,20170429,9,0,5,4.0,1.0,3.0,1.5,0,-3,11,11,0,3.0,1.3333333333333333,7.2,6.285714285714286,5.3
24,20170430,9,0,5,7.0,0.9166666666666666,4.0,2.5,0,-4,11,12,0,4.0,2.6666666666666665,5.4,6.428571428571429,5.6
25,20170501,9,0,7,7.0,1.0,4.0,2.0,1,1,12,12,0,7.0,4.666666666666667,3.0,6.714285714285714,5.6
26,20170502,9,0,7,5.0,1.0833333333333333,3.0,1.0,1,2,13,12,0,7.0,6.0,4.4,5.857142857142857,6.2
27,20170503,9,0,7,2.0,1.1666666666666667,2.0,0.5,1,3,14,12,0,5.0,6.333333333333333,5.2,3.857142857142857,6.4
28,20170505,9,1,19,7.0,1.0769230769230769,4.0,1.0,1,-1,14,13,0,2.0,4.666666666666667,5.0,4.142857142857143,6.1
29,20170506,9,1,19,5.0,1.1538461538461537,2.0,0.5,1,1,15,13,0,7.0,4.666666666666667,5.6,5.0,5.5
30,20170507,9,1,19,6.0,1.0714285714285714,3.0,1.0,0,-1,15,14,0,5.0,4.666666666666667,5.2,5.285714285714286,4.1
31,20170509,9,1,0,7.0,1.0,3.0,2.0,1,-2,15,15,0,6.0,6.0,5.0,5.571428571428571,4.7
32,20170510,9,1,0,1.0,1.0666666666666667,3.0,1.5,1,1,16,15,0,7.0,6.0,5.4,5.571428571428571,5.3
33,20170511,9,1,12,7.0,1.0,3.0,1.5,1,-1,16,16,0,1.0,4.666666666666667,5.2,4.714285714285714,5.1
34,20170512,9,1,12,0.0,1.0625,3.0,1.0,1,1,17,16,0,7.0,5.0,5.2,5.0,5.4
35,20170513,9,1,12,4.0,1.0,3.0,2.0,1,-1,17,17,0,0.0,2.6666666666666665,4.2,4.714285714285714,4.7
36,20170514,9,1,12,1.0,1.0588235294117647,2.0,2.0,0,1,18,17,0,4.0,3.6666666666666665,3.8,4.285714285714286,4.4
37,20170516,9,0,2,11.0,1.0,3.0,2.0,1,-1,18,18,0,1.0,1.6666666666666667,2.6,3.7142857142857144,4.0
38,20170517,9,0,2,5.0,0.9473684210526315,3.0,2.0,1,-2,18,19,0,11.0,5.333333333333333,4.6,4.428571428571429,4.9
39,20170518,9,0,2,6.0,1.0,3.0,1.5,0,1,19,19,0,5.0,5.666666666666667,4.2,4.142857142857143,4.7
40,20170519,9,0,27,3.0,1.0526315789473684,2.0,1.0,1,2,20,19,0,6.0,7.333333333333333,5.4,4.857142857142857,4.8
41,20170520,9,0,27,9.0,1.0,3.0,2.0,1,-1,20,20,0,3.0,4.666666666666667,5.2,4.285714285714286,4.5
42,20170521,9,0,27,2.0,1.05,3.0,1.5,1,1,21,20,0,9.0,6.0,6.8,5.571428571428571,4.7
43,20170522,9,1,10,0.0,1.0,3.0,2.0,1,-1,21,21,0,2.0,4.666666666666667,5.0,5.285714285714286,4.8
44,20170523,9,1,10,2.0,0.9545454545454546,3.0,3.0,1,-2,21,22,0,0.0,3.6666666666666665,4.0,5.142857142857143,4.1
45,20170524,9,1,10,6.0,0.9130434782608695,3.0,4.0,1,-3,21,23,0,2.0,1.3333333333333333,3.2,3.857142857142857,4.3
46,20170525,9,1,10,6.0,0.9565217391304348,3.0,4.0,1,1,22,23,0,6.0,2.6666666666666665,3.8,4.0,4.5
47,20170526,9,1,5,2.0,0.9166666666666666,3.0,4.5,1,-1,22,24,0,6.0,4.666666666666667,3.2,4.0,5.0
48,20170527,9,1,5,0.0,0.88,3.0,4.5,0,-2,22,25,1,2.0,4.666666666666667,3.2,3.857142857142857,4.1
49,20170527,9,1,5,4.0,0.8461538461538461,3.0,5.0,0,-3,22,26,1,0.0,2.6666666666666665,3.2,2.5714285714285716,3.6
50,20170528,9,1,5,3.0,0.8846153846153846,3.0,5.0,0,1,23,26,0,4.0,2.0,3.6,2.857142857142857,3.4
51,20170529,9,1,11,10.0,0.8518518518518519,4.0,5.0,1,-1,23,27,0,3.0,2.3333333333333335,3.0,3.2857142857142856,3.4
52,20170530,9,1,11,0.0,0.8888888888888888,4.0,4.0,1,1,24,27,0,10.0,5.666666666666667,3.8,4.428571428571429,3.5
53,20170531,9,1,11,6.0,0.8571428571428571,4.0,4.0,1,-1,24,28,0,0.0,4.333333333333333,3.4,3.5714285714285716,3.3
54,20170602,9,0,5,15.0,0.8928571428571429,3.0,3.0,1,1,25,28,0,6.0,5.333333333333333,4.6,3.5714285714285716,3.9
55,20170603,9,0,5,10.0,0.9285714285714286,3.0,3.5,0,2,26,28,0,15.0,7.0,6.8,5.428571428571429,5.2
56,20170604,9,0,5,7.0,0.9642857142857143,3.0,2.5,0,3,27,28,0,10.0,10.333333333333334,8.2,6.857142857142857,5.6
57,20170606,9,0,12,3.0,1.0,3.0,2.5,1,4,28,28,0,7.0,10.666666666666666,7.6,7.285714285714286,5.7
58,20170607,9,0,12,4.0,0.9655172413793104,3.0,2.5,1,-1,28,29,0,3.0,6.666666666666667,8.2,7.285714285714286,5.8
59,20170608,9,0,12,4.0,1.0,3.0,1.5,0,1,29,29,0,4.0,4.666666666666667,7.8,6.428571428571429,6.2
60,20170609,9,1,3,3.0,0.9666666666666667,3.0,2.5,1,-1,29,30,0,4.0,3.6666666666666665,5.6,7.0,6.2
61,20170610,9,1,3,3.0,0.9354838709677419,3.0,3.5,1,-2,29,31,0,3.0,3.6666666666666665,4.2,6.571428571428571,6.2
62,20170611,9,1,3,8.0,0.90625,3.0,4.5,1,-3,29,32,0,3.0,3.3333333333333335,3.4,4.857142857142857,5.5
63,20170613,9,0,0,6.0,0.9375,3.0,3.5,1,1,30,32,0,8.0,4.666666666666667,4.4,4.571428571428571,6.3
64,20170614,9,0,0,1.0,0.9090909090909091,3.0,4.0,1,-1,30,33,0,6.0,5.666666666666667,4.8,4.428571428571429,6.3
65,20170615,9,0,26,5.0,0.8823529411764706,3.0,4.0,1,-2,30,34,0,1.0,5.0,4.2,4.142857142857143,4.9
66,20170616,9,0,26,13.0,0.9117647058823529,3.0,4.0,1,1,31,34,0,5.0,4.0,4.6,4.285714285714286,4.4
67,20170617,9,0,26,2.0,0.9411764705882353,3.0,3.0,0,2,32,34,0,13.0,6.333333333333333,6.6,5.571428571428571,5.0
68,20170618,9,0,26,1.0,0.9142857142857143,3.0,3.5,0,-1,32,35,0,2.0,6.666666666666667,5.4,5.428571428571429,4.9
69,20170619,9,1,23,2.0,0.8888888888888888,4.0,4.5,1,-2,32,36,0,1.0,5.333333333333333,4.4,5.142857142857143,4.6
70,20170620,9,1,23,4.0,0.8648648648648649,4.0,5.5,1,-3,32,37,0,2.0,1.6666666666666667,4.6,4.285714285714286,4.4
71,20170621,9,1,23,5.0,0.8421052631578947,4.0,5.5,1,-4,32,38,0,4.0,2.3333333333333335,4.4,4.0,4.5
72,20170622,9,1,23,6.0,0.8205128205128205,4.0,6.5,1,-5,32,39,0,5.0,3.6666666666666665,2.8,4.571428571428571,4.7
73,20170623,9,1,22,0.0,0.8,5.0,7.5,1,-6,32,40,0,6.0,5.0,3.6,4.714285714285714,4.5
74,20170624,9,1,22,3.0,0.7804878048780488,5.0,7.5,1,-7,32,41,0,0.0,3.6666666666666665,3.4,2.857142857142857,3.9
75,20170625,9,1,22,7.0,0.7619047619047619,5.0,7.5,0,-8,32,42,0,3.0,3.0,3.6,3.0,4.1
76,20170627,9,0,11,5.0,0.7857142857142857,4.0,7.0,1,1,33,42,0,7.0,3.3333333333333335,4.2,3.857142857142857,4.3
77,20170628,9,0,11,2.0,0.8095238095238095,4.0,6.0,1,2,34,42,0,5.0,5.0,4.2,4.285714285714286,3.5
78,20170629,9,0,11,7.0,0.7906976744186046,4.0,7.0,0,-1,34,43,0,2.0,4.666666666666667,3.4,4.0,3.5
79,20170701,9,0,7,7.0,0.813953488372093,4.0,7.0,0,1,35,43,1,7.0,4.666666666666667,4.8,4.285714285714286,4.1
80,20170701,9,0,7,1.0,0.8372093023255814,4.0,7.0,1,2,36,43,1,7.0,5.333333333333333,5.6,4.428571428571429,4.6
81,20170702,9,0,7,8.0,0.8181818181818182,4.0,7.0,0,-1,36,44,0,1.0,5.0,4.4,4.571428571428571,4.3
82,20170704,9,0,24,5.0,0.8,4.0,8.0,0,-2,36,45,0,8.0,5.333333333333333,5.0,5.285714285714286,4.6
83,20170705,9,0,24,4.0,0.8222222222222222,4.0,7.0,1,1,37,45,0,5.0,4.666666666666667,5.6,5.0,4.5
84,20170706,9,0,24,6.0,0.8043478260869565,4.0,7.0,0,-1,37,46,0,4.0,5.666666666666667,5.0,4.857142857142857,4.9
85,20170707,9,1,7,2.0,0.8260869565217391,4.0,7.0,1,1,38,46,0,6.0,5.0,4.8,5.428571428571429,5.2
86,20170708,9,1,7,0.0,0.8085106382978723,4.0,8.0,1,-1,38,47,0,2.0,4.0,5.0,4.714285714285714,4.7
87,20170709,9,1,7,5.0,0.7916666666666666,4.0,9.0,1,-2,38,48,0,0.0,2.6666666666666665,3.4,3.7142857142857144,4.2
88,20170714,9,0,28,2.0,0.8125,4.0,8.0,1,1,39,48,0,5.0,2.3333333333333335,3.4,4.285714285714286,4.5
89,20170715,9,0,28,11.0,0.7959183673469388,4.0,8.0,1,-1,39,49,0,2.0,2.3333333333333335,3.0,3.4285714285714284,4.0
90,20170716,9,0,28,6.0,0.8163265306122449,4.0,7.0,0,1,40,49,0,11.0,6.0,4.0,4.285714285714286,4.4
91,20170717,9,1,11,10.0,0.8367346938775511,4.0,6.0,1,2,41,49,0,6.0,6.333333333333333,4.8,4.571428571428571,4.9
92,20170718,9,1,11,9.0,0.8571428571428571,4.0,6.0,1,3,42,49,0,10.0,9.0,6.8,5.142857142857143,5.1
93,20170719,9,1,11,3.0,0.8775510204081632,4.0,5.0,1,4,43,49,0,9.0,8.333333333333334,7.6,6.142857142857143,5.5
94,20170720,9,1,11,4.0,0.86,4.0,5.0,1,-1,43,50,0,3.0,7.333333333333333,7.8,6.571428571428571,5.4
95,20170721,9,1,16,6.0,0.8431372549019608,4.0,5.5,1,-2,43,51,0,4.0,5.333333333333333,6.4,6.428571428571429,5.2
96,20170722,9,1,16,5.0,0.8627450980392157,4.0,5.5,1,1,44,51,0,6.0,4.333333333333333,6.4,7.0,5.6
97,20170723,9,1,16,9.0,0.8461538461538461,4.0,6.5,0,-1,44,52,0,5.0,5.0,5.4,6.142857142857143,6.1
98,20170724,9,0,11,3.0,0.8653846153846154,4.0,6.5,1,1,45,52,0,9.0,6.666666666666667,5.4,6.571428571428571,6.5
99,20170725,9,0,11,1.0,0.8490566037735849,4.0,7.5,1,-1,45,53,0,3.0,5.666666666666667,5.4,5.571428571428571,6.6
100,20170726,9,0,11,2.0,0.8333333333333334,4.0,8.5,1,-2,45,54,0,1.0,4.333333333333333,4.8,4.428571428571429,5.6
101,20170728,9,0,10,5.0,0.8181818181818182,4.0,9.5,1,-3,45,55,0,2.0,2.0,4.0,4.285714285714286,5.2
102,20170729,9,0,10,5.0,0.8035714285714286,4.0,11.0,1,-4,45,56,0,5.0,2.6666666666666665,4.0,4.428571428571429,4.7
103,20170730,9,0,10,13.0,0.8214285714285714,4.0,11.0,0,1,46,56,0,5.0,4.0,3.2,4.285714285714286,4.3
104,20170731,9,1,18,3.0,0.8392857142857143,4.0,10.0,1,2,47,56,0,13.0,7.666666666666667,5.2,5.428571428571429,5.3
105,20170801,9,1,18,4.0,0.8245614035087719,4.0,10.0,1,-1,47,57,0,3.0,7.0,5.6,4.571428571428571,5.2
106,20170802,9,1,18,2.0,0.8421052631578947,4.0,9.0,0,1,48,57,0,4.0,6.666666666666667,6.0,4.714285714285714,5.0
107,20170803,9,1,2,7.0,0.8596491228070176,4.0,8.5,1,2,49,57,0,2.0,3.0,5.4,4.857142857142857,4.7
108,20170804,9,1,2,5.0,0.8771929824561403,4.0,8.5,1,3,50,57,0,7.0,4.333333333333333,5.8,5.571428571428571,4.5
109,20170805,9,1,2,2.0,0.8947368421052632,4.0,8.5,1,4,51,57,0,5.0,4.666666666666667,4.2,5.571428571428571,4.7
110,20170806,9,1,2,3.0,0.8793103448275862,4.0,8.5,0,-1,51,58,0,2.0,4.666666666666667,4.0,5.142857142857143,4.8
111,20170807,9,1,21,0.0,0.864406779661017,4.0,8.5,1,-2,51,59,0,3.0,3.3333333333333335,3.8,3.7142857142857144,4.9
112,20170808,9,1,21,3.0,0.85,4.0,9.0,1,-3,51,60,0,0.0,1.6666666666666667,3.4,3.2857142857142856,4.4
113,20170809,9,0,21,10.0,0.8360655737704918,4.0,10.0,1,-4,51,61,0,3.0,2.0,2.6,3.142857142857143,4.2
114,20170810,9,0,21,5.0,0.8524590163934426,4.0,9.0,0,1,52,61,0,10.0,4.333333333333333,3.6,4.285714285714286,3.9
115,20170811,9,0,16,4.0,0.8387096774193549,4.0,9.0,1,-1,52,62,0,5.0,6.0,4.2,4.0,4.1
116,20170812,9,0,16,12.0,0.8253968253968254,4.0,10.0,1,-2,52,63,0,4.0,6.333333333333333,4.4,3.857142857142857,4.1
117,20170813,9,0,16,4.0,0.8412698412698413,4.0,10.0,0,1,53,63,0,12.0,7.0,6.8,5.285714285714286,5.1
118,20170814,9,1,27,2.0,0.828125,4.0,11.0,1,-1,53,64,0,4.0,6.666666666666667,7.0,5.428571428571429,4.8
