,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,10,0,23,3.0,0,1.0,0,1,0.0,0,0,0,5.530864197530864,5.5393374741200825,5.505797101449276,5.455811889973381,5.402708764665285
2,20170404,10,0,23,2.0,1.0,1.0,0,1,1.0,1,0,0,3.0,3.0,3.0,3.0,3.0
3,20170405,10,0,23,5.0,2.0,1.0,-1.0,1,2.0,2,0,0,2.0,2.5,2.5,2.5,2.5
4,20170406,10,0,23,2.0,3.0,1.0,-1.0,1,3.0,3,0,0,5.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
5,20170407,10,0,11,1.0,3.0,1.0,-1.0,1,-1.0,3,1,0,2.0,3.0,3.0,3.0,3.0
6,20170408,10,0,11,3.0,1.5,1.0,0,1,-2.0,3,2,0,1.0,2.6666666666666665,2.6,2.6,2.6
7,20170409,10,0,11,5.0,1.0,2.0,1.0,0,-3.0,3,3,0,3.0,2.0,2.6,2.6666666666666665,2.6666666666666665
8,20170410,10,1,23,0.0,1.3333333333333333,2.0,1.0,0,1.0,4,3,0,5.0,3.0,3.2,3.0,3.0
9,20170411,10,1,23,7.0,1.0,2.0,1.5,1,-1.0,4,4,0,0.0,2.6666666666666665,2.2,2.5714285714285716,2.625
10,20170412,10,1,23,10.0,1.25,2.0,1.5,1,1.0,5,4,0,7.0,4.0,3.2,3.2857142857142856,3.111111111111111
11,20170414,10,1,19,7.0,1.5,2.0,0.5,1,2.0,6,4,0,10.0,5.666666666666667,5.0,4.0,3.8
12,20170415,10,1,19,10.0,1.75,1.0,-1.0,0,3.0,7,4,0,7.0,8.0,5.8,4.714285714285714,4.2
13,20170417,10,0,12,3.0,2.0,1.0,-2.0,1,4.0,8,4,0,10.0,9.0,6.8,6.0,5.0
14,20170418,10,0,12,2.0,2.25,1.0,-3.5,1,5.0,9,4,0,3.0,6.666666666666667,7.4,6.0,4.8
15,20170419,10,0,12,5.0,1.8,1.0,-2.5,1,-1.0,9,5,0,2.0,5.0,6.4,5.571428571428571,4.8
16,20170420,10,0,12,2.0,2.0,1.0,-3.0,0,1.0,10,5,0,5.0,3.3333333333333335,5.4,6.285714285714286,5.2
17,20170421,10,1,26,6.0,2.2,1.0,-3.0,1,2.0,11,5,0,2.0,3.0,4.4,5.571428571428571,5.1
18,20170422,10,1,26,3.0,2.4,1.0,-3.0,1,3.0,12,5,0,6.0,4.333333333333333,3.6,5.0,5.2
19,20170423,10,1,26,6.0,2.0,1.0,-2.0,0,-1.0,12,6,0,3.0,3.6666666666666665,3.6,4.428571428571429,5.5
20,20170425,10,1,7,4.0,2.1666666666666665,1.0,-3.0,1,1.0,13,6,0,6.0,5.0,4.4,3.857142857142857,5.4
21,20170426,10,1,7,6.0,2.3333333333333335,1.0,-4.0,1,2.0,14,6,0,4.0,4.333333333333333,4.2,4.0,4.8
22,20170427,10,1,7,3.0,2.0,1.0,-4.0,1,-1.0,14,7,0,6.0,5.333333333333333,5.0,4.571428571428571,4.7
23,20170428,10,0,19,9.0,1.75,1.0,-3.0,1,-2.0,14,8,0,3.0,4.333333333333333,4.4,4.285714285714286,4.0
24,20170429,10,0,19,1.0,1.875,1.0,-3.0,1,1.0,15,8,0,9.0,6.0,5.6,5.285714285714286,4.6
25,20170430,10,0,19,7.0,1.6666666666666667,1.0,-3.0,0,-1.0,15,9,0,1.0,4.333333333333333,4.6,4.571428571428571,4.5
26,20170501,10,0,27,6.0,1.7777777777777777,1.0,-3.0,1,1.0,16,9,0,7.0,5.666666666666667,5.2,5.142857142857143,4.7
27,20170502,10,0,27,8.0,1.8888888888888888,1.0,-3.5,1,2.0,17,9,0,6.0,4.666666666666667,5.2,5.142857142857143,5.1
28,20170503,10,0,27,10.0,2.0,1.0,-3.5,1,3.0,18,9,0,8.0,7.0,6.2,5.714285714285714,5.3
29,20170504,10,0,27,4.0,2.111111111111111,1.0,-4.5,0,4.0,19,9,0,10.0,8.0,6.4,6.285714285714286,6.0
30,20170505,10,1,12,7.0,1.9,1.0,-4.5,1,-1.0,19,10,0,4.0,7.333333333333333,7.0,6.428571428571429,5.8
31,20170506,10,1,12,1.0,2.0,1.0,-5.5,1,1.0,20,10,0,7.0,7.0,7.0,6.142857142857143,6.1
32,20170507,10,1,12,5.0,1.8181818181818181,1.0,-4.5,0,-1.0,20,11,0,1.0,4.0,6.0,6.142857142857143,5.6
33,20170509,10,0,1,8.0,1.9090909090909092,1.0,-5.5,1,1.0,21,11,0,5.0,4.333333333333333,5.4,5.857142857142857,5.8
34,20170510,10,0,1,4.0,2.0,1.0,-6.0,0,2.0,22,11,0,8.0,4.666666666666667,5.0,6.142857142857143,5.7
35,20170511,10,1,18,3.0,2.090909090909091,1.0,-6.0,1,3.0,23,11,0,4.0,5.666666666666667,5.0,5.571428571428571,6.0
36,20170512,10,1,18,5.0,2.1818181818181817,1.0,-7.0,1,4.0,24,11,0,3.0,5.0,4.2,4.571428571428571,5.6
37,20170514,10,1,18,6.0,2.272727272727273,1.0,-8.0,0,5.0,25,11,1,5.0,4.0,5.0,4.714285714285714,5.5
38,20170514,10,1,18,10.0,2.0833333333333335,1.0,-7.5,1,-1.0,25,12,1,6.0,4.666666666666667,5.2,4.571428571428571,5.3
39,20170515,10,1,14,7.0,2.1666666666666665,1.0,-7.5,1,1.0,26,12,0,10.0,7.0,5.6,5.857142857142857,5.3
40,20170516,10,1,14,12.0,2.25,1.0,-8.0,1,2.0,27,12,0,7.0,7.666666666666667,6.2,6.142857142857143,5.6
41,20170517,10,1,14,3.0,2.3333333333333335,1.0,-8.0,0,3.0,28,12,0,12.0,9.666666666666666,8.0,6.714285714285714,6.1
42,20170519,10,0,7,3.0,2.4166666666666665,1.0,-8.0,1,4.0,29,12,0,3.0,7.333333333333333,7.6,6.571428571428571,6.3
