,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,11,1,16,1.0,0,1.0,0,0,0,0,0,0,4.333333333333333,4.333333333333333,4.325258799171842,4.320733510795622,4.313457556935818
2,20170405,11,1,16,1.0,0.0,5.0,1.0,0,-1,0,1,0,1.0,1.0,1.0,1.0,1.0
3,20170406,11,1,16,3.0,0.0,5.0,2.5,0,-2,0,2,0,1.0,1.0,1.0,1.0,1.0
4,20170407,11,1,10,5.0,0.0,5.0,3.0,1,-3,0,3,0,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
5,20170408,11,1,10,7.0,0.3333333333333333,5.0,3.0,1,1,1,3,0,5.0,3.0,2.5,2.5,2.5
6,20170409,11,1,10,4.0,0.6666666666666666,5.0,2.0,0,2,2,3,0,7.0,5.0,3.4,3.4,3.4
7,20170410,11,0,19,0.0,0.5,5.0,3.0,0,-1,2,4,0,4.0,5.333333333333333,4.0,3.5,3.5
8,20170412,11,0,19,3.0,0.4,5.0,3.5,1,-2,2,5,0,0.0,3.6666666666666665,3.8,3.0,3.0
9,20170413,11,0,19,3.0,0.3333333333333333,5.0,4.0,1,-3,2,6,0,3.0,2.3333333333333335,3.8,3.2857142857142856,3.0
10,20170414,11,0,12,7.0,0.5,5.0,3.0,1,1,3,6,0,3.0,2.0,3.4,3.5714285714285716,3.0
11,20170415,11,0,12,3.0,0.6666666666666666,4.0,3.0,1,2,4,6,0,7.0,4.333333333333333,3.4,4.142857142857143,3.4
12,20170416,11,0,12,1.0,0.8333333333333334,4.0,2.0,0,3,5,6,0,3.0,4.333333333333333,3.2,3.857142857142857,3.6
13,20170418,11,0,24,1.0,1.0,4.0,2.0,1,4,6,6,0,1.0,3.6666666666666665,3.4,3.0,3.6
14,20170419,11,0,24,2.0,0.8571428571428571,5.0,2.0,1,-1,6,7,0,1.0,1.6666666666666667,3.0,2.5714285714285716,3.4
15,20170420,11,1,27,0.0,1.0,2.0,1.0,1,1,7,7,0,2.0,1.3333333333333333,2.8,2.857142857142857,3.1
16,20170421,11,1,27,2.0,0.875,4.0,1.0,1,-1,7,8,0,0.0,1.0,1.4,2.4285714285714284,2.4
17,20170422,11,1,27,1.0,0.7777777777777778,5.0,2.0,1,-2,7,9,0,2.0,1.3333333333333333,1.2,2.2857142857142856,2.2
18,20170423,11,1,27,2.0,0.7,5.0,3.0,0,-3,7,10,0,1.0,1.0,1.2,1.4285714285714286,2.3
19,20170424,11,1,5,1.0,0.6363636363636364,5.0,3.0,1,-4,7,11,0,2.0,1.6666666666666667,1.4,1.2857142857142858,2.2
20,20170425,11,1,5,5.0,0.5833333333333334,5.0,3.5,1,-5,7,12,0,1.0,1.3333333333333333,1.2,1.2857142857142858,2.0
21,20170426,11,1,5,2.0,0.5384615384615384,5.0,4.5,0,-6,7,13,0,5.0,2.6666666666666665,2.2,1.8571428571428572,1.8
22,20170428,11,0,16,4.0,0.5,5.0,4.5,1,-7,7,14,0,2.0,2.6666666666666665,2.2,1.8571428571428572,1.7
23,20170430,11,0,16,5.0,0.4666666666666667,5.0,5.5,0,-8,7,15,0,4.0,3.6666666666666665,2.8,2.4285714285714284,2.0
24,20170501,11,0,5,6.0,0.4375,5.0,6.5,1,-9,7,16,0,5.0,3.6666666666666665,3.4,2.857142857142857,2.4
25,20170502,11,0,5,0.0,0.5,5.0,5.5,1,1,8,16,0,6.0,5.0,4.4,3.5714285714285716,2.8
26,20170503,11,0,5,6.0,0.47058823529411764,5.0,6.0,1,-1,8,17,0,0.0,3.6666666666666665,3.4,3.2857142857142856,2.8
27,20170504,11,0,5,3.0,0.5294117647058824,5.0,5.5,0,1,9,17,0,6.0,4.0,4.2,4.0,3.2
28,20170505,11,0,7,3.0,0.5,5.0,6.0,1,-1,9,18,0,3.0,3.0,4.0,3.7142857142857144,3.4
29,20170506,11,0,7,1.0,0.5555555555555556,5.0,5.5,0,1,10,18,0,3.0,4.0,3.6,3.857142857142857,3.5
30,20170507,11,0,7,0.0,0.5263157894736842,5.0,6.0,0,-1,10,19,0,1.0,2.3333333333333335,2.6,3.4285714285714284,3.5
31,20170508,11,1,26,7.0,0.5,5.0,7.0,1,-2,10,20,0,0.0,1.3333333333333333,2.6,2.7142857142857144,3.0
32,20170509,11,1,26,7.0,0.55,5.0,6.0,1,1,11,20,0,7.0,2.6666666666666665,2.8,2.857142857142857,3.5
33,20170510,11,1,26,1.0,0.6,5.0,6.0,1,2,12,20,0,7.0,4.666666666666667,3.6,3.857142857142857,3.8
34,20170511,11,1,26,6.0,0.5714285714285714,5.0,6.0,0,-1,12,21,0,1.0,5.0,3.2,3.142857142857143,3.4
35,20170512,11,0,2,3.0,0.6190476190476191,5.0,5.5,1,1,13,21,0,6.0,4.666666666666667,4.2,3.5714285714285716,3.4
36,20170513,11,0,2,4.0,0.6666666666666666,5.0,5.5,1,2,14,21,0,3.0,3.3333333333333335,4.8,3.5714285714285716,3.7
37,20170514,11,0,2,9.0,0.7142857142857143,5.0,5.5,0,3,15,21,0,4.0,4.333333333333333,4.2,4.0,3.5
38,20170516,11,0,18,1.0,0.7619047619047619,5.0,4.5,1,4,16,21,0,9.0,5.333333333333333,4.6,5.285714285714286,4.1
39,20170517,11,0,18,7.0,0.7272727272727273,5.0,4.5,1,-1,16,22,0,1.0,4.666666666666667,4.6,4.428571428571429,3.9
40,20170518,11,0,18,5.0,0.6956521739130435,5.0,5.0,1,-2,16,23,0,7.0,5.666666666666667,4.8,4.428571428571429,4.5
41,20170519,11,1,16,3.0,0.7391304347826086,5.0,4.5,1,1,17,23,0,5.0,4.333333333333333,5.2,5.0,5.0
42,20170521,11,1,16,6.0,0.7083333333333334,5.0,5.5,0,-1,17,24,1,3.0,5.0,5.0,4.571428571428571,4.6
