,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,12,1,19,2.0,0,1.0,0,1,0.0,0,0,0,4.382716049382716,4.36128364389234,4.358488612836439,4.350118308192842,4.349051069703243
2,20170404,12,1,19,7.0,0.0,3.0,1.0,1,-1.0,0,1,0,2.0,2.0,2.0,2.0,2.0
3,20170405,12,1,19,5.0,1.0,2.0,1.0,1,1.0,1,1,0,7.0,4.5,4.5,4.5,4.5
4,20170406,12,1,19,1.0,2.0,2.0,1.0,0,2.0,2,1,0,5.0,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667
5,20170407,12,0,23,5.0,1.0,2.0,1.0,1,-1.0,2,2,0,1.0,4.333333333333333,3.75,3.75,3.75
6,20170408,12,0,23,5.0,1.5,1.0,0,1,1.0,3,2,0,5.0,3.6666666666666665,4.0,4.0,4.0
7,20170409,12,0,23,10.0,2.0,1.0,-1.0,0,2.0,4,2,0,5.0,3.6666666666666665,4.6,4.166666666666667,4.166666666666667
8,20170411,12,0,27,6.0,2.5,1.0,-1.0,1,3.0,5,2,0,10.0,6.666666666666667,5.2,5.0,5.0
9,20170412,12,0,27,3.0,3.0,1.0,-1.5,1,4.0,6,2,0,6.0,7.0,5.4,5.571428571428571,5.125
10,20170413,12,0,27,3.0,2.0,1.0,-0.5,0,-1.0,6,3,0,3.0,6.333333333333333,5.8,5.0,4.888888888888889
11,20170414,12,1,11,1.0,1.5,1.0,0,1,-2.0,6,4,0,3.0,4.0,5.4,4.714285714285714,4.7
12,20170415,12,1,11,2.0,1.2,2.0,1.0,1,-3.0,6,5,0,1.0,2.3333333333333335,4.6,4.714285714285714,4.6
13,20170416,12,1,11,0.0,1.0,2.0,2.0,0,-4.0,6,6,0,2.0,2.0,3.0,4.285714285714286,4.1
14,20170417,12,1,10,0.0,0.8571428571428571,2.0,2.5,1,-5.0,6,7,0,0.0,1.0,1.8,3.5714285714285716,3.6
15,20170418,12,1,10,5.0,0.75,2.0,3.5,1,-6.0,6,8,0,0.0,0.6666666666666666,1.2,2.142857142857143,3.5
16,20170419,12,1,10,1.0,0.875,2.0,2.5,1,1.0,7,8,0,5.0,1.6666666666666667,1.6,2.0,3.5
17,20170420,12,1,10,1.0,0.7777777777777778,3.0,3.5,0,-1.0,7,9,0,1.0,2.0,1.6,1.7142857142857142,3.1
18,20170421,12,0,28,7.0,0.7,3.0,4.5,1,-2.0,7,10,0,1.0,2.3333333333333335,1.4,1.4285714285714286,2.2
19,20170422,12,0,28,5.0,0.6363636363636364,4.0,5.5,1,-3.0,7,11,0,7.0,3.0,2.8,2.2857142857142856,2.3
20,20170423,12,0,28,2.0,0.7272727272727273,4.0,4.5,0,1.0,8,11,0,5.0,4.333333333333333,3.8,2.7142857142857144,2.5
21,20170424,12,0,28,2.0,0.6666666666666666,4.0,5.5,1,-1.0,8,12,0,2.0,4.666666666666667,3.2,3.0,2.4
22,20170425,12,0,19,2.0,0.75,4.0,5.0,1,1.0,9,12,0,2.0,3.0,3.4,3.2857142857142856,2.5
23,20170426,12,0,19,8.0,0.8333333333333334,3.0,5.0,1,2.0,10,12,0,2.0,2.0,3.6,2.857142857142857,2.5
24,20170427,12,0,19,2.0,0.9166666666666666,2.0,4.0,1,3.0,11,12,0,8.0,4.0,3.8,3.857142857142857,3.3
25,20170428,12,1,27,6.0,1.0,2.0,3.0,1,4.0,12,12,0,2.0,4.0,3.2,4.0,3.5
26,20170429,12,1,27,3.0,1.0833333333333333,2.0,3.0,1,5.0,13,12,0,6.0,5.333333333333333,4.0,3.857142857142857,3.6
27,20170430,12,1,27,5.0,1.0,2.0,3.0,0,-1.0,13,13,0,3.0,3.6666666666666665,4.2,3.5714285714285716,3.8
28,20170502,12,1,23,6.0,1.0769230769230769,2.0,3.0,1,1.0,14,13,0,5.0,4.666666666666667,4.8,4.0,4.2
29,20170503,12,1,23,7.0,1.1538461538461537,2.0,3.5,1,2.0,15,13,0,6.0,4.666666666666667,4.4,4.571428571428571,4.1
30,20170504,12,1,23,3.0,1.0714285714285714,2.0,4.5,1,-1.0,15,14,0,7.0,6.0,5.4,5.285714285714286,4.3
31,20170505,12,0,10,6.0,1.0,2.0,4.5,1,-2.0,15,15,0,3.0,5.333333333333333,4.8,4.571428571428571,4.4
32,20170506,12,0,10,2.0,0.9375,2.0,5.5,1,-3.0,15,16,0,6.0,5.333333333333333,5.4,5.142857142857143,4.8
33,20170507,12,0,10,3.0,1.0,2.0,4.5,0,1.0,16,16,0,2.0,3.6666666666666665,4.8,4.571428571428571,4.8
34,20170508,12,1,19,2.0,0.9411764705882353,2.0,5.5,1,-1.0,16,17,0,3.0,3.6666666666666665,4.2,4.571428571428571,4.3
35,20170509,12,1,19,7.0,0.8888888888888888,2.0,6.0,1,-2.0,16,18,0,2.0,2.3333333333333335,3.2,4.142857142857143,4.3
36,20170510,12,1,19,1.0,0.9444444444444444,2.0,6.0,0,1.0,17,18,0,7.0,4.0,4.0,4.285714285714286,4.4
37,20170511,12,0,9,1.0,0.8947368421052632,3.0,7.0,1,-1.0,17,19,0,1.0,3.3333333333333335,3.0,3.4285714285714284,4.2
38,20170512,12,0,9,7.0,0.85,4.0,8.0,1,-2.0,17,20,0,1.0,3.0,2.8,3.142857142857143,3.8
39,20170513,12,0,9,3.0,0.9,2.0,8.0,1,1.0,18,20,0,7.0,3.0,3.6,3.2857142857142856,3.9
40,20170514,12,0,9,4.0,0.8571428571428571,3.0,8.5,0,-1.0,18,21,0,3.0,3.6666666666666665,3.8,3.4285714285714284,3.5
41,20170515,12,0,5,5.0,0.9047619047619048,3.0,8.0,1,1.0,19,21,0,4.0,4.666666666666667,3.2,3.5714285714285716,3.6
42,20170516,12,0,5,7.0,0.9523809523809523,2.0,8.0,1,2.0,20,21,0,5.0,4.0,4.0,4.0,3.5
43,20170517,12,0,5,12.0,1.0,2.0,8.0,1,3.0,21,21,0,7.0,5.333333333333333,5.2,4.0,4.0
44,20170519,12,1,17,0.0,1.0476190476190477,2.0,8.0,1,4.0,22,21,0,12.0,8.0,6.2,5.571428571428571,4.9
45,20170520,12,1,17,5.0,1.0,3.0,8.0,1,-1.0,22,22,0,0.0,6.333333333333333,5.6,5.428571428571429,4.7
46,20170521,12,1,17,12.0,0.9565217391304348,3.0,8.0,0,-2.0,22,23,0,5.0,5.666666666666667,5.8,5.142857142857143,4.5
47,20170522,12,1,26,3.0,1.0,3.0,7.0,1,1.0,23,23,0,12.0,5.666666666666667,7.2,6.428571428571429,5.6
48,20170523,12,1,26,4.0,1.0434782608695652,3.0,7.0,1,2.0,24,23,0,3.0,6.666666666666667,6.4,6.285714285714286,5.8
49,20170524,12,1,26,2.0,1.0869565217391304,2.0,7.0,1,3.0,25,23,0,4.0,6.333333333333333,4.8,6.142857142857143,5.5
50,20170525,12,1,26,0.0,1.0416666666666667,2.0,7.0,0,-1.0,25,24,0,2.0,3.0,5.2,5.428571428571429,5.4
51,20170526,12,1,14,5.0,1.0,2.0,8.0,1,-2.0,25,25,0,0.0,2.0,4.2,3.7142857142857144,5.0
52,20170527,12,1,14,5.0,0.9615384615384616,2.0,9.0,0,-3.0,25,26,0,5.0,2.3333333333333335,2.8,4.428571428571429,5.0
53,20170528,12,1,14,2.0,1.0,2.0,9.0,0,1.0,26,26,0,5.0,3.3333333333333335,3.2,4.428571428571429,4.8
54,20170529,12,0,1,3.0,0.9629629629629629,2.0,10.0,1,-1.0,26,27,0,2.0,4.0,2.8,3.0,3.8
55,20170530,12,0,1,9.0,0.9285714285714286,2.0,11.0,1,-2.0,26,28,0,3.0,3.3333333333333335,3.0,3.0,4.1
56,20170531,12,0,1,2.0,0.9642857142857143,2.0,11.0,1,1.0,27,28,0,9.0,4.666666666666667,4.8,3.7142857142857144,4.5
57,20170601,12,0,16,2.0,1.0,2.0,11.0,1,2.0,28,28,0,2.0,4.666666666666667,4.2,3.7142857142857144,3.5
58,20170602,12,0,16,5.0,0.9655172413793104,2.0,11.5,1,-1.0,28,29,0,2.0,4.333333333333333,3.6,4.0,3.4
59,20170603,12,0,16,7.0,0.9333333333333333,2.0,12.5,1,-2.0,28,30,0,5.0,3.0,4.2,4.0,3.5
60,20170604,12,0,16,2.0,0.9666666666666667,2.0,12.5,0,1.0,29,30,0,7.0,4.666666666666667,5.0,4.285714285714286,4.0
61,20170606,12,1,9,5.0,0.9354838709677419,2.0,13.5,1,-1.0,29,31,0,2.0,4.666666666666667,3.6,4.285714285714286,4.2
62,20170607,12,1,9,0.0,0.967741935483871,2.0,13.0,1,1.0,30,31,0,5.0,4.666666666666667,4.2,4.571428571428571,4.2
63,20170608,12,1,9,11.0,0.9375,3.0,13.0,0,-1.0,30,32,0,0.0,2.3333333333333335,3.8,3.2857142857142856,3.7
64,20170609,12,1,10,9.0,0.96875,2.0,13.0,1,1.0,31,32,0,11.0,5.333333333333333,5.0,4.571428571428571,4.6
65,20170610,12,1,10,1.0,1.0,2.0,12.0,0,2.0,32,32,0,9.0,6.666666666666667,5.4,5.571428571428571,5.2
66,20170611,12,1,10,12.0,0.9696969696969697,2.0,13.0,0,-1.0,32,33,0,1.0,7.0,5.2,5.0,4.4
67,20170612,12,0,18,3.0,1.0,2.0,12.0,1,1.0,33,33,0,12.0,7.333333333333333,6.6,5.714285714285714,5.4
68,20170613,12,0,18,3.0,0.9705882352941176,2.0,12.0,1,-1.0,33,34,0,3.0,5.333333333333333,7.2,5.857142857142857,5.5
69,20170614,12,0,18,7.0,1.0,2.0,11.0,1,1.0,34,34,0,3.0,6.0,5.6,5.571428571428571,5.3
70,20170615,12,0,11,2.0,1.0294117647058822,2.0,11.0,1,2.0,35,34,0,7.0,4.333333333333333,5.2,6.571428571428571,5.3
71,20170616,12,0,11,1.0,1.0,2.0,11.5,1,-1.0,35,35,0,2.0,4.0,5.4,5.285714285714286,5.3
72,20170617,12,0,11,9.0,0.9722222222222222,3.0,11.5,1,-2.0,35,36,0,1.0,3.3333333333333335,3.2,4.142857142857143,4.9
73,20170618,12,0,11,3.0,1.0,3.0,11.5,0,1.0,36,36,0,9.0,4.0,4.4,5.285714285714286,5.8
74,20170620,12,1,18,8.0,0.972972972972973,3.0,11.5,1,-1.0,36,37,0,3.0,4.333333333333333,4.4,4.0,5.0
75,20170621,12,1,18,4.0,1.0,2.0,12.0,1,1.0,37,37,0,8.0,6.666666666666667,4.6,4.714285714285714,4.9
76,20170622,12,1,18,10.0,0.9736842105263158,3.0,13.0,1,-1.0,37,38,0,4.0,5.0,5.0,4.857142857142857,5.2
77,20170623,12,1,3,4.0,1.0,3.0,13.0,1,1.0,38,38,0,10.0,7.333333333333333,6.8,5.285714285714286,5.0
78,20170624,12,1,3,6.0,0.9743589743589743,3.0,13.0,1,-1.0,38,39,0,4.0,6.0,5.8,5.571428571428571,5.1
