,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,13,0,22,14.0,0,1.0,0,0,0,0,0,0,4.753086419753086,4.795031055900621,4.795031055900621,4.795031055900621,4.795031055900621
2,20170404,13,0,22,0.0,1.0,1.0,0,1,1,1,0,0,14.0,14.0,14.0,14.0,14.0
3,20170405,13,0,22,3.0,1.0,2.0,1.0,1,-1,1,1,0,0.0,7.0,7.0,7.0,7.0
4,20170406,13,0,22,10.0,2.0,1.0,0,0,1,2,1,0,3.0,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667
5,20170407,13,1,8,1.0,3.0,1.0,0,0,2,3,1,0,10.0,4.333333333333333,6.75,6.75,6.75
6,20170408,13,1,8,2.0,1.5,3.0,1.0,1,-1,3,2,0,1.0,4.666666666666667,5.6,5.6,5.6
7,20170409,13,1,8,10.0,1.0,3.0,2.0,0,-2,3,3,0,2.0,4.333333333333333,3.2,5.0,5.0
8,20170410,13,1,4,2.0,1.3333333333333333,3.0,2.0,1,1,4,3,0,10.0,4.333333333333333,5.2,5.714285714285714,5.714285714285714
9,20170412,13,1,4,2.0,1.0,3.0,2.0,1,-1,4,4,0,2.0,4.666666666666667,5.0,4.0,5.25
10,20170413,13,1,4,0.0,1.25,3.0,1.5,0,1,5,4,0,2.0,4.666666666666667,3.4,4.285714285714286,4.888888888888889
11,20170414,13,0,0,7.0,1.0,3.0,2.0,1,-1,5,5,0,0.0,1.3333333333333333,3.2,3.857142857142857,4.4
12,20170415,13,0,0,8.0,1.2,3.0,1.0,1,1,6,5,0,7.0,3.0,4.2,3.4285714285714284,3.7
13,20170416,13,0,0,1.0,1.4,2.0,0.5,0,2,7,5,0,8.0,5.0,3.8,4.428571428571429,4.5
14,20170417,13,0,0,2.0,1.1666666666666667,3.0,1.5,1,-1,7,6,0,1.0,5.333333333333333,3.6,4.285714285714286,4.3
15,20170418,13,0,8,3.0,1.0,3.0,2.0,1,-2,7,7,0,2.0,3.6666666666666665,3.6,3.142857142857143,3.5
16,20170419,13,0,8,4.0,0.875,3.0,3.0,1,-3,7,8,0,3.0,2.0,4.2,3.2857142857142856,3.7
17,20170421,13,1,0,5.0,1.0,3.0,2.0,1,1,8,8,0,4.0,3.0,3.6,3.5714285714285716,3.9
18,20170422,13,1,0,5.0,0.8888888888888888,3.0,3.0,1,-1,8,9,0,5.0,4.0,3.0,4.285714285714286,3.4
19,20170423,13,1,0,6.0,0.8,3.0,4.0,0,-2,8,10,0,5.0,4.666666666666667,3.8,4.0,3.7
20,20170424,13,1,24,1.0,0.9,3.0,4.0,1,1,9,10,0,6.0,5.333333333333333,4.6,3.7142857142857144,4.1
21,20170425,13,1,24,2.0,0.8181818181818182,3.0,5.0,1,-1,9,11,0,1.0,4.0,4.2,3.7142857142857144,4.2
22,20170426,13,1,24,3.0,0.9090909090909091,3.0,4.0,1,1,10,11,0,2.0,3.0,3.8,3.7142857142857144,3.7
23,20170427,13,1,24,5.0,0.8333333333333334,3.0,4.0,0,-1,10,12,0,3.0,2.0,3.4,3.7142857142857144,3.2
24,20170428,13,0,20,5.0,0.9166666666666666,3.0,3.5,1,1,11,12,0,5.0,3.3333333333333335,3.4,3.857142857142857,3.6
25,20170429,13,0,20,6.0,1.0,3.0,3.0,1,2,12,12,0,5.0,4.333333333333333,3.2,3.857142857142857,3.9
26,20170430,13,0,20,5.0,1.0833333333333333,3.0,3.0,0,3,13,12,0,6.0,5.333333333333333,4.2,4.0,4.2
27,20170501,13,0,24,3.0,1.1666666666666667,3.0,2.0,1,4,14,12,0,5.0,5.333333333333333,4.8,3.857142857142857,4.3
