,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,14,1,29,2.0,0,1.0,0,0,0,0,0,0,4.802469135802469,4.761904761904762,4.761904761904761,4.761904761904761,4.761904761904761
2,20170405,14,1,29,4.0,0.0,4.0,1.0,1,-1,0,1,0,2.0,2.0,2.0,2.0,2.0
3,20170406,14,1,29,4.0,0.0,5.0,2.0,1,-2,0,2,0,4.0,3.0,3.0,3.0,3.0
4,20170407,14,1,17,7.0,0.5,3.0,1.0,1,1,1,2,0,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
5,20170408,14,1,17,8.0,1.0,2.0,1.0,1,2,2,2,0,7.0,5.0,4.25,4.25,4.25
6,20170409,14,1,17,2.0,1.5,1.0,0,1,3,3,2,0,8.0,6.333333333333333,5.0,5.0,5.0
7,20170411,14,0,1,8.0,1.0,1.0,0,1,-1,3,3,0,2.0,5.666666666666667,5.0,4.5,4.5
8,20170412,14,0,1,4.0,1.3333333333333333,3.0,0.5,1,1,4,3,0,8.0,6.0,5.8,5.0,5.0
9,20170413,14,0,17,8.0,1.0,3.0,1.5,1,-1,4,4,0,4.0,4.666666666666667,5.8,5.285714285714286,4.875
10,20170414,14,0,17,3.0,0.8,3.0,2.5,1,-2,4,5,0,8.0,6.666666666666667,6.0,5.857142857142857,5.222222222222222
11,20170415,14,0,17,5.0,1.0,3.0,1.5,1,1,5,5,0,3.0,5.0,5.0,5.714285714285714,5.0
12,20170416,14,0,17,4.0,1.2,2.0,0.5,0,2,6,5,0,5.0,5.333333333333333,5.6,5.428571428571429,5.3
13,20170417,14,1,23,1.0,1.4,1.0,0,1,3,7,5,0,4.0,4.0,4.8,4.857142857142857,5.3
14,20170418,14,1,23,5.0,1.1666666666666667,2.0,0.5,1,-1,7,6,0,1.0,3.3333333333333335,4.2,4.714285714285714,5.0
15,20170419,14,1,23,5.0,1.3333333333333333,2.0,0.5,0,1,8,6,0,5.0,3.3333333333333335,3.6,4.285714285714286,4.8
16,20170421,14,1,22,3.0,1.1428571428571428,2.0,1.5,1,-1,8,7,0,5.0,3.6666666666666665,4.0,4.428571428571429,4.5
17,20170422,14,1,22,6.0,1.0,2.0,3.0,1,-2,8,8,0,3.0,4.333333333333333,3.6,3.7142857142857144,4.6
18,20170423,14,1,22,7.0,1.125,2.0,3.0,0,1,9,8,0,6.0,4.666666666666667,4.0,4.142857142857143,4.4
19,20170426,14,1,20,4.0,1.25,2.0,3.0,1,2,10,8,0,7.0,5.333333333333333,5.2,4.428571428571429,4.7
20,20170427,14,1,20,2.0,1.1111111111111112,2.0,4.0,0,-1,10,9,0,4.0,5.666666666666667,5.0,4.428571428571429,4.3
21,20170428,14,0,21,2.0,1.0,3.0,5.0,1,-2,10,10,0,2.0,4.333333333333333,4.4,4.571428571428571,4.2
22,20170429,14,0,21,0.0,0.9090909090909091,3.0,5.0,1,-3,10,11,0,2.0,2.6666666666666665,4.2,4.142857142857143,3.9
23,20170430,14,0,21,10.0,0.8333333333333334,3.0,5.0,0,-4,10,12,0,0.0,1.3333333333333333,3.0,3.4285714285714284,3.5
24,20170501,14,0,26,2.0,0.9166666666666666,2.0,5.0,1,1,11,12,0,10.0,4.0,3.6,4.428571428571429,4.4
25,20170502,14,0,26,1.0,0.8461538461538461,3.0,5.5,1,-1,11,13,0,2.0,4.0,3.2,3.857142857142857,4.1
26,20170503,14,1,26,10.0,0.7857142857142857,3.0,5.5,1,-2,11,14,0,1.0,4.333333333333333,3.0,3.0,3.7
27,20170504,14,1,26,1.0,0.8571428571428571,2.0,5.5,1,1,12,14,0,10.0,4.333333333333333,4.6,3.857142857142857,4.4
28,20170505,14,1,17,7.0,0.8,2.0,6.5,1,-1,12,15,0,1.0,4.0,4.8,3.7142857142857144,3.9
29,20170506,14,1,17,3.0,0.75,3.0,7.5,1,-2,12,16,0,7.0,6.0,4.2,4.428571428571429,3.9
30,20170507,14,1,17,7.0,0.7058823529411765,3.0,8.5,0,-3,12,17,0,3.0,3.6666666666666665,4.4,4.857142857142857,3.8
31,20170508,14,0,25,4.0,0.7647058823529411,3.0,7.5,1,1,13,17,0,7.0,5.666666666666667,5.6,4.428571428571429,4.3
32,20170509,14,0,25,5.0,0.7222222222222222,4.0,7.5,1,-1,13,18,0,4.0,4.666666666666667,4.4,4.714285714285714,4.5
33,20170510,14,0,25,5.0,0.6842105263157895,4.0,7.5,1,-2,13,19,0,5.0,5.333333333333333,5.2,5.285714285714286,5.0
34,20170512,14,0,1,4.0,0.65,4.0,8.5,1,-3,13,20,0,5.0,4.666666666666667,4.8,4.571428571428571,4.5
35,20170513,14,0,1,1.0,0.6190476190476191,4.0,9.0,1,-4,13,21,0,4.0,4.666666666666667,5.0,5.0,4.7
