,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,15,0,8,5.0,0,1.0,0,0,0,0,0,0,4.518518518518518,4.505175983436853,4.505175983436853,4.505175983436853,4.505175983436853
2,20170404,15,0,8,5.0,0.0,2.0,1.0,1,-1,0,1,0,5.0,5.0,5.0,5.0,5.0
3,20170405,15,0,8,6.0,0.0,5.0,1.0,1,-2,0,2,0,5.0,5.0,5.0,5.0,5.0
4,20170406,15,0,8,1.0,0.5,4.0,0.5,0,1,1,2,0,6.0,5.333333333333333,5.333333333333333,5.333333333333333,5.333333333333333
5,20170407,15,0,4,2.0,0.3333333333333333,4.0,1.5,1,-1,1,3,0,1.0,4.0,4.25,4.25,4.25
6,20170408,15,0,4,6.0,0.6666666666666666,3.0,1.5,1,1,2,3,0,2.0,3.0,3.8,3.8,3.8
7,20170409,15,0,4,4.0,0.5,5.0,1.5,0,-1,2,4,0,6.0,3.0,4.0,4.166666666666667,4.166666666666667
8,20170411,15,1,28,4.0,0.4,5.0,2.5,1,-2,2,5,0,4.0,4.0,3.8,4.142857142857143,4.142857142857143
9,20170412,15,1,28,2.0,0.6,4.0,3.0,1,1,3,5,0,4.0,4.666666666666667,3.4,4.0,4.125
10,20170413,15,1,6,5.0,0.8,3.0,3.0,1,2,4,5,0,2.0,3.3333333333333335,3.6,3.5714285714285716,3.888888888888889
11,20170414,15,1,6,10.0,1.0,3.0,2.0,1,3,5,5,0,5.0,3.6666666666666665,4.2,3.4285714285714284,4.0
12,20170415,15,1,6,5.0,1.2,3.0,1.0,0,4,6,5,0,10.0,5.666666666666667,5.0,4.714285714285714,4.5
13,20170416,15,1,6,4.0,1.0,3.0,2.0,0,-1,6,6,0,5.0,6.666666666666667,5.2,5.142857142857143,4.5
14,20170417,15,1,4,6.0,1.1666666666666667,2.0,1.0,1,1,7,6,0,4.0,6.333333333333333,5.2,4.857142857142857,4.3
15,20170418,15,1,4,7.0,1.3333333333333333,2.0,0.5,1,2,8,6,0,6.0,5.0,6.0,5.142857142857143,4.8
16,20170419,15,1,4,4.0,1.1428571428571428,2.0,1.5,0,-1,8,7,0,7.0,5.666666666666667,6.4,5.571428571428571,5.3
17,20170420,15,0,25,7.0,1.0,3.0,1.5,1,-2,8,8,0,4.0,5.666666666666667,5.2,5.857142857142857,5.1
18,20170421,15,0,25,3.0,1.125,2.0,0.5,1,1,9,8,0,7.0,6.0,5.6,6.142857142857143,5.4
19,20170422,15,0,25,1.0,1.0,3.0,1.0,1,-1,9,9,0,3.0,4.666666666666667,5.4,5.142857142857143,5.3
20,20170423,15,0,25,4.0,0.9,3.0,2.0,0,-2,9,10,0,1.0,3.6666666666666665,4.4,4.571428571428571,5.2
21,20170424,15,0,6,11.0,0.8181818181818182,4.0,2.0,1,-3,9,11,0,4.0,2.6666666666666665,3.8,4.571428571428571,5.1
22,20170425,15,0,6,9.0,0.9090909090909091,3.0,2.0,1,1,10,11,0,11.0,5.333333333333333,5.2,5.285714285714286,5.2
23,20170426,15,0,6,9.0,1.0,2.0,2.0,0,2,11,11,0,9.0,8.0,5.6,5.571428571428571,5.6
24,20170428,15,0,1,8.0,1.0909090909090908,2.0,1.0,1,3,12,11,0,9.0,9.666666666666666,6.8,6.285714285714286,6.1
25,20170429,15,0,1,3.0,1.0,3.0,1.0,1,-1,12,12,0,8.0,8.666666666666666,8.2,6.428571428571429,6.3
26,20170430,15,0,1,4.0,0.9230769230769231,3.0,2.0,0,-2,12,13,0,3.0,6.666666666666667,8.0,6.428571428571429,5.9
27,20170501,15,1,25,7.0,1.0,2.0,1.0,1,1,13,13,0,4.0,5.0,6.6,6.857142857142857,5.9
28,20170502,15,1,25,1.0,1.0769230769230769,1.0,0,1,2,14,13,0,7.0,4.666666666666667,6.2,7.285714285714286,5.9
29,20170504,15,1,25,5.0,1.0,2.0,1.0,1,-1,14,14,0,1.0,4.0,4.6,5.857142857142857,5.7
30,20170505,15,1,21,0.0,1.0714285714285714,2.0,1.5,1,1,15,14,0,5.0,4.333333333333333,4.0,5.285714285714286,6.1
31,20170506,15,1,21,1.0,1.0,3.0,1.5,1,-1,15,15,0,0.0,2.0,3.4,4.0,5.7
32,20170507,15,1,21,6.0,0.9375,4.0,1.5,0,-2,15,16,0,1.0,2.0,2.8,3.0,4.7
33,20170509,15,0,3,11.0,1.0,4.0,1.5,1,1,16,16,0,6.0,2.3333333333333335,2.6,3.4285714285714284,4.4
