,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,16,0,11,7.0,0,1.0,0,0,0.0,0,0,0,5.030864197530864,5.055900621118012,5.080745341614906,5.085536823425022,5.066326530612244
2,20170405,16,0,11,9.0,1.0,1.0,0,0,1.0,1,0,0,7.0,7.0,7.0,7.0,7.0
3,20170406,16,0,11,5.0,2.0,2.0,0.5,0,2.0,2,0,0,9.0,8.0,8.0,8.0,8.0
4,20170407,16,1,5,3.0,3.0,1.0,0,1,3.0,3,0,0,5.0,7.0,7.0,7.0,7.0
5,20170408,16,1,5,2.0,4.0,1.0,-1.0,0,4.0,4,0,0,3.0,5.666666666666667,6.0,6.0,6.0
6,20170409,16,1,5,4.0,4.0,1.0,-0.5,0,-1.0,4,1,0,2.0,3.3333333333333335,5.2,5.2,5.2
7,20170411,16,1,9,1.0,5.0,1.0,-1.5,0,1.0,5,1,0,4.0,3.0,4.6,5.0,5.0
8,20170412,16,1,9,3.0,2.5,1.0,0,0,-1.0,5,2,0,1.0,2.3333333333333335,3.0,4.428571428571429,4.428571428571429
9,20170413,16,1,9,11.0,1.6666666666666667,2.0,1.0,0,-2.0,5,3,0,3.0,2.6666666666666665,2.6,3.857142857142857,4.25
10,20170414,16,0,5,1.0,2.0,1.0,0,1,1.0,6,3,0,11.0,5.0,4.2,4.142857142857143,5.0
11,20170415,16,0,5,6.0,1.5,2.0,1.0,0,-1.0,6,4,0,1.0,5.0,4.0,3.5714285714285716,4.6
12,20170416,16,0,5,1.0,1.75,1.0,0,0,1.0,7,4,0,6.0,6.0,4.4,4.0,4.5
13,20170417,16,0,7,1.0,1.4,2.0,1.0,1,-1.0,7,5,0,1.0,2.6666666666666665,4.4,3.857142857142857,3.7
14,20170418,16,0,7,4.0,1.1666666666666667,2.0,1.5,1,-2.0,7,6,0,1.0,2.6666666666666665,4.0,3.4285714285714284,3.3
15,20170420,16,0,7,2.0,1.0,3.0,1.5,0,-3.0,7,7,0,4.0,2.0,2.6,3.857142857142857,3.4
16,20170421,16,0,9,6.0,0.875,4.0,1.0,1,-4.0,7,8,0,2.0,2.3333333333333335,2.8,3.7142857142857144,3.4
17,20170422,16,0,9,4.0,1.0,2.0,1.0,0,1.0,8,8,0,6.0,4.0,2.8,3.0,3.6
18,20170423,16,0,9,4.0,0.8888888888888888,3.0,2.0,0,-1.0,8,9,0,4.0,4.0,3.4,3.4285714285714284,3.9
19,20170424,16,1,27,3.0,0.8,4.0,2.0,1,-2.0,8,10,0,4.0,4.666666666666667,4.0,3.142857142857143,4.0
20,20170425,16,1,27,8.0,0.9,4.0,1.5,1,1.0,9,10,0,3.0,3.6666666666666665,3.8,3.4285714285714284,3.2
21,20170426,16,1,27,3.0,1.0,4.0,1.5,1,2.0,10,10,0,8.0,5.0,5.0,4.428571428571429,3.9
22,20170428,16,1,11,6.0,0.9090909090909091,4.0,1.5,1,-1.0,10,11,0,3.0,4.666666666666667,4.4,4.285714285714286,3.6
23,20170430,16,1,11,7.0,1.0,3.0,1.5,0,1.0,11,11,0,6.0,5.666666666666667,4.8,4.857142857142857,4.1
24,20170502,16,0,19,9.0,1.0909090909090908,3.0,1.5,1,2.0,12,11,0,7.0,5.333333333333333,5.4,5.0,4.7
25,20170503,16,0,19,7.0,1.1818181818181819,2.0,0.5,1,3.0,13,11,0,9.0,7.333333333333333,6.6,5.714285714285714,5.2
26,20170504,16,0,19,5.0,1.2727272727272727,1.0,0,0,4.0,14,11,0,7.0,7.666666666666667,6.4,6.142857142857143,5.7
27,20170505,16,0,3,4.0,1.1666666666666667,3.0,0.5,1,-1.0,14,12,0,5.0,7.0,6.8,6.428571428571429,5.6
28,20170506,16,0,3,1.0,1.25,1.0,-0.5,0,1.0,15,12,0,4.0,5.333333333333333,6.4,5.857142857142857,5.6
29,20170507,16,0,3,6.0,1.1538461538461537,2.0,0.5,0,-1.0,15,13,0,1.0,3.3333333333333335,5.2,5.571428571428571,5.3
30,20170509,16,1,5,7.0,1.0714285714285714,2.0,1.5,1,-2.0,15,14,0,6.0,3.6666666666666665,4.6,5.571428571428571,5.6
31,20170511,16,1,5,7.0,1.1428571428571428,2.0,1.0,1,1.0,16,14,0,7.0,4.666666666666667,4.6,5.571428571428571,5.5
32,20170512,16,1,7,1.0,1.2142857142857142,1.0,0,1,2.0,17,14,0,7.0,6.666666666666667,5.0,5.285714285714286,5.9
33,20170513,16,1,7,4.0,1.2857142857142858,1.0,-1.0,0,3.0,18,14,0,1.0,5.0,4.4,4.428571428571429,5.4
34,20170514,16,1,7,3.0,1.3571428571428572,1.0,-2.0,0,4.0,19,14,0,4.0,4.0,5.0,4.285714285714286,5.1
35,20170516,16,0,8,3.0,1.2666666666666666,1.0,-1.0,1,-1.0,19,15,0,3.0,2.6666666666666665,4.4,4.142857142857143,4.5
36,20170518,16,0,8,1.0,1.1875,1.0,-0.5,0,-2.0,19,16,1,3.0,3.3333333333333335,3.6,4.428571428571429,4.1
37,20170518,16,0,8,2.0,1.1176470588235294,1.0,-1.0,1,-3.0,19,17,1,1.0,2.3333333333333335,2.4,3.7142857142857144,3.7
38,20170519,16,0,11,4.0,1.1764705882352942,1.0,-1.0,1,1.0,20,17,0,2.0,2.0,2.6,3.0,3.5
39,20170521,16,0,11,4.0,1.2352941176470589,1.0,-1.0,0,2.0,21,17,1,4.0,2.3333333333333335,2.6,2.5714285714285716,3.8
40,20170521,16,0,11,8.0,1.1666666666666667,1.0,0,1,-1.0,21,18,1,4.0,3.3333333333333335,2.8,3.0,3.6
41,20170522,16,1,2,14.0,1.2222222222222223,1.0,0,1,1.0,22,18,0,8.0,5.333333333333333,3.8,3.5714285714285716,3.7
42,20170523,16,1,2,2.0,1.2777777777777777,1.0,-1.0,1,2.0,23,18,0,14.0,8.666666666666666,6.4,5.142857142857143,4.4
43,20170524,16,1,2,4.0,1.3333333333333333,1.0,-1.0,0,3.0,24,18,0,2.0,8.0,6.4,5.0,4.5
44,20170526,16,0,26,2.0,1.3888888888888888,1.0,-2.0,1,4.0,25,18,0,4.0,6.666666666666667,6.4,5.428571428571429,4.5
45,20170527,16,0,26,5.0,1.3157894736842106,1.0,-2.0,0,-1.0,25,19,0,2.0,2.6666666666666665,6.0,5.428571428571429,4.4
46,20170528,16,0,26,6.0,1.368421052631579,1.0,-3.0,0,1.0,26,19,0,5.0,3.6666666666666665,5.4,5.571428571428571,4.6
47,20170529,16,0,10,8.0,1.3,1.0,-2.0,0,-1.0,26,20,0,6.0,4.333333333333333,3.8,5.857142857142857,5.1
48,20170530,16,0,10,2.0,1.2380952380952381,1.0,-1.0,1,-2.0,26,21,0,8.0,6.333333333333333,5.0,5.857142857142857,5.7
49,20170531,16,0,10,6.0,1.1818181818181819,1.0,0,0,-3.0,26,22,0,2.0,5.333333333333333,4.6,4.142857142857143,5.5
50,20170601,16,1,12,4.0,1.1304347826086956,1.0,0,1,-4.0,26,23,0,6.0,5.333333333333333,5.4,4.714285714285714,5.7
51,20170602,16,1,12,11.0,1.173913043478261,1.0,0,1,1.0,27,23,0,4.0,4.0,5.2,4.714285714285714,5.3
52,20170603,16,1,12,2.0,1.2173913043478262,1.0,-1.0,1,2.0,28,23,0,11.0,7.0,6.2,6.0,5.0
53,20170604,16,1,12,3.0,1.1666666666666667,1.0,-1.0,0,-1.0,28,24,0,2.0,5.666666666666667,5.0,5.571428571428571,5.0
54,20170606,16,1,23,3.0,1.2083333333333333,1.0,-1.0,1,1.0,29,24,0,3.0,5.333333333333333,5.2,5.142857142857143,4.9
55,20170607,16,1,23,5.0,1.16,1.0,-1.0,1,-1.0,29,25,0,3.0,2.6666666666666665,4.6,4.428571428571429,5.0
56,20170608,16,1,23,2.0,1.1153846153846154,1.0,-1.0,1,-2.0,29,26,0,5.0,3.6666666666666665,4.8,4.857142857142857,5.0
57,20170609,16,1,24,4.0,1.1538461538461537,1.0,-1.5,1,1.0,30,26,0,2.0,3.3333333333333335,3.0,4.285714285714286,4.6
58,20170610,16,1,24,3.0,1.1923076923076923,1.0,-1.5,0,2.0,31,26,0,4.0,3.6666666666666665,3.4,4.285714285714286,4.2
59,20170611,16,1,24,8.0,1.2307692307692308,1.0,-2.5,0,3.0,32,26,0,3.0,3.0,3.4,3.142857142857143,4.3
60,20170612,16,0,23,3.0,1.1851851851851851,1.0,-1.5,1,-1.0,32,27,0,8.0,5.0,4.4,4.0,4.5
61,20170613,16,0,23,20.0,1.1428571428571428,1.0,-1.0,1,-2.0,32,28,0,3.0,4.666666666666667,4.0,4.0,4.4
