,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,17,0,1,6.0,0,1.0,0,0,0,0,0,0,4.537037037037037,4.564182194616977,4.564182194616977,4.564182194616977,4.564182194616977
2,20170405,17,0,1,1.0,1.0,1.0,0,1,1,1,0,0,6.0,6.0,6.0,6.0,6.0
3,20170406,17,0,1,6.0,1.0,2.0,1.0,1,-1,1,1,0,1.0,3.5,3.5,3.5,3.5
4,20170407,17,0,14,2.0,2.0,1.0,0,1,1,2,1,0,6.0,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333
5,20170408,17,0,14,1.0,1.0,2.0,1.0,1,-1,2,2,0,2.0,3.0,3.75,3.75,3.75
6,20170409,17,0,14,5.0,0.6666666666666666,3.0,1.0,1,-2,2,3,0,1.0,3.0,3.2,3.2,3.2
7,20170410,17,1,20,4.0,1.0,1.0,0,1,1,3,3,0,5.0,2.6666666666666665,3.0,3.5,3.5
8,20170411,17,1,20,14.0,1.3333333333333333,1.0,0,1,2,4,3,0,4.0,3.3333333333333335,3.6,3.5714285714285716,3.5714285714285716
9,20170412,17,1,20,5.0,1.6666666666666667,1.0,0,1,3,5,3,0,14.0,7.666666666666667,5.2,4.714285714285714,4.875
10,20170413,17,1,14,9.0,2.0,1.0,-1.0,1,4,6,3,0,5.0,7.666666666666667,5.8,5.285714285714286,4.888888888888889
11,20170414,17,1,14,2.0,2.3333333333333335,1.0,-1.5,1,5,7,3,0,9.0,9.333333333333334,7.4,5.714285714285714,5.3
12,20170415,17,1,14,4.0,1.75,1.0,-0.5,1,-1,7,4,0,2.0,5.333333333333333,6.8,5.714285714285714,4.9
13,20170416,17,1,14,2.0,1.4,1.0,-0.5,0,-2,7,5,0,4.0,5.0,6.8,6.142857142857143,5.2
14,20170418,17,0,20,2.0,1.1666666666666667,3.0,0.5,1,-3,7,6,0,2.0,2.6666666666666665,4.4,5.714285714285714,4.8
15,20170419,17,0,20,5.0,1.0,3.0,1.5,1,-4,7,7,0,2.0,2.6666666666666665,3.8,5.428571428571429,4.8
16,20170420,17,0,20,4.0,1.1428571428571428,2.0,1.5,1,1,8,7,0,5.0,3.0,3.0,4.142857142857143,5.2
17,20170421,17,0,29,3.0,1.0,3.0,2.5,1,-1,8,8,0,4.0,3.6666666666666665,3.4,4.0,5.1
18,20170422,17,0,29,1.0,0.8888888888888888,3.0,3.5,0,-2,8,9,0,3.0,4.0,3.2,3.142857142857143,5.0
19,20170423,17,0,29,3.0,0.8,4.0,4.5,1,-3,8,10,0,1.0,2.6666666666666665,3.0,3.0,3.7
20,20170426,17,0,1,2.0,0.7272727272727273,4.0,5.5,1,-4,8,11,0,3.0,2.3333333333333335,3.2,2.857142857142857,3.5
21,20170427,17,0,1,5.0,0.6666666666666666,4.0,6.5,0,-5,8,12,0,2.0,2.0,2.6,2.857142857142857,2.8
22,20170428,17,1,29,7.0,0.6153846153846154,5.0,7.5,1,-6,8,13,0,5.0,3.3333333333333335,2.8,3.2857142857142856,3.1
23,20170429,17,1,29,5.0,0.6923076923076923,5.0,6.5,0,1,9,13,0,7.0,4.666666666666667,3.6,3.5714285714285716,3.4
24,20170430,17,1,29,5.0,0.7692307692307693,5.0,5.5,0,2,10,13,0,5.0,5.666666666666667,4.4,3.7142857142857144,3.7
25,20170501,17,1,1,7.0,0.7142857142857143,5.0,6.5,1,-1,10,14,0,5.0,5.666666666666667,4.8,4.0,4.0
26,20170502,17,1,1,7.0,0.7857142857142857,4.0,6.0,1,1,11,14,0,7.0,5.666666666666667,5.8,4.857142857142857,4.2
27,20170503,17,1,1,16.0,0.7333333333333333,5.0,6.0,1,-1,11,15,0,7.0,6.333333333333333,6.2,5.428571428571429,4.5
28,20170505,17,0,14,8.0,0.8,4.0,6.0,1,1,12,15,0,16.0,10.0,8.0,7.428571428571429,5.8
29,20170506,17,0,14,11.0,0.8666666666666667,2.0,6.5,1,2,13,15,0,8.0,10.333333333333334,8.6,7.857142857142857,6.5
30,20170507,17,0,14,0.0,0.9333333333333333,2.0,6.5,0,3,14,15,0,11.0,11.666666666666666,9.8,8.428571428571429,7.3
31,20170508,17,0,24,4.0,0.875,2.0,6.5,1,-1,14,16,0,0.0,6.333333333333333,8.4,7.714285714285714,7.1
32,20170509,17,0,24,6.0,0.9375,2.0,5.5,1,1,15,16,0,4.0,5.0,7.8,7.571428571428571,7.0
33,20170510,17,0,24,5.0,1.0,2.0,4.5,0,2,16,16,0,6.0,3.3333333333333335,5.8,7.428571428571429,6.9
34,20170512,17,1,15,4.0,0.9411764705882353,2.0,5.5,1,-1,16,17,0,5.0,5.0,5.2,7.142857142857143,6.9
35,20170513,17,1,15,4.0,0.8888888888888888,2.0,6.0,1,-2,16,18,0,4.0,5.0,3.8,5.428571428571429,6.8
36,20170514,17,1,15,9.0,0.8421052631578947,2.0,7.0,0,-3,16,19,0,4.0,4.333333333333333,4.6,4.857142857142857,6.5
37,20170515,17,1,0,3.0,0.8,2.0,7.5,1,-4,16,20,0,9.0,5.666666666666667,5.6,4.571428571428571,6.7
38,20170516,17,1,0,4.0,0.7619047619047619,2.0,8.0,1,-5,16,21,0,3.0,5.333333333333333,5.0,5.0,5.4
39,20170517,17,1,0,4.0,0.7272727272727273,2.0,9.0,0,-6,16,22,0,4.0,5.333333333333333,4.8,5.0,5.0
40,20170519,17,0,12,3.0,0.6956521739130435,3.0,9.0,1,-7,16,23,0,4.0,3.6666666666666665,4.8,4.714285714285714,4.3
41,20170520,17,0,12,7.0,0.7391304347826086,3.0,7.5,1,1,17,23,0,3.0,3.6666666666666665,4.6,4.428571428571429,4.6
42,20170521,17,0,12,5.0,0.782608695652174,3.0,6.5,0,2,18,23,0,7.0,4.666666666666667,4.2,4.857142857142857,4.9
43,20170523,17,0,22,9.0,0.75,3.0,7.5,1,-1,18,24,0,5.0,5.0,4.6,5.0,4.8
44,20170524,17,0,22,5.0,0.7916666666666666,3.0,7.5,1,1,19,24,0,9.0,7.0,5.6,5.0,5.2
45,20170525,17,0,22,3.0,0.76,3.0,8.5,1,-1,19,25,0,5.0,6.333333333333333,5.8,5.285714285714286,5.3
46,20170526,17,1,21,8.0,0.7307692307692307,3.0,8.5,1,-2,19,26,0,3.0,5.666666666666667,5.8,5.142857142857143,5.2
47,20170527,17,1,21,4.0,0.7692307692307693,3.0,8.5,1,1,20,26,0,8.0,5.333333333333333,6.0,5.714285714285714,5.1
48,20170528,17,1,21,7.0,0.7407407407407407,3.0,9.5,1,-1,20,27,0,4.0,5.0,5.8,5.857142857142857,5.2
49,20170529,17,0,15,4.0,0.7777777777777778,2.0,8.5,0,1,21,27,0,7.0,6.333333333333333,5.4,5.857142857142857,5.5
50,20170530,17,0,15,5.0,0.8148148148148148,2.0,8.5,1,2,22,27,0,4.0,5.0,5.2,5.714285714285714,5.5
51,20170531,17,0,15,1.0,0.8518518518518519,2.0,8.5,1,3,23,27,0,5.0,5.333333333333333,5.6,5.142857142857143,5.7
