,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170402,18,1,26,3.0,0,1.0,0,0,0,0,0,0,5.296296296296297,5.3271221532091095,5.317391304347827,5.300680272108844,5.283818889874791
2,20170404,18,1,26,5.0,0.0,5.0,1.0,1,-1,0,1,0,3.0,3.0,3.0,3.0,3.0
3,20170405,18,1,26,1.0,1.0,3.0,0.5,1,1,1,1,0,5.0,4.0,4.0,4.0,4.0
4,20170407,18,1,2,5.0,0.5,4.0,1.5,1,-1,1,2,0,1.0,3.0,3.0,3.0,3.0
5,20170408,18,1,2,4.0,0.3333333333333333,4.0,2.5,0,-2,1,3,0,5.0,3.6666666666666665,3.5,3.5,3.5
6,20170409,18,1,2,7.0,0.25,4.0,3.5,0,-3,1,4,0,4.0,3.3333333333333335,3.6,3.6,3.6
7,20170410,18,0,26,8.0,0.5,4.0,2.5,0,1,2,4,0,7.0,5.333333333333333,4.4,4.166666666666667,4.166666666666667
8,20170412,18,0,26,8.0,0.75,4.0,2.0,0,2,3,4,0,8.0,6.333333333333333,5.0,4.714285714285714,4.714285714285714
9,20170413,18,0,26,3.0,1.0,3.0,1.5,1,3,4,4,0,8.0,7.666666666666667,6.4,5.428571428571429,5.125
10,20170414,18,0,25,4.0,1.25,2.0,1.5,1,4,5,4,0,3.0,6.333333333333333,6.0,5.142857142857143,4.888888888888889
11,20170415,18,0,25,3.0,1.5,2.0,1.5,0,5,6,4,0,4.0,5.0,6.0,5.571428571428571,4.8
12,20170416,18,0,25,9.0,1.75,2.0,0.5,1,6,7,4,0,3.0,3.3333333333333335,5.2,5.285714285714286,4.8
13,20170417,18,0,5,7.0,2.0,2.0,0.5,1,7,8,4,0,9.0,5.333333333333333,5.4,6.0,5.2
14,20170418,18,0,5,1.0,2.25,1.0,0,1,8,9,4,0,7.0,6.333333333333333,5.2,6.0,5.8
15,20170419,18,0,5,9.0,1.8,1.0,0,1,-1,9,5,0,1.0,5.666666666666667,4.8,5.0,5.4
16,20170421,18,1,21,3.0,2.0,1.0,0,1,1,10,5,0,9.0,5.666666666666667,5.8,5.142857142857143,5.9
17,20170422,18,1,21,11.0,1.6666666666666667,2.0,1.5,0,-1,10,6,0,3.0,4.333333333333333,5.8,5.142857142857143,5.5
18,20170423,18,1,21,1.0,1.8333333333333333,2.0,1.5,0,1,11,6,0,11.0,7.666666666666667,6.2,6.142857142857143,5.8
19,20170426,18,1,3,3.0,1.5714285714285714,2.0,1.5,1,-1,11,7,0,1.0,5.0,5.0,5.857142857142857,5.1
20,20170427,18,1,3,3.0,1.7142857142857142,2.0,1.5,1,1,12,7,0,3.0,5.0,5.4,5.0,5.1
21,20170428,18,0,2,14.0,1.8571428571428572,2.0,1.0,1,2,13,7,0,3.0,2.3333333333333335,4.2,4.428571428571429,5.0
22,20170429,18,0,2,12.0,2.0,1.0,0,0,3,14,7,0,14.0,6.666666666666667,6.4,6.285714285714286,6.1
23,20170430,18,0,2,4.0,2.142857142857143,1.0,-1.0,0,4,15,7,0,12.0,9.666666666666666,6.6,6.714285714285714,6.4
24,20170501,18,0,28,1.0,1.875,1.0,0,1,-1,15,8,0,4.0,10.0,7.2,6.857142857142857,6.1
25,20170502,18,0,28,11.0,1.6666666666666667,2.0,1.0,1,-2,15,9,0,1.0,5.666666666666667,6.8,5.428571428571429,6.1
26,20170503,18,0,28,8.0,1.7777777777777777,1.0,0,1,1,16,9,0,11.0,5.333333333333333,8.4,6.857142857142857,6.3
27,20170505,18,1,4,3.0,1.8888888888888888,1.0,-1.0,0,2,17,9,0,8.0,6.666666666666667,7.2,7.571428571428571,6.8
28,20170506,18,1,4,11.0,2.0,1.0,-0.5,1,3,18,9,0,3.0,7.333333333333333,5.4,7.571428571428571,6.0
29,20170507,18,1,4,5.0,2.111111111111111,1.0,-0.5,1,4,19,9,0,11.0,7.333333333333333,6.8,7.142857142857143,7.0
30,20170508,18,1,6,10.0,2.2222222222222223,1.0,-0.5,1,5,20,9,0,5.0,6.333333333333333,7.6,6.142857142857143,7.2
31,20170509,18,1,6,3.0,2.3333333333333335,1.0,-0.5,1,6,21,9,0,10.0,8.666666666666666,7.4,7.0,7.9
32,20170511,18,0,10,2.0,2.1,2.0,0.5,1,-1,21,10,0,3.0,6.0,6.4,7.285714285714286,6.8
33,20170512,18,0,10,1.0,1.9090909090909092,2.0,0.5,1,-2,21,11,0,2.0,5.0,6.2,6.0,5.8
34,20170514,18,0,10,11.0,1.75,2.0,0.5,0,-3,21,12,1,1.0,2.0,4.2,5.0,5.5
35,20170514,18,0,10,7.0,1.8333333333333333,1.0,-0.5,1,1,22,12,1,11.0,4.666666666666667,5.4,6.142857142857143,6.5
36,20170516,18,1,11,7.0,1.6923076923076923,1.0,-0.5,1,-1,22,13,0,7.0,6.333333333333333,4.8,5.571428571428571,6.1
37,20170517,18,1,11,11.0,1.7692307692307692,1.0,-0.5,1,1,23,13,0,7.0,8.333333333333334,5.6,5.857142857142857,6.0
38,20170518,18,1,11,1.0,1.8461538461538463,1.0,-1.5,1,2,24,13,0,11.0,8.333333333333334,7.4,6.0,6.8
