,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,20,1,6,4.0,0,1.0,0,0,0.0,0,0,0,4.2592592592592595,4.209109730848862,4.1910973084886125,4.195563442768411,4.213600512668835
2,20170405,20,1,6,0.0,1.0,1.0,0,1,1.0,1,0,0,4.0,4.0,4.0,4.0,4.0
3,20170406,20,1,6,4.0,1.0,2.0,1.0,0,-1.0,1,1,0,0.0,2.0,2.0,2.0,2.0
4,20170407,20,0,29,6.0,0.5,3.0,1.0,0,-2.0,1,2,0,4.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
5,20170408,20,0,29,17.0,0.3333333333333333,4.0,2.0,1,-3.0,1,3,0,6.0,3.3333333333333335,3.5,3.5,3.5
6,20170409,20,0,29,4.0,0.6666666666666666,3.0,1.0,0,1.0,2,3,0,17.0,9.0,6.2,6.2,6.2
7,20170410,20,0,17,3.0,1.0,1.0,0,1,2.0,3,3,0,4.0,9.0,6.2,5.833333333333333,5.833333333333333
8,20170411,20,0,17,4.0,0.75,4.0,1.0,1,-1.0,3,4,0,3.0,8.0,6.8,5.428571428571429,5.428571428571429
9,20170412,20,0,17,4.0,0.6,4.0,2.0,1,-2.0,3,5,0,4.0,3.6666666666666665,6.8,5.428571428571429,5.25
10,20170414,20,1,29,2.0,0.5,4.0,3.0,0,-3.0,3,6,0,4.0,3.6666666666666665,6.4,6.0,5.111111111111111
11,20170415,20,1,29,4.0,0.42857142857142855,5.0,3.5,0,-4.0,3,7,0,2.0,3.3333333333333335,3.4,5.714285714285714,4.8
12,20170416,20,1,29,4.0,0.5714285714285714,5.0,2.5,0,1.0,4,7,0,4.0,3.3333333333333335,3.4,5.428571428571429,4.8
13,20170418,20,1,17,6.0,0.5,5.0,3.0,1,-1.0,4,8,0,4.0,3.3333333333333335,3.6,3.5714285714285716,5.2
14,20170419,20,1,17,4.0,0.625,5.0,3.0,1,1.0,5,8,0,6.0,4.666666666666667,4.0,3.857142857142857,5.4
15,20170420,20,1,17,6.0,0.5555555555555556,5.0,4.0,1,-1.0,5,9,0,4.0,4.666666666666667,4.0,4.0,5.2
16,20170421,20,0,1,4.0,0.6666666666666666,4.0,4.0,1,1.0,6,9,0,6.0,5.333333333333333,4.8,4.285714285714286,4.1
17,20170422,20,0,1,4.0,0.7777777777777778,4.0,4.0,1,2.0,7,9,0,4.0,4.666666666666667,4.8,4.285714285714286,4.1
18,20170423,20,0,1,5.0,0.8888888888888888,3.0,4.0,0,3.0,8,9,0,4.0,4.666666666666667,4.8,4.571428571428571,4.2
19,20170426,20,0,14,7.0,1.0,3.0,4.0,1,4.0,9,9,0,5.0,4.333333333333333,4.6,4.714285714285714,4.3
20,20170427,20,0,14,3.0,1.1111111111111112,2.0,4.0,0,5.0,10,9,0,7.0,5.333333333333333,5.2,5.142857142857143,4.6
21,20170428,20,1,13,3.0,1.2222222222222223,2.0,4.0,1,6.0,11,9,0,3.0,5.0,4.6,4.714285714285714,4.7
22,20170429,20,1,13,5.0,1.1,2.0,4.0,1,-1.0,11,10,0,3.0,4.333333333333333,4.4,4.571428571428571,4.6
23,20170430,20,1,13,3.0,1.0,2.0,4.0,0,-2.0,11,11,0,5.0,3.6666666666666665,4.6,4.428571428571429,4.7
24,20170501,20,1,4,10.0,0.9166666666666666,2.0,5.0,1,-3.0,11,12,0,3.0,3.6666666666666665,4.2,4.285714285714286,4.4
25,20170502,20,1,4,3.0,1.0,2.0,4.5,1,1.0,12,12,0,10.0,6.0,4.8,5.142857142857143,5.0
26,20170503,20,1,4,4.0,0.9230769230769231,2.0,4.5,1,-1.0,12,13,0,3.0,5.333333333333333,4.8,4.857142857142857,4.7
