,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,21,1,3,3.0,0,1.0,0,0,0.0,0,0,0,4.1234567901234565,4.077639751552795,4.0724637681159415,4.057823129251701,4.0303633047421865
2,20170405,21,1,3,0.0,0.0,2.0,1.0,1,-1.0,0,1,0,3.0,3.0,3.0,3.0,3.0
3,20170407,21,0,1,5.0,0.0,5.0,1.0,0,-2.0,0,2,0,0.0,1.5,1.5,1.5,1.5
4,20170408,21,0,1,6.0,0.5,3.0,1.5,1,1.0,1,2,0,5.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
5,20170409,21,0,1,6.0,1.0,3.0,0.5,0,2.0,2,2,0,6.0,3.6666666666666665,3.5,3.5,3.5
6,20170410,21,0,6,1.0,1.5,3.0,0.5,1,3.0,3,2,0,6.0,5.666666666666667,4.0,4.0,4.0
7,20170411,21,0,6,2.0,1.0,3.0,1.5,1,-1.0,3,3,0,1.0,4.333333333333333,3.6,3.5,3.5
8,20170412,21,0,6,2.0,0.75,3.0,2.5,1,-2.0,3,4,0,2.0,3.0,4.0,3.2857142857142856,3.2857142857142856
9,20170413,21,1,3,3.0,0.6,4.0,3.5,0,-3.0,3,5,0,2.0,1.6666666666666667,3.4,3.142857142857143,3.125
10,20170414,21,1,4,4.0,0.5,4.0,3.5,0,-4.0,3,6,0,3.0,2.3333333333333335,2.8,3.5714285714285716,3.111111111111111
11,20170415,21,1,4,8.0,0.6666666666666666,4.0,2.5,0,1.0,4,6,0,4.0,3.0,2.4,3.4285714285714284,3.2
12,20170416,21,1,4,6.0,0.8333333333333334,4.0,2.5,0,2.0,5,6,0,8.0,5.0,3.8,3.7142857142857144,3.7
13,20170417,21,1,25,1.0,1.0,3.0,1.5,1,3.0,6,6,0,6.0,6.0,4.6,3.7142857142857144,4.3
14,20170418,21,1,25,1.0,0.8571428571428571,3.0,2.0,1,-1.0,6,7,0,1.0,5.0,4.4,3.7142857142857144,3.9
15,20170419,21,1,25,1.0,0.75,4.0,3.0,0,-2.0,6,8,0,1.0,2.6666666666666665,4.0,3.5714285714285716,3.4
16,20170421,21,0,18,6.0,0.6666666666666666,4.0,3.0,1,-3.0,6,9,0,1.0,1.0,3.4,3.4285714285714284,2.9
17,20170422,21,0,18,5.0,0.7777777777777778,4.0,2.0,0,1.0,7,9,0,6.0,2.6666666666666665,3.0,3.857142857142857,3.4
18,20170423,21,0,18,2.0,0.7,5.0,3.0,0,-1.0,7,10,0,5.0,4.0,2.8,4.0,3.7
19,20170424,21,0,4,3.0,0.8,4.0,2.0,1,1.0,8,10,0,2.0,4.333333333333333,3.0,3.142857142857143,3.7
20,20170425,21,0,4,0.0,0.7272727272727273,5.0,3.0,1,-1.0,8,11,0,3.0,3.3333333333333335,3.4,2.7142857142857144,3.7
21,20170426,21,0,4,6.0,0.6666666666666666,5.0,4.0,1,-2.0,8,12,0,0.0,1.6666666666666667,3.2,2.5714285714285716,3.3
22,20170428,21,1,14,12.0,0.75,5.0,3.0,1,1.0,9,12,0,6.0,3.0,3.2,3.2857142857142856,3.1
23,20170429,21,1,14,4.0,0.8333333333333334,4.0,2.0,1,2.0,10,12,0,12.0,6.0,4.6,4.857142857142857,3.7
24,20170430,21,1,14,3.0,0.9166666666666666,3.0,2.0,0,3.0,11,12,0,4.0,7.333333333333333,5.0,4.571428571428571,4.0
25,20170501,21,1,6,3.0,0.8461538461538461,4.0,2.0,1,-1.0,11,13,0,3.0,6.333333333333333,5.0,4.285714285714286,4.2
26,20170502,21,1,6,12.0,0.7857142857142857,5.0,2.0,1,-2.0,11,14,0,3.0,3.3333333333333335,5.6,4.428571428571429,4.4
