,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,22,1,13,3.0,0,1.0,0,0,0,0,0,0,3.728395061728395,3.733954451345756,3.7339544513457557,3.7339544513457557,3.7339544513457557
2,20170404,22,1,13,4.0,0.0,4.0,1.0,1,-1,0,1,0,3.0,3.0,3.0,3.0,3.0
3,20170405,22,1,13,1.0,1.0,2.0,1.0,1,1,1,1,0,4.0,3.5,3.5,3.5,3.5
4,20170406,22,1,13,2.0,0.5,4.0,1.0,0,-1,1,2,0,1.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
5,20170407,22,0,24,7.0,0.3333333333333333,4.0,2.0,0,-2,1,3,0,2.0,2.3333333333333335,2.5,2.5,2.5
6,20170408,22,0,24,2.0,0.6666666666666666,4.0,2.0,1,1,2,3,0,7.0,3.3333333333333335,3.4,3.4,3.4
7,20170409,22,0,24,3.0,1.0,3.0,2.0,0,2,3,3,0,2.0,3.6666666666666665,3.2,3.1666666666666665,3.1666666666666665
8,20170410,22,1,8,5.0,0.75,4.0,3.0,1,-1,3,4,0,3.0,4.0,3.0,3.142857142857143,3.142857142857143
9,20170411,22,1,8,2.0,1.0,3.0,2.0,1,1,4,4,0,5.0,3.3333333333333335,3.8,3.4285714285714284,3.375
10,20170412,22,1,8,6.0,0.8,4.0,3.0,0,-1,4,5,0,2.0,3.3333333333333335,3.8,3.142857142857143,3.2222222222222223
11,20170414,22,1,1,2.0,1.0,4.0,2.0,1,1,5,5,0,6.0,4.333333333333333,3.6,3.857142857142857,3.5
12,20170415,22,1,1,2.0,0.8333333333333334,4.0,2.0,1,-1,5,6,0,2.0,3.3333333333333335,3.6,3.857142857142857,3.4
13,20170416,22,1,1,2.0,0.7142857142857143,4.0,2.5,0,-2,5,7,0,2.0,3.3333333333333335,3.4,3.142857142857143,3.2
14,20170417,22,1,1,4.0,0.625,4.0,3.5,1,-3,5,8,0,2.0,2.0,2.8,3.142857142857143,3.3
15,20170418,22,0,0,2.0,0.5555555555555556,4.0,4.0,1,-4,5,9,0,4.0,2.6666666666666665,3.2,3.2857142857142856,3.5
16,20170419,22,0,0,1.0,0.5,5.0,5.0,1,-5,5,10,0,2.0,2.6666666666666665,2.4,2.857142857142857,3.0
17,20170420,22,0,0,4.0,0.6,4.0,4.0,1,1,6,10,0,1.0,2.3333333333333335,2.2,2.7142857142857144,2.9
18,20170421,22,0,14,5.0,0.7,4.0,3.5,1,2,7,10,0,4.0,2.3333333333333335,2.6,2.4285714285714284,3.0
19,20170422,22,0,14,3.0,0.8,4.0,3.5,1,3,8,10,0,5.0,3.3333333333333335,3.2,2.857142857142857,3.0
20,20170423,22,0,14,3.0,0.7272727272727273,4.0,4.5,0,-1,8,11,0,3.0,4.0,3.0,3.0,3.1
21,20170424,22,1,0,6.0,0.6666666666666666,4.0,5.5,1,-2,8,12,0,3.0,3.6666666666666665,3.2,3.142857142857143,2.8
22,20170425,22,1,0,3.0,0.6153846153846154,4.0,6.5,1,-3,8,13,0,6.0,4.0,4.2,3.4285714285714284,3.2
23,20170426,22,1,0,8.0,0.5714285714285714,4.0,6.5,1,-4,8,14,0,3.0,4.0,4.0,3.5714285714285716,3.3
24,20170427,22,1,0,2.0,0.6428571428571429,4.0,5.5,1,1,9,14,0,8.0,5.666666666666667,4.6,4.571428571428571,3.9
25,20170428,22,1,24,3.0,0.6,4.0,6.0,1,-1,9,15,0,2.0,4.333333333333333,4.4,4.285714285714286,3.7
26,20170429,22,1,24,12.0,0.5625,5.0,6.5,1,-2,9,16,0,3.0,4.333333333333333,4.4,4.0,3.8
27,20170430,22,1,24,5.0,0.625,4.0,6.5,0,1,10,16,0,12.0,5.666666666666667,5.6,5.285714285714286,4.9
28,20170502,22,0,8,6.0,0.6875,4.0,5.5,1,2,11,16,0,5.0,6.666666666666667,6.0,5.571428571428571,5.0
29,20170503,22,0,8,3.0,0.75,4.0,5.0,1,3,12,16,0,6.0,7.666666666666667,5.6,5.571428571428571,5.1
30,20170504,22,0,8,2.0,0.7058823529411765,4.0,5.5,0,-1,12,17,0,3.0,4.666666666666667,5.8,5.571428571428571,5.1
31,20170505,22,0,13,2.0,0.6666666666666666,4.0,6.5,1,-2,12,18,0,2.0,3.6666666666666665,5.6,4.714285714285714,5.0
32,20170506,22,0,13,2.0,0.631578947368421,4.0,6.5,1,-3,12,19,0,2.0,2.3333333333333335,3.6,4.714285714285714,4.6
33,20170508,22,0,27,5.0,0.6,4.0,7.5,1,-4,12,20,0,2.0,2.0,3.0,4.571428571428571,4.5
34,20170509,22,0,27,0.0,0.65,4.0,7.5,0,1,13,20,0,5.0,3.0,2.8,3.5714285714285716,4.2
35,20170510,22,1,27,3.0,0.6190476190476191,4.0,8.0,1,-1,13,21,0,0.0,2.3333333333333335,2.2,2.857142857142857,4.0
36,20170511,22,1,27,2.0,0.5909090909090909,4.0,9.0,1,-2,13,22,0,3.0,2.6666666666666665,2.4,2.4285714285714284,4.0
37,20170512,22,1,5,6.0,0.5652173913043478,4.0,10.0,1,-3,13,23,0,2.0,1.6666666666666667,2.4,2.2857142857142856,3.0
38,20170513,22,1,5,4.0,0.6086956521739131,4.0,9.0,1,1,14,23,0,6.0,3.6666666666666665,3.2,2.857142857142857,3.1
39,20170514,22,1,5,3.0,0.5833333333333334,4.0,9.0,0,-1,14,24,0,4.0,4.0,3.0,3.142857142857143,2.9
40,20170515,22,0,15,6.0,0.56,5.0,10.0,1,-2,14,25,0,3.0,4.333333333333333,3.6,3.2857142857142856,2.9
41,20170516,22,0,15,2.0,0.6,5.0,9.5,1,1,15,25,0,6.0,4.333333333333333,4.2,3.4285714285714284,3.3
42,20170517,22,0,15,1.0,0.5769230769230769,5.0,10.5,1,-1,15,26,0,2.0,3.6666666666666665,4.2,3.7142857142857144,3.3
43,20170518,22,0,15,2.0,0.5555555555555556,5.0,11.0,0,-2,15,27,0,1.0,3.0,3.2,3.4285714285714284,3.2
44,20170519,22,0,0,1.0,0.5357142857142857,5.0,11.5,1,-3,15,28,0,2.0,1.6666666666666667,2.8,3.4285714285714284,2.9
45,20170520,22,0,0,1.0,0.5172413793103449,5.0,12.5,1,-4,15,29,0,1.0,1.3333333333333333,2.4,2.7142857142857144,3.0
46,20170521,22,0,0,5.0,0.5,5.0,12.5,0,-5,15,30,0,1.0,1.3333333333333333,1.4,2.2857142857142856,2.8
47,20170523,22,1,17,3.0,0.5333333333333333,5.0,12.5,1,1,16,30,0,5.0,2.3333333333333335,2.0,2.5714285714285716,3.1
48,20170524,22,1,17,6.0,0.5161290322580645,5.0,14.0,1,-1,16,31,0,3.0,3.0,2.4,2.142857142857143,2.8
49,20170525,22,1,17,4.0,0.5483870967741935,5.0,14.0,1,1,17,31,0,6.0,4.666666666666667,3.2,2.7142857142857144,3.0
50,20170526,22,1,29,1.0,0.5806451612903226,5.0,13.0,1,2,18,31,0,4.0,4.333333333333333,3.8,3.142857142857143,3.1
51,20170527,22,1,29,0.0,0.5625,5.0,14.0,0,-1,18,32,0,1.0,3.6666666666666665,3.8,3.0,2.6
52,20170528,22,1,29,5.0,0.5454545454545454,5.0,14.0,0,-2,18,33,0,0.0,1.6666666666666667,2.8,2.857142857142857,2.4
53,20170529,22,0,4,5.0,0.5757575757575758,5.0,14.0,0,1,19,33,0,5.0,2.0,3.2,3.4285714285714284,2.8
54,20170530,22,0,4,6.0,0.6060606060606061,5.0,13.0,1,2,20,33,0,5.0,3.3333333333333335,3.0,3.4285714285714284,3.1
