,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,23,1,10,0.0,0,1.0,0,1,0,0,0,0,4.62962962962963,4.611801242236024,4.585300207039338,4.56131322094055,4.543537414965987
2,20170404,23,1,10,1.0,0.0,3.0,1.0,1,-1,0,1,0,0.0,0.0,0.0,0.0,0.0
3,20170405,23,1,10,3.0,0.0,4.0,2.0,1,-2,0,2,0,1.0,0.5,0.5,0.5,0.5
4,20170406,23,1,10,4.0,0.0,4.0,3.0,1,-3,0,3,0,3.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
5,20170407,23,1,12,1.0,0.3333333333333333,4.0,2.0,1,1,1,3,0,4.0,2.6666666666666665,2.0,2.0,2.0
6,20170408,23,1,12,4.0,0.25,5.0,2.0,1,-1,1,4,0,1.0,2.6666666666666665,1.8,1.8,1.8
7,20170409,23,1,12,9.0,0.2,5.0,3.0,0,-2,1,5,0,4.0,3.0,2.6,2.1666666666666665,2.1666666666666665
8,20170410,23,0,10,6.0,0.16666666666666666,5.0,4.0,0,-3,1,6,0,9.0,4.666666666666667,4.2,3.142857142857143,3.142857142857143
9,20170411,23,0,10,5.0,0.3333333333333333,5.0,3.5,1,1,2,6,0,6.0,6.333333333333333,4.8,4.0,3.5
10,20170412,23,0,10,5.0,0.2857142857142857,5.0,4.5,1,-1,2,7,0,5.0,6.666666666666667,5.0,4.571428571428571,3.6666666666666665
11,20170414,23,0,27,2.0,0.25,5.0,4.5,1,-2,2,8,0,5.0,5.333333333333333,5.8,4.857142857142857,3.8
12,20170415,23,0,27,5.0,0.375,5.0,4.0,1,1,3,8,0,2.0,4.0,5.4,4.571428571428571,4.0
13,20170416,23,0,27,8.0,0.5,5.0,4.0,0,2,4,8,0,5.0,4.0,4.6,5.142857142857143,4.4
14,20170417,23,0,14,6.0,0.625,4.0,3.5,1,3,5,8,0,8.0,5.0,5.0,5.714285714285714,4.9
15,20170418,23,0,14,0.0,0.75,2.0,3.5,1,4,6,8,0,6.0,6.333333333333333,5.2,5.285714285714286,5.1
