,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170402,24,1,0,5.0,0,1.0,0,0,0,0,0,0,3.9444444444444446,3.9472049689440993,3.957349896480331,3.960396332446022,3.9753376713004043
2,20170404,24,1,0,8.0,0.0,5.0,1.0,1,-1,0,1,0,5.0,5.0,5.0,5.0,5.0
3,20170405,24,1,0,6.0,1.0,2.0,1.0,1,1,1,1,0,8.0,6.5,6.5,6.5,6.5
4,20170406,24,1,0,3.0,0.5,4.0,1.0,1,-1,1,2,0,6.0,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333
5,20170407,24,1,22,6.0,0.3333333333333333,4.0,2.0,0,-2,1,3,0,3.0,5.666666666666667,5.5,5.5,5.5
6,20170408,24,1,22,1.0,0.25,5.0,3.0,1,-3,1,4,0,6.0,5.0,5.6,5.6,5.6
7,20170409,24,1,22,5.0,0.2,5.0,4.0,0,-4,1,5,0,1.0,3.3333333333333335,4.8,4.833333333333333,4.833333333333333
8,20170410,24,0,0,4.0,0.4,5.0,4.0,0,1,2,5,0,5.0,4.0,4.2,4.857142857142857,4.857142857142857
9,20170411,24,0,0,3.0,0.6,5.0,3.0,1,2,3,5,0,4.0,3.3333333333333335,3.8,4.714285714285714,4.75
10,20170412,24,0,0,6.0,0.5,5.0,4.0,1,-1,3,6,0,3.0,4.0,3.8,4.0,4.555555555555555
11,20170413,24,0,8,1.0,0.6666666666666666,5.0,3.0,1,1,4,6,0,6.0,4.333333333333333,3.8,4.0,4.7
12,20170414,24,0,8,8.0,0.5714285714285714,5.0,3.5,1,-1,4,7,0,1.0,3.3333333333333335,3.8,3.7142857142857144,4.3
13,20170415,24,0,8,0.0,0.7142857142857143,5.0,2.5,0,1,5,7,0,8.0,5.0,4.4,4.0,4.3
14,20170416,24,0,8,3.0,0.625,5.0,3.0,0,-1,5,8,0,0.0,3.0,3.6,3.857142857142857,3.7
15,20170418,24,1,11,2.0,0.5555555555555556,5.0,4.0,1,-2,5,9,0,3.0,3.6666666666666665,3.6,3.5714285714285716,3.7
16,20170419,24,1,11,0.0,0.6666666666666666,4.0,4.0,1,1,6,9,0,2.0,1.6666666666666667,2.8,3.2857142857142856,3.3
17,20170421,24,1,8,5.0,0.6,4.0,4.0,1,-1,6,10,0,0.0,1.6666666666666667,2.6,2.857142857142857,3.2
18,20170422,24,1,8,3.0,0.5454545454545454,5.0,5.0,1,-2,6,11,0,5.0,2.3333333333333335,2.0,2.7142857142857144,3.2
19,20170423,24,1,8,0.0,0.5,5.0,6.0,0,-3,6,12,0,3.0,2.6666666666666665,2.6,3.0,3.1
20,20170424,24,0,13,2.0,0.46153846153846156,5.0,7.0,1,-4,6,13,0,0.0,2.6666666666666665,2.0,1.8571428571428572,2.8
21,20170425,24,0,13,1.0,0.5384615384615384,5.0,7.0,1,1,7,13,0,2.0,1.6666666666666667,2.0,2.142857142857143,2.4
22,20170426,24,0,13,4.0,0.5,5.0,7.0,1,-1,7,14,0,1.0,1.0,2.2,1.8571428571428572,2.4
23,20170427,24,0,13,1.0,0.5714285714285714,5.0,6.0,0,1,8,14,0,4.0,2.3333333333333335,2.0,2.142857142857143,2.0
24,20170428,24,0,22,4.0,0.5333333333333333,5.0,6.5,1,-1,8,15,0,1.0,2.0,1.6,2.2857142857142856,2.1
25,20170429,24,0,22,4.0,0.6,4.0,6.0,1,1,9,15,0,4.0,3.0,2.4,2.142857142857143,2.2
26,20170430,24,0,22,2.0,0.5625,5.0,7.0,0,-1,9,16,0,4.0,3.0,2.8,2.2857142857142856,2.4
27,20170501,24,1,13,4.0,0.5294117647058824,5.0,7.0,1,-2,9,17,0,2.0,3.3333333333333335,3.0,2.5714285714285716,2.6
28,20170502,24,1,13,5.0,0.5882352941176471,5.0,6.5,1,1,10,17,0,4.0,3.3333333333333335,3.0,2.857142857142857,2.5
29,20170503,24,1,13,4.0,0.5555555555555556,5.0,7.0,1,-1,10,18,0,5.0,3.6666666666666665,3.8,3.4285714285714284,2.7
30,20170505,24,1,6,3.0,0.6111111111111112,5.0,6.5,1,1,11,18,0,4.0,4.333333333333333,3.8,3.4285714285714284,3.1
31,20170506,24,1,6,2.0,0.5789473684210527,5.0,7.0,1,-1,11,19,0,3.0,4.0,3.6,3.7142857142857144,3.2
32,20170507,24,1,6,0.0,0.55,5.0,8.0,0,-2,11,20,0,2.0,3.0,3.6,3.4285714285714284,3.3
33,20170508,24,1,17,3.0,0.5238095238095238,5.0,9.0,1,-3,11,21,0,0.0,1.6666666666666667,2.8,2.857142857142857,2.9
34,20170509,24,1,17,1.0,0.5,5.0,9.5,1,-4,11,22,0,3.0,1.6666666666666667,2.4,3.0,3.1
35,20170510,24,1,17,6.0,0.4782608695652174,5.0,10.0,0,-5,11,23,0,1.0,1.3333333333333333,1.8,2.5714285714285716,2.8
36,20170511,24,0,6,2.0,0.5217391304347826,5.0,10.0,1,1,12,23,0,6.0,3.3333333333333335,2.4,2.7142857142857144,3.0
37,20170512,24,0,6,3.0,0.5,5.0,11.0,1,-1,12,24,0,2.0,3.0,2.4,2.4285714285714284,3.0
38,20170513,24,0,6,3.0,0.5416666666666666,5.0,10.0,0,1,13,24,0,3.0,3.6666666666666665,3.0,2.4285714285714284,2.9
39,20170514,24,0,6,8.0,0.5833333333333334,4.0,9.0,0,2,14,24,0,3.0,2.6666666666666665,3.0,2.5714285714285716,2.7
40,20170515,24,0,13,8.0,0.625,4.0,9.0,1,3,15,24,0,8.0,4.666666666666667,4.4,3.7142857142857144,3.1
41,20170516,24,0,13,2.0,0.6666666666666666,4.0,8.5,1,4,16,24,0,8.0,6.333333333333333,4.8,4.428571428571429,3.6
42,20170517,24,0,13,1.0,0.7083333333333334,4.0,8.5,0,5,17,24,0,2.0,6.0,4.8,4.571428571428571,3.6
43,20170519,24,1,25,6.0,0.68,4.0,9.0,1,-1,17,25,0,1.0,3.6666666666666665,4.4,3.857142857142857,3.7
44,20170520,24,1,25,3.0,0.72,4.0,9.0,1,1,18,25,0,6.0,3.0,5.0,4.428571428571429,4.0
45,20170521,24,1,25,3.0,0.76,4.0,8.0,0,2,19,25,0,3.0,3.3333333333333335,4.0,4.428571428571429,4.2
46,20170522,24,1,4,6.0,0.7307692307692307,4.0,9.0,1,-1,19,26,0,3.0,4.0,3.0,4.428571428571429,3.9
47,20170523,24,1,4,1.0,0.7692307692307693,4.0,9.0,1,1,20,26,0,6.0,4.0,3.8,4.142857142857143,4.3
48,20170524,24,1,4,4.0,0.7407407407407407,4.0,10.0,1,-1,20,27,0,1.0,3.3333333333333335,3.8,3.142857142857143,4.1
49,20170525,24,1,4,1.0,0.7142857142857143,4.0,11.0,0,-2,20,28,0,4.0,3.6666666666666665,3.4,3.4285714285714284,4.2
