,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170402,25,0,4,4.0,0,1.0,0,1,0,0,0,0,4.697530864197531,4.707039337474121,4.710248447204969,4.706314699792961,4.705999211278715
2,20170404,25,0,4,1.0,1.0,1.0,-0.5,1,1,1,0,0,4.0,4.0,4.0,4.0,4.0
3,20170406,25,0,4,4.0,1.0,1.0,0,0,-1,1,1,0,1.0,2.5,2.5,2.5,2.5
4,20170407,25,0,6,0.0,0.5,3.0,1.0,1,-2,1,2,0,4.0,3.0,3.0,3.0,3.0
5,20170408,25,0,6,10.0,0.3333333333333333,5.0,2.0,0,-3,1,3,0,0.0,1.6666666666666667,2.25,2.25,2.25
6,20170409,25,0,6,0.0,0.6666666666666666,4.0,1.0,0,1,2,3,0,10.0,4.666666666666667,3.8,3.8,3.8
7,20170410,25,1,29,6.0,0.5,4.0,2.0,1,-1,2,4,0,0.0,3.3333333333333335,3.0,3.1666666666666665,3.1666666666666665
8,20170411,25,1,29,3.0,0.4,4.0,3.0,1,-2,2,5,0,6.0,5.333333333333333,4.0,3.5714285714285716,3.5714285714285716
9,20170412,25,1,29,6.0,0.3333333333333333,5.0,4.0,0,-3,2,6,0,3.0,3.0,3.8,3.4285714285714284,3.5
10,20170414,25,1,18,3.0,0.5,5.0,4.0,1,1,3,6,0,6.0,5.0,5.0,4.142857142857143,3.7777777777777777
11,20170415,25,1,18,2.0,0.42857142857142855,5.0,3.5,0,-1,3,7,0,3.0,4.0,3.6,4.0,3.7
12,20170416,25,1,18,3.0,0.375,5.0,4.5,1,-2,3,8,0,2.0,3.6666666666666665,4.0,4.285714285714286,3.5
13,20170417,25,0,21,2.0,0.3333333333333333,5.0,4.5,1,-3,3,9,0,3.0,2.6666666666666665,3.4,3.2857142857142856,3.7
14,20170418,25,0,21,2.0,0.4444444444444444,5.0,4.0,1,1,4,9,0,2.0,2.3333333333333335,3.2,3.5714285714285716,3.5
15,20170419,25,0,21,2.0,0.5555555555555556,5.0,4.0,0,2,5,9,0,2.0,2.3333333333333335,2.4,3.0,3.7
16,20170420,25,1,15,5.0,0.6666666666666666,4.0,3.0,1,3,6,9,0,2.0,2.0,2.2,2.857142857142857,2.9
17,20170421,25,1,15,6.0,0.6,5.0,3.0,1,-1,6,10,0,5.0,3.0,2.8,2.7142857142857144,3.4
18,20170422,25,1,15,4.0,0.7,5.0,2.5,1,1,7,10,0,6.0,4.333333333333333,3.4,3.142857142857143,3.4
19,20170423,25,1,15,6.0,0.8,4.0,2.5,0,2,8,10,0,4.0,5.0,3.8,3.4285714285714284,3.5
20,20170425,25,0,28,5.0,0.9,3.0,1.5,1,3,9,10,0,6.0,5.333333333333333,4.6,3.857142857142857,3.5
21,20170427,25,0,28,8.0,0.8181818181818182,4.0,3.0,0,-1,9,11,1,5.0,5.0,5.2,4.285714285714286,3.7
22,20170427,25,0,28,6.0,0.9090909090909091,3.0,1.5,1,1,10,11,1,8.0,6.333333333333333,5.8,5.142857142857143,4.3
23,20170428,25,0,6,7.0,1.0,3.0,1.5,1,2,11,11,0,6.0,6.333333333333333,5.8,5.714285714285714,4.6
24,20170430,25,0,6,4.0,1.0909090909090908,2.0,0.5,0,3,12,11,0,7.0,7.0,6.4,6.0,5.1
25,20170501,25,0,15,5.0,1.0,2.0,1.0,1,-1,12,12,0,4.0,5.666666666666667,6.0,5.714285714285714,5.3
26,20170502,25,0,15,2.0,0.9230769230769231,3.0,1.0,1,-2,12,13,0,5.0,5.333333333333333,6.0,5.857142857142857,5.6
27,20170504,25,0,15,4.0,1.0,2.0,1.0,1,1,13,13,0,2.0,3.6666666666666665,4.8,5.285714285714286,5.3
28,20170505,25,1,1,10.0,0.9285714285714286,4.0,2.5,1,-1,13,14,0,4.0,3.6666666666666665,4.4,5.142857142857143,5.1
29,20170506,25,1,1,5.0,1.0,3.0,1.5,1,1,14,14,0,10.0,5.333333333333333,5.0,5.428571428571429,5.7
30,20170507,25,1,1,6.0,1.0714285714285714,3.0,0.5,0,2,15,14,0,5.0,6.333333333333333,5.2,5.285714285714286,5.6
31,20170508,25,1,14,9.0,1.1428571428571428,2.0,0.5,1,3,16,14,0,6.0,7.0,5.4,5.142857142857143,5.7
32,20170509,25,1,14,6.0,1.2142857142857142,1.0,-0.5,1,4,17,14,0,9.0,6.666666666666667,6.8,5.857142857142857,5.8
33,20170510,25,1,14,7.0,1.2857142857142858,1.0,-0.5,1,5,18,14,0,6.0,7.0,7.2,6.0,5.8
34,20170512,25,0,4,2.0,1.3571428571428572,1.0,-1.0,1,6,19,14,0,7.0,7.333333333333333,6.6,6.714285714285714,5.8
35,20170513,25,0,4,5.0,1.2666666666666666,1.0,-0.5,0,-1,19,15,0,2.0,5.0,6.0,6.428571428571429,5.6
36,20170514,25,0,4,5.0,1.3333333333333333,1.0,-1.0,0,1,20,15,0,5.0,4.666666666666667,5.8,5.714285714285714,5.6
37,20170516,25,0,3,3.0,1.4,1.0,-1.0,1,2,21,15,0,5.0,4.0,5.0,5.714285714285714,5.9
38,20170517,25,0,3,4.0,1.3125,1.0,-0.5,1,-1,21,16,0,3.0,4.333333333333333,4.4,5.285714285714286,5.8
39,20170519,25,0,24,5.0,1.2352941176470589,2.0,0.5,1,-2,21,17,0,4.0,4.0,3.8,4.571428571428571,5.2
40,20170520,25,0,24,1.0,1.1666666666666667,2.0,2.0,1,-3,21,18,0,5.0,4.0,4.4,4.428571428571429,5.2
41,20170521,25,0,24,8.0,1.105263157894737,2.0,2.5,0,-4,21,19,0,1.0,3.3333333333333335,3.6,3.5714285714285716,4.7
42,20170523,25,1,13,1.0,1.1578947368421053,2.0,1.5,1,1,22,19,0,8.0,4.666666666666667,4.2,4.428571428571429,4.6
43,20170524,25,1,13,6.0,1.1,2.0,1.5,1,-1,22,20,0,1.0,3.3333333333333335,3.8,3.857142857142857,4.1
44,20170525,25,1,13,3.0,1.15,2.0,0.5,1,1,23,20,0,6.0,5.0,4.2,4.0,4.0
45,20170526,25,1,8,0.0,1.0952380952380953,3.0,1.0,1,-1,23,21,0,3.0,3.3333333333333335,3.8,4.0,4.1
46,20170527,25,1,8,3.0,1.0454545454545454,3.0,1.0,1,-2,23,22,0,0.0,3.0,3.6,3.4285714285714284,3.6
47,20170528,25,1,8,4.0,1.0909090909090908,2.0,0.5,0,1,24,22,0,3.0,2.0,2.6,3.142857142857143,3.4
48,20170529,25,0,13,1.0,1.0434782608695652,2.0,1.5,0,-1,24,23,0,4.0,2.3333333333333335,3.2,3.5714285714285716,3.5
49,20170530,25,0,13,4.0,1.0,2.0,1.5,1,-2,24,24,0,1.0,2.6666666666666665,2.2,2.5714285714285716,3.2
50,20170531,25,0,13,2.0,0.96,2.0,1.5,1,-3,24,25,0,4.0,3.0,2.4,3.0,3.1
51,20170601,25,0,13,2.0,1.0,2.0,1.5,0,1,25,25,0,2.0,2.3333333333333335,2.8,2.4285714285714284,3.2
52,20170602,25,1,4,2.0,1.04,2.0,1.5,0,2,26,25,0,2.0,2.6666666666666665,2.6,2.2857142857142856,2.6
53,20170603,25,1,4,3.0,1.0,2.0,1.5,0,-1,26,26,0,2.0,2.0,2.2,2.5714285714285716,2.7
54,20170604,25,1,4,6.0,0.9629629629629629,3.0,1.5,1,-2,26,27,0,3.0,2.3333333333333335,2.6,2.5714285714285716,2.4
55,20170605,25,1,6,2.0,0.9285714285714286,3.0,2.5,1,-3,26,28,0,6.0,3.6666666666666665,3.0,2.857142857142857,2.7
56,20170606,25,1,6,1.0,0.896551724137931,3.0,2.5,1,-4,26,29,0,2.0,3.6666666666666665,3.0,3.0,2.9
57,20170607,25,1,6,4.0,0.8666666666666667,4.0,3.5,1,-5,26,30,0,1.0,3.0,2.8,2.5714285714285716,2.7
58,20170608,25,1,6,2.0,0.8387096774193549,4.0,4.5,0,-6,26,31,0,4.0,2.3333333333333335,3.2,2.857142857142857,2.7
59,20170609,25,0,20,3.0,0.8125,4.0,4.5,1,-7,26,32,0,2.0,2.3333333333333335,3.0,2.857142857142857,2.8
60,20170610,25,0,20,7.0,0.84375,4.0,4.5,0,1,27,32,0,3.0,3.0,2.4,3.0,2.7
61,20170611,25,0,20,6.0,0.875,4.0,3.5,0,2,28,32,0,7.0,4.0,3.4,3.5714285714285716,3.2
62,20170613,25,0,15,6.0,0.90625,3.0,2.5,0,3,29,32,1,6.0,5.333333333333333,4.4,3.5714285714285716,3.6
63,20170613,25,0,15,5.0,0.9375,3.0,2.5,1,4,30,32,1,6.0,6.333333333333333,4.8,4.142857142857143,4.0
64,20170614,25,0,15,6.0,0.9090909090909091,3.0,2.5,1,-1,30,33,0,5.0,5.666666666666667,5.4,4.714285714285714,4.2
65,20170615,25,0,15,4.0,0.8823529411764706,3.0,3.5,1,-2,30,34,0,6.0,5.666666666666667,6.0,5.0,4.2
66,20170616,25,1,2,11.0,0.8571428571428571,3.0,4.5,1,-3,30,35,0,4.0,5.0,5.4,5.285714285714286,4.4
67,20170617,25,1,2,7.0,0.8857142857142857,3.0,4.5,0,1,31,35,0,11.0,7.0,6.4,6.428571428571429,5.4
68,20170618,25,1,2,5.0,0.8611111111111112,3.0,4.5,0,-1,31,36,0,7.0,7.333333333333333,6.6,6.428571428571429,5.7
69,20170620,25,1,20,8.0,0.8378378378378378,3.0,5.5,1,-2,31,37,0,5.0,7.666666666666667,6.6,6.285714285714286,6.0
70,20170621,25,1,20,7.0,0.8648648648648649,3.0,4.0,1,1,32,37,0,8.0,6.666666666666667,7.0,6.571428571428571,6.5
71,20170622,25,1,20,1.0,0.8918918918918919,3.0,4.0,0,2,33,37,0,7.0,6.666666666666667,7.6,6.857142857142857,6.5
72,20170623,25,0,21,3.0,0.868421052631579,3.0,5.0,1,-1,33,38,0,1.0,5.333333333333333,5.6,6.142857142857143,6.0
73,20170624,25,0,21,3.0,0.8461538461538461,3.0,5.0,1,-2,33,39,0,3.0,3.6666666666666665,4.8,6.0,5.7
74,20170625,25,0,21,8.0,0.825,4.0,5.0,1,-3,33,40,0,3.0,2.3333333333333335,4.4,4.857142857142857,5.5
75,20170626,25,0,6,8.0,0.85,3.0,5.0,0,1,34,40,0,8.0,4.666666666666667,4.4,5.0,5.7
76,20170627,25,1,0,5.0,0.875,3.0,4.5,1,2,35,40,0,8.0,6.333333333333333,4.6,5.428571428571429,6.1
77,20170628,25,1,0,4.0,0.8536585365853658,3.0,4.5,1,-1,35,41,0,5.0,7.0,5.4,5.0,5.5
78,20170629,25,1,0,10.0,0.8780487804878049,3.0,3.5,0,1,36,41,0,4.0,5.666666666666667,5.6,4.571428571428571,5.2
79,20170630,25,0,29,8.0,0.9024390243902439,3.0,3.5,1,2,37,41,0,10.0,6.333333333333333,7.0,5.857142857142857,5.7
80,20170701,25,0,29,2.0,0.926829268292683,3.0,3.5,1,3,38,41,0,8.0,7.333333333333333,7.0,6.571428571428571,5.7
81,20170702,25,0,29,2.0,0.9512195121951219,3.0,3.5,1,4,39,41,0,2.0,6.666666666666667,5.8,6.428571428571429,5.2
82,20170703,25,0,14,14.0,0.9285714285714286,3.0,3.5,1,-1,39,42,0,2.0,4.0,5.2,5.571428571428571,5.3
83,20170704,25,0,14,2.0,0.9523809523809523,3.0,3.5,0,1,40,42,0,14.0,6.0,7.2,6.428571428571429,6.4
84,20170705,25,0,14,6.0,0.9302325581395349,3.0,4.5,1,-1,40,43,0,2.0,6.0,5.6,6.0,6.3
85,20170706,25,0,14,4.0,0.9090909090909091,3.0,5.5,0,-2,40,44,0,6.0,7.333333333333333,5.2,6.285714285714286,6.1
86,20170707,25,0,17,5.0,0.9318181818181818,3.0,5.5,1,1,41,44,0,4.0,4.0,5.6,5.428571428571429,5.7
87,20170708,25,0,17,4.0,0.9111111111111111,3.0,6.5,0,-1,41,45,0,5.0,5.0,6.2,5.0,5.7
88,20170709,25,0,17,6.0,0.9333333333333333,3.0,5.5,0,1,42,45,0,4.0,4.333333333333333,4.2,5.285714285714286,5.7
89,20170714,25,1,21,2.0,0.9555555555555556,2.0,5.5,1,2,43,45,0,6.0,5.0,5.0,5.857142857142857,5.3
90,20170715,25,1,21,4.0,0.9347826086956522,3.0,6.5,1,-1,43,46,0,2.0,4.0,4.2,4.142857142857143,4.7
91,20170716,25,1,21,3.0,0.9565217391304348,3.0,6.5,0,1,44,46,0,4.0,4.0,4.2,4.428571428571429,4.9
92,20170717,25,1,17,6.0,0.9361702127659575,3.0,6.5,1,-1,44,47,0,3.0,3.0,3.8,4.0,5.0
93,20170718,25,1,17,5.0,0.9574468085106383,3.0,5.5,1,1,45,47,0,6.0,4.333333333333333,4.2,4.285714285714286,4.2
94,20170719,25,1,17,3.0,0.9787234042553191,3.0,4.5,1,2,46,47,0,5.0,4.666666666666667,4.0,4.285714285714286,4.5
95,20170720,25,1,17,2.0,0.9583333333333334,4.0,4.5,0,-1,46,48,0,3.0,4.666666666666667,4.2,4.142857142857143,4.2
96,20170721,25,1,4,11.0,0.9387755102040817,4.0,4.5,0,-2,46,49,0,2.0,3.3333333333333335,3.8,3.5714285714285716,4.0
97,20170722,25,1,4,2.0,0.9591836734693877,4.0,3.5,0,1,47,49,0,11.0,5.333333333333333,5.4,4.857142857142857,4.6
98,20170723,25,1,4,3.0,0.94,4.0,4.5,1,-1,47,50,0,2.0,5.0,4.6,4.571428571428571,4.4
99,20170724,25,0,8,8.0,0.9215686274509803,4.0,4.5,1,-2,47,51,0,3.0,5.333333333333333,4.2,4.571428571428571,4.1
