,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170402,26,0,18,7.0,0,1.0,0,0,0,0,0,0,4.283950617283951,4.278467908902692,4.278467908902692,4.278467908902692,4.278467908902692
2,20170404,26,0,18,0.0,1.0,1.0,-0.5,1,1,1,0,0,7.0,7.0,7.0,7.0,7.0
3,20170405,26,0,18,4.0,1.0,3.0,0.5,1,-1,1,1,0,0.0,3.5,3.5,3.5,3.5
4,20170406,26,0,28,2.0,2.0,3.0,0.5,1,1,2,1,0,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
5,20170407,26,0,28,10.0,1.0,3.0,1.0,1,-1,2,2,0,2.0,2.0,3.25,3.25,3.25
6,20170408,26,0,28,3.0,1.5,2.0,1.0,1,1,3,2,0,10.0,5.333333333333333,4.6,4.6,4.6
7,20170409,26,0,28,7.0,2.0,2.0,1.0,0,2,4,2,0,3.0,5.0,3.8,4.333333333333333,4.333333333333333
8,20170410,26,1,18,1.0,2.5,1.0,0,0,3,5,2,0,7.0,6.666666666666667,5.2,4.714285714285714,4.714285714285714
9,20170412,26,1,18,4.0,1.6666666666666667,2.0,0.5,0,-1,5,3,0,1.0,3.6666666666666665,4.6,3.857142857142857,4.25
10,20170413,26,1,18,2.0,1.25,2.0,1.0,1,-2,5,4,0,4.0,4.0,5.0,4.428571428571429,4.222222222222222
11,20170414,26,1,3,10.0,1.0,4.0,2.0,1,-3,5,5,0,2.0,2.3333333333333335,3.4,4.142857142857143,4.0
12,20170415,26,1,3,1.0,1.2,3.0,2.0,0,1,6,5,0,10.0,5.333333333333333,4.8,5.285714285714286,4.3
13,20170416,26,1,3,5.0,1.0,4.0,2.0,0,-1,6,6,0,1.0,4.333333333333333,3.6,4.0,4.4
14,20170417,26,1,3,3.0,0.8571428571428571,4.0,3.0,0,-2,6,7,0,5.0,5.333333333333333,4.4,4.285714285714286,4.5
15,20170418,26,0,9,5.0,0.75,4.0,3.5,1,-3,6,8,0,3.0,3.0,4.2,3.7142857142857144,4.6
16,20170419,26,0,9,8.0,0.875,4.0,2.5,1,1,7,8,0,5.0,4.333333333333333,4.8,4.285714285714286,4.1
17,20170420,26,0,9,8.0,1.0,4.0,2.5,0,2,8,8,0,8.0,5.333333333333333,4.4,4.857142857142857,4.6
18,20170421,26,0,10,3.0,1.125,4.0,2.5,1,3,9,8,0,8.0,7.0,5.8,5.714285714285714,4.7
19,20170422,26,0,10,6.0,1.0,4.0,3.5,1,-1,9,9,0,3.0,6.333333333333333,5.4,4.714285714285714,4.9
20,20170423,26,0,10,4.0,1.1111111111111112,4.0,3.5,0,1,10,9,0,6.0,5.666666666666667,6.0,5.428571428571429,5.1
21,20170424,26,1,2,3.0,1.0,4.0,3.5,1,-1,10,10,0,4.0,4.333333333333333,5.8,5.285714285714286,5.3
22,20170425,26,1,2,2.0,0.9090909090909091,4.0,4.5,1,-2,10,11,0,3.0,4.333333333333333,4.8,5.285714285714286,4.6
23,20170426,26,1,2,4.0,1.0,4.0,3.5,1,1,11,11,0,2.0,3.0,3.6,4.857142857142857,4.7
24,20170428,26,1,28,7.0,0.9166666666666666,4.0,4.5,1,-1,11,12,0,4.0,3.0,3.8,4.285714285714286,4.6
25,20170429,26,1,28,1.0,1.0,4.0,3.5,0,1,12,12,0,7.0,4.333333333333333,4.0,4.142857142857143,5.0
26,20170430,26,1,28,1.0,0.9230769230769231,4.0,4.5,0,-1,12,13,0,1.0,4.0,3.4,3.857142857142857,4.6
27,20170501,26,1,14,4.0,0.8571428571428571,4.0,4.5,1,-2,12,14,0,1.0,3.0,3.0,3.142857142857143,3.9
28,20170502,26,1,14,3.0,0.9285714285714286,4.0,4.5,1,1,13,14,0,4.0,2.0,3.4,3.142857142857143,3.5
29,20170503,26,0,14,6.0,1.0,4.0,3.5,1,2,14,14,0,3.0,2.6666666666666665,3.2,3.142857142857143,3.5
30,20170504,26,0,14,5.0,0.9333333333333333,4.0,4.5,1,-1,14,15,0,6.0,4.333333333333333,3.0,3.7142857142857144,3.5
